datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,354.5,359.75,351.5,353.6,70508,250.23,2212,44886.0,63.66
24-06-2026 00:00,336.5,357.0,336.5,351.0,96033,334.57,4431,47343.0,49.3
23-06-2026 00:00,338.0,344.8,334.9,337.0,45320,153.38,2104,21862.0,48.24
22-06-2026 00:00,326.0,344.8,326.0,337.8,72685,245.34,3379,44904.0,61.78
19-06-2026 00:00,320.55,332.0,320.05,325.2,22320,72.8,1751,11584.0,51.9
18-06-2026 00:00,325.0,331.75,320.7,324.0,46073,150.71,2259,22057.0,47.87
17-06-2026 00:00,328.0,328.4,321.0,322.65,16036,51.99,1021,10356.0,64.58
16-06-2026 00:00,323.9,332.4,317.55,325.6,103184,334.45,3562,47676.0,46.2
15-06-2026 00:00,317.9,324.95,311.95,316.8,65641,208.67,1896,18179.0,27.69
12-06-2026 00:00,303.6,311.0,303.6,309.7,24561,75.85,806,13113.0,53.39
11-06-2026 00:00,302.15,308.0,299.0,303.5,16852,51.02,871,8101.0,48.07
10-06-2026 00:00,311.3,314.35,299.6,302.7,50036,152.15,1350,30225.0,60.41
09-06-2026 00:00,307.4,312.45,304.2,311.3,23587,72.98,1197,8623.0,36.56
08-06-2026 00:00,307.0,312.9,305.0,307.1,20327,62.8,1163,10488.0,51.6
05-06-2026 00:00,323.8,324.1,309.85,311.6,46458,145.67,1621,25679.0,55.27
04-06-2026 00:00,319.1,326.3,319.1,320.6,13197,42.57,855,6606.0,50.06
03-06-2026 00:00,328.0,328.0,318.0,325.05,23480,75.7,1142,7732.0,32.93
02-06-2026 00:00,321.0,327.95,318.35,324.75,26330,85.36,1294,11209.0,42.57
01-06-2026 00:00,346.0,346.0,321.0,324.65,42006,138.81,1569,16535.0,39.36
29-05-2026 00:00,335.1,336.0,324.5,327.7,25083,82.89,1093,13366.0,53.29
27-05-2026 00:00,337.95,341.5,330.15,335.1,32796,109.58,2156,12367.0,37.71
26-05-2026 00:00,316.7,338.85,316.7,336.0,138409,458.65,4019,74854.0,54.08
25-05-2026 00:00,315.25,323.9,315.25,319.95,29575,94.81,1360,14051.0,47.51
22-05-2026 00:00,321.85,324.0,314.0,317.6,21999,69.8,876,6473.0,29.42
21-05-2026 00:00,315.8,323.9,310.65,318.65,37332,118.95,1830,13764.0,36.87
