datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1351.0,1367.6,1332.7,1337.9,190184,2563.87,16485,68938.0,36.25
24-06-2026 00:00,1330.0,1351.9,1325.1,1347.0,266419,3580.08,20628,123227.0,46.25
23-06-2026 00:00,1354.9,1355.9,1325.5,1329.4,153185,2048.68,11081,77340.0,50.49
22-06-2026 00:00,1350.0,1352.6,1345.0,1349.8,102582,1383.98,7626,57829.0,56.37
19-06-2026 00:00,1364.0,1364.0,1340.0,1343.3,169169,2281.2,11295,86874.0,51.35
18-06-2026 00:00,1354.9,1369.8,1346.0,1358.9,175498,2378.34,8983,78762.0,44.88
17-06-2026 00:00,1358.2,1358.6,1342.7,1350.0,68161,919.5,6186,27948.0,41.0
16-06-2026 00:00,1360.0,1361.3,1345.0,1349.0,94705,1281.27,9421,45670.0,48.22
15-06-2026 00:00,1360.0,1374.3,1351.8,1356.4,154002,2097.26,12922,65482.0,42.52
12-06-2026 00:00,1309.9,1343.8,1308.2,1336.6,206123,2729.55,9689,113108.0,54.87
11-06-2026 00:00,1313.1,1313.1,1297.0,1303.7,211581,2758.57,14881,125700.0,59.41
10-06-2026 00:00,1321.7,1324.7,1311.0,1316.2,253241,3337.47,20589,137288.0,54.21
09-06-2026 00:00,1322.1,1330.4,1311.1,1324.7,150356,1984.81,12662,88583.0,58.92
08-06-2026 00:00,1320.0,1335.7,1312.2,1319.7,211383,2792.15,16810,153647.0,72.69
05-06-2026 00:00,1365.0,1373.6,1323.0,1329.8,433023,5778.1,19765,294067.0,67.91
04-06-2026 00:00,1347.0,1356.4,1342.9,1350.8,163492,2207.61,7634,113564.0,69.46
03-06-2026 00:00,1377.9,1377.9,1346.0,1350.9,142891,1930.94,9512,75375.0,52.75
02-06-2026 00:00,1363.7,1374.4,1342.3,1369.9,138561,1881.07,10816,54994.0,39.69
01-06-2026 00:00,1404.3,1409.0,1354.2,1360.0,161855,2226.53,16562,78074.0,48.24
