datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,231.29,232.49,228.65,229.27,18735720,43218.81,86683,6256885.0,33.4
24-06-2026 00:00,230.55,233.92,228.63,229.76,16821729,38754.63,82967,5500578.0,32.7
23-06-2026 00:00,234.1,235.5,226.14,231.39,27392120,63262.39,130727,8937305.0,32.63
22-06-2026 00:00,231.5,234.4,229.03,233.78,19943922,46262.53,101285,6443458.0,32.31
19-06-2026 00:00,231.71,234.23,227.81,231.76,46115820,106879.93,151599,18339627.0,39.77
18-06-2026 00:00,220.4,232.2,219.4,230.57,49545386,112134.89,207171,15841682.0,31.97
17-06-2026 00:00,222.6,222.6,219.72,220.4,20834476,45942.67,90466,10841172.0,52.03
16-06-2026 00:00,221.9,224.8,218.61,222.6,29486320,65394.79,116937,13564813.0,46.0
15-06-2026 00:00,226.95,227.0,220.0,220.52,26726675,59415.61,149463,10146914.0,37.97
12-06-2026 00:00,218.44,223.89,216.43,223.07,27825184,61252.4,122681,8709823.0,31.3
11-06-2026 00:00,219.24,222.34,214.8,215.51,30938415,67605.77,137497,8768527.0,28.34
10-06-2026 00:00,227.3,227.3,220.05,220.58,21659105,48387.82,111901,6802193.0,31.41
09-06-2026 00:00,229.77,229.88,224.0,226.14,26466973,60030.63,123460,8842219.0,33.41
08-06-2026 00:00,230.97,234.35,224.02,225.85,34194584,78757.79,158836,12112945.0,35.42
05-06-2026 00:00,231.68,236.25,230.1,232.6,30846795,72006.62,160049,8453832.0,27.41
04-06-2026 00:00,230.5,235.65,229.15,230.03,23485301,54522.09,121588,7484100.0,31.87
03-06-2026 00:00,237.0,237.15,229.43,232.52,22600806,52557.05,113130,4480593.0,19.82
02-06-2026 00:00,230.0,236.67,227.41,235.93,40494771,94090.98,183580,9285375.0,22.93
01-06-2026 00:00,245.0,245.69,231.75,232.3,46168552,109277.99,197803,16225432.0,35.14
29-05-2026 00:00,250.9,254.2,242.19,243.37,71856898,177342.56,268716,29343442.0,40.84
27-05-2026 00:00,247.6,252.65,245.5,248.91,85859567,213642.56,332476,18195235.0,21.19
26-05-2026 00:00,234.25,245.7,233.77,244.53,91664035,221434.89,357384,16384307.0,17.87
25-05-2026 00:00,221.0,234.6,220.31,233.38,73847208,169310.66,294237,24563973.0,33.26
22-05-2026 00:00,220.5,222.47,219.0,219.32,17090471,37695.36,99852,5278940.0,30.89
21-05-2026 00:00,222.3,226.4,218.5,219.33,34984894,77929.72,173433,9001930.0,25.73
20-05-2026 00:00,218.9,220.6,216.19,220.24,22506946,49292.33,121080,5250576.0,23.33
19-05-2026 00:00,223.8,225.0,218.3,219.09,35941457,79169.27,192767,9582277.0,26.66
18-05-2026 00:00,221.0,223.5,218.03,219.3,30197883,66494.79,158727,7725742.0,25.58
15-05-2026 00:00,229.0,229.0,213.78,221.33,60020608,132577.04,250655,9528244.0,15.87
14-05-2026 00:00,216.4,225.7,215.87,224.49,41896940,93136.25,203586,10341886.0,24.68
13-05-2026 00:00,209.0,217.95,208.9,213.87,49608338,106117.18,196746,18494277.0,37.28
12-05-2026 00:00,222.77,224.63,208.03,209.63,46023863,98342.98,237949,16921818.0,36.77
11-05-2026 00:00,224.5,224.68,217.8,222.03,30556141,67660.95,160768,8028908.0,26.28
08-05-2026 00:00,231.0,231.43,224.03,225.33,27156296,61845.56,138191,9115670.0,33.57
07-05-2026 00:00,230.0,233.47,229.5,230.19,37064595,85767.53,168130,13759658.0,37.12
06-05-2026 00:00,232.39,232.39,224.24,229.12,45243061,102956.19,188083,10693207.0,23.64
05-05-2026 00:00,227.97,234.4,227.3,229.96,43045308,99337.55,190420,10807267.0,25.11
04-05-2026 00:00,223.0,234.0,221.9,227.3,67200729,153199.07,274215,14874541.0,22.13
30-04-2026 00:00,216.9,223.5,214.24,221.85,67584204,148119.41,270799,15590394.0,23.07
29-04-2026 00:00,225.0,226.24,215.35,219.28,51932086,115388.92,193275,17947702.0,34.56
28-04-2026 00:00,219.5,224.66,219.29,223.35,46710708,103746.35,189721,10903789.0,23.34
27-04-2026 00:00,214.6,222.16,214.6,218.05,57532309,125969.27,235158,12784853.0,22.22
24-04-2026 00:00,215.44,216.87,207.0,212.9,61885765,130944.07,235157,15612540.0,25.23
23-04-2026 00:00,216.0,217.25,212.53,214.18,58947381,126914.36,224755,13425995.0,22.78
22-04-2026 00:00,203.99,216.5,203.3,215.65,117165796,248433.56,430243,28668094.0,24.47
21-04-2026 00:00,203.3,207.3,201.87,202.98,57973716,118329.35,204860,14709222.0,25.37
20-04-2026 00:00,198.5,207.5,197.41,200.83,81881887,166565.29,337495,16226761.0,19.82
17-04-2026 00:00,196.45,200.0,190.66,198.5,95051761,186141.61,297128,25508938.0,26.84
16-04-2026 00:00,184.0,194.37,183.27,193.19,69751834,131839.67,238218,19766539.0,28.34
15-04-2026 00:00,185.27,187.07,181.55,183.43,51497511,94971.46,182422,13983348.0,27.15
13-04-2026 00:00,172.0,184.4,170.36,181.35,91406261,165049.22,302555,24000031.0,26.26
10-04-2026 00:00,173.6,178.1,172.11,175.81,51959590,91245.65,183985,14059772.0,27.06
09-04-2026 00:00,168.95,173.5,167.55,172.33,42258124,72095.07,151549,13190975.0,31.22
08-04-2026 00:00,168.0,174.35,166.21,169.31,66318120,112495.83,228408,18641490.0,28.11
07-04-2026 00:00,163.0,165.66,161.6,163.36,34671421,56997.82,121980,14198819.0,40.95
06-04-2026 00:00,162.0,165.1,161.05,163.26,127464037,207824.09,231739,83623385.0,65.61
02-04-2026 00:00,154.5,160.35,150.62,159.97,59833120,93772.18,157261,25408555.0,42.47
01-04-2026 00:00,155.0,158.15,153.44,157.11,48215780,75125.53,139898,21665502.0,44.93
30-03-2026 00:00,152.1,156.45,149.2,150.43,21100984,32180.23,119711,8399358.0,39.81
27-03-2026 00:00,153.5,155.28,151.56,153.92,23958053,36851.25,150518,9343620.0,39.0
25-03-2026 00:00,152.9,158.2,152.2,153.65,33813515,52371.55,140853,11834789.0,35.0
24-03-2026 00:00,151.0,153.9,147.35,150.11,21762199,32791.61,107310,6427422.0,29.53
23-03-2026 00:00,151.54,152.87,144.65,147.85,25968931,38344.95,157894,9498677.0,36.58
20-03-2026 00:00,152.0,157.2,150.52,151.54,44265976,68342.98,152725,17326123.0,39.14
19-03-2026 00:00,151.0,155.49,150.15,151.01,17635762,26870.27,92228,5924755.0,33.6
18-03-2026 00:00,156.0,156.5,151.3,154.07,28773212,44291.64,136496,8327708.0,28.94
17-03-2026 00:00,156.0,157.44,153.61,155.6,41644726,64829.82,193405,12733979.0,30.58
16-03-2026 00:00,149.9,155.0,146.4,154.06,90227164,136864.87,377832,25031318.0,27.74
13-03-2026 00:00,151.0,153.9,145.3,146.57,54479845,81477.35,288159,12057477.0,22.13
12-03-2026 00:00,138.84,151.98,137.51,149.11,81276272,119112.1,385532,16004034.0,19.69
11-03-2026 00:00,139.2,142.09,138.68,138.85,15328343,21462.42,84169,6714111.0,43.8
10-03-2026 00:00,141.5,141.5,138.61,138.94,15123909,21052.95,92697,8838687.0,58.44
09-03-2026 00:00,136.5,139.83,134.86,139.11,12009431,16605.42,138259,5042651.0,41.99
06-03-2026 00:00,139.6,142.59,138.5,138.99,11769177,16499.01,90254,5666045.0,48.14
05-03-2026 00:00,139.0,140.55,138.11,140.11,8274419,11517.53,112120,4192770.0,50.67
04-03-2026 00:00,135.0,139.3,134.41,137.82,16666324,22821.57,196413,7659637.0,45.96
02-03-2026 00:00,133.0,138.68,130.7,137.97,26699798,36442.91,209725,9510242.0,35.62
27-02-2026 00:00,141.0,141.66,139.8,140.11,8054854,11320.34,54241,4364312.0,54.18
26-02-2026 00:00,141.0,142.0,140.5,141.34,6526437,9212.63,49566,2555507.0,39.16
25-02-2026 00:00,144.7,145.6,139.81,140.54,17864508,25405.93,87070,8839253.0,49.48
24-02-2026 00:00,143.5,144.72,142.24,144.31,8248526,11833.35,56599,3257848.0,39.5
23-02-2026 00:00,145.15,145.69,142.7,144.05,9098843,13100.84,72073,3309648.0,36.37
20-02-2026 00:00,140.45,144.33,139.7,142.7,11915213,16980.28,75196,3889957.0,32.65
19-02-2026 00:00,145.7,146.43,140.0,140.45,14048153,20011.64,78798,5387640.0,38.35
18-02-2026 00:00,144.5,145.25,142.2,144.49,10122491,14539.85,53454,3866138.0,38.19
17-02-2026 00:00,142.54,145.0,141.58,144.35,11021261,15854.75,66031,3484044.0,31.61
16-02-2026 00:00,140.5,143.65,139.01,142.77,17314552,24604.56,104873,3561234.0,20.57
13-02-2026 00:00,149.2,149.3,139.1,139.9,38679559,54806.41,176592,14983242.0,38.74
12-02-2026 00:00,150.47,150.75,148.75,149.79,8553724,12797.75,53916,3056106.0,35.73
11-02-2026 00:00,149.59,151.33,147.8,150.91,10695646,16022.96,60559,3830074.0,35.81
10-02-2026 00:00,152.0,152.0,147.81,149.05,17009549,25384.28,89932,6287054.0,36.96
09-02-2026 00:00,154.0,154.85,150.6,151.37,13739514,20938.17,81375,5473531.0,39.84
06-02-2026 00:00,152.0,154.11,150.0,152.74,17334858,26459.99,81508,6084741.0,35.1
05-02-2026 00:00,155.29,156.9,151.1,153.45,26958184,41294.83,123395,6808426.0,25.26
04-02-2026 00:00,145.0,156.09,143.0,155.29,78428934,119567.3,334391,25841380.0,32.95
03-02-2026 00:00,145.0,149.04,140.6,143.62,54947535,79479.21,240251,14896223.0,27.11
02-02-2026 00:00,133.48,135.0,130.63,134.6,10586714,14090.74,165127,4436008.0,41.9
01-02-2026 00:00,136.5,139.86,131.95,132.85,10156494,13680.26,99024,4093670.0,40.31
30-01-2026 00:00,133.0,136.5,131.91,135.38,15157606,20366.68,104743,7055423.0,46.55
29-01-2026 00:00,135.5,136.49,132.64,133.88,26866171,36127.46,149371,9165972.0,34.12
28-01-2026 00:00,135.14,135.9,133.6,134.72,14843718,19932.37,111332,6650999.0,44.81
27-01-2026 00:00,135.0,137.5,132.96,134.5,24095155,32587.87,160084,6153360.0,25.54
23-01-2026 00:00,141.0,142.9,128.1,132.96,52434571,70374.43,298618,16965781.0,32.36
22-01-2026 00:00,139.89,141.55,139.0,140.92,10758034,15092.86,81694,5132731.0,47.71
21-01-2026 00:00,137.5,139.64,134.8,137.63,19416781,26677.97,100326,7358898.0,37.9
20-01-2026 00:00,141.5,142.4,136.5,137.48,15689961,21863.9,93689,7096952.0,45.23
19-01-2026 00:00,141.8,142.4,139.95,140.56,8355757,11792.98,51435,4631976.0,55.43
16-01-2026 00:00,142.6,144.5,141.5,142.63,8651198,12381.7,62529,3680287.0,42.54
14-01-2026 00:00,143.0,143.37,141.61,142.77,7290553,10396.16,49839,3216877.0,44.12
13-01-2026 00:00,143.0,144.06,142.01,143.38,7267061,10389.97,61442,3020625.0,41.57
12-01-2026 00:00,141.65,143.36,139.53,142.54,10353052,14636.08,64622,3414719.0,32.98
09-01-2026 00:00,143.2,143.99,140.54,141.68,11323782,16093.11,76366,5089499.0,44.95
08-01-2026 00:00,146.37,147.55,142.1,142.89,9862895,14284.51,70091,3702005.0,37.53
07-01-2026 00:00,147.55,148.4,145.8,146.37,7285671,10681.63,46776,2899940.0,39.8
06-01-2026 00:00,147.5,149.17,146.8,147.55,14511973,21463.09,72530,5816635.0,40.08
05-01-2026 00:00,148.0,148.4,144.46,146.2,15844789,23157.51,86644,5335820.0,33.68
02-01-2026 00:00,149.0,149.9,147.3,148.17,14413809,21398.16,72799,4872801.0,33.81
01-01-2026 00:00,143.25,153.16,142.8,148.76,64003449,95837.4,272788,10595516.0,16.55
31-12-2025 00:00,144.55,144.65,142.5,142.99,8469921,12157.15,54290,3916748.0,46.24
30-12-2025 00:00,140.43,145.23,139.68,144.65,15926892,22824.5,94280,8191626.0,51.43
29-12-2025 00:00,142.19,142.49,140.0,140.44,7527164,10588.97,60699,3931884.0,52.24
26-12-2025 00:00,143.15,144.37,141.9,142.19,7682604,10981.05,59160,3154313.0,41.06
24-12-2025 00:00,144.7,144.7,142.67,143.16,7905799,11327.45,66080,4082571.0,51.64
23-12-2025 00:00,143.8,144.6,142.32,144.3,7437606,10680.17,66523,3292339.0,44.27
22-12-2025 00:00,141.77,143.7,141.77,143.25,9612058,13755.27,73970,4899678.0,50.97
19-12-2025 00:00,141.5,142.2,140.68,141.76,7869675,11145.22,54125,4234315.0,53.81
18-12-2025 00:00,143.0,143.0,140.7,141.3,6848190,9694.79,48906,2979390.0,43.51
17-12-2025 00:00,145.4,145.45,142.05,143.0,9798422,14023.99,66537,3567974.0,36.41
16-12-2025 00:00,144.75,145.8,143.94,145.33,12127744,17582.93,67065,4269197.0,35.2
15-12-2025 00:00,144.49,145.45,142.29,144.38,8949057,12908.72,64889,2930306.0,32.74
12-12-2025 00:00,141.39,145.0,141.39,144.49,13450435,19263.29,67956,4887179.0,36.33
11-12-2025 00:00,141.0,142.1,139.25,140.58,10479243,14755.04,58959,3667245.0,35.0
10-12-2025 00:00,142.2,143.5,140.7,141.18,7793397,11067.33,59844,2546132.0,32.67
09-12-2025 00:00,139.04,142.85,135.0,141.8,20828393,28990.44,112290,7209515.0,34.61
08-12-2025 00:00,144.25,145.16,138.21,139.04,14985881,21035.68,109678,6080988.0,40.58
05-12-2025 00:00,143.0,144.2,142.37,143.78,7231083,10361.16,49443,2596648.0,35.91
04-12-2025 00:00,145.0,146.84,142.31,142.73,11150119,16076.61,68936,5080619.0,45.57
03-12-2025 00:00,146.9,147.68,144.54,144.97,10331583,15086.57,67441,4732658.0,45.81
02-12-2025 00:00,147.3,148.18,146.05,146.76,6392786,9395.97,47833,2642054.0,41.33
01-12-2025 00:00,148.21,148.82,147.01,147.34,7759359,11474.67,55895,2947204.0,37.98
28-11-2025 00:00,148.55,149.09,147.2,147.49,10052836,14879.45,64492,4134675.0,41.13
27-11-2025 00:00,149.15,150.64,147.4,148.13,19409495,28958.38,75101,8981174.0,46.27
26-11-2025 00:00,147.2,148.9,146.35,148.62,10550909,15595.16,72339,3647779.0,34.57
25-11-2025 00:00,145.44,148.26,145.12,146.84,10803663,15858.96,64520,3201513.0,29.63
24-11-2025 00:00,150.0,150.3,144.8,145.44,13878210,20416.5,101310,6475198.0,46.66
21-11-2025 00:00,151.0,151.19,148.9,149.12,9642165,14430.92,64597,4160265.0,43.15
20-11-2025 00:00,152.29,153.4,151.0,151.46,11439592,17426.25,65811,4059426.0,35.49
19-11-2025 00:00,150.3,152.66,150.09,151.61,21355345,32392.76,106816,5823044.0,27.27
18-11-2025 00:00,153.15,153.88,149.12,149.55,22500220,33969.7,97403,10112594.0,44.94
17-11-2025 00:00,155.35,155.35,153.0,153.28,15162500,23307.38,80280,5802709.0,38.27
14-11-2025 00:00,152.46,155.99,152.2,153.91,26821173,41397.01,116003,6614156.0,24.66
13-11-2025 00:00,151.98,154.2,151.5,151.85,20557325,31423.83,95349,6706456.0,32.62
12-11-2025 00:00,152.0,153.78,150.66,151.98,27328382,41632.54,118594,7668391.0,28.06
11-11-2025 00:00,151.49,151.9,146.71,151.17,42377702,63322.05,152197,8154795.0,19.24
10-11-2025 00:00,152.75,154.48,149.5,150.06,19497818,29638.38,110926,7056919.0,36.19
07-11-2025 00:00,152.99,154.79,150.85,151.48,36644118,55988.71,134261,13206681.0,36.04
06-11-2025 00:00,158.36,158.38,152.33,153.17,24262835,37498.95,135294,9283812.0,38.26
04-11-2025 00:00,156.0,159.5,153.21,158.39,41404679,64996.99,176051,11685990.0,28.22
03-11-2025 00:00,158.99,158.99,156.1,156.73,22320044,35214.07,120150,9023525.0,40.43
31-10-2025 00:00,161.6,161.74,157.5,157.85,44708746,71039.32,204048,17068436.0,38.18
30-10-2025 00:00,163.7,164.7,160.2,162.57,64990603,105448.78,208991,18745702.0,28.84
29-10-2025 00:00,163.0,163.0,163.0,162.1,1,0.0,1,1.0,100.0
28-10-2025 00:00,163.7,164.22,161.1,162.33,29992980,48796.14,142696,9554428.0,31.86
27-10-2025 00:00,168.5,169.77,162.0,162.96,51617783,85342.87,218635,16400644.0,31.77
24-10-2025 00:00,164.45,169.18,164.0,167.72,44515519,74608.64,183806,8704330.0,19.55
23-10-2025 00:00,171.05,172.36,164.25,165.26,55330926,92879.11,223905,16548854.0,29.91
21-10-2025 00:00,171.5,174.39,168.0,170.78,26425161,45477.27,152776,8243436.0,31.2
20-10-2025 00:00,168.05,172.2,166.7,170.3,107477254,182618.46,407457,23040264.0,21.44
17-10-2025 00:00,157.26,168.0,156.77,165.98,170754425,281125.81,594141,36342413.0,21.28
16-10-2025 00:00,158.1,158.69,155.5,157.37,111085386,173750.54,141717,65836214.0,59.27
15-10-2025 00:00,154.85,158.0,150.43,157.51,64552739,100096.2,222389,17537412.0,27.17
14-10-2025 00:00,155.01,157.5,152.8,154.9,52873531,82053.89,211374,14469880.0,27.37
13-10-2025 00:00,148.0,155.75,147.52,154.43,64933221,99244.28,234908,19510750.0,30.05
10-10-2025 00:00,149.1,150.79,147.84,149.7,23705398,35356.53,91494,6640375.0,28.01
09-10-2025 00:00,149.4,149.98,147.44,148.91,26066621,38743.9,95074,7427349.0,28.49
08-10-2025 00:00,151.7,152.5,148.42,148.78,45821449,68751.95,172578,17411065.0,38.0
07-10-2025 00:00,151.99,155.4,150.35,151.48,55385781,84807.21,196400,12794625.0,23.1
06-10-2025 00:00,148.0,152.99,147.38,151.99,68647669,103447.01,244098,18079180.0,26.34
03-10-2025 00:00,152.9,153.0,143.15,147.38,124141027,181383.47,286772,34532928.0,27.82
01-10-2025 00:00,144.95,153.3,144.81,152.51,63059546,94406.16,256452,16457436.0,26.1
30-09-2025 00:00,148.0,148.25,143.9,144.65,22474749,32552.55,100237,6238055.0,27.76
29-09-2025 00:00,148.7,149.6,144.2,146.65,43205955,63308.31,161371,9231234.0,21.37
26-09-2025 00:00,151.35,152.9,144.7,146.25,65042463,95624.19,237800,14017141.0,21.55
25-09-2025 00:00,145.5,153.9,145.5,149.0,158371401,237463.61,506023,27136146.0,17.13
24-09-2025 00:00,163.25,163.7,142.1,144.5,135960455,206098.95,527461,39894907.0,29.34
23-09-2025 00:00,179.9,182.7,160.25,162.35,192595137,319952.54,780922,39175642.0,20.34
22-09-2025 00:00,148.2,170.25,147.3,170.25,134757185,224985.19,454930,29456802.0,21.86
19-09-2025 00:00,676.0,723.0,665.35,709.4,86324006,603066.22,879108,14146055.0,16.39
18-09-2025 00:00,633.45,635.3,626.0,631.35,3975262,25068.18,87933,1917020.0,48.22
17-09-2025 00:00,639.9,640.25,628.6,630.5,4177593,26381.47,66752,2039752.0,48.83
16-09-2025 00:00,647.0,648.3,635.8,637.35,4544645,29096.66,64940,2025019.0,44.56
15-09-2025 00:00,656.5,666.8,640.4,644.15,7780731,50934.87,121088,2260377.0,29.05
12-09-2025 00:00,628.0,650.5,627.8,648.55,9281587,59619.89,113193,2853988.0,30.75
11-09-2025 00:00,638.5,653.0,600.0,624.65,59602183,365173.41,246227,38962490.0,65.37
10-09-2025 00:00,647.0,658.55,632.5,634.45,6355659,41227.67,84829,2031890.0,31.97
09-09-2025 00:00,638.0,648.0,635.85,643.65,5547306,35672.0,77313,1775101.0,32.0
08-09-2025 00:00,617.0,649.6,614.05,633.85,16947857,108113.79,220052,4822747.0,28.46
05-09-2025 00:00,607.95,614.4,602.0,609.7,1994479,12126.87,35387,664650.0,33.32
04-09-2025 00:00,613.0,615.6,606.55,608.7,1819617,11110.29,31538,756419.0,41.57
03-09-2025 00:00,611.0,616.0,604.7,609.3,3070468,18714.75,44479,1044222.0,34.01
02-09-2025 00:00,611.7,611.7,601.5,608.35,2150899,13049.63,35119,905519.0,42.1
01-09-2025 00:00,605.9,615.0,603.2,606.85,3328357,20242.32,55730,1088162.0,32.69
29-08-2025 00:00,598.4,603.2,583.5,600.65,3619098,21481.45,60782,1698265.0,46.93
28-08-2025 00:00,590.0,606.9,585.2,594.95,2803843,16763.5,67639,822983.0,29.35
26-08-2025 00:00,604.9,605.0,590.0,592.1,2259169,13472.66,37400,1115673.0,49.38
25-08-2025 00:00,595.15,608.0,590.1,605.65,2687589,16143.02,51965,1392021.0,51.79
22-08-2025 00:00,597.0,602.95,592.0,594.3,1276557,7607.35,23946,454693.0,35.62
21-08-2025 00:00,600.9,604.0,595.25,596.2,994335,5948.04,18177,418944.0,42.13
20-08-2025 00:00,603.95,607.35,595.1,599.95,1401803,8439.1,25219,600472.0,42.84
19-08-2025 00:00,599.0,608.0,596.3,606.0,2817641,17012.77,53125,1109935.0,39.39
18-08-2025 00:00,590.1,601.5,586.5,598.75,3212796,19177.75,49772,1608143.0,50.05
14-08-2025 00:00,586.9,589.45,581.1,584.05,961767,5619.37,22786,405429.0,42.15
13-08-2025 00:00,594.8,594.8,583.5,585.6,1804693,10629.03,37650,818292.0,45.34
12-08-2025 00:00,595.25,598.4,589.2,591.5,2282587,13542.54,41769,897374.0,39.31
11-08-2025 00:00,576.9,599.0,571.2,593.9,3030490,17730.78,48677,1458553.0,48.13
08-08-2025 00:00,582.0,583.3,574.0,576.9,2568412,14869.93,50901,1005643.0,39.15
07-08-2025 00:00,561.1,582.0,552.25,578.95,7148701,40551.48,119610,3056638.0,42.76
06-08-2025 00:00,579.95,581.95,565.6,567.45,1520912,8693.54,35698,598689.0,39.36
05-08-2025 00:00,584.0,584.1,575.8,579.5,1519871,8800.76,30825,456268.0,30.02
04-08-2025 00:00,567.0,587.7,564.15,584.0,2735010,15768.13,48062,907034.0,33.16
01-08-2025 00:00,588.0,592.95,564.0,567.0,6214960,36001.82,98549,1366290.0,21.98
31-07-2025 00:00,580.0,591.9,577.3,588.1,2546236,14908.71,42226,990141.0,38.89
30-07-2025 00:00,594.0,602.3,587.1,589.7,2911869,17263.26,40328,921279.0,31.64
29-07-2025 00:00,570.0,594.7,566.3,592.55,5170536,30198.92,70448,1147357.0,22.19
28-07-2025 00:00,569.8,576.95,561.0,570.65,2682244,15295.99,38154,1091036.0,40.68
25-07-2025 00:00,583.9,584.4,568.0,570.0,2300573,13238.89,43405,1086388.0,47.22
24-07-2025 00:00,590.8,592.9,583.3,585.75,1631109,9571.86,29508,662871.0,40.64
23-07-2025 00:00,592.8,596.2,587.15,588.95,1920037,11336.42,31568,714564.0,37.22
22-07-2025 00:00,599.1,601.45,587.0,590.55,2078991,12340.58,30994,1040778.0,50.06
21-07-2025 00:00,596.0,603.5,591.1,596.6,2043900,12190.83,35278,621891.0,30.43
18-07-2025 00:00,598.6,599.4,588.45,594.65,3104464,18435.94,47489,1122967.0,36.17
17-07-2025 00:00,607.45,608.65,597.5,598.65,3515846,21191.82,46645,1197905.0,34.07
16-07-2025 00:00,609.9,614.3,603.0,604.85,3709911,22561.31,51512,1247364.0,33.62
15-07-2025 00:00,612.9,616.0,605.7,608.1,3884403,23704.97,53990,1364018.0,35.12
14-07-2025 00:00,604.1,619.3,602.25,609.55,7403596,45253.18,85309,1986218.0,26.83
