datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,429.9,434.3,422.55,423.75,3173028,13538.89,32720,1438103.0,45.32
24-06-2026 00:00,416.0,428.0,415.15,426.85,4347023,18450.34,44248,1836541.0,42.25
23-06-2026 00:00,428.95,429.4,414.0,414.85,3043505,12757.68,45794,1643922.0,54.01
22-06-2026 00:00,426.15,429.0,422.6,428.0,3536363,15071.69,44809,2010494.0,56.85
19-06-2026 00:00,429.95,433.0,421.8,423.95,2145518,9143.54,28471,1083445.0,50.5
18-06-2026 00:00,428.0,433.85,423.2,430.0,3210633,13715.85,38529,1677624.0,52.25
17-06-2026 00:00,427.95,428.25,422.5,426.45,2960337,12588.03,27629,1736015.0,58.64
16-06-2026 00:00,431.6,431.6,424.1,426.05,2106091,8982.97,27211,1055402.0,50.11
15-06-2026 00:00,431.4,435.9,427.0,428.85,3311686,14285.27,29382,1861169.0,56.2
12-06-2026 00:00,412.25,426.05,408.7,423.1,2885819,12007.92,35920,1195337.0,41.42
11-06-2026 00:00,407.55,410.15,404.8,406.05,1605560,6534.97,29453,645160.0,40.18
10-06-2026 00:00,416.0,417.65,408.25,409.8,2195127,9085.48,38717,1072285.0,48.85
09-06-2026 00:00,416.5,417.75,412.6,416.0,1816420,7547.86,30793,814670.0,44.85
08-06-2026 00:00,415.2,422.75,411.1,415.3,3402602,14169.36,42469,1544978.0,45.41
05-06-2026 00:00,430.0,430.45,415.0,417.55,7371968,31055.39,77112,4585168.0,62.2
04-06-2026 00:00,425.9,429.8,423.65,426.35,2808700,11999.84,33915,1665970.0,59.31
03-06-2026 00:00,438.2,440.5,424.0,426.95,8611792,36841.79,118454,5468507.0,63.5
02-06-2026 00:00,432.0,441.6,429.65,439.35,4263528,18589.13,44107,2322650.0,54.48
01-06-2026 00:00,448.6,452.0,433.1,434.9,2903380,12800.76,29354,1740676.0,59.95
29-05-2026 00:00,460.95,461.95,445.45,447.85,3804649,17154.23,31772,2147174.0,56.44
27-05-2026 00:00,450.0,462.0,449.7,459.75,4281809,19613.52,46382,2040802.0,47.66
26-05-2026 00:00,442.05,455.95,440.6,449.7,4449009,19998.22,43718,1504993.0,33.83
25-05-2026 00:00,437.1,444.65,437.1,441.95,3029764,13372.42,30219,1338577.0,44.18
22-05-2026 00:00,438.6,441.0,435.1,436.35,2717748,11894.55,27732,1242780.0,45.73
21-05-2026 00:00,435.0,438.0,430.95,436.45,2915980,12680.85,23570,1258222.0,43.15
20-05-2026 00:00,428.2,431.6,425.15,430.25,1976324,8467.74,29219,813098.0,41.14
19-05-2026 00:00,430.5,434.6,428.8,431.7,1856159,8028.37,27467,844792.0,45.51
18-05-2026 00:00,430.0,431.7,421.1,430.15,2003511,8551.45,32530,637238.0,31.81
15-05-2026 00:00,449.0,451.55,431.4,433.75,2812091,12348.71,28657,1076040.0,38.26
14-05-2026 00:00,438.9,447.15,433.25,443.9,3486802,15438.61,33305,1644791.0,47.17
13-05-2026 00:00,428.15,441.15,425.4,438.4,3622406,15706.21,34939,1419013.0,39.17
12-05-2026 00:00,434.9,442.0,425.2,426.95,3306821,14291.44,39810,1541058.0,46.6
11-05-2026 00:00,441.75,441.75,432.4,436.2,4019675,17601.39,41538,1741507.0,43.32
08-05-2026 00:00,449.0,457.95,442.5,444.3,5045246,22733.55,54845,2271788.0,45.03
07-05-2026 00:00,446.5,454.2,445.1,450.65,4351743,19596.25,48724,2281051.0,52.42
06-05-2026 00:00,438.55,449.6,435.8,446.9,5333664,23616.1,70727,1981419.0,37.15
05-05-2026 00:00,439.0,441.1,431.5,433.1,8250228,35913.69,126273,3295357.0,39.94
04-05-2026 00:00,446.0,460.75,438.05,445.3,12403895,55593.2,140734,2663303.0,21.47
30-04-2026 00:00,450.2,450.2,440.1,444.2,3322936,14763.29,50806,1789165.0,53.84
29-04-2026 00:00,463.7,465.5,453.0,454.6,1778884,8171.41,30309,709634.0,39.89
28-04-2026 00:00,462.85,465.0,456.0,458.8,1789522,8236.09,28531,607560.0,33.95
27-04-2026 00:00,453.5,468.8,453.45,460.5,3444150,15892.31,41696,1328338.0,38.57
24-04-2026 00:00,451.0,457.7,440.4,451.2,3729295,16714.61,37460,1679231.0,45.03
23-04-2026 00:00,457.95,457.95,449.0,450.4,2393788,10838.02,35866,1028870.0,42.98
22-04-2026 00:00,453.5,463.65,451.0,460.9,1475937,6776.72,24303,514608.0,34.87
21-04-2026 00:00,455.95,460.0,453.55,456.25,1471622,6731.56,37128,624276.0,42.42
20-04-2026 00:00,459.0,464.0,453.0,454.9,1733571,7947.47,30272,665074.0,38.36
17-04-2026 00:00,459.2,461.95,456.1,459.0,1899655,8728.03,23677,965498.0,50.82
