datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,341.5,344.75,334.7,335.25,3444464,11642.32,36936,1271166.0,36.9
24-06-2026 00:00,342.0,344.0,335.75,340.65,4035048,13765.2,53771,1510491.0,37.43
23-06-2026 00:00,354.8,355.5,339.05,342.1,8493464,29278.91,75370,4082982.0,48.07
22-06-2026 00:00,354.9,356.2,350.5,354.8,3096581,10946.5,33119,1003014.0,32.39
19-06-2026 00:00,355.0,360.45,349.65,353.7,9378921,33316.42,70724,2603997.0,27.76
18-06-2026 00:00,350.0,356.8,347.55,352.8,9021106,31761.59,87425,2868905.0,31.8
17-06-2026 00:00,349.95,351.5,343.75,348.7,5718044,19888.84,76884,1974259.0,34.53
16-06-2026 00:00,353.0,353.45,342.9,348.25,6190114,21493.21,68371,2360943.0,38.14
15-06-2026 00:00,344.0,356.15,342.85,352.3,14953832,52572.49,195798,6061274.0,40.53
12-06-2026 00:00,329.0,340.3,325.05,339.5,7318502,24436.24,66565,2928926.0,40.02
11-06-2026 00:00,328.0,334.85,321.65,323.75,3670471,12037.82,38340,890059.0,24.25
10-06-2026 00:00,339.9,340.0,328.4,329.85,4260935,14240.51,32903,1718723.0,40.34
09-06-2026 00:00,327.9,339.2,326.75,337.55,3829623,12734.71,31633,1260611.0,32.92
08-06-2026 00:00,325.9,334.9,323.0,325.7,3744837,12341.69,37452,1036391.0,27.68
05-06-2026 00:00,337.7,342.4,319.5,332.6,13273649,43982.94,97183,3425157.0,25.8
04-06-2026 00:00,334.0,343.55,334.0,337.7,6699518,22724.44,53810,1872252.0,27.95
03-06-2026 00:00,343.0,343.35,327.6,334.75,6426900,21446.9,57225,1504556.0,23.41
02-06-2026 00:00,334.6,344.75,331.9,342.65,6132413,20873.86,54130,1906148.0,31.08
01-06-2026 00:00,341.0,345.55,334.05,335.6,6444968,21931.53,65843,1931273.0,29.97
29-05-2026 00:00,338.45,344.0,335.3,337.3,5635640,19160.08,56792,1651794.0,29.31
27-05-2026 00:00,345.0,350.25,335.05,336.95,6777475,23204.86,62987,2472597.0,36.48
26-05-2026 00:00,347.0,351.0,343.0,344.45,6678864,23136.5,67673,2392207.0,35.82
25-05-2026 00:00,342.0,348.7,342.0,346.45,8423076,29136.01,99254,3078461.0,36.55
22-05-2026 00:00,341.95,345.65,335.65,339.35,10307977,35110.48,77617,2222448.0,21.56
21-05-2026 00:00,327.8,343.3,327.0,339.65,25211127,85451.43,200024,6348502.0,25.18
20-05-2026 00:00,326.4,328.55,321.25,325.0,6591462,21382.7,56678,1260417.0,19.12
19-05-2026 00:00,303.95,330.0,303.9,328.0,20805019,67073.57,167954,6590002.0,31.68
