datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,426.0,439.4,424.15,430.65,1815374,7870.02,42891,719042.0,39.61
24-06-2026 00:00,422.95,428.9,418.4,421.8,514483,2176.27,18448,205159.0,39.88
23-06-2026 00:00,428.75,428.75,421.25,423.5,577138,2449.58,13915,268482.0,46.52
22-06-2026 00:00,425.5,434.0,423.9,428.15,1120243,4817.11,27463,320717.0,28.63
19-06-2026 00:00,426.9,429.25,420.8,425.5,716052,3048.84,17378,312348.0,43.62
18-06-2026 00:00,430.5,431.85,423.0,428.0,930192,3970.62,20276,304842.0,32.77
17-06-2026 00:00,424.0,443.9,421.15,429.6,6404212,27759.54,109461,2416293.0,37.73
16-06-2026 00:00,416.2,420.4,411.1,416.45,1238586,5160.81,21716,662453.0,53.48
15-06-2026 00:00,407.35,415.9,405.2,414.35,2449234,10097.89,50791,1033283.0,42.19
12-06-2026 00:00,388.0,397.35,386.0,396.3,1147185,4492.24,26403,543671.0,47.39
11-06-2026 00:00,383.95,383.95,378.05,380.3,393802,1499.23,14371,141817.0,36.01
10-06-2026 00:00,392.5,392.5,384.35,385.85,317467,1233.82,10504,148718.0,46.85
09-06-2026 00:00,388.65,392.2,385.35,391.35,309451,1203.09,9812,128140.0,41.41
08-06-2026 00:00,393.75,393.75,384.0,384.85,401969,1560.05,16669,189166.0,47.06
05-06-2026 00:00,398.75,399.0,395.05,396.8,388734,1542.81,14576,187340.0,48.19
04-06-2026 00:00,389.3,398.3,387.95,395.75,943323,3721.28,20992,362749.0,38.45
03-06-2026 00:00,391.3,394.9,387.95,391.15,541725,2120.07,12881,216254.0,39.92
02-06-2026 00:00,385.45,396.0,379.8,391.75,1479954,5750.15,25574,792838.0,53.57
01-06-2026 00:00,395.15,398.65,383.8,385.3,977726,3819.58,34146,473944.0,48.47
29-05-2026 00:00,401.5,406.0,392.0,394.5,1172571,4672.11,30177,610850.0,52.09
27-05-2026 00:00,396.25,400.75,392.45,399.75,2572258,10179.94,40752,1589492.0,61.79
26-05-2026 00:00,390.0,399.2,388.1,393.25,2761966,10871.95,38825,1463887.0,53.0
25-05-2026 00:00,376.0,392.9,375.0,388.35,3668821,14152.44,57027,1394192.0,38.0
22-05-2026 00:00,374.1,374.45,368.85,371.8,850020,3158.76,21830,387117.0,45.54
21-05-2026 00:00,379.5,379.55,370.4,371.9,1347201,5028.88,31930,654430.0,48.58
20-05-2026 00:00,371.85,377.15,365.3,375.9,1629986,6077.12,48362,642474.0,39.42
19-05-2026 00:00,378.95,379.65,370.0,371.9,3739290,13933.38,78029,2222831.0,59.45
18-05-2026 00:00,393.05,394.0,374.0,375.15,2250527,8504.11,54383,942979.0,41.9
15-05-2026 00:00,421.0,428.75,392.0,394.5,9044984,36976.21,145483,2267878.0,25.07
14-05-2026 00:00,398.8,404.15,396.15,401.8,1715502,6876.43,46380,1088500.0,63.45
13-05-2026 00:00,397.65,401.2,394.6,396.45,728287,2899.01,30545,467319.0,64.17
12-05-2026 00:00,405.65,409.0,397.45,398.75,707677,2835.62,31942,450835.0,63.71
11-05-2026 00:00,408.45,409.0,401.2,405.7,915176,3709.71,44230,516309.0,56.42
08-05-2026 00:00,412.05,413.25,407.55,409.25,1177811,4825.01,33000,624716.0,53.04
07-05-2026 00:00,414.0,418.85,409.2,410.05,1874740,7729.92,60517,1056298.0,56.34
06-05-2026 00:00,405.5,418.6,403.7,412.65,2176400,8942.57,48979,1042392.0,47.9
05-05-2026 00:00,409.0,410.0,399.6,402.6,3670938,14832.82,31117,2862829.0,77.99
04-05-2026 00:00,411.25,417.85,408.0,409.45,728402,3005.26,24856,374005.0,51.35
30-04-2026 00:00,420.0,420.8,406.95,408.4,1211183,4979.43,48724,721753.0,59.59
29-04-2026 00:00,428.25,439.45,422.0,424.15,1251084,5364.89,40717,563574.0,45.05
28-04-2026 00:00,429.6,432.45,422.25,423.65,484706,2068.17,24042,232052.0,47.87
27-04-2026 00:00,426.2,430.25,424.7,428.55,501556,2145.82,23253,267524.0,53.34
24-04-2026 00:00,432.45,434.2,421.9,423.85,337070,1436.9,14907,178233.0,52.88
23-04-2026 00:00,432.0,437.45,431.2,432.45,527424,2285.4,14634,317262.0,60.15
22-04-2026 00:00,442.0,444.55,432.75,434.0,552891,2416.73,19006,290680.0,52.57
21-04-2026 00:00,443.5,445.4,441.0,441.95,620322,2746.15,23514,392136.0,63.21
20-04-2026 00:00,446.05,447.5,439.0,441.4,579772,2570.24,16174,214468.0,36.99
17-04-2026 00:00,445.0,449.25,441.4,445.4,738259,3292.78,23705,301400.0,40.83
16-04-2026 00:00,443.5,445.5,437.45,443.65,910188,4021.53,36964,478674.0,52.59
15-04-2026 00:00,436.45,444.95,435.2,441.6,1120750,4946.2,34906,614717.0,54.85
13-04-2026 00:00,432.5,435.0,426.0,432.4,669776,2890.83,23341,297729.0,44.45
10-04-2026 00:00,440.35,446.0,435.5,438.15,1052640,4619.68,50804,511632.0,48.6
09-04-2026 00:00,429.25,442.0,427.05,440.35,732691,3185.17,28457,260315.0,35.53
08-04-2026 00:00,425.05,444.0,425.0,436.1,2409572,10510.05,48741,775950.0,32.2
07-04-2026 00:00,408.5,414.6,402.2,412.85,352606,1442.73,11814,146162.0,41.45
06-04-2026 00:00,409.45,412.0,401.5,410.9,471337,1922.34,21393,155333.0,32.96
02-04-2026 00:00,413.05,413.05,402.65,409.45,438417,1783.26,15900,173656.0,39.61
01-04-2026 00:00,419.0,421.75,414.1,415.25,430083,1796.1,16231,189698.0,44.11
30-03-2026 00:00,405.1,415.0,402.25,412.3,1038467,4245.02,33876,551411.0,53.1
27-03-2026 00:00,418.95,419.15,408.0,412.45,657592,2716.21,28989,353432.0,53.75
25-03-2026 00:00,409.0,423.75,405.3,419.65,1184719,4920.24,27907,520090.0,43.9
24-03-2026 00:00,409.75,409.75,402.25,404.7,782952,3177.94,30040,385933.0,49.29
23-03-2026 00:00,418.0,418.0,397.85,399.5,590180,2378.97,24491,248923.0,42.18
20-03-2026 00:00,420.2,423.95,415.3,420.85,635724,2665.85,26431,276161.0,43.44
19-03-2026 00:00,415.0,424.75,412.75,419.45,929173,3878.07,35629,526664.0,56.68
18-03-2026 00:00,421.95,428.0,417.15,419.75,864518,3658.57,28688,454956.0,52.63
17-03-2026 00:00,412.8,424.0,408.1,421.95,1211351,5062.92,46855,699669.0,57.76
16-03-2026 00:00,401.45,414.25,392.05,412.8,1670759,6783.88,45832,750234.0,44.9
13-03-2026 00:00,413.05,417.05,396.2,400.3,2645501,10644.76,66212,1666125.0,62.98
12-03-2026 00:00,429.0,429.0,413.0,417.65,2236725,9349.56,77037,1062034.0,47.48
11-03-2026 00:00,439.4,441.25,429.05,434.25,1127198,4905.42,42580,651163.0,57.77
10-03-2026 00:00,437.5,439.9,433.5,437.8,940739,4107.11,41191,498191.0,52.96
09-03-2026 00:00,429.6,434.35,418.0,430.6,1385179,5882.01,41431,686796.0,49.58
06-03-2026 00:00,441.95,445.45,437.65,439.75,969049,4269.04,29675,530838.0,54.78
05-03-2026 00:00,435.0,446.25,433.0,444.35,2024017,8883.48,54618,1252852.0,61.9
04-03-2026 00:00,431.3,435.0,426.55,431.3,926388,3999.11,32908,498039.0,53.76
02-03-2026 00:00,430.3,446.5,430.3,440.4,1403297,6201.62,59247,724987.0,51.66
27-02-2026 00:00,456.0,462.95,452.0,454.05,992981,4519.69,28560,676729.0,68.15
26-02-2026 00:00,463.0,464.75,456.05,460.85,503063,2315.3,17959,278884.0,55.44
25-02-2026 00:00,456.6,465.05,453.95,463.25,1262686,5826.11,38723,783716.0,62.07
24-02-2026 00:00,455.7,458.6,450.8,454.75,1023066,4652.26,25668,511900.0,50.04
23-02-2026 00:00,457.7,457.85,440.5,453.5,1568200,7019.49,44531,709832.0,45.26
20-02-2026 00:00,464.1,465.55,453.3,455.35,809786,3703.87,24993,404010.0,49.89
19-02-2026 00:00,477.1,477.1,460.0,462.35,700482,3286.81,20644,359999.0,51.39
18-02-2026 00:00,480.0,482.3,474.4,475.1,1291770,6181.97,31011,757510.0,58.64
17-02-2026 00:00,481.5,483.95,476.25,478.4,935036,4482.23,22971,431725.0,46.17
16-02-2026 00:00,489.7,492.0,476.9,479.25,812390,3912.51,25840,476598.0,58.67
13-02-2026 00:00,498.75,500.5,488.0,489.65,846798,4174.26,20748,431091.0,50.91
12-02-2026 00:00,512.0,512.0,497.05,498.75,745770,3740.26,19809,401551.0,53.84
11-02-2026 00:00,509.7,523.2,507.15,509.5,2121693,10916.71,38670,797078.0,37.57
10-02-2026 00:00,507.0,515.6,503.25,507.2,1060494,5389.26,25904,406905.0,38.37
09-02-2026 00:00,507.0,514.7,504.3,505.95,1289850,6569.85,32717,531482.0,41.2
06-02-2026 00:00,508.75,510.75,500.55,504.2,912338,4609.5,20741,326567.0,35.79
05-02-2026 00:00,525.0,532.0,502.25,507.85,3657302,18774.67,59148,852734.0,23.32
04-02-2026 00:00,504.9,521.75,502.0,512.65,1203720,6172.44,40455,552047.0,45.86
03-02-2026 00:00,491.0,506.0,487.0,504.9,1179645,5895.09,30873,533130.0,45.19
