datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,184.0,185.7,181.7,182.03,4721053,8644.3,47613,2680404.0,56.78
24-06-2026 00:00,184.95,185.58,182.22,183.09,4718091,8655.3,48300,2600163.0,55.11
23-06-2026 00:00,187.0,188.9,183.3,183.82,4962867,9201.63,47404,2946483.0,59.37
22-06-2026 00:00,186.45,190.13,186.22,187.1,5261866,9886.54,45088,3061994.0,58.19
19-06-2026 00:00,192.43,192.43,183.13,184.31,11691354,21746.95,99869,6018674.0,51.48
18-06-2026 00:00,194.48,195.96,191.44,192.43,3853927,7447.06,36711,2331528.0,60.5
17-06-2026 00:00,198.29,198.29,192.81,193.59,4323886,8392.63,35630,2660696.0,61.53
16-06-2026 00:00,191.99,198.95,191.61,197.27,5460601,10731.51,52225,2660599.0,48.72
15-06-2026 00:00,193.0,196.45,190.61,191.16,4405486,8536.07,41799,2397728.0,54.43
12-06-2026 00:00,187.75,191.78,186.45,190.82,3754363,7094.62,30086,2122566.0,56.54
11-06-2026 00:00,186.0,189.9,184.56,185.42,2384058,4464.74,28417,1127831.0,47.31
10-06-2026 00:00,188.7,192.75,186.04,187.14,2893648,5499.39,29252,1187451.0,41.04
09-06-2026 00:00,185.75,189.5,185.75,188.7,742733,1398.32,11541,343036.0,46.19
08-06-2026 00:00,186.1,187.8,185.05,185.71,666397,1242.94,12137,307240.0,46.1
05-06-2026 00:00,189.01,192.12,188.51,188.88,1205409,2293.22,15894,551221.0,45.73
04-06-2026 00:00,187.5,191.23,187.5,189.27,1105028,2094.04,14450,479880.0,43.43
03-06-2026 00:00,190.65,191.36,185.75,190.18,1536314,2894.95,18155,645560.0,42.02
02-06-2026 00:00,190.65,191.99,187.33,190.65,1161980,2205.74,15574,487451.0,41.95
01-06-2026 00:00,194.0,195.8,189.8,190.65,1187192,2275.54,21250,570422.0,48.05
29-05-2026 00:00,193.72,195.38,191.1,192.3,2026013,3914.72,26026,1072302.0,52.93
27-05-2026 00:00,193.65,196.3,192.3,193.46,2692167,5213.49,30692,1051633.0,39.06
26-05-2026 00:00,193.0,198.09,192.6,193.06,2723114,5302.81,26937,1045700.0,38.4
25-05-2026 00:00,197.99,198.1,192.33,193.06,1955714,3800.94,24832,1131314.0,57.85
22-05-2026 00:00,199.89,199.89,194.56,195.14,1491497,2933.86,16248,882657.0,59.18
21-05-2026 00:00,199.01,200.0,196.09,198.24,1566676,3098.66,18781,617891.0,39.44
20-05-2026 00:00,199.43,200.5,196.33,196.73,1414324,2792.4,16811,603724.0,42.69
19-05-2026 00:00,200.19,203.4,199.52,202.17,1461706,2948.96,22085,537451.0,36.77
18-05-2026 00:00,196.5,200.15,193.43,199.37,1280438,2519.16,22160,552057.0,43.11
15-05-2026 00:00,202.2,203.78,199.3,199.73,1579468,3177.41,20711,471135.0,29.83
14-05-2026 00:00,197.09,202.0,193.02,200.81,1804072,3566.8,23824,679379.0,37.66
13-05-2026 00:00,198.29,201.99,195.53,196.14,2272432,4493.09,27923,1006119.0,44.27
12-05-2026 00:00,205.0,205.6,197.0,198.19,2889393,5759.62,22871,1761457.0,60.96
11-05-2026 00:00,206.0,207.0,201.5,204.93,4551393,9299.63,34875,2691059.0,59.13
08-05-2026 00:00,211.5,211.5,205.0,206.78,3660874,7596.02,33481,1964450.0,53.66
07-05-2026 00:00,208.45,216.01,208.27,211.94,5675541,12046.79,56708,2444993.0,43.08
06-05-2026 00:00,206.45,209.2,204.34,207.8,2374842,4901.63,36399,1167929.0,49.18
05-05-2026 00:00,204.2,210.0,203.15,205.81,4353116,9005.34,50798,2005939.0,46.08
04-05-2026 00:00,197.99,206.0,197.44,205.3,4062588,8245.35,33217,1699934.0,41.84
30-04-2026 00:00,200.0,202.51,195.01,196.37,2537711,5031.08,26762,1016554.0,40.06
29-04-2026 00:00,211.03,211.03,198.49,200.18,8854816,17913.75,70223,2851013.0,32.2
28-04-2026 00:00,208.51,208.89,204.05,204.91,2708182,5575.21,30082,1127611.0,41.64
27-04-2026 00:00,200.8,209.7,199.83,205.95,6702429,13769.76,65489,2248276.0,33.54
24-04-2026 00:00,197.29,199.66,194.61,197.74,2974983,5851.34,62746,1417798.0,47.66
23-04-2026 00:00,198.02,200.95,196.0,197.28,2808011,5556.62,47497,1434587.0,51.09
22-04-2026 00:00,188.45,201.01,187.31,199.6,12333012,24372.34,112386,4008590.0,32.5
21-04-2026 00:00,185.0,191.15,184.88,188.49,3780000,7130.49,39912,1561343.0,41.31
20-04-2026 00:00,185.5,188.89,182.5,184.62,3460303,6422.38,31366,1377691.0,39.81
17-04-2026 00:00,182.7,186.78,182.17,185.01,5821739,10743.42,50083,2735697.0,46.99
16-04-2026 00:00,183.0,185.19,181.3,182.09,2615893,4775.42,25181,1157712.0,44.26
15-04-2026 00:00,181.83,184.36,181.4,182.66,2468231,4512.13,21439,1265042.0,51.25
13-04-2026 00:00,180.0,182.3,177.61,179.73,1958372,3524.09,17748,712232.0,36.37
