datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,212.65,213.59,197.5,201.76,31399294,63543.22,159457,9441724.0,30.07
24-06-2026 00:00,206.7,214.22,204.1,211.76,10287087,21674.06,88080,4759418.0,46.27
23-06-2026 00:00,209.9,210.34,204.27,207.12,5936152,12297.68,42065,2743517.0,46.22
22-06-2026 00:00,209.0,210.77,206.96,208.33,2910957,6077.08,22985,1174979.0,40.36
19-06-2026 00:00,214.0,214.0,207.01,208.09,7902818,16558.77,45557,3072733.0,38.88
18-06-2026 00:00,213.76,215.41,211.8,214.28,4553796,9747.34,34818,1525218.0,33.49
17-06-2026 00:00,217.82,217.98,213.1,213.76,9233245,19850.35,49435,3171615.0,34.35
16-06-2026 00:00,213.08,218.13,207.5,216.74,14775474,31527.58,78313,4786497.0,32.39
15-06-2026 00:00,208.0,214.94,208.0,210.88,13330721,28222.88,69251,5160676.0,38.71
12-06-2026 00:00,198.0,206.17,194.4,204.6,10237548,20670.36,48473,4427164.0,43.24
11-06-2026 00:00,199.38,201.7,193.51,193.9,7607741,15009.03,48949,2334912.0,30.69
10-06-2026 00:00,206.93,208.77,198.84,199.76,6029012,12240.14,33517,2097626.0,34.79
09-06-2026 00:00,203.92,208.94,203.71,206.94,9997536,20613.46,47235,4045230.0,40.46
08-06-2026 00:00,203.0,205.84,201.74,202.91,3917135,7991.61,25171,1082194.0,27.63
05-06-2026 00:00,205.55,208.95,203.36,205.87,6152884,12666.52,34227,1928452.0,31.34
04-06-2026 00:00,207.0,207.05,203.82,205.44,4284782,8796.87,30529,1507296.0,35.18
03-06-2026 00:00,208.0,209.44,201.0,207.62,11101299,22794.61,61356,3655243.0,32.93
02-06-2026 00:00,205.09,208.95,203.5,206.33,7625242,15743.17,46142,3239998.0,42.49
01-06-2026 00:00,210.0,211.41,205.45,207.14,9048068,18895.13,52039,3147804.0,34.79
29-05-2026 00:00,205.93,212.48,205.93,208.3,17292707,36296.49,111598,8019171.0,46.37
27-05-2026 00:00,200.51,208.26,200.51,205.83,12630859,25989.83,69990,5576671.0,44.15
26-05-2026 00:00,197.0,203.69,197.0,200.4,18270681,36730.0,110629,7461933.0,40.84
25-05-2026 00:00,196.51,199.58,195.2,196.97,11447061,22573.52,59035,4924741.0,43.02
22-05-2026 00:00,191.08,196.87,190.42,194.61,11298203,21960.93,69920,5546634.0,49.09
21-05-2026 00:00,193.01,194.3,190.5,191.08,7549122,14473.52,34319,3968260.0,52.57
20-05-2026 00:00,189.5,192.98,187.7,192.15,6147752,11714.12,40049,2607915.0,42.42
19-05-2026 00:00,191.0,192.51,189.0,191.21,4802152,9173.14,33671,1983774.0,41.31
18-05-2026 00:00,192.0,192.49,186.55,190.34,7391229,13991.74,60873,2731028.0,36.95
15-05-2026 00:00,199.04,200.19,194.01,194.46,4906699,9674.04,41854,1942415.0,39.59
14-05-2026 00:00,196.0,200.85,194.59,199.04,8185930,16233.49,51553,2879794.0,35.18
13-05-2026 00:00,196.09,200.73,194.5,194.88,11577289,22933.4,74691,4738457.0,40.93
12-05-2026 00:00,200.0,203.8,195.46,196.07,11160160,22337.14,64326,4857094.0,43.52
11-05-2026 00:00,203.52,204.9,199.91,201.23,11407011,23044.68,67521,4869740.0,42.69
08-05-2026 00:00,207.44,207.95,203.68,206.11,10392299,21355.25,71046,4307077.0,41.44
07-05-2026 00:00,208.8,209.39,206.0,207.63,9483087,19666.73,58814,4042077.0,42.62
06-05-2026 00:00,209.0,210.63,205.12,208.88,14798405,30791.02,78252,6008845.0,40.6
05-05-2026 00:00,206.41,208.0,204.1,206.44,14086514,29044.35,59654,5293401.0,37.58
04-05-2026 00:00,202.7,212.66,201.3,206.76,40101677,83374.91,195949,12653591.0,31.55
30-04-2026 00:00,198.0,201.96,194.47,199.72,27193264,53865.18,135496,7593002.0,27.92
29-04-2026 00:00,186.01,204.44,186.01,198.3,127812255,253401.79,457619,23023000.0,18.01
28-04-2026 00:00,179.66,183.09,177.7,178.65,8518404,15404.43,39284,3500718.0,41.1
27-04-2026 00:00,174.6,182.6,174.07,181.87,14244510,25606.99,65347,6399306.0,44.92
24-04-2026 00:00,173.81,175.08,168.8,174.67,10835824,18632.62,51618,3172571.0,29.28
23-04-2026 00:00,173.73,174.68,171.1,173.9,9829448,17005.92,72083,4603896.0,46.84
22-04-2026 00:00,175.0,177.12,171.58,176.52,8444289,14738.62,42167,3158601.0,37.41
21-04-2026 00:00,175.29,178.33,174.51,176.13,4188454,7404.01,40430,1620856.0,38.7
20-04-2026 00:00,174.25,177.0,170.61,175.43,7549338,13227.78,42299,3325814.0,44.05
17-04-2026 00:00,174.7,176.28,172.51,174.47,4242898,7384.56,19643,1395923.0,32.9
16-04-2026 00:00,175.3,177.09,172.42,174.18,9311571,16282.29,51355,3637538.0,39.06
15-04-2026 00:00,169.1,176.32,169.02,173.77,11535345,19985.93,53402,4293320.0,37.22
13-04-2026 00:00,164.0,167.45,161.36,166.73,5562399,9222.5,32642,1987367.0,35.73
10-04-2026 00:00,165.94,169.86,165.89,168.07,6042821,10159.69,32163,1759772.0,29.12
09-04-2026 00:00,164.61,167.92,162.14,165.94,8691283,14417.33,37433,2408112.0,27.71
08-04-2026 00:00,155.2,166.12,155.2,164.75,26384852,42547.35,110102,10097234.0,38.27
07-04-2026 00:00,152.0,152.0,147.6,149.13,6091241,9082.83,30191,2428702.0,39.87
06-04-2026 00:00,148.0,153.23,144.03,152.58,15519780,23105.61,50398,6789674.0,43.75
02-04-2026 00:00,145.58,147.79,140.7,146.34,11739287,16969.1,58243,5404668.0,46.04
01-04-2026 00:00,144.55,149.4,144.43,147.67,6299255,9283.13,30833,2604889.0,41.35
30-03-2026 00:00,146.14,147.0,141.07,141.35,10885376,15549.45,41188,5317101.0,48.85
27-03-2026 00:00,152.76,152.76,148.31,148.91,6274116,9395.09,35344,2555379.0,40.73
25-03-2026 00:00,151.65,155.5,150.27,153.42,10313783,15875.2,45454,4737996.0,45.94
24-03-2026 00:00,151.65,151.89,145.91,149.99,8127874,12127.83,39021,2390917.0,29.42
23-03-2026 00:00,156.5,156.57,145.77,148.34,16048372,23833.18,63344,6197069.0,38.61
20-03-2026 00:00,159.31,161.58,156.53,158.44,14307044,22792.91,52791,7510108.0,52.49
19-03-2026 00:00,160.4,160.91,156.97,158.06,9761408,15495.63,39545,4382299.0,44.89
18-03-2026 00:00,160.39,164.71,159.8,163.5,7991527,13007.75,47860,2923492.0,36.58
17-03-2026 00:00,163.0,163.99,158.19,159.58,10502382,16784.27,69576,3151324.0,30.01
16-03-2026 00:00,175.0,176.38,153.94,162.54,36301068,58800.07,135429,8451391.0,23.28
13-03-2026 00:00,176.8,177.99,173.2,175.5,9424744,16530.1,41497,2906500.0,30.84
12-03-2026 00:00,180.0,181.47,177.2,178.01,5408689,9675.38,42507,1417758.0,26.21
11-03-2026 00:00,182.0,184.81,180.2,182.47,8187636,14973.68,88349,3529178.0,43.1
10-03-2026 00:00,176.0,183.19,174.75,182.26,8931139,16057.4,60299,3443444.0,38.56
09-03-2026 00:00,178.0,178.0,172.16,174.12,10295012,17927.61,55240,2968071.0,28.83
06-03-2026 00:00,185.5,185.89,182.02,183.03,8295229,15263.02,62772,2997766.0,36.14
05-03-2026 00:00,178.01,186.1,177.62,185.03,10786388,19700.72,69150,3709593.0,34.39
04-03-2026 00:00,175.88,178.53,172.91,177.41,8984624,15807.3,49897,2719760.0,30.27
02-03-2026 00:00,176.94,183.12,176.0,177.66,8391506,15042.1,47973,3142574.0,37.45
27-02-2026 00:00,185.15,185.15,177.68,181.98,23573525,42591.21,107734,9229497.0,39.15
26-02-2026 00:00,183.0,190.23,182.78,186.1,19052653,35676.26,94698,6728806.0,35.32
25-02-2026 00:00,180.55,183.3,179.0,182.88,7659686,13897.09,41409,2677909.0,34.96
