datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,282.4,282.4,278.0,279.15,10406847,29110.27,53258,5539953.0,53.23
24-06-2026 00:00,274.0,282.2,274.0,279.9,9376653,26191.81,48752,4792598.0,51.11
23-06-2026 00:00,287.0,287.2,276.9,277.8,9673161,27184.8,63566,4690593.0,48.49
22-06-2026 00:00,282.0,286.5,280.4,286.05,10870558,30928.11,70205,6661074.0,61.28
19-06-2026 00:00,281.95,282.5,278.1,281.05,4914684,13786.42,37939,2011963.0,40.94
18-06-2026 00:00,283.8,287.1,281.75,283.0,12399938,35146.06,61083,5002743.0,40.34
17-06-2026 00:00,277.0,282.4,274.0,281.85,11929170,33358.84,56096,6214441.0,52.09
16-06-2026 00:00,278.1,278.1,273.1,275.35,9933682,27323.06,62407,5115525.0,51.5
15-06-2026 00:00,278.55,282.5,275.4,276.05,9344475,26086.44,61987,4601411.0,49.24
12-06-2026 00:00,270.05,276.1,268.65,274.75,27384601,74855.75,98030,13790251.0,50.36
11-06-2026 00:00,266.2,268.6,262.1,267.6,21062711,55944.96,64930,11756285.0,55.82
10-06-2026 00:00,273.4,275.0,268.5,269.3,11888452,32314.16,56115,5487483.0,46.16
09-06-2026 00:00,260.4,274.2,260.4,273.75,32633870,88067.08,147439,17653842.0,54.1
08-06-2026 00:00,260.85,266.5,258.0,259.25,11172071,29267.38,65367,4789178.0,42.87
05-06-2026 00:00,264.95,269.4,262.8,263.7,23279313,61817.03,81633,8696917.0,37.36
04-06-2026 00:00,267.5,272.2,266.35,271.3,16143314,43642.57,60030,8897086.0,55.11
03-06-2026 00:00,263.9,269.9,260.8,268.85,17903043,47460.1,80157,7000329.0,39.1
02-06-2026 00:00,263.5,266.35,261.0,265.8,12303559,32460.85,66856,5953459.0,48.39
01-06-2026 00:00,270.4,271.75,263.2,264.35,12975542,34449.69,66192,5994153.0,46.2
29-05-2026 00:00,272.55,274.0,267.15,268.5,17624514,47501.45,80542,11374524.0,64.54
27-05-2026 00:00,270.55,274.25,269.8,270.95,10007296,27196.57,71575,5234118.0,52.3
26-05-2026 00:00,272.9,274.2,269.8,270.55,10164821,27558.88,51451,4786770.0,47.09
25-05-2026 00:00,268.0,273.0,267.3,272.25,11731542,31669.28,69849,7048625.0,60.08
22-05-2026 00:00,263.45,266.95,262.75,265.4,18828819,49876.57,66655,10691907.0,56.78
21-05-2026 00:00,265.95,267.4,262.5,263.1,8207070,21681.97,54048,4410988.0,53.75
20-05-2026 00:00,258.45,264.3,256.65,263.55,13610643,35598.22,88218,6878240.0,50.54
19-05-2026 00:00,260.2,262.4,259.7,260.6,7957982,20760.58,58072,3850149.0,48.38
18-05-2026 00:00,260.0,260.85,255.3,260.05,7299311,18830.77,51922,2831632.0,38.79
15-05-2026 00:00,268.0,270.25,260.75,261.4,10676841,28307.29,57675,4980707.0,46.65
14-05-2026 00:00,263.8,270.1,262.65,267.8,11352510,30264.17,61775,4760106.0,41.93
13-05-2026 00:00,260.7,264.3,258.1,261.65,14028629,36722.77,87850,6006433.0,42.82
12-05-2026 00:00,263.95,267.45,259.15,259.95,9935242,26079.64,70464,3873877.0,38.99
11-05-2026 00:00,265.9,269.7,262.35,266.0,26039714,69310.61,177676,9427992.0,36.21
08-05-2026 00:00,269.75,269.75,259.3,263.9,16922683,44818.19,218671,7891985.0,46.64
07-05-2026 00:00,271.25,271.9,267.1,270.35,10221403,27566.25,146109,5456430.0,53.38
06-05-2026 00:00,268.7,271.4,262.8,270.3,17657931,47345.03,142132,9253227.0,52.4
05-05-2026 00:00,265.4,265.8,261.55,263.4,6130906,16173.42,88271,2902385.0,47.34
04-05-2026 00:00,264.95,271.6,264.2,265.1,6230309,16683.75,53862,2333803.0,37.46
