datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,719.0,736.9,711.1,715.1,540714,3908.34,27377,133606.0,24.71
24-06-2026 00:00,735.65,739.0,711.65,715.0,610095,4390.6,22710,245957.0,40.31
23-06-2026 00:00,728.45,753.65,725.2,733.7,687022,5068.52,27538,175084.0,25.48
22-06-2026 00:00,747.7,748.8,725.55,731.0,545144,4010.13,23257,213890.0,39.24
19-06-2026 00:00,785.0,786.0,740.3,747.7,2990336,22721.67,77116,497858.0,16.65
18-06-2026 00:00,683.95,803.3,676.05,789.9,12208968,93195.51,260627,1170173.0,9.58
17-06-2026 00:00,679.1,683.95,675.1,678.5,198648,1348.45,19142,128117.0,64.49
16-06-2026 00:00,690.0,697.8,676.0,678.85,173502,1180.21,15447,73075.0,42.12
15-06-2026 00:00,675.1,691.8,675.1,680.3,143672,984.65,10527,59980.0,41.75
12-06-2026 00:00,660.2,671.8,658.3,669.1,101059,671.12,9302,54598.0,54.03
11-06-2026 00:00,664.0,665.45,655.5,657.85,51320,338.6,6940,28819.0,56.16
10-06-2026 00:00,668.3,681.45,656.5,664.05,118629,796.14,7141,40503.0,34.14
09-06-2026 00:00,660.4,669.9,656.8,668.3,80116,531.8,6041,44075.0,55.01
08-06-2026 00:00,660.0,669.0,651.0,658.55,74602,493.06,7248,34446.0,46.17
05-06-2026 00:00,659.9,670.3,659.05,664.6,72436,482.61,6824,32634.0,45.05
04-06-2026 00:00,660.8,677.45,654.5,657.55,184635,1223.65,12582,99948.0,54.13
03-06-2026 00:00,671.0,673.5,657.55,665.8,70147,465.02,7052,27580.0,39.32
02-06-2026 00:00,664.25,678.0,653.9,670.3,114910,762.49,9506,54503.0,47.43
01-06-2026 00:00,679.95,686.5,659.25,664.25,193313,1296.84,14201,62589.0,32.38
29-05-2026 00:00,658.0,675.95,657.95,668.95,488366,3262.48,24507,141627.0,29.0
27-05-2026 00:00,697.9,708.8,690.0,692.6,162268,1130.13,10842,78413.0,48.32
26-05-2026 00:00,702.0,704.95,693.0,698.7,79372,556.0,7117,34680.0,43.69
25-05-2026 00:00,692.0,703.5,689.4,696.2,136094,947.05,9622,54767.0,40.24
22-05-2026 00:00,689.85,695.7,686.55,688.2,61955,427.62,5402,34860.0,56.27
21-05-2026 00:00,690.05,700.0,687.0,688.8,152024,1051.29,8690,81414.0,53.55
20-05-2026 00:00,686.65,688.45,680.45,686.9,66483,456.21,5175,37177.0,55.92
19-05-2026 00:00,679.35,701.25,679.35,690.75,212840,1470.54,15317,102456.0,48.14
18-05-2026 00:00,691.0,691.95,676.05,679.35,147482,1002.94,10370,71930.0,48.77
15-05-2026 00:00,705.55,715.05,691.3,694.1,87704,615.61,9321,39828.0,45.41
14-05-2026 00:00,705.0,714.0,700.8,705.55,61835,437.41,6814,27791.0,44.94
13-05-2026 00:00,699.0,709.8,696.05,701.3,55795,392.37,6188,23268.0,41.7
12-05-2026 00:00,711.7,714.95,697.5,699.65,75107,528.66,9347,43630.0,58.09
11-05-2026 00:00,721.75,722.75,705.0,711.7,116668,831.54,11810,48893.0,41.91
08-05-2026 00:00,728.15,730.2,716.0,721.75,99527,717.89,8360,42994.0,43.2
07-05-2026 00:00,724.5,735.5,722.7,728.15,155585,1134.26,12083,69097.0,44.41
