datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,4224.0,4236.0,4182.1,4186.3,28360,1193.72,2761,20495.0,72.27
24-06-2026 00:00,4216.0,4216.2,4150.0,4199.3,24189,1013.64,3985,12856.0,53.15
23-06-2026 00:00,4205.2,4224.0,4171.0,4195.2,32182,1352.0,5285,17886.0,55.58
22-06-2026 00:00,4275.1,4297.1,4150.0,4178.6,150136,6299.88,16376,92466.0,61.59
19-06-2026 00:00,4270.1,4293.8,4231.0,4269.5,40894,1741.4,6812,19550.0,47.81
18-06-2026 00:00,4245.0,4293.1,4227.0,4268.7,24080,1025.82,4620,12721.0,52.83
17-06-2026 00:00,4268.0,4270.0,4194.0,4209.4,30040,1271.39,6211,17938.0,59.71
16-06-2026 00:00,4295.0,4299.9,4202.2,4233.8,25324,1076.4,5317,15491.0,61.17
15-06-2026 00:00,4247.6,4315.0,4247.6,4291.3,11132,477.97,2683,5747.0,51.63
12-06-2026 00:00,4249.6,4270.2,4230.0,4247.6,10352,439.69,2866,6529.0,63.07
11-06-2026 00:00,4280.0,4284.5,4202.2,4218.8,14591,617.02,3161,10968.0,75.17
10-06-2026 00:00,4297.0,4310.5,4262.0,4298.4,18396,788.89,3039,10370.0,56.37
09-06-2026 00:00,4277.0,4316.2,4232.0,4272.2,186628,7975.72,5766,171341.0,91.81
08-06-2026 00:00,4325.1,4343.9,4264.0,4284.8,15397,662.1,3528,9853.0,63.99
05-06-2026 00:00,4424.9,4430.0,4342.2,4350.1,24094,1050.61,3597,16768.0,69.59
04-06-2026 00:00,4392.3,4430.9,4380.0,4406.9,12819,564.85,2669,7703.0,60.09
03-06-2026 00:00,4447.2,4484.2,4377.6,4399.3,30206,1337.14,4645,21441.0,70.98
02-06-2026 00:00,4499.1,4509.9,4426.6,4465.8,17621,785.6,3951,9593.0,54.44
01-06-2026 00:00,4510.9,4617.0,4476.0,4522.0,17705,801.09,5659,7241.0,40.9
29-05-2026 00:00,4668.9,4670.0,4473.8,4509.5,37890,1720.9,9720,18911.0,49.91
27-05-2026 00:00,4605.0,4686.8,4581.6,4615.8,80964,3751.66,14712,24783.0,30.61
26-05-2026 00:00,4377.0,4530.0,4377.0,4500.8,32115,1431.87,7464,14857.0,46.26
25-05-2026 00:00,4410.0,4445.0,4315.3,4368.8,13507,591.14,3704,6548.0,48.48
22-05-2026 00:00,4345.0,4408.1,4306.0,4382.5,12230,534.09,3302,6950.0,56.83
21-05-2026 00:00,4341.5,4374.9,4309.0,4323.4,7387,319.79,2252,4206.0,56.94
20-05-2026 00:00,4355.0,4363.0,4300.0,4315.5,17973,776.05,7802,9074.0,50.49
19-05-2026 00:00,4300.0,4371.0,4290.5,4354.2,18116,782.82,7695,8731.0,48.19
18-05-2026 00:00,4342.0,4345.0,4279.1,4300.0,19599,843.19,7163,12840.0,65.51
15-05-2026 00:00,4364.0,4392.6,4335.0,4349.8,13778,600.18,7122,8603.0,62.44
14-05-2026 00:00,4438.9,4495.0,4340.1,4363.1,21935,963.66,5132,9576.0,43.66
13-05-2026 00:00,4443.0,4482.4,4402.0,4417.9,15688,693.65,6646,8442.0,53.81
12-05-2026 00:00,4489.1,4534.2,4430.1,4450.7,13325,596.04,4739,7024.0,52.71
11-05-2026 00:00,4609.1,4609.1,4475.0,4489.1,14643,662.15,4383,8057.0,55.02
08-05-2026 00:00,4659.0,4667.7,4600.0,4610.0,11570,534.42,3157,6256.0,54.07
07-05-2026 00:00,4687.0,4687.0,4630.0,4636.9,10957,509.77,3097,5741.0,52.4
06-05-2026 00:00,4649.9,4691.9,4620.0,4650.9,11616,539.94,4166,7011.0,60.36
05-05-2026 00:00,4680.2,4747.1,4628.0,4642.6,25562,1190.31,6272,13760.0,53.83
04-05-2026 00:00,4787.9,4832.8,4681.6,4702.0,13471,637.94,6185,7326.0,54.38
30-04-2026 00:00,4685.1,4809.0,4663.5,4764.1,15992,759.05,4259,8584.0,53.68
29-04-2026 00:00,4600.4,4710.0,4600.4,4683.9,10534,493.11,3502,5804.0,55.1
28-04-2026 00:00,4687.0,4729.8,4585.0,4600.4,26411,1223.07,6856,17163.0,64.98
