datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,413.6,415.05,406.0,407.2,21994027,90197.2,191236,13655288.0,62.09
24-06-2026 00:00,420.2,422.55,412.8,413.55,9620759,40113.82,126495,4785928.0,49.75
23-06-2026 00:00,435.0,435.0,418.5,420.0,15566093,66427.6,135332,7526786.0,48.35
22-06-2026 00:00,428.1,432.7,426.15,431.5,9754708,41945.37,138963,5146781.0,52.76
19-06-2026 00:00,427.9,431.6,424.55,426.9,10829044,46275.52,109590,5419969.0,50.05
18-06-2026 00:00,422.5,430.0,421.75,428.6,23598062,100581.77,214146,11341476.0,48.06
17-06-2026 00:00,407.0,422.4,406.15,419.85,24506595,101547.8,170995,15165733.0,61.88
16-06-2026 00:00,409.6,410.8,406.15,407.55,9701695,39573.32,133354,6347733.0,65.43
15-06-2026 00:00,412.0,412.5,406.0,409.55,11500111,47043.12,139178,5479216.0,47.64
12-06-2026 00:00,407.35,409.0,403.3,406.5,8086130,32843.8,97883,4195332.0,51.88
11-06-2026 00:00,407.35,407.35,401.75,402.3,6994969,28238.87,110332,3808026.0,54.44
10-06-2026 00:00,413.0,415.25,407.1,408.35,5371511,22112.86,79772,2704827.0,50.36
09-06-2026 00:00,417.0,417.0,410.0,412.05,10996007,45306.74,130894,6308104.0,57.37
08-06-2026 00:00,399.0,415.5,399.0,412.95,12017495,49331.63,167667,5946170.0,49.48
05-06-2026 00:00,410.1,412.0,405.1,408.2,11084641,45193.39,138457,6502239.0,58.66
04-06-2026 00:00,405.0,411.55,404.0,409.9,9119774,37315.85,125522,4976791.0,54.57
03-06-2026 00:00,408.0,408.95,403.1,406.6,6626958,26876.5,118132,3117550.0,47.04
02-06-2026 00:00,405.8,409.6,400.3,407.85,15004796,60739.61,211848,8782263.0,58.53
01-06-2026 00:00,412.35,413.7,404.75,407.2,16453240,66991.54,249790,9095142.0,55.28
29-05-2026 00:00,413.3,419.1,409.9,410.75,26559872,109571.1,226870,18343498.0,69.06
27-05-2026 00:00,422.0,422.0,416.1,419.1,10871894,45469.11,215728,6277314.0,57.74
26-05-2026 00:00,423.5,425.55,418.85,420.1,12315435,51997.55,119247,6313636.0,51.27
25-05-2026 00:00,419.3,422.55,417.3,421.85,8862027,37216.27,255572,4940560.0,55.75
22-05-2026 00:00,421.45,421.45,415.45,416.55,9175611,38294.14,171796,4941699.0,53.86
21-05-2026 00:00,420.0,426.1,418.05,420.4,19789651,83393.81,221174,8933595.0,45.14
20-05-2026 00:00,416.3,420.0,407.0,413.3,28012723,115403.14,244560,10528009.0,37.58
19-05-2026 00:00,428.4,430.9,419.3,422.95,13350029,56897.5,134331,5469245.0,40.97
18-05-2026 00:00,423.85,427.8,414.6,426.6,10452161,44131.95,141943,4257848.0,40.74
15-05-2026 00:00,428.85,429.5,422.2,423.65,7593616,32270.34,120980,3800869.0,50.05
14-05-2026 00:00,431.0,435.15,424.45,428.85,9807792,42124.42,119896,3935613.0,40.13
13-05-2026 00:00,416.6,432.0,415.75,428.25,13230827,56350.66,168320,5694712.0,43.04
12-05-2026 00:00,430.2,432.5,415.5,416.5,15199825,64093.9,206614,7573498.0,49.83
11-05-2026 00:00,438.0,439.15,431.0,431.95,7631226,33150.03,114990,3528106.0,46.23
08-05-2026 00:00,439.0,443.8,437.8,439.7,11164661,49195.55,118187,4779612.0,42.81
07-05-2026 00:00,439.9,441.0,433.5,439.45,15696400,68767.35,160584,9040423.0,57.6
06-05-2026 00:00,437.0,439.65,435.15,438.2,9748728,42657.25,151185,4596644.0,47.15
05-05-2026 00:00,433.5,436.5,429.3,433.35,11671943,50458.64,169865,5384420.0,46.13
04-05-2026 00:00,433.0,438.6,428.6,433.55,10764998,46776.02,126499,5016638.0,46.6
30-04-2026 00:00,436.45,436.45,424.5,431.3,15795581,67829.56,153982,8152325.0,51.61
29-04-2026 00:00,437.05,442.8,435.25,437.55,9507163,41690.83,111608,4622109.0,48.62
28-04-2026 00:00,435.6,441.0,433.55,435.75,10883746,47572.48,140130,5311977.0,48.81
27-04-2026 00:00,445.0,448.3,432.95,435.6,18502535,80962.04,299840,10213364.0,55.2
24-04-2026 00:00,450.0,451.2,438.75,444.45,11651499,51658.49,109610,5150663.0,44.21
23-04-2026 00:00,451.7,455.7,444.5,449.95,15021500,67392.09,149438,5447869.0,36.27
