datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,404.7,408.3,401.1,402.7,8630710,34870.82,53736,4589472.0,53.18
24-06-2026 00:00,401.1,408.0,398.8,402.9,9391640,37949.93,70344,4249938.0,45.25
23-06-2026 00:00,413.85,414.75,397.7,399.85,9746360,39407.25,91495,3563972.0,36.57
22-06-2026 00:00,417.3,420.7,408.3,411.5,10136520,41811.04,78235,3906826.0,38.54
19-06-2026 00:00,405.9,423.7,403.85,414.35,22020572,91372.23,151756,8903902.0,40.43
18-06-2026 00:00,392.8,409.45,391.35,405.9,15191954,61085.91,109920,5139724.0,33.83
17-06-2026 00:00,384.2,394.05,381.9,392.25,7880789,30592.13,66667,3794837.0,48.15
16-06-2026 00:00,383.9,387.65,381.75,384.2,6165659,23687.81,107104,2823376.0,45.79
15-06-2026 00:00,384.0,391.25,381.05,382.85,7802473,30074.35,64688,2823966.0,36.19
12-06-2026 00:00,379.6,380.15,369.7,378.75,9280094,34871.08,87929,3702167.0,39.89
11-06-2026 00:00,376.55,379.5,367.6,370.65,11173287,41600.15,124254,4742506.0,42.45
10-06-2026 00:00,397.0,397.2,375.75,377.3,11028183,42501.35,96109,4645005.0,42.12
09-06-2026 00:00,388.25,397.4,385.05,396.55,9498965,37220.08,84186,4514847.0,47.53
08-06-2026 00:00,378.0,389.9,378.0,386.3,9622172,37123.9,110942,3257727.0,33.86
05-06-2026 00:00,390.0,400.35,382.6,386.95,17437792,68232.0,150348,4041749.0,23.18
04-06-2026 00:00,410.4,411.0,384.5,389.2,22452304,89301.05,156226,7869995.0,35.05
03-06-2026 00:00,410.75,412.65,397.3,406.3,10000048,40459.61,95516,3207919.0,32.08
02-06-2026 00:00,400.0,413.0,399.3,410.75,8510633,34760.85,91530,2804219.0,32.95
01-06-2026 00:00,417.0,417.8,403.1,404.8,9218173,37587.58,102165,3253306.0,35.29
29-05-2026 00:00,424.05,424.9,413.05,416.75,18794737,78451.9,195368,12025789.0,63.98
27-05-2026 00:00,417.2,424.7,416.5,422.35,10651428,44815.98,95971,4464409.0,41.91
26-05-2026 00:00,419.5,420.4,415.25,417.75,9434405,39411.64,69132,3371291.0,35.73
25-05-2026 00:00,412.0,420.95,409.95,419.4,11083538,45997.27,79545,4523676.0,40.81
22-05-2026 00:00,408.5,413.55,407.1,408.55,7879542,32264.21,64781,2983830.0,37.87
21-05-2026 00:00,412.0,414.7,406.3,408.15,8203336,33570.78,85031,2515724.0,30.67
20-05-2026 00:00,397.0,410.0,396.0,408.4,10932205,44105.67,94503,3963420.0,36.25
19-05-2026 00:00,397.0,404.4,391.1,401.1,11644140,46527.17,88583,4338047.0,37.26
18-05-2026 00:00,395.6,396.3,386.1,395.25,10710854,41954.4,119634,3770202.0,35.2
15-05-2026 00:00,414.8,415.65,397.0,398.3,15856773,63975.23,113719,6401126.0,40.37
14-05-2026 00:00,407.2,417.9,402.05,413.15,22299813,91306.83,164971,9923299.0,44.5
13-05-2026 00:00,392.5,407.75,392.5,403.85,21915995,87910.99,181510,8470737.0,38.65
12-05-2026 00:00,397.1,407.2,390.55,391.75,17519753,69662.58,117868,7724313.0,44.09
11-05-2026 00:00,400.0,406.6,393.05,401.35,18431673,73856.09,138546,7041442.0,38.2
08-05-2026 00:00,406.1,408.9,400.1,404.6,17888566,72425.15,126475,7556279.0,42.24
07-05-2026 00:00,385.5,408.35,383.45,406.45,37208886,149205.08,276059,12519259.0,33.65
06-05-2026 00:00,378.0,387.5,368.4,385.95,20995123,79822.83,157023,6831339.0,32.54
05-05-2026 00:00,379.9,388.4,371.3,374.95,33273604,126499.77,414505,9238255.0,27.76
04-05-2026 00:00,355.0,399.0,353.7,377.05,104983361,400882.2,633577,26625881.0,25.36
30-04-2026 00:00,344.4,354.9,342.04,352.41,17432476,60798.56,178667,7259012.0,41.64
29-04-2026 00:00,356.8,358.1,342.51,344.5,14716414,51321.45,146633,5749881.0,39.07
28-04-2026 00:00,349.69,356.0,347.28,354.71,14893265,52489.39,78043,7052391.0,47.35
27-04-2026 00:00,339.43,354.0,339.0,348.58,20484360,71327.66,153956,7938572.0,38.75
24-04-2026 00:00,339.0,340.49,333.02,337.39,15907329,53623.28,99103,6860737.0,43.13
23-04-2026 00:00,333.0,341.25,330.65,337.6,16570930,55768.55,126472,6962261.0,42.01
22-04-2026 00:00,331.99,336.8,329.7,333.64,15926893,53128.77,140484,6282964.0,39.45
21-04-2026 00:00,327.01,333.79,322.51,332.61,20292270,66958.03,129930,8233145.0,40.57
20-04-2026 00:00,318.53,333.79,317.6,325.63,49865330,163639.47,368665,17048941.0,34.19
17-04-2026 00:00,311.0,317.8,307.38,316.79,25068627,78398.31,185794,7737299.0,30.86
16-04-2026 00:00,294.37,312.3,293.05,309.26,28292886,85909.97,168729,12840913.0,45.39
15-04-2026 00:00,291.02,297.39,291.02,292.5,12730693,37407.18,113007,5795105.0,45.52
13-04-2026 00:00,279.0,293.0,276.49,287.77,42151898,121568.89,188038,24077923.0,57.12
10-04-2026 00:00,279.0,286.18,278.99,284.71,15013291,42517.67,108049,6486381.0,43.2
09-04-2026 00:00,266.5,281.0,263.76,277.2,31642983,87359.25,217363,9766766.0,30.87
08-04-2026 00:00,261.2,267.8,261.08,265.7,17510017,46405.69,88916,8417183.0,48.07
07-04-2026 00:00,245.59,254.39,242.26,253.59,14913436,37099.54,86187,5923531.0,39.72
06-04-2026 00:00,249.41,250.8,239.17,245.64,13853601,33830.86,92256,3368963.0,24.32
02-04-2026 00:00,248.95,249.3,240.92,248.11,7987056,19588.81,66497,1914903.0,23.98
01-04-2026 00:00,254.5,257.35,250.5,251.84,14241715,36162.1,133738,5868278.0,41.2
30-03-2026 00:00,250.35,254.85,244.0,245.5,12308911,30793.41,87954,4151060.0,33.72
27-03-2026 00:00,260.3,261.45,254.45,254.85,6984305,17936.1,56272,3096086.0,44.33
25-03-2026 00:00,259.95,266.8,259.35,262.05,6801129,17957.94,55541,2739573.0,40.28
24-03-2026 00:00,258.0,260.0,252.3,258.2,7393540,18982.53,80326,2823379.0,38.19
23-03-2026 00:00,260.2,260.25,249.25,252.85,11692333,29559.39,124041,5455677.0,46.66
20-03-2026 00:00,254.05,266.2,253.25,262.05,19056140,50111.68,105317,8387258.0,44.01
19-03-2026 00:00,256.0,256.8,250.05,251.75,4709558,11936.95,40958,1248601.0,26.51
18-03-2026 00:00,257.5,261.5,256.35,260.15,4198413,10901.42,47791,1394131.0,33.21
17-03-2026 00:00,255.5,257.15,250.0,256.35,7083919,17989.3,48878,2167333.0,30.6
16-03-2026 00:00,257.05,260.8,248.9,253.5,7970526,20183.15,63769,2003655.0,25.14
13-03-2026 00:00,265.85,270.3,256.6,258.5,11238122,29450.65,76723,4301441.0,38.28
12-03-2026 00:00,253.9,270.35,251.85,267.85,16227938,43090.04,109076,5425787.0,33.43
11-03-2026 00:00,258.95,262.8,255.0,255.75,6282466,16265.09,91932,2325773.0,37.02
10-03-2026 00:00,259.0,262.0,252.6,258.65,6171454,15847.66,54532,1532590.0,24.83
09-03-2026 00:00,253.05,256.35,247.6,255.4,7235564,18223.21,79969,2372516.0,32.79
06-03-2026 00:00,256.55,264.45,255.75,258.95,10342609,27067.64,74003,4613451.0,44.61
05-03-2026 00:00,249.75,258.8,249.3,257.25,10224873,25957.09,71888,4084139.0,39.94
04-03-2026 00:00,258.0,258.95,247.2,247.9,16208648,40554.43,115274,7464735.0,46.05
