datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,319.95,320.85,309.0,309.75,9118712,28609.81,59080,5149889.0,56.48
24-06-2026 00:00,308.85,316.8,308.2,315.7,7690718,24073.3,57314,3361794.0,43.71
23-06-2026 00:00,309.05,313.35,307.5,308.55,6611723,20483.33,50511,3261713.0,49.33
22-06-2026 00:00,311.75,311.8,306.8,308.6,5440551,16793.13,64670,2877730.0,52.89
19-06-2026 00:00,315.0,315.0,305.1,306.6,11322845,34845.29,77078,7694654.0,67.96
18-06-2026 00:00,319.0,321.6,314.4,316.3,7174272,22770.55,60697,4107317.0,57.25
17-06-2026 00:00,316.0,319.5,315.3,317.95,14716072,46789.47,84429,8126572.0,55.22
16-06-2026 00:00,314.0,314.0,309.5,312.1,8875346,27663.68,54030,5037422.0,56.76
15-06-2026 00:00,315.0,316.75,308.75,310.6,15261091,47541.89,84589,8500378.0,55.7
12-06-2026 00:00,293.1,303.8,292.55,302.35,11278769,33556.52,87607,4349834.0,38.57
11-06-2026 00:00,285.0,287.4,280.25,286.35,12991146,36983.65,76086,7998563.0,61.57
10-06-2026 00:00,289.0,290.2,286.3,288.0,6874985,19819.94,53330,4103587.0,59.69
09-06-2026 00:00,288.75,290.15,285.25,289.1,5025923,14471.16,48558,2434962.0,48.45
08-06-2026 00:00,291.4,292.4,283.9,285.15,5454197,15712.39,75741,2760086.0,50.6
05-06-2026 00:00,295.0,295.9,291.75,295.0,5528678,16254.34,86072,2914088.0,52.71
04-06-2026 00:00,290.1,296.2,290.1,295.15,8514225,25053.69,95765,5172853.0,60.76
03-06-2026 00:00,294.0,294.25,290.15,292.1,6711789,19605.13,72081,3742504.0,55.76
02-06-2026 00:00,294.0,297.45,291.0,294.4,8495475,24991.14,71565,5082634.0,59.83
01-06-2026 00:00,298.75,300.35,295.65,296.85,7741307,23087.23,71909,4281510.0,55.31
29-05-2026 00:00,310.6,312.0,290.0,298.1,26387806,79151.89,106364,17005553.0,64.44
27-05-2026 00:00,305.5,308.45,302.15,307.15,5948761,18197.7,70021,3071527.0,51.63
26-05-2026 00:00,308.25,308.3,302.1,304.6,8611871,26224.0,59708,4242251.0,49.26
25-05-2026 00:00,305.0,309.0,304.05,308.25,14530864,44611.02,89631,6652771.0,45.78
22-05-2026 00:00,297.0,297.7,291.6,295.6,5366953,15829.4,102863,2514260.0,46.85
21-05-2026 00:00,295.0,298.5,294.75,296.4,10786772,32008.57,85291,5656940.0,52.44
