datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,309.65,313.45,300.1,300.7,1698333,5171.19,33763,908061.0,53.47
24-06-2026 00:00,308.25,312.6,306.35,307.9,1149301,3557.62,32687,507351.0,44.14
23-06-2026 00:00,317.05,318.8,306.6,308.25,1727785,5363.82,39149,926766.0,53.64
22-06-2026 00:00,328.4,330.5,316.0,317.05,2196414,7004.84,41498,1005565.0,45.78
19-06-2026 00:00,315.0,328.15,311.1,326.4,1069584,3421.12,21962,300287.0,28.08
18-06-2026 00:00,323.0,327.35,319.1,325.15,625290,2025.61,23662,202173.0,32.33
17-06-2026 00:00,325.0,331.8,322.15,323.6,1050925,3430.05,22982,378959.0,36.06
16-06-2026 00:00,324.1,327.6,320.25,324.25,985444,3196.09,22961,396161.0,40.2
15-06-2026 00:00,322.4,327.1,320.3,323.9,995909,3228.59,23313,577061.0,57.94
12-06-2026 00:00,316.0,318.7,309.55,316.0,698932,2188.03,17075,247298.0,35.38
11-06-2026 00:00,310.1,313.0,306.9,310.85,620281,1922.39,16302,192652.0,31.06
10-06-2026 00:00,319.35,322.85,314.0,315.55,497789,1585.54,12703,191590.0,38.49
09-06-2026 00:00,326.05,328.8,318.3,319.35,664390,2133.44,14730,298744.0,44.97
08-06-2026 00:00,324.1,328.15,319.7,324.2,721266,2338.5,22443,231595.0,32.11
05-06-2026 00:00,329.0,337.45,325.55,327.8,1000740,3303.19,22459,287230.0,28.7
04-06-2026 00:00,325.0,329.75,321.0,325.1,1250530,4067.54,22762,438917.0,35.1
03-06-2026 00:00,342.05,342.05,325.0,327.65,1992929,6566.5,36883,586719.0,29.44
02-06-2026 00:00,336.45,356.8,334.15,344.8,12684383,44021.07,143489,1654293.0,13.04
01-06-2026 00:00,322.3,334.85,322.3,327.8,1251665,4150.14,25810,418964.0,33.47
29-05-2026 00:00,330.0,333.15,316.5,319.35,1208857,3936.52,31122,559866.0,46.31
27-05-2026 00:00,324.9,329.25,324.55,328.1,359967,1178.07,9241,131074.0,36.41
26-05-2026 00:00,330.0,332.6,322.9,324.4,568064,1859.42,13056,268669.0,47.3
25-05-2026 00:00,330.0,337.25,327.35,330.8,803818,2673.85,16518,337860.0,42.03
22-05-2026 00:00,323.0,333.65,318.2,328.2,1185133,3876.18,28629,479321.0,40.44
21-05-2026 00:00,320.85,326.5,315.15,321.35,879912,2819.68,20594,359187.0,40.82
20-05-2026 00:00,320.0,324.65,317.8,319.6,696599,2236.53,18434,322206.0,46.25
19-05-2026 00:00,312.0,328.9,312.0,320.9,2834895,9170.73,42728,881118.0,31.08
18-05-2026 00:00,312.0,312.3,306.4,309.6,1080302,3335.34,26304,397205.0,36.77
15-05-2026 00:00,311.95,329.9,310.9,314.4,2862954,9194.96,62056,664569.0,23.21
14-05-2026 00:00,320.0,323.0,309.2,310.9,1385633,4342.13,34043,604378.0,43.62
13-05-2026 00:00,331.6,334.75,317.45,318.7,2312907,7502.63,58867,988360.0,42.73
12-05-2026 00:00,354.5,354.5,330.0,331.6,2522167,8480.46,61948,1146480.0,45.46
11-05-2026 00:00,360.0,360.3,352.85,355.9,674179,2398.76,22956,300698.0,44.6
