datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,6340.5,6460.0,6299.0,6330.5,9035,574.16,2900,3035.0,33.59
24-06-2026 00:00,6430.0,6459.0,6300.0,6340.5,8284,526.39,2305,3532.0,42.64
23-06-2026 00:00,6660.0,6661.5,6400.0,6430.0,19042,1244.43,5125,8024.0,42.14
22-06-2026 00:00,6550.0,6740.0,6360.5,6661.5,40237,2642.57,7921,21712.0,53.96
19-06-2026 00:00,6160.0,6460.0,6100.0,6448.0,54046,3450.46,9958,21320.0,39.45
18-06-2026 00:00,6156.0,6299.5,6135.5,6160.0,6749,417.86,2299,2705.0,40.08
17-06-2026 00:00,6208.0,6251.0,6128.0,6156.0,6748,417.47,2572,2856.0,42.32
16-06-2026 00:00,6290.0,6290.5,6166.0,6208.0,7569,470.67,2689,3464.0,45.77
15-06-2026 00:00,6200.0,6280.0,6155.0,6259.0,44984,2808.32,12401,24760.0,55.04
12-06-2026 00:00,5920.0,6196.5,5874.5,6144.0,37391,2263.48,9083,19169.0,51.27
11-06-2026 00:00,5870.0,5899.5,5789.5,5854.5,6739,393.51,2475,2854.0,42.35
10-06-2026 00:00,5835.0,5989.0,5770.0,5869.5,38007,2249.86,8921,15991.0,42.07
09-06-2026 00:00,5502.0,5930.0,5502.0,5835.0,219376,12716.96,39279,24446.0,11.14
08-06-2026 00:00,5412.5,5666.0,5372.5,5473.0,174080,9560.65,8168,153813.0,88.36
05-06-2026 00:00,5560.0,5641.5,5502.0,5512.5,3601,200.33,1695,1662.0,46.15
04-06-2026 00:00,5546.0,5734.0,5494.0,5534.5,11935,670.18,3656,4568.0,38.27
03-06-2026 00:00,5605.0,5630.0,5525.5,5577.0,4396,245.04,1511,2275.0,51.75
02-06-2026 00:00,5501.0,5640.0,5501.0,5605.0,4190,233.8,1611,1601.0,38.21
01-06-2026 00:00,5569.5,5649.0,5500.5,5582.0,9390,523.81,3188,3944.0,42.0
29-05-2026 00:00,5830.5,5854.0,5532.5,5564.5,13564,768.28,3165,7976.0,58.8
27-05-2026 00:00,5750.0,5829.5,5740.0,5797.5,4891,283.08,1761,2667.0,54.53
26-05-2026 00:00,5720.5,5870.0,5700.0,5743.0,7737,448.89,2607,3267.0,42.23
25-05-2026 00:00,5800.5,5828.0,5702.5,5729.0,7499,432.51,2469,4156.0,55.42
22-05-2026 00:00,5799.5,5839.5,5682.5,5708.0,5917,340.51,2492,2835.0,47.91
21-05-2026 00:00,5789.5,5938.0,5770.5,5788.0,9521,557.63,3172,4403.0,46.25
20-05-2026 00:00,5728.0,5880.0,5660.5,5748.5,11511,668.9,4055,5082.0,44.15
19-05-2026 00:00,5600.0,5825.0,5556.5,5773.5,14512,830.31,5188,6488.0,44.71
18-05-2026 00:00,5600.0,5600.0,5441.0,5558.5,8176,452.1,3990,3284.0,40.17
15-05-2026 00:00,5745.0,5777.5,5612.0,5635.5,8265,471.23,3197,2825.0,34.18
14-05-2026 00:00,5815.0,5832.0,5650.0,5689.5,15132,863.03,5898,6977.0,46.11
13-05-2026 00:00,5849.5,5969.0,5780.0,5809.0,20062,1177.81,6270,9447.0,47.09
12-05-2026 00:00,6152.0,6215.0,5848.5,5926.5,55571,3348.49,16267,22125.0,39.81
11-05-2026 00:00,5627.0,6172.5,5627.0,6152.0,96924,5800.44,20872,40632.0,41.92
08-05-2026 00:00,5488.5,5849.0,5404.0,5782.0,163846,9192.67,23901,30235.0,18.45
07-05-2026 00:00,5389.0,5520.0,5348.0,5456.5,15681,854.52,4043,8265.0,52.71
06-05-2026 00:00,5366.5,5432.0,5296.5,5379.0,10224,547.93,2964,5024.0,49.14
05-05-2026 00:00,5339.5,5388.5,5281.5,5366.5,8088,433.37,2080,4480.0,55.39
04-05-2026 00:00,5271.5,5340.0,5255.5,5300.5,7142,378.31,1918,3973.0,55.63
30-04-2026 00:00,5317.0,5317.0,5225.5,5252.6,4029,212.22,1712,1865.0,46.29
29-04-2026 00:00,5241.7,5406.4,5240.7,5317.2,11143,595.93,4418,5696.0,51.12
28-04-2026 00:00,5268.0,5316.9,5215.0,5227.7,5515,289.82,1935,2536.0,45.98
27-04-2026 00:00,5420.0,5420.0,5220.0,5265.5,13176,696.67,3035,7704.0,58.47
24-04-2026 00:00,5461.0,5461.0,5300.0,5328.3,7922,424.24,2488,3633.0,45.86
23-04-2026 00:00,5468.0,5490.0,5421.5,5469.8,26196,1429.13,2856,11742.0,44.82
22-04-2026 00:00,5295.0,5549.0,5271.2,5488.9,32153,1750.92,5601,12980.0,40.37
21-04-2026 00:00,5332.9,5368.0,5276.1,5295.2,9440,502.28,2264,4740.0,50.21
20-04-2026 00:00,5355.0,5355.0,5265.0,5306.4,9606,510.23,2117,4697.0,48.9
17-04-2026 00:00,5284.5,5340.0,5283.3,5325.1,12082,642.66,2318,7296.0,60.39
16-04-2026 00:00,5385.0,5385.0,5225.0,5270.9,11652,614.89,3265,5164.0,44.32
15-04-2026 00:00,5230.0,5310.0,5220.5,5299.0,13379,705.78,3530,5852.0,43.74
13-04-2026 00:00,5050.0,5269.0,5018.5,5217.9,31954,1646.56,8012,15579.0,48.75
10-04-2026 00:00,5060.0,5222.0,5060.0,5162.0,21361,1102.34,4866,11284.0,52.83
09-04-2026 00:00,5053.5,5119.2,4995.2,5033.7,10358,523.84,2600,4964.0,47.92
08-04-2026 00:00,4895.0,5170.0,4860.1,5053.4,34396,1739.3,7154,11653.0,33.88
07-04-2026 00:00,4780.0,4830.0,4726.3,4809.2,6644,318.04,2503,2438.0,36.69
06-04-2026 00:00,4692.5,4799.0,4609.5,4788.8,14072,663.91,4029,5992.0,42.58
02-04-2026 00:00,4626.0,4703.7,4519.0,4677.3,5834,268.13,2411,2270.0,38.91
01-04-2026 00:00,4565.0,4704.0,4565.0,4667.4,9237,430.02,3519,3884.0,42.05
30-03-2026 00:00,4600.0,4620.0,4518.2,4562.7,22910,1045.5,8553,12279.0,53.6
27-03-2026 00:00,4710.0,4777.0,4600.6,4640.5,84209,3927.64,17022,52295.0,62.1
25-03-2026 00:00,4700.0,4818.9,4665.0,4728.3,23775,1130.08,6334,15500.0,65.19
24-03-2026 00:00,4709.4,4750.0,4570.1,4700.8,14247,665.6,5031,7310.0,51.31
23-03-2026 00:00,4700.0,4738.0,4535.8,4582.9,13908,637.25,4976,6712.0,48.26
20-03-2026 00:00,4758.5,4849.9,4721.4,4753.7,13514,643.64,3996,4846.0,35.86
19-03-2026 00:00,4905.0,4925.9,4740.1,4758.5,22015,1066.22,5894,7115.0,32.32
18-03-2026 00:00,4601.6,5019.3,4601.6,4982.1,92567,4556.08,23154,19425.0,20.98
17-03-2026 00:00,4578.5,4616.6,4530.5,4601.6,21868,1001.34,5521,14626.0,66.88
16-03-2026 00:00,4524.0,4614.1,4461.1,4580.9,13519,611.81,5128,6179.0,45.71
13-03-2026 00:00,4615.4,4651.6,4512.0,4524.3,11688,531.49,3543,6515.0,55.74
12-03-2026 00:00,4625.0,4728.9,4524.0,4667.9,13682,633.13,4548,6071.0,44.37
11-03-2026 00:00,4600.0,4786.0,4584.2,4652.1,40412,1895.84,11678,13307.0,32.93
10-03-2026 00:00,4570.0,4624.8,4535.1,4584.1,18886,865.31,4312,9438.0,49.97
09-03-2026 00:00,4700.1,4724.9,4530.0,4549.5,34045,1566.81,7370,19391.0,56.96
06-03-2026 00:00,4750.0,4798.1,4730.6,4742.5,5611,267.1,1776,3341.0,59.54
05-03-2026 00:00,4800.1,4839.0,4698.1,4764.3,13030,618.77,3681,5473.0,42.0
04-03-2026 00:00,4750.0,4810.0,4701.0,4783.7,12261,582.45,4411,6643.0,54.18
02-03-2026 00:00,4750.0,4827.0,4729.0,4784.8,15388,735.87,4986,7653.0,49.73
27-02-2026 00:00,4912.3,5000.0,4871.2,4886.4,10399,511.02,4116,5924.0,56.97
26-02-2026 00:00,4905.0,4980.0,4905.0,4944.2,11681,576.06,2081,8605.0,73.67
25-02-2026 00:00,4994.5,5048.9,4900.0,4932.1,12147,601.66,3280,6994.0,57.58
24-02-2026 00:00,5080.0,5085.3,4986.0,4994.5,11964,600.62,3744,6454.0,53.95
23-02-2026 00:00,5146.0,5160.8,5081.1,5091.7,8387,429.67,2708,2989.0,35.64
20-02-2026 00:00,5119.5,5171.8,5010.2,5095.4,9273,471.29,3043,2600.0,28.04
19-02-2026 00:00,5200.0,5229.0,5081.5,5119.5,5605,289.64,1831,2389.0,42.62
18-02-2026 00:00,5148.6,5229.9,5080.3,5216.8,19420,1003.2,5796,8040.0,41.4
17-02-2026 00:00,5086.0,5276.0,5060.6,5126.5,6911,353.66,1808,3463.0,50.11
16-02-2026 00:00,5102.0,5149.0,5085.0,5090.0,6827,348.88,2225,3311.0,48.5
13-02-2026 00:00,5170.0,5182.9,5097.0,5111.8,7443,382.57,2009,3510.0,47.16
12-02-2026 00:00,5230.5,5267.9,5170.6,5191.5,7894,411.71,2251,3066.0,38.84
11-02-2026 00:00,5287.4,5328.0,5145.6,5216.4,6856,360.24,2242,2924.0,42.65
10-02-2026 00:00,5301.8,5349.5,5257.7,5287.4,11680,619.42,3280,5990.0,51.28
09-02-2026 00:00,5167.1,5304.4,5137.0,5275.6,13503,708.33,3957,6304.0,46.69
06-02-2026 00:00,5050.1,5200.0,5006.4,5167.1,23703,1215.73,5791,6492.0,27.39
05-02-2026 00:00,5184.0,5184.0,5010.0,5053.6,13868,701.73,4029,6162.0,44.43
04-02-2026 00:00,5075.0,5250.0,4920.4,5184.1,85448,4324.48,17704,16823.0,19.69
03-02-2026 00:00,5149.9,5177.9,5056.6,5147.6,13171,673.8,4422,8287.0,62.92
02-02-2026 00:00,5060.0,5063.9,4875.0,5020.5,9408,465.68,4573,4049.0,43.04
01-02-2026 00:00,5010.0,5190.0,4933.5,5043.7,8166,411.32,2753,2655.0,32.51
30-01-2026 00:00,4960.5,5044.5,4907.5,5000.0,13293,664.44,3939,6664.0,50.13
29-01-2026 00:00,4994.0,4994.5,4925.0,4970.0,7393,367.27,2792,4179.0,56.53
28-01-2026 00:00,4873.0,5016.5,4855.5,4994.0,9137,449.45,3442,3988.0,43.65
27-01-2026 00:00,4949.5,4949.5,4796.5,4873.0,13707,664.14,4747,5564.0,40.59
23-01-2026 00:00,5015.5,5035.5,4920.0,4939.0,13544,669.8,3868,6257.0,46.2
22-01-2026 00:00,5075.0,5100.0,4923.5,5031.0,19045,953.17,7237,7669.0,40.27
21-01-2026 00:00,5015.0,5155.0,4826.0,5040.5,30356,1499.74,10167,11836.0,38.99
20-01-2026 00:00,5064.5,5070.5,4981.0,5016.0,11618,581.8,4302,4969.0,42.77
19-01-2026 00:00,5185.5,5185.5,5056.0,5063.5,8362,425.55,2935,4163.0,49.78
16-01-2026 00:00,5086.0,5247.0,5081.0,5196.0,20400,1060.16,7043,10808.0,52.98
14-01-2026 00:00,5074.5,5106.0,5030.0,5096.5,6704,339.93,2575,3436.0,51.25
13-01-2026 00:00,5059.5,5120.0,5009.0,5074.5,15385,778.48,5804,5012.0,32.58
12-01-2026 00:00,5129.5,5129.5,5004.0,5058.0,15287,772.65,5258,7427.0,48.58
09-01-2026 00:00,5151.0,5152.5,5091.0,5121.5,52716,2699.16,3515,47057.0,89.27
08-01-2026 00:00,5171.0,5264.0,5140.0,5188.5,18631,966.8,5890,5506.0,29.55
07-01-2026 00:00,5160.0,5181.5,5132.5,5171.0,9139,471.33,2846,4416.0,48.32
