datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,442.55,442.85,432.0,435.4,7046971,30637.22,105369,3988420.0,56.6
24-06-2026 00:00,444.35,447.2,440.9,441.75,4169224,18494.0,58656,2523548.0,60.53
23-06-2026 00:00,449.25,451.5,443.5,444.35,3512212,15678.96,52711,2143005.0,61.02
22-06-2026 00:00,452.0,454.3,447.7,449.0,3738644,16830.37,53899,2129734.0,56.97
19-06-2026 00:00,452.3,454.8,448.0,451.3,6128782,27634.71,55974,3702519.0,60.41
18-06-2026 00:00,456.0,457.5,450.35,452.0,5364436,24273.73,60571,3394498.0,63.28
17-06-2026 00:00,450.9,461.55,448.6,455.75,9064734,41294.76,71172,4438210.0,48.96
16-06-2026 00:00,445.95,453.45,443.6,450.95,7262608,32660.45,100966,3294508.0,45.36
15-06-2026 00:00,448.3,449.6,441.2,444.05,10056872,44646.7,101967,5352777.0,53.23
12-06-2026 00:00,453.35,453.35,439.65,443.5,9946830,44082.76,83091,5616347.0,56.46
11-06-2026 00:00,451.0,452.0,445.05,446.2,6034733,27004.9,67944,3480710.0,57.68
10-06-2026 00:00,465.2,467.4,450.2,451.0,8127902,37217.43,93837,4778491.0,58.79
09-06-2026 00:00,464.9,467.55,458.4,466.9,10972434,50913.12,101483,6136697.0,55.93
08-06-2026 00:00,465.0,470.6,463.95,464.9,10074583,47014.25,123155,5839930.0,57.97
05-06-2026 00:00,483.3,483.6,469.1,472.3,9592529,45449.01,108534,4733156.0,49.34
04-06-2026 00:00,473.0,484.45,472.85,481.65,16059802,77115.78,118574,8319851.0,51.81
03-06-2026 00:00,471.9,478.55,466.2,472.3,15291450,72201.08,154171,7192934.0,47.04
02-06-2026 00:00,469.85,474.95,463.3,472.15,24933269,117335.19,167826,14145846.0,56.73
01-06-2026 00:00,456.55,477.0,456.55,472.6,47716517,223560.76,266351,25952558.0,54.39
29-05-2026 00:00,458.9,474.0,455.9,457.9,97895486,452589.41,274170,59080308.0,60.35
27-05-2026 00:00,429.0,468.3,428.4,463.05,117042535,527472.9,595534,45394984.0,38.79
26-05-2026 00:00,458.0,475.65,455.0,458.15,17073323,79638.26,145118,4805149.0,28.14
25-05-2026 00:00,460.0,462.55,456.0,458.0,8441223,38726.24,88668,4872934.0,57.73
22-05-2026 00:00,460.0,462.85,456.0,456.55,9201635,42089.17,60528,5761887.0,62.62
21-05-2026 00:00,458.7,465.25,457.25,460.2,7425043,34260.8,62540,4180147.0,56.3
20-05-2026 00:00,456.0,460.05,452.7,458.7,3756072,17186.61,53957,1511437.0,40.24
19-05-2026 00:00,462.1,463.25,454.0,456.95,7319865,33440.37,98257,3096541.0,42.3
18-05-2026 00:00,462.0,468.5,457.05,462.1,7735499,35858.59,95875,2124174.0,27.46
15-05-2026 00:00,457.0,468.5,455.25,462.2,7859575,36469.61,99366,1872361.0,23.82
14-05-2026 00:00,464.0,469.8,451.45,454.05,11408675,52673.94,101521,4635091.0,40.63
13-05-2026 00:00,463.25,473.6,459.5,462.25,12091924,56281.88,112588,5613427.0,46.42
12-05-2026 00:00,465.0,469.0,461.65,463.05,6464174,30066.58,85308,2190366.0,33.88
11-05-2026 00:00,456.0,465.75,452.85,464.45,6258261,28889.32,80958,2080772.0,33.25
08-05-2026 00:00,461.2,463.35,454.9,456.4,15767759,72190.79,229810,9080824.0,57.59
07-05-2026 00:00,470.2,472.85,456.1,466.65,24264105,112830.16,173836,11181187.0,46.08
06-05-2026 00:00,473.85,477.5,468.05,470.2,8596697,40597.87,83038,5500989.0,63.99
05-05-2026 00:00,479.95,480.0,471.2,472.6,6946902,32885.63,98706,3398345.0,48.92
04-05-2026 00:00,481.6,487.0,475.6,479.95,7757497,37350.98,86563,4423275.0,57.02
30-04-2026 00:00,484.45,491.25,478.4,481.45,16935052,81952.31,137332,6842129.0,40.4
29-04-2026 00:00,469.85,485.7,464.05,479.9,18063862,86592.19,168280,7035454.0,38.95
28-04-2026 00:00,456.2,473.9,456.2,467.0,26732373,125220.88,246111,8586432.0,32.12
27-04-2026 00:00,458.5,460.65,450.65,452.5,6922067,31415.4,86131,2845147.0,41.1
24-04-2026 00:00,452.75,462.0,451.05,456.0,16441909,75106.63,136410,7149991.0,43.49
23-04-2026 00:00,444.25,451.5,442.65,450.65,8989280,40262.35,82059,5170429.0,57.52
22-04-2026 00:00,443.8,447.75,442.5,444.15,6991939,31081.26,84546,3609478.0,51.62
21-04-2026 00:00,442.3,445.3,441.9,443.15,5336558,23658.06,64762,3103852.0,58.16
20-04-2026 00:00,438.6,443.7,433.3,441.75,8090840,35620.84,95940,4271687.0,52.8
17-04-2026 00:00,432.8,440.15,430.5,438.75,10733309,46868.48,113610,6493187.0,60.5
16-04-2026 00:00,436.5,436.95,430.5,432.75,11776638,50950.52,250564,8155688.0,69.25
15-04-2026 00:00,439.0,439.0,431.4,435.8,10149319,44128.08,97682,5843978.0,57.58
13-04-2026 00:00,435.0,439.5,431.5,435.1,18702296,81297.64,154585,6703230.0,35.84
10-04-2026 00:00,455.0,459.6,427.5,434.1,29605732,130186.84,210303,12591071.0,42.53
09-04-2026 00:00,449.25,456.2,447.85,454.1,9468415,42934.52,75344,3919708.0,41.4
08-04-2026 00:00,464.0,464.0,447.0,449.25,20653569,92870.72,161319,11091427.0,53.7
07-04-2026 00:00,458.05,463.8,455.3,463.0,11316785,52182.36,128651,6313174.0,55.79
06-04-2026 00:00,449.3,461.45,447.4,459.55,12403745,56761.33,161950,6248631.0,50.38
02-04-2026 00:00,448.4,453.3,440.5,449.35,6701003,29935.9,85287,2584403.0,38.57
01-04-2026 00:00,464.0,464.85,446.8,449.4,14960312,67573.55,142103,7099778.0,47.46
30-03-2026 00:00,445.05,459.9,443.1,450.45,19114688,86827.09,221841,8410865.0,44.0
27-03-2026 00:00,446.0,448.5,441.05,445.05,17184280,76280.54,187303,9699359.0,56.44
25-03-2026 00:00,443.55,446.4,438.8,443.7,8630612,38273.01,122698,4179865.0,48.43
24-03-2026 00:00,463.0,463.0,439.0,442.1,20320746,90148.94,177980,9543633.0,46.96
23-03-2026 00:00,466.0,466.0,450.65,455.25,10163783,46353.88,139845,4928957.0,48.5
20-03-2026 00:00,456.7,472.4,456.2,468.15,23878653,111755.33,175526,14059686.0,58.88
19-03-2026 00:00,450.9,460.0,450.65,454.2,10192726,46462.66,156741,3216004.0,31.55
18-03-2026 00:00,462.25,462.85,449.2,455.2,9539041,43300.91,121207,3846675.0,40.33
