datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1488.0,1496.0,1451.1,1458.4,835465,12304.93,32679,227420.0,27.22
24-06-2026 00:00,1475.0,1493.8,1456.4,1487.1,1012072,14969.41,34647,260075.0,25.7
23-06-2026 00:00,1477.8,1495.6,1466.6,1483.6,2036034,30214.38,58919,700565.0,34.41
22-06-2026 00:00,1465.5,1485.6,1418.0,1476.4,2934165,42660.77,95133,591211.0,20.15
19-06-2026 00:00,1463.0,1483.0,1454.9,1458.0,1194685,17508.29,42725,427085.0,35.75
18-06-2026 00:00,1511.1,1523.6,1444.4,1469.6,2485828,37013.27,69248,740169.0,29.78
17-06-2026 00:00,1432.8,1515.0,1432.1,1500.2,2340067,34538.61,68220,740822.0,31.66
16-06-2026 00:00,1414.9,1436.4,1411.9,1431.6,645762,9216.88,25263,183181.0,28.37
15-06-2026 00:00,1450.0,1462.0,1405.5,1411.8,1048910,15102.87,35761,408569.0,38.95
12-06-2026 00:00,1405.1,1428.0,1395.5,1424.3,837543,11813.23,30320,227577.0,27.17
11-06-2026 00:00,1400.0,1400.0,1368.1,1387.8,907447,12564.4,40165,289860.0,31.94
10-06-2026 00:00,1439.9,1449.1,1400.0,1404.2,730390,10401.42,29962,271735.0,37.2
09-06-2026 00:00,1410.0,1446.1,1407.2,1441.2,698428,9952.54,27404,192386.0,27.55
08-06-2026 00:00,1425.0,1431.0,1400.0,1407.1,759236,10749.22,36989,242439.0,31.93
05-06-2026 00:00,1474.2,1482.8,1432.2,1439.1,1096107,15967.72,34548,374373.0,34.15
04-06-2026 00:00,1449.0,1485.4,1445.1,1472.4,977661,14392.07,34236,259345.0,26.53
03-06-2026 00:00,1467.7,1469.6,1430.8,1455.7,691044,10005.93,25993,146626.0,21.22
02-06-2026 00:00,1425.0,1476.2,1409.0,1467.7,1104916,15999.96,41061,242644.0,21.96
01-06-2026 00:00,1470.0,1485.0,1424.1,1429.4,920596,13294.16,42382,328110.0,35.64
