datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1970.1,2001.4,1970.1,1993.0,685326,13649.53,33687,333381.0,48.65
24-06-2026 00:00,1985.5,1995.0,1957.8,1965.3,672675,13297.75,40079,269567.0,40.07
23-06-2026 00:00,1982.0,2003.4,1975.3,1980.5,330176,6550.75,25462,189053.0,57.26
22-06-2026 00:00,2005.5,2019.9,1975.3,1982.0,640289,12735.7,27118,410762.0,64.15
19-06-2026 00:00,2020.0,2026.0,1990.0,1997.8,417545,8355.81,22757,234506.0,56.16
18-06-2026 00:00,2032.5,2043.8,2015.3,2027.3,376697,7641.97,18269,201091.0,53.38
17-06-2026 00:00,2080.0,2092.6,2028.0,2034.2,603600,12351.92,29353,292626.0,48.48
16-06-2026 00:00,2067.5,2103.7,2065.0,2096.9,711308,14816.14,42101,393638.0,55.34
15-06-2026 00:00,2100.0,2136.5,2052.0,2057.7,420009,8787.93,25960,199688.0,47.54
12-06-2026 00:00,2042.0,2082.5,2042.0,2079.0,262833,5434.04,18163,114601.0,43.6
11-06-2026 00:00,2050.0,2064.8,2022.4,2028.6,397135,8101.46,26416,208783.0,52.57
10-06-2026 00:00,2024.3,2100.0,2024.3,2056.3,1111107,23074.71,51139,339841.0,30.59
09-06-2026 00:00,2005.1,2028.8,2001.0,2023.4,138499,2790.51,11849,75894.0,54.8
08-06-2026 00:00,1986.2,2020.0,1972.8,2005.5,313988,6306.94,19487,153369.0,48.85
05-06-2026 00:00,2016.0,2020.9,1991.0,1999.5,174541,3503.71,16734,83928.0,48.08
04-06-2026 00:00,2018.3,2032.3,1995.0,2004.4,321958,6503.42,17184,170903.0,53.08
03-06-2026 00:00,1997.0,2022.8,1984.6,2018.6,308158,6188.83,24722,170017.0,55.17
02-06-2026 00:00,1985.0,2004.8,1976.5,1998.8,299055,5957.75,18470,175353.0,58.64
01-06-2026 00:00,2049.7,2053.0,1979.0,1990.1,689578,13794.18,30643,243409.0,35.3
29-05-2026 00:00,2100.0,2108.9,2050.4,2059.9,1193673,24664.32,45335,784218.0,65.7
27-05-2026 00:00,2080.3,2099.3,2070.2,2087.4,199944,4164.79,11751,74049.0,37.03
26-05-2026 00:00,2099.9,2106.9,2051.2,2077.1,932673,19257.83,31657,433184.0,46.45
25-05-2026 00:00,2185.7,2195.7,2080.6,2097.0,1433773,30313.93,68522,457748.0,31.93
22-05-2026 00:00,2169.3,2173.5,2130.5,2156.9,204566,4408.24,17330,73080.0,35.72
21-05-2026 00:00,2195.0,2210.0,2153.5,2164.9,329867,7178.32,18879,150132.0,45.51
20-05-2026 00:00,2187.0,2192.5,2163.1,2185.4,205812,4487.01,16522,102372.0,49.74
19-05-2026 00:00,2152.0,2223.7,2152.0,2188.3,334394,7327.72,22383,160893.0,48.11
18-05-2026 00:00,2150.0,2158.9,2113.6,2151.2,357195,7645.7,22519,217727.0,60.95
15-05-2026 00:00,2142.6,2166.0,2135.2,2160.0,287530,6203.15,19084,138256.0,48.08
14-05-2026 00:00,2134.6,2163.5,2124.7,2146.6,144948,3107.89,13000,48351.0,33.36
13-05-2026 00:00,2127.8,2147.0,2111.6,2134.5,310715,6630.5,21723,146378.0,47.11
12-05-2026 00:00,2139.9,2157.2,2118.0,2125.2,299031,6389.89,22907,136154.0,45.53
11-05-2026 00:00,2196.9,2204.2,2132.4,2139.0,588255,12768.77,25287,284167.0,48.31
08-05-2026 00:00,2161.2,2205.9,2157.3,2197.4,273342,5981.54,17151,128710.0,47.09
07-05-2026 00:00,2172.0,2185.0,2144.9,2167.0,209531,4542.22,16235,95524.0,45.59
06-05-2026 00:00,2198.0,2198.0,2151.9,2157.1,216927,4693.16,15613,113381.0,52.27
05-05-2026 00:00,2184.0,2185.0,2159.0,2178.9,303160,6587.88,16641,129941.0,42.86
04-05-2026 00:00,2110.2,2180.0,2099.2,2172.9,509820,11023.9,28483,242622.0,47.59
30-04-2026 00:00,2115.2,2140.2,2090.0,2096.2,366494,7718.61,23767,153432.0,41.86
29-04-2026 00:00,2135.0,2175.8,2104.6,2132.5,391370,8386.77,21409,148893.0,38.04
28-04-2026 00:00,2132.7,2136.4,2105.0,2125.2,364158,7711.27,20069,136769.0,37.56
27-04-2026 00:00,2180.0,2190.1,2135.4,2141.0,371678,8031.38,19888,179616.0,48.33
24-04-2026 00:00,2150.2,2177.8,2139.0,2171.3,738058,15937.83,38513,340242.0,46.1
23-04-2026 00:00,2110.3,2155.0,2057.6,2150.2,649058,13699.18,47954,175142.0,26.98
22-04-2026 00:00,2115.0,2137.0,2093.9,2118.3,450554,9532.45,23893,241236.0,53.54
21-04-2026 00:00,2129.0,2138.3,2070.5,2106.6,450952,9454.42,26341,151446.0,33.58
20-04-2026 00:00,2119.0,2148.0,2089.2,2129.0,582891,12399.96,29680,270058.0,46.33
17-04-2026 00:00,1977.4,2121.9,1969.2,2106.0,2100901,43879.9,86219,655019.0,31.18
16-04-2026 00:00,1956.1,1997.0,1940.0,1977.4,374401,7392.22,24272,159787.0,42.68
15-04-2026 00:00,1935.0,1951.5,1916.8,1946.7,336213,6519.46,23042,167786.0,49.9
13-04-2026 00:00,1910.5,1928.0,1878.1,1915.9,419082,8012.07,23908,222427.0,53.07
10-04-2026 00:00,1925.8,1942.1,1903.9,1939.1,434312,8385.11,22728,255912.0,58.92
09-04-2026 00:00,1906.6,1928.1,1881.9,1906.7,604795,11525.17,34685,316771.0,52.38
08-04-2026 00:00,1885.0,1915.8,1869.6,1907.0,453684,8606.51,35741,226175.0,49.85
07-04-2026 00:00,1822.0,1854.7,1800.7,1850.4,295165,5414.96,25717,139132.0,47.14
06-04-2026 00:00,1835.7,1845.0,1811.1,1829.7,349804,6395.11,25021,174897.0,50.0
02-04-2026 00:00,1817.0,1836.0,1782.1,1829.5,273131,4949.95,21000,131341.0,48.09
01-04-2026 00:00,1822.0,1845.0,1810.3,1819.7,407513,7447.42,28520,226836.0,55.66
30-03-2026 00:00,1850.0,1857.8,1782.0,1788.7,907544,16447.02,39215,373002.0,41.1
27-03-2026 00:00,1918.7,1918.7,1872.1,1877.2,492401,9300.58,38116,286085.0,58.1
25-03-2026 00:00,1894.0,1927.7,1877.0,1920.4,693562,13263.72,34368,420392.0,60.61
24-03-2026 00:00,1872.0,1890.0,1840.0,1877.3,294115,5499.11,26434,154637.0,52.58
23-03-2026 00:00,1894.0,1894.0,1838.1,1849.2,336417,6236.16,25173,150014.0,44.59
20-03-2026 00:00,1899.7,1921.8,1890.0,1896.1,317292,6043.36,19578,166911.0,52.6
19-03-2026 00:00,1930.1,1935.2,1882.6,1889.7,340333,6480.2,23484,138493.0,40.69
18-03-2026 00:00,1933.0,1956.0,1928.6,1941.6,214981,4179.93,18950,99812.0,46.43
17-03-2026 00:00,1949.9,1958.3,1930.5,1932.9,289862,5627.63,24084,136428.0,47.07
16-03-2026 00:00,1960.0,1970.7,1919.0,1941.1,358075,6958.8,27038,135434.0,37.82
13-03-2026 00:00,1969.7,1995.0,1951.0,1957.2,660968,13017.44,35163,282588.0,42.75
12-03-2026 00:00,2040.0,2040.0,1962.2,1975.8,836489,16654.07,57610,320975.0,38.37
11-03-2026 00:00,2198.3,2198.3,2046.0,2055.6,1659346,34707.29,90186,433623.0,26.13
10-03-2026 00:00,2160.0,2210.7,2159.2,2198.3,368736,8086.16,24363,187380.0,50.82
09-03-2026 00:00,2193.0,2193.0,2140.7,2156.3,309055,6663.88,31642,156781.0,50.73
06-03-2026 00:00,2200.1,2220.0,2196.4,2204.6,233352,5147.6,19198,118727.0,50.88
05-03-2026 00:00,2191.0,2212.2,2167.0,2200.6,258081,5650.29,22899,117309.0,45.45
04-03-2026 00:00,2198.5,2204.4,2178.1,2183.7,272457,5974.11,29060,148774.0,54.6
02-03-2026 00:00,2198.8,2239.9,2197.0,2214.9,226434,5027.89,18355,96864.0,42.78
27-02-2026 00:00,2301.0,2301.6,2243.6,2254.5,577821,13063.08,45480,382644.0,66.22
26-02-2026 00:00,2283.0,2301.3,2262.4,2295.3,444641,10142.06,25228,287615.0,64.68
25-02-2026 00:00,2240.1,2274.8,2234.1,2270.4,822577,18611.29,33334,521159.0,63.36
24-02-2026 00:00,2199.9,2240.0,2185.7,2236.3,444579,9856.37,31753,254717.0,57.29
23-02-2026 00:00,2197.9,2211.3,2190.2,2196.0,183758,4039.59,22988,92879.0,50.54
20-02-2026 00:00,2167.2,2211.8,2167.2,2197.9,349127,7683.87,22501,164299.0,47.06
19-02-2026 00:00,2215.0,2230.5,2160.0,2167.2,409293,8995.53,24742,164637.0,40.22
18-02-2026 00:00,2159.7,2207.6,2148.7,2203.9,379137,8290.79,23902,172808.0,45.58
17-02-2026 00:00,2118.6,2161.0,2118.6,2151.0,179259,3842.22,13846,77384.0,43.17
16-02-2026 00:00,2120.6,2128.3,2100.7,2118.6,154505,3269.45,13166,71005.0,45.96
13-02-2026 00:00,2128.0,2130.0,2100.5,2122.2,374088,7928.72,22712,210027.0,56.14
