datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,97.6,98.42,96.0,96.14,2019309,1954.23,13578,1196059.0,59.23
24-06-2026 00:00,99.17,99.75,97.5,97.87,585662,575.58,7373,336723.0,57.49
23-06-2026 00:00,100.9,100.9,98.61,98.76,780249,773.78,6788,426596.0,54.67
22-06-2026 00:00,99.62,100.99,98.6,99.56,2381360,2367.16,8792,2034434.0,85.43
19-06-2026 00:00,100.0,100.29,98.77,99.62,1426232,1418.19,6942,795701.0,55.79
18-06-2026 00:00,95.93,112.0,95.93,99.36,1530211,1514.11,7312,817546.0,53.43
17-06-2026 00:00,98.01,99.0,97.08,98.39,3451831,3371.41,7694,2318998.0,67.18
16-06-2026 00:00,98.4,98.4,96.69,97.42,2925200,2841.28,8264,2317479.0,79.22
15-06-2026 00:00,96.57,98.7,95.55,96.95,1811555,1759.83,14738,1198759.0,66.17
12-06-2026 00:00,98.89,98.89,96.13,96.82,1718236,1662.1,12704,943207.0,54.89
11-06-2026 00:00,97.69,98.66,96.86,97.05,886056,862.05,10361,528621.0,59.66
10-06-2026 00:00,101.69,101.69,97.54,97.69,1497383,1472.76,13443,1044343.0,69.74
09-06-2026 00:00,100.9,101.35,99.11,99.21,1402538,1393.92,12335,847761.0,60.44
08-06-2026 00:00,102.67,102.67,98.88,100.14,1206649,1207.97,11508,667588.0,55.33
05-06-2026 00:00,102.5,102.5,99.71,100.17,945778,948.84,10162,491157.0,51.93
04-06-2026 00:00,102.5,102.5,100.01,101.02,731250,736.72,7141,349350.0,47.77
03-06-2026 00:00,100.01,101.95,99.82,100.62,785099,787.71,8174,410573.0,52.3
02-06-2026 00:00,101.0,101.0,99.21,100.31,1546154,1545.46,13988,929864.0,60.14
01-06-2026 00:00,101.78,102.79,100.82,100.96,1442215,1459.41,15225,839275.0,58.19
29-05-2026 00:00,103.0,105.74,101.2,101.69,1751047,1795.2,17810,1085122.0,61.97
27-05-2026 00:00,103.16,104.15,102.39,103.99,1391408,1438.76,8600,686734.0,49.36
26-05-2026 00:00,103.95,104.88,103.01,103.58,1341624,1395.73,11921,864362.0,64.43
25-05-2026 00:00,105.9,105.9,103.62,103.95,1267225,1317.23,10611,750030.0,59.19
22-05-2026 00:00,105.55,105.55,103.62,103.81,948001,985.88,9751,585975.0,61.81
21-05-2026 00:00,106.47,106.47,104.5,104.68,668347,703.02,6054,288552.0,43.17
20-05-2026 00:00,105.7,105.7,103.35,104.67,725594,755.56,7346,403910.0,55.67
19-05-2026 00:00,106.25,106.25,104.31,104.88,1247934,1310.21,6145,779909.0,62.5
18-05-2026 00:00,105.89,106.9,103.8,104.68,1278868,1334.5,12742,657336.0,51.4
15-05-2026 00:00,107.0,107.0,105.43,105.89,935906,993.91,7453,481525.0,51.45
14-05-2026 00:00,102.83,107.3,102.83,106.1,1906302,2027.56,7459,1000462.0,52.48
13-05-2026 00:00,101.85,107.1,101.85,105.47,1888131,1986.48,8998,1105130.0,58.53
12-05-2026 00:00,106.85,106.85,104.8,105.0,1987520,2108.33,14691,1137045.0,57.21
11-05-2026 00:00,107.9,107.9,105.31,105.51,1542712,1632.32,14115,750954.0,48.68
08-05-2026 00:00,107.27,107.27,106.1,106.44,1083581,1153.46,9206,596689.0,55.07
07-05-2026 00:00,104.03,107.68,104.03,106.94,1725092,1841.96,10012,901352.0,52.25
06-05-2026 00:00,107.55,108.9,106.4,106.7,2732656,2928.74,11960,1978277.0,72.39
05-05-2026 00:00,110.0,110.0,106.55,107.55,1226891,1315.98,11096,597236.0,48.68
04-05-2026 00:00,110.5,110.5,107.32,108.01,1794140,1943.93,14556,1131416.0,63.06
30-04-2026 00:00,108.0,109.81,107.3,108.37,1814069,1960.24,13340,1001285.0,55.2
29-04-2026 00:00,109.9,109.97,108.53,108.81,1741251,1903.16,8906,868540.0,49.88
28-04-2026 00:00,110.12,110.12,107.0,108.6,1718293,1864.97,8640,945647.0,55.03
27-04-2026 00:00,107.85,107.85,106.55,107.44,2827053,3038.17,14014,1556891.0,55.07
24-04-2026 00:00,107.8,107.8,106.0,106.54,1102926,1175.27,7568,676080.0,61.3
23-04-2026 00:00,107.6,107.63,105.42,106.95,1195578,1280.25,6693,618957.0,51.77
22-04-2026 00:00,107.7,107.7,106.14,107.12,2021036,2163.25,6666,1360989.0,67.34
21-04-2026 00:00,107.8,107.8,106.4,106.52,1366130,1461.99,8332,804106.0,58.86
20-04-2026 00:00,107.06,107.84,105.55,106.93,2514975,2691.76,12330,1379603.0,54.86
17-04-2026 00:00,106.56,106.99,105.01,106.85,2884212,3061.68,10645,1638627.0,56.81
16-04-2026 00:00,105.49,105.9,104.78,105.43,2096001,2207.18,8086,1120796.0,53.47
15-04-2026 00:00,105.08,105.5,103.7,105.02,2313256,2419.12,10119,1692474.0,73.16
13-04-2026 00:00,103.21,104.31,101.25,103.45,1702869,1756.62,10994,789187.0,46.34
10-04-2026 00:00,105.92,105.92,102.58,103.21,1496090,1549.95,9370,771371.0,51.56
09-04-2026 00:00,103.9,103.9,102.03,103.34,1545734,1597.95,7709,997988.0,64.56
08-04-2026 00:00,102.31,104.86,101.6,102.4,2273743,2323.14,12018,1318657.0,57.99
07-04-2026 00:00,100.64,102.49,100.11,102.31,1604257,1636.41,7640,1038882.0,64.76
06-04-2026 00:00,101.82,101.82,99.69,101.7,1604685,1622.61,12979,760984.0,47.42
02-04-2026 00:00,102.0,102.0,98.9,100.82,1555534,1551.36,10778,665851.0,42.81
01-04-2026 00:00,100.0,102.91,100.0,101.52,2068971,2105.79,10866,1386257.0,67.0
30-03-2026 00:00,100.37,101.79,99.63,100.0,1798846,1811.53,11020,870525.0,48.39
27-03-2026 00:00,101.5,101.5,99.67,100.38,1444524,1451.51,9821,808573.0,55.98
25-03-2026 00:00,101.14,101.19,100.31,100.51,1298807,1310.1,7979,761841.0,58.66
24-03-2026 00:00,102.25,102.25,99.16,100.14,4219515,4239.57,8799,3413219.0,80.89
23-03-2026 00:00,104.81,104.81,99.1,99.75,2408438,2407.05,16310,1428315.0,59.3
20-03-2026 00:00,103.64,103.64,101.34,101.76,1117889,1148.18,7323,544938.0,48.75
19-03-2026 00:00,102.5,102.6,99.9,101.12,1875216,1906.3,9560,1184897.0,63.19
18-03-2026 00:00,102.99,103.08,101.81,102.08,1205210,1234.46,6938,623308.0,51.72
17-03-2026 00:00,102.8,102.8,101.06,102.26,2615637,2671.26,7411,735877.0,28.13
16-03-2026 00:00,102.23,103.31,100.07,101.05,2241168,2265.42,15216,1233302.0,55.03
13-03-2026 00:00,103.79,105.0,102.22,102.55,2315420,2390.35,13486,1203678.0,51.99
12-03-2026 00:00,102.53,104.9,101.86,104.47,2152294,2233.94,10160,1314698.0,61.08
11-03-2026 00:00,104.5,104.6,102.5,102.87,1407040,1452.28,7259,668092.0,47.48
10-03-2026 00:00,104.75,104.75,101.62,102.62,2231191,2288.31,8304,1435085.0,64.32
09-03-2026 00:00,106.26,106.26,100.5,102.2,3121625,3182.07,16316,1758983.0,56.35
06-03-2026 00:00,103.31,104.68,103.3,103.67,2623463,2728.72,9477,1635999.0,62.36
05-03-2026 00:00,101.2,104.42,101.11,103.31,4773254,4942.38,13228,3154598.0,66.09
04-03-2026 00:00,105.39,105.39,99.25,101.2,4667585,4727.05,16123,3545374.0,75.96
02-03-2026 00:00,103.48,105.0,99.0,102.32,3443679,3517.42,19380,2118200.0,61.51
27-02-2026 00:00,103.08,104.28,102.6,102.86,3445408,3551.9,13841,2771293.0,80.43
26-02-2026 00:00,103.32,105.0,102.65,103.27,1384594,1427.63,7938,741387.0,53.55
25-02-2026 00:00,101.96,103.5,100.03,103.32,2419633,2497.7,9783,1361053.0,56.25
24-02-2026 00:00,101.95,102.91,101.32,102.67,5991380,6109.17,17170,5000914.0,83.47
23-02-2026 00:00,101.63,105.0,101.35,101.94,2523219,2565.87,10667,1581906.0,62.69
20-02-2026 00:00,100.32,101.99,100.27,101.63,2066552,2096.41,9107,1174101.0,56.81
19-02-2026 00:00,103.29,103.29,100.0,100.32,2417498,2437.14,9667,1234650.0,51.07
18-02-2026 00:00,99.5,101.69,99.0,100.78,2965670,2993.88,10116,1837211.0,61.95
17-02-2026 00:00,100.45,101.17,100.09,101.05,2200503,2216.79,8638,1319623.0,59.97
16-02-2026 00:00,98.91,100.97,96.5,100.45,4210796,4214.99,13143,2588815.0,61.48
13-02-2026 00:00,100.45,100.98,98.3,98.51,1834638,1817.15,12835,1029923.0,56.14
12-02-2026 00:00,100.55,101.4,99.88,100.44,1538170,1546.62,8778,927062.0,60.27
11-02-2026 00:00,100.25,101.14,97.2,100.55,1940638,1942.68,9186,1031374.0,53.15
10-02-2026 00:00,101.1,101.1,98.5,100.36,2032037,2038.07,9226,1310838.0,64.51
09-02-2026 00:00,99.82,102.31,99.72,99.88,2720010,2721.61,12416,1987557.0,73.07
