datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,896.6,899.9,882.4,886.25,260834,2315.32,17847,161525.0,61.93
24-06-2026 00:00,886.2,896.85,884.0,893.95,235267,2095.21,16490,135588.0,57.63
23-06-2026 00:00,876.6,899.0,876.55,886.2,309526,2747.12,19449,142653.0,46.09
22-06-2026 00:00,864.9,884.9,864.05,876.65,293058,2573.75,16584,119998.0,40.95
19-06-2026 00:00,861.0,869.8,853.6,859.05,359706,3096.91,19928,156493.0,43.51
18-06-2026 00:00,870.1,878.6,870.0,873.45,223289,1951.1,10478,99534.0,44.58
17-06-2026 00:00,865.0,884.0,855.15,876.15,1532390,13282.19,52012,467077.0,30.48
16-06-2026 00:00,900.0,912.8,879.0,907.65,1284148,11486.88,52839,762486.0,59.38
15-06-2026 00:00,895.5,905.45,878.85,897.0,1011550,9037.16,42777,567850.0,56.14
12-06-2026 00:00,873.7,883.45,861.75,877.95,1685172,14694.65,68314,1009831.0,59.92
11-06-2026 00:00,853.0,857.2,840.1,846.65,692295,5863.94,44303,372235.0,53.77
10-06-2026 00:00,865.6,873.85,845.35,848.9,349230,2999.08,24446,233655.0,66.91
09-06-2026 00:00,869.45,874.0,862.0,864.0,317767,2749.32,9850,235393.0,74.08
08-06-2026 00:00,874.0,884.1,860.0,862.3,349547,3040.94,21002,181878.0,52.03
05-06-2026 00:00,895.35,906.2,872.2,877.2,509518,4507.94,30041,272261.0,53.44
04-06-2026 00:00,901.6,903.6,891.0,892.45,285079,2553.05,17904,163538.0,57.37
03-06-2026 00:00,925.5,925.6,893.2,906.3,418105,3776.32,20288,235961.0,56.44
02-06-2026 00:00,905.0,931.5,904.0,925.6,589573,5449.24,33375,287914.0,48.83
01-06-2026 00:00,919.0,929.6,899.0,906.45,494645,4515.43,32222,227846.0,46.06
29-05-2026 00:00,922.5,927.6,885.7,908.25,407322,3735.9,18681,227732.0,55.91
27-05-2026 00:00,925.55,927.3,915.25,917.5,153501,1411.75,12173,72866.0,47.47
26-05-2026 00:00,921.0,932.0,917.2,925.55,336958,3112.56,17061,157252.0,46.67
25-05-2026 00:00,910.0,925.0,902.65,918.05,365567,3354.38,24224,178075.0,48.71
22-05-2026 00:00,903.95,911.0,890.55,901.7,235998,2130.53,15939,94995.0,40.25
21-05-2026 00:00,909.0,912.5,897.5,902.25,108610,979.64,9978,51459.0,47.38
20-05-2026 00:00,900.2,914.4,895.0,905.05,198055,1797.13,13251,73617.0,37.17
19-05-2026 00:00,875.25,910.4,875.25,905.85,371270,3336.7,25726,174670.0,47.05
18-05-2026 00:00,870.7,879.4,856.3,876.45,182249,1582.9,14982,66062.0,36.25
15-05-2026 00:00,876.25,884.75,869.0,870.7,122437,1073.69,10655,50338.0,41.11
14-05-2026 00:00,889.5,893.7,870.0,871.85,267979,2347.22,21448,137086.0,51.16
13-05-2026 00:00,898.0,902.0,877.05,886.55,294459,2612.12,26289,118408.0,40.21
12-05-2026 00:00,919.95,921.95,884.0,903.45,494759,4446.59,34681,230333.0,46.55
11-05-2026 00:00,904.7,927.6,881.05,919.75,603457,5486.46,36951,269210.0,44.61
08-05-2026 00:00,896.0,919.5,894.0,904.7,376693,3419.26,18670,146994.0,39.02
07-05-2026 00:00,903.0,904.0,887.0,894.4,372760,3337.02,24371,185527.0,49.77
06-05-2026 00:00,871.0,904.5,870.2,900.75,567949,5048.44,25335,282406.0,49.72
05-05-2026 00:00,875.0,878.0,862.4,869.9,174901,1519.75,17403,86431.0,49.42
04-05-2026 00:00,878.0,882.9,862.2,871.8,218915,1903.93,18740,107913.0,49.29
30-04-2026 00:00,845.0,880.0,841.0,871.75,587705,5082.96,32706,173598.0,29.54
29-04-2026 00:00,865.05,865.8,841.5,844.2,599970,5113.98,27764,360472.0,60.08
28-04-2026 00:00,885.8,889.25,853.95,858.5,748771,6492.64,39330,430471.0,57.49
27-04-2026 00:00,880.0,893.9,874.6,885.2,945939,8352.72,38909,601808.0,63.62
24-04-2026 00:00,937.0,937.0,867.05,873.05,2049322,18146.81,111127,881069.0,42.99
23-04-2026 00:00,952.15,961.85,933.05,935.9,230018,2178.91,17183,110726.0,48.14
22-04-2026 00:00,956.9,967.85,947.1,961.8,264731,2537.32,16775,98818.0,37.33
21-04-2026 00:00,952.0,971.0,947.05,958.4,194329,1865.29,15699,95719.0,49.26
20-04-2026 00:00,966.4,970.0,945.2,948.05,192941,1839.57,14550,93181.0,48.3
17-04-2026 00:00,966.9,989.5,957.6,962.3,376297,3638.62,23163,189295.0,50.3
16-04-2026 00:00,972.05,977.9,950.05,967.3,435206,4187.09,23007,154775.0,35.56
15-04-2026 00:00,924.15,982.5,922.0,962.6,2177102,20998.4,88777,376851.0,17.31
13-04-2026 00:00,886.05,906.85,871.35,896.15,250101,2234.26,19696,102907.0,41.15
10-04-2026 00:00,896.2,917.0,884.25,910.0,406807,3679.03,34785,160621.0,39.48
09-04-2026 00:00,864.0,892.55,855.25,890.2,449349,3951.46,29660,198458.0,44.17
08-04-2026 00:00,864.0,864.0,836.0,859.25,338644,2877.46,28514,134677.0,39.77
07-04-2026 00:00,813.0,854.65,799.25,832.35,622415,5193.76,34749,244315.0,39.25
06-04-2026 00:00,804.8,817.05,796.2,813.15,169371,1374.5,15938,81246.0,47.97
02-04-2026 00:00,775.0,811.55,760.35,804.85,396748,3139.1,28036,175881.0,44.33
01-04-2026 00:00,792.2,811.25,767.0,780.45,421493,3338.34,35343,169898.0,40.31
30-03-2026 00:00,781.0,793.95,750.3,752.85,382835,2941.7,25982,176873.0,46.2
27-03-2026 00:00,809.0,809.0,780.3,784.75,666594,5283.39,41547,371498.0,55.73
25-03-2026 00:00,807.0,827.8,795.45,815.7,586179,4770.94,46557,335168.0,57.18
24-03-2026 00:00,815.0,815.0,781.1,798.45,414210,3299.04,29176,224041.0,54.09
23-03-2026 00:00,820.0,825.35,788.25,791.4,309297,2468.89,23686,157603.0,50.96
20-03-2026 00:00,844.15,848.75,821.2,825.35,199549,1660.94,19568,92568.0,46.39
19-03-2026 00:00,847.95,853.6,828.15,829.85,260528,2189.58,23351,149940.0,57.55
18-03-2026 00:00,852.0,879.4,852.0,858.1,311318,2694.47,28954,130755.0,42.0
17-03-2026 00:00,859.0,869.75,841.0,850.85,308476,2643.96,22906,136553.0,44.27
16-03-2026 00:00,871.0,876.8,841.95,854.5,260716,2227.94,19807,106177.0,40.73
13-03-2026 00:00,903.0,909.45,867.45,870.1,151895,1337.23,17958,70718.0,46.56
12-03-2026 00:00,922.9,925.0,899.05,902.55,199791,1820.62,20248,101208.0,50.66
11-03-2026 00:00,911.95,953.1,900.0,924.6,500278,4678.19,32149,134117.0,26.81
10-03-2026 00:00,866.95,913.95,866.0,907.8,290951,2612.95,22053,118597.0,40.76
09-03-2026 00:00,872.5,875.0,853.3,858.3,371838,3197.47,28489,209580.0,56.36
06-03-2026 00:00,870.0,893.4,868.8,884.85,193290,1715.79,19550,100352.0,51.92
05-03-2026 00:00,886.9,893.9,872.95,885.8,195981,1729.82,18382,94109.0,48.02
04-03-2026 00:00,889.95,907.5,875.9,882.25,259099,2299.14,22273,123486.0,47.66
02-03-2026 00:00,896.4,919.85,875.0,899.5,181048,1635.3,18278,82189.0,45.4
27-02-2026 00:00,925.2,942.8,908.1,914.7,490683,4526.95,25864,214626.0,43.74
26-02-2026 00:00,929.2,945.0,919.1,921.9,256589,2388.62,16744,111103.0,43.3
25-02-2026 00:00,950.8,959.8,929.1,931.8,245304,2308.21,16353,99719.0,40.65
24-02-2026 00:00,979.8,980.0,944.5,950.1,401287,3830.98,26469,203587.0,50.73
23-02-2026 00:00,995.0,998.8,971.3,982.0,174985,1715.93,15811,68783.0,39.31
20-02-2026 00:00,992.6,999.4,981.1,988.6,144991,1437.56,13354,58549.0,40.38
19-02-2026 00:00,1020.0,1029.6,988.1,993.8,134478,1352.6,12807,54984.0,40.89
18-02-2026 00:00,1010.5,1028.1,1000.1,1019.8,202240,2050.74,15793,85186.0,42.12
17-02-2026 00:00,990.9,1019.0,987.7,1010.3,183178,1847.02,16506,58435.0,31.9
16-02-2026 00:00,1000.0,1002.1,985.0,990.5,167975,1665.57,14014,60800.0,36.2
13-02-2026 00:00,990.0,1029.7,982.5,995.2,370990,3735.46,33513,136279.0,36.73
12-02-2026 00:00,1055.0,1058.3,1012.0,1017.0,400280,4101.42,31037,204400.0,51.06
11-02-2026 00:00,1085.0,1095.5,1058.0,1061.9,150681,1613.31,16326,74843.0,49.67
10-02-2026 00:00,1082.0,1097.4,1073.0,1083.9,241572,2620.46,20253,122651.0,50.77
09-02-2026 00:00,1070.9,1089.9,1070.9,1079.3,147092,1590.18,14363,64055.0,43.55
06-02-2026 00:00,1094.0,1096.3,1037.6,1066.6,620633,6568.56,39796,191513.0,30.86
05-02-2026 00:00,1132.1,1139.3,1098.0,1102.1,235456,2617.67,19808,108026.0,45.88
04-02-2026 00:00,1135.0,1156.3,1111.5,1148.3,212085,2398.07,16052,98097.0,46.25
03-02-2026 00:00,1182.9,1182.9,1141.1,1156.3,181934,2096.15,18195,89044.0,48.94
02-02-2026 00:00,1140.1,1140.1,1105.0,1129.6,223192,2504.7,19859,93848.0,42.05
01-02-2026 00:00,1145.0,1149.8,1116.8,1144.3,150165,1708.89,11684,58996.0,39.29
30-01-2026 00:00,1115.0,1148.0,1102.0,1138.1,247081,2787.33,30251,140493.0,56.86
29-01-2026 00:00,1124.1,1124.1,1094.5,1115.0,180728,2006.78,11080,110274.0,61.02
28-01-2026 00:00,1110.1,1123.3,1097.6,1118.2,199647,2221.02,15709,98166.0,49.17
27-01-2026 00:00,1085.0,1119.9,1068.9,1110.0,337045,3693.53,33751,163377.0,48.47
23-01-2026 00:00,1132.0,1137.1,1072.2,1085.8,738409,8109.37,51770,337555.0,45.71
22-01-2026 00:00,1132.3,1140.0,1118.0,1134.4,280745,3170.87,18834,147269.0,52.46
21-01-2026 00:00,1165.6,1173.1,1115.8,1123.2,683043,7732.83,41336,281711.0,41.24
20-01-2026 00:00,1177.2,1191.0,1156.6,1183.2,980807,11451.64,22149,768154.0,78.32
19-01-2026 00:00,1200.0,1208.0,1179.7,1183.1,186234,2219.11,16009,81105.0,43.55
16-01-2026 00:00,1175.9,1204.4,1168.0,1201.0,401804,4812.9,24697,244534.0,60.86
14-01-2026 00:00,1175.0,1185.2,1161.1,1175.9,255742,3003.07,18829,149199.0,58.34
13-01-2026 00:00,1158.0,1180.5,1152.3,1175.0,177933,2083.08,15226,94843.0,53.3
12-01-2026 00:00,1153.0,1159.0,1133.1,1152.7,177081,2030.86,14746,56547.0,31.93
09-01-2026 00:00,1170.0,1184.4,1152.4,1159.1,230408,2696.37,19576,97178.0,42.18
08-01-2026 00:00,1186.0,1208.0,1170.0,1180.6,690724,8216.88,34384,269149.0,38.97
07-01-2026 00:00,1132.2,1184.5,1132.2,1176.9,379839,4435.66,20222,175797.0,46.28
06-01-2026 00:00,1150.0,1155.9,1132.0,1141.3,263020,3017.58,15685,132320.0,50.31
05-01-2026 00:00,1106.7,1174.4,1106.7,1154.2,1286852,14873.96,55725,400539.0,31.13
02-01-2026 00:00,1105.0,1114.0,1101.2,1105.9,136553,1511.98,9629,62201.0,45.55
01-01-2026 00:00,1116.0,1120.9,1105.0,1109.1,157220,1749.33,7264,64419.0,40.97
31-12-2025 00:00,1097.0,1129.0,1092.9,1117.8,365525,4089.27,22405,123211.0,33.71
30-12-2025 00:00,1105.0,1111.6,1076.3,1092.9,1255450,13717.93,39300,658770.0,52.47
29-12-2025 00:00,1119.4,1122.0,1085.0,1105.0,1554536,17155.91,44258,848226.0,54.56
26-12-2025 00:00,1122.5,1128.5,1115.0,1119.4,706982,7933.42,20337,400746.0,56.68
24-12-2025 00:00,1151.0,1151.9,1118.0,1121.6,726849,8195.46,21668,419509.0,57.72
23-12-2025 00:00,1165.0,1169.0,1139.9,1144.7,326489,3753.35,16376,148326.0,45.43
22-12-2025 00:00,1165.0,1166.5,1140.0,1161.7,493494,5706.42,18924,209561.0,42.46
19-12-2025 00:00,1151.5,1160.2,1139.9,1157.6,300830,3461.25,16526,122322.0,40.66
18-12-2025 00:00,1148.7,1151.0,1130.0,1141.3,468028,5344.64,24088,143270.0,30.61
17-12-2025 00:00,1142.0,1152.1,1126.0,1138.8,878154,9993.75,58650,136870.0,15.59
16-12-2025 00:00,1148.0,1154.2,1141.0,1149.8,273414,3142.0,11231,157086.0,57.45
