datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,6760.0,6761.5,6689.0,6713.5,222828,14956.9,28224,128787.0,57.8
24-06-2026 00:00,6750.0,6825.0,6725.0,6753.5,252591,17064.63,29066,140173.0,55.49
23-06-2026 00:00,6790.0,6887.5,6727.0,6747.0,295302,20124.2,28758,126357.0,42.79
22-06-2026 00:00,6755.0,6799.0,6714.0,6787.5,232409,15716.91,24587,127953.0,55.06
19-06-2026 00:00,6790.0,6795.0,6716.5,6743.0,372371,25136.04,35419,204522.0,54.92
18-06-2026 00:00,6661.5,6781.5,6636.0,6767.0,411896,27568.42,34766,271236.0,65.85
17-06-2026 00:00,6730.0,6759.5,6641.0,6663.5,256856,17155.85,26294,168884.0,65.75
16-06-2026 00:00,6620.0,6732.0,6571.0,6712.5,329248,21954.27,33774,186275.0,56.58
15-06-2026 00:00,6651.0,6676.5,6592.0,6608.5,196206,12998.95,27714,118429.0,60.36
12-06-2026 00:00,6719.5,6738.5,6622.0,6638.0,162810,10835.18,18997,87944.0,54.02
11-06-2026 00:00,6635.0,6720.0,6625.0,6655.5,228572,15271.33,32780,105342.0,46.09
10-06-2026 00:00,6750.0,6815.0,6610.0,6638.5,405743,27351.65,49045,232585.0,57.32
09-06-2026 00:00,6535.0,6790.0,6535.0,6753.0,912179,61362.67,80814,519574.0,56.96
08-06-2026 00:00,6571.0,6710.0,6506.0,6521.0,456406,30122.2,52361,279913.0,61.33
05-06-2026 00:00,6636.5,6636.5,6567.0,6623.0,200964,13276.32,25191,123852.0,61.63
04-06-2026 00:00,6551.0,6700.0,6521.0,6596.5,347823,23045.18,40756,223543.0,64.27
03-06-2026 00:00,6520.0,6604.5,6460.0,6576.5,563313,36971.55,30643,392295.0,69.64
02-06-2026 00:00,6510.0,6552.0,6450.5,6533.0,362800,23608.91,46900,219902.0,60.61
01-06-2026 00:00,6690.0,6702.5,6535.5,6553.5,125379,8274.49,18596,60344.0,48.13
29-05-2026 00:00,6800.0,6849.0,6590.0,6667.0,612037,41013.24,33794,431980.0,70.58
27-05-2026 00:00,6785.0,6855.5,6726.0,6797.5,155051,10545.94,19647,62732.0,40.46
26-05-2026 00:00,6755.0,6805.0,6661.0,6753.0,309440,20795.97,29986,137890.0,44.56
25-05-2026 00:00,6750.0,6945.0,6690.0,6756.5,874049,59498.3,59724,373224.0,42.7
