datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1331.9,1363.0,1331.9,1350.5,1699744,22973.31,79376,794919.0,46.77
24-06-2026 00:00,1310.0,1343.0,1306.2,1328.4,3346371,44607.87,88474,1353548.0,40.45
23-06-2026 00:00,1297.2,1329.5,1294.9,1301.3,2878800,37719.92,69894,1086930.0,37.76
22-06-2026 00:00,1278.1,1306.0,1271.2,1290.7,1618251,20919.81,44383,707059.0,43.69
19-06-2026 00:00,1267.0,1275.0,1261.0,1272.1,1312877,16669.6,30751,930419.0,70.87
18-06-2026 00:00,1269.0,1279.9,1261.7,1267.5,774093,9813.23,36571,412409.0,53.28
17-06-2026 00:00,1276.0,1277.4,1260.9,1269.0,683616,8667.06,38178,387878.0,56.74
16-06-2026 00:00,1279.0,1286.0,1269.1,1276.9,430918,5504.0,23257,207177.0,48.08
15-06-2026 00:00,1296.2,1296.2,1275.3,1279.5,1178640,15132.04,38100,503591.0,42.73
12-06-2026 00:00,1291.0,1291.0,1266.0,1275.4,1645027,20956.42,30581,1129805.0,68.68
11-06-2026 00:00,1271.1,1285.7,1266.4,1276.0,1057772,13515.05,37079,545881.0,51.61
10-06-2026 00:00,1268.6,1283.7,1266.7,1271.7,1172155,14931.45,37131,655147.0,55.89
09-06-2026 00:00,1277.0,1287.6,1261.4,1268.5,871896,11088.77,32788,522339.0,59.91
08-06-2026 00:00,1270.0,1293.7,1270.0,1275.6,862999,11084.32,42434,268765.0,31.14
05-06-2026 00:00,1273.0,1289.4,1268.5,1278.2,774687,9913.24,37715,342023.0,44.15
04-06-2026 00:00,1257.3,1274.9,1248.4,1267.5,944045,11943.21,32138,601491.0,63.71
03-06-2026 00:00,1269.5,1275.2,1256.9,1263.3,1226407,15508.5,46744,687547.0,56.06
02-06-2026 00:00,1280.2,1284.7,1264.1,1274.0,2021793,25733.99,67544,1250352.0,61.84
01-06-2026 00:00,1310.1,1319.6,1284.8,1290.4,1379034,17832.06,47503,683917.0,49.59
29-05-2026 00:00,1318.8,1328.6,1297.5,1303.5,5424483,70793.96,77145,3989603.0,73.55
27-05-2026 00:00,1329.6,1346.8,1316.7,1319.0,959327,12724.29,33399,511383.0,53.31
26-05-2026 00:00,1333.0,1341.0,1321.6,1327.9,1909354,25449.28,40304,1113929.0,58.34
25-05-2026 00:00,1320.0,1340.5,1298.7,1331.4,4659781,61700.99,39210,3390594.0,72.76
22-05-2026 00:00,1319.0,1329.6,1305.1,1307.2,2002451,26271.53,40657,1296016.0,64.72
21-05-2026 00:00,1325.0,1331.6,1314.2,1318.5,2183121,28892.9,42779,1369316.0,62.72
20-05-2026 00:00,1323.6,1336.0,1319.6,1321.9,1277182,16950.67,51554,700916.0,54.88
19-05-2026 00:00,1332.0,1345.0,1318.9,1335.2,2488019,33141.89,52160,1365553.0,54.89
18-05-2026 00:00,1336.5,1341.9,1322.0,1331.2,1926791,25652.86,75892,1128686.0,58.58
15-05-2026 00:00,1303.6,1344.9,1303.6,1336.7,3982549,52842.14,85881,2377981.0,59.71
14-05-2026 00:00,1265.3,1307.7,1255.0,1303.6,2362951,30507.22,85065,1032050.0,43.68
13-05-2026 00:00,1245.6,1303.8,1230.0,1265.3,9276074,117727.67,182488,3443270.0,37.12
12-05-2026 00:00,1278.9,1288.3,1264.5,1270.0,1946195,24865.58,78949,848003.0,43.57
11-05-2026 00:00,1288.0,1299.9,1272.5,1279.9,1506740,19385.69,88734,782150.0,51.91
08-05-2026 00:00,1303.5,1310.2,1290.0,1293.9,964903,12521.61,45836,422342.0,43.77
07-05-2026 00:00,1309.1,1315.7,1297.3,1307.6,2530096,33084.0,64014,1280277.0,50.6
06-05-2026 00:00,1282.0,1328.6,1277.1,1311.0,3340410,43777.73,75908,1514729.0,45.35
05-05-2026 00:00,1287.6,1292.4,1268.5,1271.2,986348,12593.54,51196,378722.0,38.4
