datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,7620.0,7754.0,7582.0,7598.0,673579,51696.62,70609,348937.0,51.8
24-06-2026 00:00,7520.0,7646.0,7488.0,7572.0,324328,24544.7,42374,162816.0,50.2
23-06-2026 00:00,7630.0,7676.0,7557.5,7578.0,365865,27904.2,38016,207649.0,56.76
22-06-2026 00:00,7650.0,7720.5,7615.0,7639.5,375714,28836.11,42523,178524.0,47.52
19-06-2026 00:00,7550.0,7658.0,7501.0,7611.0,682982,51896.97,47137,464996.0,68.08
18-06-2026 00:00,7520.0,7668.0,7520.0,7601.0,485856,36978.06,56206,228052.0,46.94
17-06-2026 00:00,7560.5,7578.5,7452.5,7509.0,404085,30377.85,36969,228418.0,56.53
16-06-2026 00:00,7654.0,7666.0,7540.5,7560.5,453796,34390.71,50858,248466.0,54.75
15-06-2026 00:00,7363.0,7644.5,7280.0,7624.5,784420,59194.36,72925,395898.0,50.47
12-06-2026 00:00,7282.0,7354.5,7212.0,7312.0,300260,21875.75,37420,115440.0,38.45
11-06-2026 00:00,7130.0,7227.0,7078.0,7179.5,425248,30478.74,46299,194314.0,45.69
10-06-2026 00:00,7171.0,7268.0,7155.5,7219.5,480600,34757.74,47694,292050.0,60.77
09-06-2026 00:00,7137.5,7299.0,7050.0,7203.0,547103,39393.36,68395,246367.0,45.03
08-06-2026 00:00,6985.0,7094.0,6956.0,7050.0,402793,28394.0,39394,201997.0,50.15
05-06-2026 00:00,7140.0,7150.0,7029.0,7070.0,422329,29927.96,44113,219679.0,52.02
04-06-2026 00:00,7105.0,7156.0,7030.5,7110.0,429763,30503.81,57174,225825.0,52.55
03-06-2026 00:00,7139.5,7178.0,7045.0,7130.0,413545,29425.66,76296,182854.0,44.22
02-06-2026 00:00,7069.0,7165.0,6950.0,7141.5,452665,32020.74,72452,197851.0,43.71
01-06-2026 00:00,7177.0,7240.5,7069.5,7100.5,600629,42832.68,52151,165333.0,27.53
29-05-2026 00:00,7350.0,7440.5,7131.5,7177.0,1464680,105793.55,93167,960914.0,65.61
27-05-2026 00:00,7375.0,7429.0,7315.0,7419.0,283327,20914.09,31142,132252.0,46.68
26-05-2026 00:00,7415.0,7441.0,7355.0,7376.0,388413,28727.99,41022,184347.0,47.46
25-05-2026 00:00,7237.0,7432.0,7215.0,7414.0,1354536,99695.18,102172,397653.0,29.36
22-05-2026 00:00,6925.0,7041.0,6908.5,6981.5,512596,35814.13,56017,256116.0,49.96
21-05-2026 00:00,6902.0,6945.5,6863.0,6892.0,491206,33908.8,61358,265019.0,53.95
20-05-2026 00:00,6813.0,6905.0,6752.5,6849.5,455047,31209.96,53893,252431.0,55.47
19-05-2026 00:00,6936.0,6974.0,6860.0,6882.5,406588,28034.55,55179,220373.0,54.2
18-05-2026 00:00,6970.0,6974.5,6813.0,6913.0,316357,21802.63,46245,125802.0,39.77
15-05-2026 00:00,7030.0,7115.5,6975.0,7014.5,313548,22037.71,41981,112876.0,36.0
14-05-2026 00:00,7000.0,7102.0,6842.5,7034.0,447978,31260.12,50573,153284.0,34.22
13-05-2026 00:00,7125.0,7157.0,6863.0,6971.5,668271,46610.69,76639,229932.0,34.41
