datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,256.2,256.9,250.1,251.82,2854776,7225.05,32544,989069.0,34.65
24-06-2026 00:00,260.24,261.77,252.29,253.69,2919936,7463.63,38001,945989.0,32.4
23-06-2026 00:00,258.5,265.0,257.35,260.24,7878530,20610.0,81359,3084121.0,39.15
22-06-2026 00:00,251.75,261.93,251.01,258.5,7510440,19403.71,62570,2806084.0,37.36
19-06-2026 00:00,253.5,258.9,248.2,250.74,6016884,15271.9,57187,2326703.0,38.67
18-06-2026 00:00,245.74,255.54,241.64,253.15,10768293,26957.19,85864,3732834.0,34.67
17-06-2026 00:00,233.5,244.65,233.5,243.19,6865480,16611.59,59857,1894574.0,27.6
16-06-2026 00:00,238.55,241.3,231.0,232.26,3310923,7787.95,44013,1359227.0,41.05
15-06-2026 00:00,240.0,242.29,235.1,236.07,2391782,5710.61,30063,1035978.0,43.31
12-06-2026 00:00,225.1,238.5,225.1,234.68,3699138,8588.53,39711,1220446.0,32.99
11-06-2026 00:00,231.8,233.0,220.0,223.95,1775617,4026.56,25672,850491.0,47.9
10-06-2026 00:00,238.5,239.9,231.0,232.05,2000951,4689.7,23667,920054.0,45.98
09-06-2026 00:00,241.1,242.37,236.38,239.37,1954446,4671.05,25995,702123.0,35.92
08-06-2026 00:00,234.01,243.85,232.16,239.37,4779777,11500.56,47163,1675964.0,35.06
05-06-2026 00:00,238.6,240.5,235.2,237.78,2382489,5663.74,35713,886146.0,37.19
04-06-2026 00:00,227.4,238.61,225.02,237.67,4223885,9945.9,50497,1442269.0,34.15
03-06-2026 00:00,227.0,229.45,221.1,228.02,1792655,4046.54,25119,657506.0,36.68
02-06-2026 00:00,222.0,228.09,221.75,227.23,1521948,3440.31,17722,511234.0,33.59
01-06-2026 00:00,232.49,232.77,223.75,224.73,2806531,6416.08,33868,1153478.0,41.1
29-05-2026 00:00,235.95,240.75,230.0,231.7,3177009,7497.17,33705,1305715.0,41.1
