datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,77.65,77.87,73.82,75.14,3308235,2490.48,28085,1632867.0,49.36
24-06-2026 00:00,76.8,79.43,76.4,77.05,5034635,3922.9,24843,2160753.0,42.92
23-06-2026 00:00,76.6,78.0,75.71,77.08,2324439,1795.0,24638,1143445.0,49.19
22-06-2026 00:00,77.3,78.12,76.46,76.57,1604577,1237.75,11753,886279.0,55.23
19-06-2026 00:00,77.1,78.4,76.45,77.25,3156614,2441.5,22331,1574299.0,49.87
18-06-2026 00:00,78.98,79.29,77.2,77.7,2668337,2087.21,21042,1454739.0,54.52
17-06-2026 00:00,79.3,79.3,77.76,78.65,3409171,2685.81,18484,1878671.0,55.11
16-06-2026 00:00,78.04,80.14,77.5,78.75,4673415,3690.14,32043,2399405.0,51.34
15-06-2026 00:00,77.0,79.5,76.1,78.46,8069568,6281.39,46511,4493441.0,55.68
12-06-2026 00:00,72.6,76.25,72.6,75.54,14409502,10782.73,76899,6214815.0,43.13
11-06-2026 00:00,73.0,73.74,71.0,71.39,3614041,2610.27,33028,2013424.0,55.71
10-06-2026 00:00,75.4,75.49,73.07,73.52,2397543,1776.35,17615,1384015.0,57.73
09-06-2026 00:00,75.2,76.93,74.67,74.98,7486921,5666.78,39659,3582366.0,47.85
08-06-2026 00:00,73.2,76.26,72.56,74.83,10801060,8121.1,44083,5150013.0,47.68
05-06-2026 00:00,72.8,74.25,72.66,73.95,15166973,11201.38,23144,12076955.0,79.63
04-06-2026 00:00,70.45,73.0,69.76,72.3,8173933,5867.62,15669,6369955.0,77.93
03-06-2026 00:00,69.76,71.45,68.68,70.9,2148146,1510.38,12393,818161.0,38.09
02-06-2026 00:00,69.4,71.04,68.23,69.76,2734512,1909.15,18969,1114364.0,40.75
01-06-2026 00:00,70.03,70.24,68.56,69.41,1606376,1113.89,11376,788816.0,49.11
29-05-2026 00:00,72.29,72.58,69.57,70.21,2026309,1425.76,13596,1226285.0,60.52
27-05-2026 00:00,70.75,72.6,70.15,72.18,3894528,2809.3,24964,2275695.0,58.43
26-05-2026 00:00,68.2,70.57,68.16,70.15,2944508,2060.04,18041,1313369.0,44.6
25-05-2026 00:00,67.61,68.39,66.86,68.16,1768372,1200.72,15371,909720.0,51.44
22-05-2026 00:00,68.62,68.62,66.0,66.48,3397582,2283.02,25909,1644818.0,48.41
21-05-2026 00:00,68.39,69.39,67.6,68.96,2220212,1525.59,17786,1405202.0,63.29
20-05-2026 00:00,67.66,68.95,67.0,68.04,1306251,885.2,11577,682281.0,52.23
19-05-2026 00:00,66.5,69.3,66.5,67.98,2999920,2045.6,21156,1499429.0,49.98
18-05-2026 00:00,67.0,67.83,65.75,66.74,3255695,2168.75,21320,1588863.0,48.8
15-05-2026 00:00,68.6,69.81,67.57,67.96,2425300,1665.97,18882,1261146.0,52.0
14-05-2026 00:00,68.85,69.53,67.05,68.32,2194021,1496.16,13689,918113.0,41.85
13-05-2026 00:00,67.91,69.6,67.91,68.56,2032600,1399.12,18608,1129154.0,55.55
12-05-2026 00:00,69.6,71.23,67.58,67.91,3610058,2503.66,23481,1799405.0,49.84
11-05-2026 00:00,72.7,72.7,69.26,69.8,3050844,2154.72,17369,1564809.0,51.29
08-05-2026 00:00,72.8,73.71,72.18,72.45,2735211,1992.63,27383,1274757.0,46.61
07-05-2026 00:00,73.95,73.95,71.87,73.28,3929817,2865.55,19671,1767416.0,44.97
06-05-2026 00:00,71.13,74.4,71.1,73.49,7495714,5486.78,37002,3205967.0,42.77
05-05-2026 00:00,72.15,73.38,70.4,70.55,7714403,5535.71,35223,2605717.0,33.78
04-05-2026 00:00,71.0,74.6,69.33,70.9,51260989,37170.99,170981,9586815.0,18.7
30-04-2026 00:00,66.91,67.93,66.18,66.85,1828534,1224.35,13110,834379.0,45.63
29-04-2026 00:00,66.6,69.14,66.41,66.91,2666910,1808.31,12909,1061835.0,39.82
28-04-2026 00:00,67.0,67.29,66.33,66.59,914319,611.24,5880,491724.0,53.78
27-04-2026 00:00,65.32,67.52,65.01,67.34,1879213,1256.39,11926,892728.0,47.51
24-04-2026 00:00,66.99,68.0,65.0,65.22,2616500,1736.57,15147,869304.0,33.22
23-04-2026 00:00,65.16,66.5,64.6,65.95,2938231,1931.97,17207,1464849.0,49.85
22-04-2026 00:00,65.0,65.45,64.23,65.23,1483143,963.52,13410,771956.0,52.05
21-04-2026 00:00,64.0,65.63,64.0,65.19,1372405,889.4,8099,631798.0,46.04
20-04-2026 00:00,65.4,65.4,63.55,63.92,993106,639.84,6533,509069.0,51.26
