datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1459.1,1464.8,1441.8,1459.0,33920,493.13,7936,18028.0,53.15
24-06-2026 00:00,1474.9,1488.0,1450.8,1466.4,69036,1012.57,8339,32470.0,47.03
23-06-2026 00:00,1445.0,1485.0,1433.4,1461.0,123424,1813.61,13313,53245.0,43.14
22-06-2026 00:00,1445.0,1448.9,1422.0,1436.6,26660,383.22,3867,13152.0,49.33
19-06-2026 00:00,1438.1,1467.0,1407.0,1448.4,103405,1495.2,11992,52636.0,50.9
18-06-2026 00:00,1416.0,1440.1,1405.1,1430.6,51641,738.78,8690,23268.0,45.06
17-06-2026 00:00,1384.0,1415.0,1377.1,1411.1,44785,629.06,8149,23577.0,52.64
16-06-2026 00:00,1395.0,1401.6,1370.0,1376.5,21461,295.83,5422,10690.0,49.81
15-06-2026 00:00,1408.7,1409.8,1380.3,1384.4,54697,761.61,9753,26147.0,47.8
12-06-2026 00:00,1388.0,1411.4,1365.3,1404.6,63719,887.73,8479,34031.0,53.41
11-06-2026 00:00,1365.0,1400.0,1337.6,1365.6,62932,863.64,10119,32563.0,51.74
10-06-2026 00:00,1371.0,1384.0,1363.2,1366.9,43873,602.04,9896,23398.0,53.33
09-06-2026 00:00,1370.0,1380.8,1362.0,1373.7,41351,566.11,6547,25704.0,62.16
08-06-2026 00:00,1355.0,1385.0,1348.0,1365.1,56948,778.68,7194,29210.0,51.29
05-06-2026 00:00,1375.0,1380.1,1352.0,1365.2,160106,2184.44,10280,108177.0,67.57
04-06-2026 00:00,1380.0,1397.1,1364.2,1367.3,35868,493.5,5258,17900.0,49.91
03-06-2026 00:00,1369.9,1412.0,1360.0,1397.1,112792,1572.94,10301,42940.0,38.07
02-06-2026 00:00,1375.0,1395.5,1350.0,1362.1,40059,543.66,6525,20501.0,51.18
01-06-2026 00:00,1400.0,1413.0,1368.8,1378.4,46574,644.67,6527,19520.0,41.91
29-05-2026 00:00,1350.8,1403.0,1350.8,1399.0,174852,2433.54,10516,108572.0,62.09
27-05-2026 00:00,1362.2,1374.9,1350.0,1350.8,37418,508.58,3300,18630.0,49.79
26-05-2026 00:00,1354.9,1370.0,1323.1,1361.4,105765,1428.6,8684,39987.0,37.81
