datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,900.45,903.7,885.9,890.0,153916,1372.41,7431,63452.0,41.23
24-06-2026 00:00,898.0,906.8,884.0,900.45,241588,2163.56,11768,76985.0,31.87
23-06-2026 00:00,907.0,915.0,888.0,892.85,311684,2808.38,14574,106217.0,34.08
22-06-2026 00:00,891.9,932.0,868.0,906.25,1474214,13363.72,58428,234610.0,15.91
19-06-2026 00:00,950.05,975.0,878.0,884.85,1631576,14941.56,62666,665468.0,40.79
18-06-2026 00:00,967.0,977.3,948.95,953.45,386522,3698.92,15726,103241.0,26.71
17-06-2026 00:00,990.8,994.95,964.0,967.6,934315,9095.97,30024,171156.0,18.32
16-06-2026 00:00,906.75,1058.6,906.35,997.8,13126383,132746.26,317553,975625.0,7.43
15-06-2026 00:00,923.95,923.95,903.0,906.05,193515,1762.38,8564,86502.0,44.7
12-06-2026 00:00,902.0,914.95,886.7,902.35,248746,2248.73,13643,77506.0,31.16
11-06-2026 00:00,900.1,900.8,881.1,889.2,158020,1402.41,8713,38941.0,24.64
10-06-2026 00:00,888.25,929.0,888.25,901.35,1968434,17932.6,68500,188793.0,9.59
09-06-2026 00:00,870.0,879.9,867.0,876.05,77478,676.64,4361,25630.0,33.08
08-06-2026 00:00,864.0,876.95,852.0,866.35,111467,964.53,6290,32297.0,28.97
05-06-2026 00:00,870.0,886.45,865.0,866.85,101797,888.94,6196,30368.0,29.83
04-06-2026 00:00,868.1,892.0,863.2,865.5,156460,1370.02,8168,51423.0,32.87
03-06-2026 00:00,879.0,882.5,858.4,871.4,117635,1025.89,6993,24957.0,21.22
02-06-2026 00:00,860.0,876.4,853.15,871.35,86475,746.26,5704,24454.0,28.28
01-06-2026 00:00,880.0,886.35,855.0,868.65,139448,1219.47,8675,40253.0,28.87
29-05-2026 00:00,927.95,927.95,850.05,875.65,768163,6739.04,39069,142742.0,18.58
27-05-2026 00:00,910.6,938.4,904.5,923.4,742331,6865.58,28345,220817.0,29.75
26-05-2026 00:00,882.0,914.0,882.0,903.4,432913,3911.96,20286,101698.0,23.49
25-05-2026 00:00,881.0,895.0,876.25,883.05,127711,1130.68,6152,36074.0,28.25
22-05-2026 00:00,868.05,898.45,868.05,879.25,312974,2774.73,17012,53722.0,17.17
21-05-2026 00:00,872.2,895.4,861.4,868.05,147421,1295.87,9102,32114.0,21.78
20-05-2026 00:00,864.0,870.8,853.55,867.3,71356,615.94,5599,18004.0,25.23
19-05-2026 00:00,865.95,889.8,865.95,870.4,126188,1108.41,9308,28659.0,22.71
18-05-2026 00:00,881.0,881.0,846.0,865.65,99430,854.02,7439,22186.0,22.31
15-05-2026 00:00,884.05,910.95,878.05,882.7,230208,2055.06,11837,50071.0,21.75
14-05-2026 00:00,883.0,894.0,869.2,879.6,104334,918.07,5762,27623.0,26.48
13-05-2026 00:00,866.4,880.0,855.25,874.45,133009,1157.47,8081,22923.0,17.23
12-05-2026 00:00,887.0,887.95,858.15,862.4,131875,1147.05,7095,35876.0,27.2
11-05-2026 00:00,899.0,899.0,874.0,883.5,139801,1234.89,7823,34582.0,24.74
08-05-2026 00:00,923.4,933.9,902.1,904.6,220830,2018.57,8682,75452.0,34.17
07-05-2026 00:00,920.0,926.85,909.0,917.05,196793,1802.59,9388,61017.0,31.01
06-05-2026 00:00,908.2,922.45,900.5,915.0,232049,2117.04,9810,71644.0,30.87
05-05-2026 00:00,900.0,917.95,898.0,903.7,119885,1084.94,7581,34443.0,28.73
04-05-2026 00:00,906.95,918.7,896.5,905.75,143375,1300.88,7447,37959.0,26.48
30-04-2026 00:00,907.0,908.6,888.25,899.2,132778,1191.79,6987,34354.0,25.87
29-04-2026 00:00,914.4,926.95,903.8,908.85,316276,2886.55,15032,69790.0,22.07
28-04-2026 00:00,904.0,923.8,902.1,906.0,173794,1581.4,8994,54674.0,31.46
27-04-2026 00:00,900.0,914.45,897.15,907.4,207891,1885.16,11456,57958.0,27.88
24-04-2026 00:00,928.5,929.9,885.0,889.6,236182,2131.23,10707,70959.0,30.04
23-04-2026 00:00,933.9,951.7,915.05,921.55,464687,4337.77,15601,112048.0,24.11
22-04-2026 00:00,905.0,947.35,905.0,932.2,864668,8044.78,28621,246145.0,28.47
21-04-2026 00:00,894.0,934.95,891.05,911.5,810511,7435.02,32686,130585.0,16.11
20-04-2026 00:00,909.9,914.85,885.55,891.05,363548,3272.34,14268,83570.0,22.99
17-04-2026 00:00,865.0,946.0,862.2,902.75,4208121,38865.12,129161,476309.0,11.32
16-04-2026 00:00,874.0,885.0,868.0,871.9,370138,3242.42,14723,108368.0,29.28
15-04-2026 00:00,868.0,879.95,857.0,866.15,367436,3187.93,17208,86955.0,23.67
13-04-2026 00:00,833.0,856.75,822.2,852.35,259102,2187.33,11932,52756.0,20.36
10-04-2026 00:00,861.0,868.0,851.25,857.6,395633,3399.21,15096,84848.0,21.45
09-04-2026 00:00,829.0,888.4,827.0,860.95,4208925,36421.07,132220,292866.0,6.96
08-04-2026 00:00,819.95,842.5,804.0,817.8,918724,7564.23,38535,144192.0,15.69
07-04-2026 00:00,793.75,805.65,781.05,790.75,291890,2308.06,11929,45428.0,15.56
06-04-2026 00:00,785.0,799.7,762.05,790.6,393375,3074.43,20518,50365.0,12.8
02-04-2026 00:00,771.0,779.35,750.0,773.75,242931,1860.49,13346,39025.0,16.06
01-04-2026 00:00,765.35,796.95,765.0,785.65,410217,3208.91,22080,41235.0,10.05
30-03-2026 00:00,780.8,780.8,738.0,749.15,263370,2004.39,13314,67632.0,25.68
27-03-2026 00:00,790.25,823.4,770.0,788.5,1370278,10875.97,60253,432095.0,31.53
25-03-2026 00:00,801.0,815.0,785.55,790.25,397478,3188.92,18258,64911.0,16.33
24-03-2026 00:00,797.3,801.0,763.2,794.2,492949,3858.23,30068,46156.0,9.36
23-03-2026 00:00,783.0,784.0,748.0,760.45,368196,2798.66,23658,76696.0,20.83
20-03-2026 00:00,796.45,817.95,785.0,791.45,388774,3116.7,18621,48095.0,12.37
19-03-2026 00:00,805.0,814.1,784.3,787.95,349422,2792.38,15921,47555.0,13.61
18-03-2026 00:00,815.0,837.7,804.5,814.1,636191,5214.48,23190,59582.0,9.37
17-03-2026 00:00,812.4,850.0,785.0,812.3,1837159,15137.64,70815,113572.0,6.18
16-03-2026 00:00,858.0,858.0,796.0,805.55,1512439,12311.89,61916,120464.0,7.96
13-03-2026 00:00,830.0,916.5,825.1,851.5,10763899,93245.59,284190,460786.0,4.28
12-03-2026 00:00,840.05,877.0,830.0,845.1,3551351,30251.44,126081,234189.0,6.59
11-03-2026 00:00,837.0,928.8,796.15,884.9,25190904,220427.96,530598,922011.0,3.66
10-03-2026 00:00,669.0,794.5,667.05,794.5,8171712,62446.51,159674,567529.0,6.95
09-03-2026 00:00,660.25,668.9,652.1,662.1,99433,656.23,8351,27774.0,27.93
06-03-2026 00:00,678.05,706.6,673.1,680.65,155349,1071.81,11071,30342.0,19.53
05-03-2026 00:00,674.7,697.6,661.9,678.05,153150,1029.88,12987,35938.0,23.47
04-03-2026 00:00,694.0,700.0,666.95,669.75,165737,1120.96,13823,59021.0,35.61
02-03-2026 00:00,698.0,735.0,698.0,710.75,109081,778.91,8792,37770.0,34.63
27-02-2026 00:00,743.0,754.65,726.9,743.45,122873,910.06,7820,27815.0,22.64
26-02-2026 00:00,762.1,773.5,734.75,738.3,85757,640.84,6584,36506.0,42.57
25-02-2026 00:00,762.95,774.35,753.3,756.8,48563,369.75,4113,13669.0,28.15
24-02-2026 00:00,774.45,778.8,751.6,757.25,68339,519.27,4655,25424.0,37.2
23-02-2026 00:00,781.85,794.15,771.0,773.7,56010,435.99,4983,19038.0,33.99
20-02-2026 00:00,780.05,788.9,777.0,781.05,55874,437.87,4721,19413.0,34.74
19-02-2026 00:00,800.0,807.95,780.05,783.4,45705,362.32,3453,21178.0,46.34
18-02-2026 00:00,809.8,818.85,800.0,801.55,75735,611.41,4843,27308.0,36.06
17-02-2026 00:00,790.2,812.75,784.85,810.3,125630,1012.08,6431,43256.0,34.43
16-02-2026 00:00,780.0,808.3,775.2,787.2,114721,906.75,7089,22506.0,19.62
13-02-2026 00:00,800.0,800.1,775.15,781.2,64600,505.52,4371,24743.0,38.3
12-02-2026 00:00,804.0,807.1,795.3,801.15,40287,322.45,3722,13741.0,34.11
11-02-2026 00:00,818.6,819.0,800.25,808.9,44731,361.15,4250,15386.0,34.4
10-02-2026 00:00,815.5,825.9,811.95,814.25,54736,447.69,3716,23262.0,42.5
09-02-2026 00:00,793.6,824.95,790.6,816.7,135038,1097.92,9349,48369.0,35.82
06-02-2026 00:00,779.8,819.9,779.75,792.8,350871,2810.79,18909,57753.0,16.46
05-02-2026 00:00,796.0,804.95,776.2,780.0,61722,484.7,5799,24469.0,39.64
04-02-2026 00:00,795.1,813.0,792.6,801.35,70456,565.01,5859,24076.0,34.17
03-02-2026 00:00,800.0,815.0,788.65,797.25,108734,867.58,7864,27321.0,25.13
02-02-2026 00:00,775.3,788.0,748.3,779.2,115319,884.29,10854,36586.0,31.73
