datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,973.05,983.0,950.55,954.8,1053914,10177.14,34572,424140.0,40.24
24-06-2026 00:00,971.0,978.1,963.5,975.4,1081951,10518.44,20603,516013.0,47.69
23-06-2026 00:00,975.9,987.45,966.55,972.1,1067566,10412.48,24296,577577.0,54.1
22-06-2026 00:00,963.0,980.25,960.05,975.85,877907,8531.79,35793,479558.0,54.63
19-06-2026 00:00,958.75,967.0,953.1,962.95,1190940,11449.7,44036,617984.0,51.89
18-06-2026 00:00,956.0,961.0,946.3,958.75,1207115,11518.47,33480,650316.0,53.87
17-06-2026 00:00,972.8,972.8,942.8,949.65,2304366,21901.08,59907,1464610.0,63.56
16-06-2026 00:00,980.15,981.9,949.05,969.1,1856149,17924.91,54261,1011018.0,54.47
15-06-2026 00:00,1000.0,1002.0,977.7,980.15,1246775,12269.4,38224,664068.0,53.26
12-06-2026 00:00,996.1,1002.0,986.1,990.35,934183,9269.57,34816,568862.0,60.89
11-06-2026 00:00,983.15,998.5,977.8,989.0,784738,7753.45,36428,354599.0,45.19
10-06-2026 00:00,993.0,1010.1,983.1,989.0,1909993,19024.33,59847,929870.0,48.68
09-06-2026 00:00,995.0,996.25,983.1,989.75,1649601,16346.59,38177,772372.0,46.82
08-06-2026 00:00,955.6,1004.5,954.15,989.1,4402527,43679.83,138253,1735575.0,39.42
05-06-2026 00:00,946.5,972.0,941.55,968.65,1545060,14824.46,40356,777325.0,50.31
04-06-2026 00:00,929.0,948.65,923.6,940.65,1219138,11470.75,41740,690632.0,56.65
03-06-2026 00:00,931.8,937.15,916.1,930.25,1029896,9561.94,38046,557756.0,54.16
02-06-2026 00:00,920.3,933.85,899.1,929.4,1697089,15506.43,53351,849728.0,50.07
01-06-2026 00:00,933.1,939.45,920.85,929.2,838784,7818.3,44630,438024.0,52.22
29-05-2026 00:00,962.5,967.3,920.0,928.45,3005046,28066.03,59097,1958890.0,65.19
27-05-2026 00:00,961.4,970.9,953.95,960.9,567070,5452.51,22883,237785.0,41.93
26-05-2026 00:00,974.0,974.55,956.05,966.6,905554,8731.64,31393,408136.0,45.07
25-05-2026 00:00,969.0,984.4,963.1,970.35,1795872,17462.17,43095,659957.0,36.75
22-05-2026 00:00,971.95,975.0,949.2,960.4,1268964,12171.99,39811,572950.0,45.15
21-05-2026 00:00,980.9,992.7,965.2,967.3,1472617,14360.6,44385,658827.0,44.74
20-05-2026 00:00,960.55,977.0,952.0,974.6,1040975,10079.17,42521,572979.0,55.04
19-05-2026 00:00,962.15,975.0,955.5,960.55,1026400,9923.52,31459,572171.0,55.75
18-05-2026 00:00,960.0,965.0,945.1,962.15,899523,8610.89,66920,490322.0,54.51
15-05-2026 00:00,975.5,977.45,962.0,963.65,736724,7133.13,36685,375034.0,50.91
14-05-2026 00:00,960.0,976.0,956.15,970.65,1823259,17669.75,56649,1045369.0,57.34
13-05-2026 00:00,946.35,972.0,945.2,957.5,1066144,10265.33,47401,518740.0,48.66
12-05-2026 00:00,979.9,982.95,947.3,951.15,1623373,15615.09,50962,784369.0,48.32
11-05-2026 00:00,947.55,980.95,947.55,974.15,2566633,24859.06,55703,1139669.0,44.4
08-05-2026 00:00,949.4,966.7,947.0,952.35,2211990,21151.21,53858,1178369.0,53.27
07-05-2026 00:00,960.0,963.3,946.0,947.7,689475,6561.33,32657,402704.0,58.41
06-05-2026 00:00,960.0,960.1,941.0,956.9,815843,7772.95,27437,429810.0,52.68
05-05-2026 00:00,954.0,955.45,933.3,949.55,932796,8797.91,36873,454694.0,48.75
04-05-2026 00:00,931.5,961.0,925.0,952.9,1357595,12928.18,53926,634952.0,46.77
