datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,107.47,108.0,102.76,103.64,170005,177.15,2075,101552.0,59.73
24-06-2026 00:00,108.28,108.3,105.0,105.79,212010,224.96,2597,133757.0,63.09
23-06-2026 00:00,109.6,112.0,107.01,107.62,279762,305.8,3100,168119.0,60.09
22-06-2026 00:00,106.98,110.48,105.84,108.76,444111,477.29,4769,318942.0,71.82
19-06-2026 00:00,104.85,110.34,104.11,106.98,502035,540.08,5584,229906.0,45.79
18-06-2026 00:00,101.79,106.55,101.13,105.23,441803,459.01,5587,243335.0,55.08
17-06-2026 00:00,104.99,105.84,99.75,101.58,529995,542.61,4832,314602.0,59.36
16-06-2026 00:00,105.89,107.78,103.82,104.67,298193,314.82,3420,179069.0,60.05
15-06-2026 00:00,110.5,111.18,105.01,105.43,311284,334.95,3115,180232.0,57.9
12-06-2026 00:00,109.0,113.0,107.91,108.28,284707,312.31,3271,142154.0,49.93
11-06-2026 00:00,107.0,111.03,105.2,108.23,620999,674.68,6491,238026.0,38.33
10-06-2026 00:00,110.99,111.83,106.1,106.77,210566,227.72,2015,122467.0,58.16
09-06-2026 00:00,108.78,112.75,108.64,110.61,659892,733.8,7745,324287.0,49.14
08-06-2026 00:00,109.0,112.89,106.35,107.88,1480273,1613.26,12383,641810.0,43.36
05-06-2026 00:00,102.5,118.0,101.05,111.95,5571472,6238.83,36859,1096317.0,19.68
04-06-2026 00:00,93.42,103.28,93.42,101.18,1463646,1477.4,11854,651318.0,44.5
03-06-2026 00:00,93.79,96.74,91.6,94.03,230121,216.39,1911,122163.0,53.09
02-06-2026 00:00,94.01,95.59,93.1,93.8,306678,289.58,2611,192308.0,62.71
01-06-2026 00:00,96.02,97.26,93.25,94.01,119109,114.07,1340,78017.0,65.5
29-05-2026 00:00,99.8,99.8,94.24,96.23,669705,645.71,3921,330894.0,49.41
27-05-2026 00:00,98.1,101.0,97.0,99.31,277176,273.58,2034,160431.0,57.88
26-05-2026 00:00,100.99,100.99,98.25,98.79,245981,244.55,2146,162375.0,66.01
25-05-2026 00:00,100.99,102.8,99.36,99.81,391943,394.81,3120,246527.0,62.9
22-05-2026 00:00,98.25,101.9,97.62,99.24,327193,326.13,3284,166377.0,50.85
21-05-2026 00:00,101.5,103.0,98.0,98.65,369006,368.6,5034,209650.0,56.81
20-05-2026 00:00,96.0,105.5,94.41,100.68,2623849,2646.11,14368,1217316.0,46.39
19-05-2026 00:00,92.9,96.0,92.9,95.06,83629,79.3,2014,45307.0,54.18
18-05-2026 00:00,93.0,93.33,90.6,92.39,92851,85.48,2502,53191.0,57.29
15-05-2026 00:00,98.69,98.69,93.13,93.83,81490,77.58,1644,45081.0,55.32
14-05-2026 00:00,95.4,98.99,94.25,98.69,222403,216.45,2342,113986.0,51.25
13-05-2026 00:00,88.5,95.85,88.5,94.6,211511,197.45,2080,120282.0,56.87
12-05-2026 00:00,93.78,94.9,89.12,89.73,180941,165.24,2257,97333.0,53.79
11-05-2026 00:00,95.98,95.98,93.1,93.78,157678,149.07,2142,88098.0,55.87
08-05-2026 00:00,101.88,101.99,94.61,95.34,417809,406.17,3521,249820.0,59.79
07-05-2026 00:00,101.72,102.77,100.5,100.98,266675,271.41,1816,197825.0,74.18
