datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1540.0,1552.0,1503.9,1509.3,43329,659.84,7359,21067.0,48.62
24-06-2026 00:00,1536.0,1564.8,1521.7,1528.8,45832,706.58,4516,20866.0,45.53
23-06-2026 00:00,1535.8,1590.4,1535.8,1552.9,137160,2139.42,12311,66215.0,48.28
22-06-2026 00:00,1474.8,1565.0,1470.9,1554.8,672952,10171.27,23204,540676.0,80.34
19-06-2026 00:00,1440.0,1486.0,1440.0,1465.0,813443,11911.72,12526,770270.0,94.69
18-06-2026 00:00,1460.0,1462.9,1422.1,1453.9,114664,1657.66,9777,63773.0,55.62
17-06-2026 00:00,1340.5,1437.9,1340.5,1431.2,200655,2820.18,18624,108510.0,54.08
16-06-2026 00:00,1357.9,1366.6,1335.1,1336.7,56476,761.99,8298,35563.0,62.97
15-06-2026 00:00,1358.7,1384.0,1338.6,1354.0,173293,2361.52,19928,80631.0,46.53
12-06-2026 00:00,1373.8,1373.8,1323.2,1331.9,79428,1066.07,9273,51844.0,65.27
11-06-2026 00:00,1351.4,1369.9,1326.4,1348.2,34561,467.12,5672,16187.0,46.84
10-06-2026 00:00,1354.3,1369.2,1345.0,1351.4,51877,703.56,7748,29234.0,56.35
09-06-2026 00:00,1356.0,1376.4,1345.0,1363.0,51274,697.89,10549,28055.0,54.72
08-06-2026 00:00,1386.0,1386.0,1329.0,1351.2,36663,500.87,6397,18821.0,51.34
05-06-2026 00:00,1403.1,1428.7,1377.0,1388.0,102287,1428.58,9649,58101.0,56.8
04-06-2026 00:00,1415.0,1429.0,1383.0,1386.8,63034,882.01,7003,38457.0,61.01
03-06-2026 00:00,1409.0,1438.9,1369.0,1403.9,71135,1003.23,13252,33703.0,47.38
02-06-2026 00:00,1428.0,1442.7,1402.0,1409.0,177989,2519.37,26443,106560.0,59.87
01-06-2026 00:00,1404.0,1470.0,1396.0,1428.0,192500,2776.72,22428,93183.0,48.41
29-05-2026 00:00,1422.1,1434.4,1380.0,1387.4,87596,1225.72,10245,51098.0,58.33
27-05-2026 00:00,1395.0,1425.0,1382.7,1416.9,96839,1362.81,11427,53906.0,55.67
26-05-2026 00:00,1384.8,1404.1,1374.9,1384.2,86056,1194.53,11658,52075.0,60.51
25-05-2026 00:00,1406.9,1406.9,1357.7,1376.3,114449,1572.18,16729,58302.0,50.94
22-05-2026 00:00,1478.9,1490.0,1370.0,1378.5,481764,6767.95,33477,213811.0,44.38
21-05-2026 00:00,1399.0,1470.0,1370.0,1450.0,157730,2259.26,14170,63309.0,40.14
20-05-2026 00:00,1393.6,1411.0,1350.0,1380.2,261488,3626.05,32653,163415.0,62.49
19-05-2026 00:00,1405.0,1415.0,1324.7,1371.9,83518,1140.19,17770,42000.0,50.29
18-05-2026 00:00,1395.1,1445.0,1365.1,1373.3,152032,2118.6,29808,67112.0,44.14
15-05-2026 00:00,1381.0,1404.8,1370.1,1386.6,36778,510.03,7577,19420.0,52.8
14-05-2026 00:00,1428.8,1445.0,1353.3,1383.8,70138,969.09,13231,31729.0,45.24
13-05-2026 00:00,1400.1,1446.1,1386.8,1404.6,71892,1015.96,12150,31079.0,43.23
12-05-2026 00:00,1422.5,1470.0,1400.3,1417.1,107841,1545.24,16481,48525.0,45.0
11-05-2026 00:00,1446.0,1458.9,1422.0,1445.0,79172,1144.03,14435,39499.0,49.89
08-05-2026 00:00,1429.4,1462.0,1415.5,1443.6,114418,1650.97,13877,59596.0,52.09
07-05-2026 00:00,1377.7,1435.9,1361.1,1412.2,316924,4410.95,25836,149263.0,47.1
06-05-2026 00:00,1359.9,1359.9,1326.3,1353.9,47699,640.72,7777,25533.0,53.53
05-05-2026 00:00,1330.1,1344.9,1320.8,1341.5,30765,410.5,5477,16322.0,53.05
04-05-2026 00:00,1374.0,1374.0,1321.5,1345.4,47265,633.62,8631,25687.0,54.35
30-04-2026 00:00,1309.0,1365.0,1294.0,1348.0,66905,892.65,7525,35319.0,52.79
