datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,798.5,804.45,794.75,796.3,46707966,373361.69,467329,30031159.0,64.3
24-06-2026 00:00,773.0,794.9,772.65,793.2,34701292,273652.91,320163,21486006.0,61.92
23-06-2026 00:00,783.05,790.9,772.55,774.65,28289062,221202.97,273325,15568384.0,55.03
22-06-2026 00:00,789.9,789.9,783.1,786.4,25194765,198208.94,257091,17480801.0,69.38
19-06-2026 00:00,788.7,789.05,776.2,779.8,33798761,263899.48,342920,21270632.0,62.93
18-06-2026 00:00,786.5,802.95,786.2,799.0,41492071,330779.51,386510,20063205.0,48.35
17-06-2026 00:00,787.65,794.3,783.1,787.1,32405604,255483.98,466023,21508982.0,66.37
16-06-2026 00:00,780.5,787.7,779.45,784.9,27820970,218211.64,334802,12995866.0,46.71
15-06-2026 00:00,790.0,793.5,775.6,777.35,39990334,313426.0,410968,25553938.0,63.9
12-06-2026 00:00,754.7,774.45,753.1,772.45,36088159,275882.17,424418,22190749.0,61.49
11-06-2026 00:00,743.0,756.0,740.1,744.6,32632007,243708.45,262963,16955815.0,51.96
10-06-2026 00:00,736.5,755.95,736.4,746.85,44458159,331206.48,323114,23670967.0,53.24
09-06-2026 00:00,739.45,743.95,732.3,738.35,38539563,284562.51,346855,15214315.0,39.48
08-06-2026 00:00,738.0,741.5,734.5,738.65,21550700,159126.99,307762,9097681.0,42.22
05-06-2026 00:00,753.95,758.7,744.65,747.05,22116568,165966.37,214858,12516185.0,56.59
04-06-2026 00:00,749.15,757.3,745.0,754.2,42673538,320883.56,385239,19985833.0,46.83
03-06-2026 00:00,744.45,756.9,742.6,753.65,36109480,270397.36,555057,19128489.0,52.97
02-06-2026 00:00,737.0,753.6,733.15,748.25,47314447,352524.9,423085,19891849.0,42.04
01-06-2026 00:00,749.0,752.35,739.2,742.7,47996441,356950.84,364744,19302413.0,40.22
29-05-2026 00:00,746.05,760.5,737.75,744.55,101299431,757503.25,582913,69804226.0,68.91
27-05-2026 00:00,769.5,773.9,756.9,758.65,63680153,485357.05,603423,36818001.0,57.82
26-05-2026 00:00,784.05,790.85,776.75,778.9,31528062,247134.58,268365,12977242.0,41.16
25-05-2026 00:00,776.0,787.85,775.2,786.85,26043952,204143.23,340237,17199873.0,66.04
22-05-2026 00:00,759.15,775.0,759.15,766.8,25604071,196756.3,254373,15356926.0,59.98
21-05-2026 00:00,767.0,768.25,755.15,759.15,34664725,263639.66,300382,16778236.0,48.4
20-05-2026 00:00,759.6,762.25,755.15,759.5,24013451,182312.01,334493,15200147.0,63.3
