datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,118.72,119.39,117.75,118.55,8645570,10270.92,30356,4402443.0,50.92
24-06-2026 00:00,121.2,122.33,119.83,121.41,4809639,5841.51,15842,2504687.0,52.08
23-06-2026 00:00,123.9,123.9,122.3,122.91,5072263,6236.35,22765,3159292.0,62.29
22-06-2026 00:00,126.88,126.88,123.5,124.95,4321284,5376.37,14317,2575771.0,59.61
19-06-2026 00:00,123.74,124.47,122.29,123.79,6302699,7764.31,25290,3738793.0,59.32
18-06-2026 00:00,127.84,128.06,125.72,126.09,2834779,3586.19,12563,1578732.0,55.69
17-06-2026 00:00,128.27,128.27,127.5,127.84,2116648,2704.35,8582,1034038.0,48.85
16-06-2026 00:00,127.5,128.5,127.3,128.28,2581929,3304.42,9298,1416403.0,54.86
15-06-2026 00:00,127.4,129.0,127.4,128.18,4246418,5432.86,13332,2390805.0,56.3
12-06-2026 00:00,126.32,126.32,124.74,125.86,4859989,6090.89,14711,2254002.0,46.38
11-06-2026 00:00,124.5,124.5,118.32,123.24,5418154,6679.81,17765,2800518.0,51.69
10-06-2026 00:00,132.72,132.72,125.0,125.31,5743573,7215.16,21140,2889989.0,50.32
09-06-2026 00:00,128.92,130.04,128.92,129.49,3639312,4718.05,10047,1796357.0,49.36
08-06-2026 00:00,130.6,130.6,127.81,128.42,4706344,6049.22,21782,2552599.0,54.24
05-06-2026 00:00,132.51,132.9,131.33,132.01,4624217,6100.5,12433,2098189.0,45.37
04-06-2026 00:00,132.98,133.29,131.97,132.71,2379090,3151.63,8408,1202802.0,50.56
03-06-2026 00:00,132.5,132.7,131.61,131.93,3996241,5277.19,12188,2126339.0,53.21
02-06-2026 00:00,131.69,137.09,131.42,133.8,4530029,6024.72,12423,2850181.0,62.92
01-06-2026 00:00,133.63,133.63,131.46,131.76,5114665,6739.29,15920,3152763.0,61.64
29-05-2026 00:00,133.34,133.56,132.57,132.81,2770846,3688.4,14895,1420712.0,51.27
27-05-2026 00:00,133.51,134.04,132.89,133.35,2636746,3522.68,9116,1559587.0,59.15
26-05-2026 00:00,133.75,134.5,133.63,133.94,4047477,5420.12,10037,2411926.0,59.59
25-05-2026 00:00,135.7,135.9,134.22,134.8,3328165,4487.88,12924,1931540.0,58.04
22-05-2026 00:00,135.45,135.45,134.56,134.8,2336625,3150.87,8351,1245301.0,53.29
21-05-2026 00:00,135.15,135.45,134.71,135.03,2007024,2711.36,7508,957063.0,47.69
20-05-2026 00:00,134.25,134.73,133.4,134.56,3560438,4780.11,10233,2151785.0,60.44
19-05-2026 00:00,133.33,135.0,133.33,134.87,2634560,3550.74,8430,1174150.0,44.57
18-05-2026 00:00,133.4,134.14,132.35,134.01,4376784,5852.99,14922,2382905.0,54.44
15-05-2026 00:00,133.13,135.23,133.13,133.79,5159782,6919.73,15815,2523432.0,48.91
