datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,31.68,31.8,31.35,31.41,132489,41.91,624,103141.0,77.85
24-06-2026 00:00,31.25,31.57,31.09,31.4,129638,40.68,510,68211.0,52.62
23-06-2026 00:00,31.58,31.6,31.15,31.33,125486,39.45,666,79636.0,63.46
22-06-2026 00:00,30.66,31.79,30.66,31.55,122541,38.65,594,81620.0,66.61
19-06-2026 00:00,31.5,31.54,31.22,31.45,245112,77.02,600,212732.0,86.79
18-06-2026 00:00,31.51,31.67,31.38,31.5,117555,36.98,635,80866.0,68.79
17-06-2026 00:00,31.35,31.74,31.25,31.42,102873,32.28,603,70407.0,68.44
16-06-2026 00:00,31.55,31.55,31.14,31.33,127884,40.07,648,66563.0,52.05
15-06-2026 00:00,31.39,31.55,31.13,31.39,632091,198.66,911,437257.0,69.18
12-06-2026 00:00,30.1,30.74,30.05,30.65,163454,49.62,616,113134.0,69.21
11-06-2026 00:00,29.92,29.96,29.65,29.71,289510,86.17,828,190475.0,65.79
10-06-2026 00:00,29.7,30.46,29.7,29.96,63186,19.06,637,34551.0,54.68
09-06-2026 00:00,30.18,30.4,30.0,30.32,257871,77.9,492,187414.0,72.68
08-06-2026 00:00,30.05,30.23,29.7,29.88,199144,59.77,1428,110748.0,55.61
05-06-2026 00:00,30.36,30.6,30.17,30.38,72990,22.19,653,48688.0,66.71
04-06-2026 00:00,30.28,30.47,30.08,30.24,65485,19.84,684,52640.0,80.38
03-06-2026 00:00,30.7,30.89,29.86,30.49,310234,93.19,949,165511.0,53.35
02-06-2026 00:00,30.31,30.5,29.72,30.25,164408,49.45,862,90213.0,54.87
01-06-2026 00:00,30.98,30.98,30.01,30.31,221948,67.54,1209,129108.0,58.17
29-05-2026 00:00,30.53,31.47,30.53,30.82,174493,54.02,1161,145192.0,83.21
27-05-2026 00:00,31.07,31.21,31.07,31.15,163276,50.83,456,126779.0,77.65
26-05-2026 00:00,31.0,31.15,30.9,31.07,66579,20.69,482,56718.0,85.19
25-05-2026 00:00,30.65,31.09,30.65,31.0,190341,58.95,703,110080.0,57.83
22-05-2026 00:00,30.57,30.65,30.41,30.54,69940,21.34,434,49695.0,71.05
21-05-2026 00:00,30.63,30.79,30.27,30.34,266485,81.36,714,206650.0,77.55
20-05-2026 00:00,30.17,30.49,29.9,30.4,86537,26.14,525,59174.0,68.38
19-05-2026 00:00,30.25,30.39,30.11,30.2,58273,17.64,508,27999.0,48.05
18-05-2026 00:00,30.22,30.3,29.8,30.21,194804,58.35,1022,110773.0,56.86
15-05-2026 00:00,30.54,30.79,30.34,30.36,189997,57.95,767,151321.0,79.64
14-05-2026 00:00,30.5,30.73,30.1,30.64,49676,15.12,487,27499.0,55.36
13-05-2026 00:00,30.9,30.9,29.87,30.11,116621,35.14,689,56953.0,48.84
12-05-2026 00:00,30.6,30.89,30.01,30.15,152297,46.27,1060,92884.0,60.99
11-05-2026 00:00,31.68,31.68,30.75,30.8,238505,73.7,1753,129792.0,54.42
08-05-2026 00:00,30.83,31.73,30.83,31.46,119912,37.79,672,83402.0,69.55
