datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,965.0,970.9,950.2,953.2,12155741,116605.22,160632,8052657.0,66.25
24-06-2026 00:00,972.0,988.5,970.3,976.6,5029316,49272.73,94307,3026679.0,60.18
23-06-2026 00:00,999.0,999.0,978.0,986.8,7191224,70969.11,141276,4335456.0,60.29
22-06-2026 00:00,1014.0,1018.1,1003.6,1014.2,4244908,42948.24,98673,2546826.0,60.0
19-06-2026 00:00,998.0,1016.8,985.2,1010.0,6013455,60616.84,88559,3377930.0,56.17
18-06-2026 00:00,1006.0,1017.4,999.0,1008.5,6184717,62349.01,115368,3424012.0,55.36
17-06-2026 00:00,985.0,1011.6,971.2,1007.9,10853418,107914.15,204781,6403738.0,59.0
16-06-2026 00:00,990.0,990.0,970.0,982.4,11200461,109591.93,368266,5611041.0,50.1
15-06-2026 00:00,1039.2,1039.7,1011.1,1013.9,8474101,86454.07,145632,5416491.0,63.92
12-06-2026 00:00,1045.0,1049.0,1015.3,1021.6,9388824,96170.38,154914,5727151.0,61.0
11-06-2026 00:00,1029.8,1038.6,1022.8,1024.3,6664493,68619.04,149335,4211636.0,63.2
10-06-2026 00:00,1066.9,1066.9,1034.2,1039.3,8048339,84032.25,139632,4468088.0,55.52
09-06-2026 00:00,1074.0,1082.5,1053.8,1076.7,5880133,62978.19,131853,3601476.0,61.25
08-06-2026 00:00,1061.0,1078.6,1050.8,1062.4,4879594,52090.54,116960,2626885.0,53.83
05-06-2026 00:00,1126.6,1132.3,1090.1,1092.6,4546693,50018.77,213202,2330851.0,51.26
04-06-2026 00:00,1134.0,1137.1,1121.4,1125.6,3868557,43650.24,103801,2347975.0,60.69
03-06-2026 00:00,1155.0,1159.9,1126.6,1138.9,4865978,55461.3,123492,2806419.0,57.67
02-06-2026 00:00,1141.0,1161.0,1136.4,1146.3,5325199,61285.45,152530,2909398.0,54.63
01-06-2026 00:00,1130.0,1150.0,1127.2,1141.3,6934532,78950.75,109339,2362883.0,34.07
29-05-2026 00:00,1176.0,1176.0,1122.0,1126.7,11987286,135958.64,135069,7712622.0,64.34
27-05-2026 00:00,1118.3,1154.0,1118.3,1149.7,7559470,86619.37,131090,2820642.0,37.31
26-05-2026 00:00,1102.0,1118.0,1094.6,1103.8,5880899,65142.86,104307,3142802.0,53.44
25-05-2026 00:00,1110.0,1119.8,1081.2,1099.6,7677225,83858.29,160314,3344239.0,43.56
22-05-2026 00:00,1099.0,1115.0,1092.8,1109.2,4136312,45614.73,97320,2346479.0,56.73
21-05-2026 00:00,1098.7,1110.9,1089.3,1099.3,4584559,50409.82,104410,2253093.0,49.15
20-05-2026 00:00,1038.4,1090.0,1038.4,1085.5,11945517,129098.28,199941,5946263.0,49.78
19-05-2026 00:00,1052.5,1053.4,1037.1,1048.3,3674289,38482.65,92882,2127999.0,57.92
18-05-2026 00:00,1050.0,1060.0,1044.0,1053.1,4023849,42300.11,93324,2311603.0,57.45
15-05-2026 00:00,1101.2,1101.2,1057.6,1067.5,6800905,73112.69,140520,4037718.0,59.37
14-05-2026 00:00,1083.9,1105.0,1080.9,1103.3,4920811,54003.47,92471,2561005.0,52.04
13-05-2026 00:00,1048.0,1082.4,1047.0,1073.1,5341453,57113.61,141401,2266197.0,42.43
12-05-2026 00:00,1027.2,1054.6,1025.0,1041.4,4323348,45107.42,135246,2089150.0,48.32
11-05-2026 00:00,1031.1,1042.4,1022.1,1023.5,3746752,38619.49,118921,2353652.0,62.82
08-05-2026 00:00,1048.4,1058.0,1035.3,1044.4,3065690,32023.02,71715,1805930.0,58.91
07-05-2026 00:00,1048.0,1060.9,1036.6,1055.7,4290514,45237.71,104888,2724663.0,63.5
06-05-2026 00:00,1067.8,1073.7,1042.4,1045.8,5336857,56383.28,171118,3225624.0,60.44
05-05-2026 00:00,1036.3,1059.0,1031.1,1054.7,4580696,48082.01,182561,2545851.0,55.58
04-05-2026 00:00,1043.3,1049.4,1034.5,1042.7,3349359,34913.61,186708,1984710.0,59.26
