datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,39015.0,39650.0,39000.0,39405.0,4985,1960.62,2780,1973.0,39.58
24-06-2026 00:00,38500.0,39535.0,38400.0,39015.0,9009,3519.4,4587,3643.0,40.44
23-06-2026 00:00,38300.0,39280.0,38100.0,38205.0,7134,2744.89,3295,2561.0,35.9
22-06-2026 00:00,37800.0,38450.0,37500.0,38355.0,5678,2165.91,2964,2354.0,41.46
19-06-2026 00:00,37170.0,37750.0,36955.0,37460.0,6229,2332.05,3201,3394.0,54.49
18-06-2026 00:00,36740.0,37490.0,36500.0,37170.0,6140,2273.21,3268,2589.0,42.17
17-06-2026 00:00,36700.0,37150.0,36065.0,36380.0,5052,1850.13,2870,1725.0,34.14
16-06-2026 00:00,36260.0,36720.0,35905.0,36620.0,4462,1622.43,2400,1626.0,36.44
15-06-2026 00:00,36395.0,37095.0,35770.0,35905.0,4789,1740.51,2376,2093.0,43.7
12-06-2026 00:00,35455.0,36400.0,35455.0,36160.0,5576,2014.41,2915,1615.0,28.96
11-06-2026 00:00,36130.0,36420.0,35025.0,35230.0,5455,1939.18,3086,1906.0,34.94
10-06-2026 00:00,35250.0,36700.0,34950.0,36130.0,13857,5011.66,6548,5548.0,40.04
09-06-2026 00:00,34800.0,35250.0,34780.0,35125.0,3132,1098.52,1591,1127.0,35.98
08-06-2026 00:00,34300.0,35840.0,34300.0,34540.0,10161,3580.09,5546,3184.0,31.34
05-06-2026 00:00,34800.0,34970.0,34240.0,34700.0,4364,1509.63,2822,1408.0,32.26
04-06-2026 00:00,34910.0,35180.0,34355.0,34485.0,3125,1086.57,2021,1062.0,33.98
03-06-2026 00:00,35180.0,35295.0,34260.0,34750.0,4528,1572.3,2550,1496.0,33.04
02-06-2026 00:00,35070.0,36035.0,34740.0,34895.0,29968,10579.29,4740,23779.0,79.35
01-06-2026 00:00,35700.0,36195.0,34970.0,35070.0,4667,1655.31,2959,1494.0,32.01
29-05-2026 00:00,36300.0,36500.0,35300.0,35520.0,11346,4078.35,5609,4430.0,39.04
27-05-2026 00:00,36000.0,36400.0,35635.0,36180.0,11755,4243.74,5434,4054.0,34.49
26-05-2026 00:00,34550.0,35895.0,34550.0,35570.0,21366,7574.28,10583,6702.0,31.37
25-05-2026 00:00,35245.0,35540.0,34000.0,34405.0,21296,7355.68,9198,6995.0,32.85
22-05-2026 00:00,34900.0,36550.0,34605.0,35405.0,61734,21978.45,26595,10026.0,16.24
21-05-2026 00:00,31500.0,35735.0,31385.0,34965.0,190673,64978.19,73582,24373.0,12.78
20-05-2026 00:00,29075.0,30380.0,28540.0,30180.0,15569,4625.49,6394,8597.0,55.22
19-05-2026 00:00,28685.0,29265.0,28685.0,29075.0,2128,619.21,1318,1289.0,60.57
18-05-2026 00:00,28950.0,28950.0,28150.0,28685.0,2886,822.38,1734,1201.0,41.61
15-05-2026 00:00,28725.0,29435.0,28540.0,28975.0,2989,869.58,1580,1634.0,54.67
14-05-2026 00:00,28455.0,28810.0,28260.0,28720.0,2111,604.51,1262,981.0,46.47
13-05-2026 00:00,28450.0,28860.0,28000.0,28215.0,4851,1375.93,2179,2391.0,49.29
12-05-2026 00:00,29340.0,29540.0,28100.0,28455.0,5037,1446.18,2686,2892.0,57.42
11-05-2026 00:00,30155.0,30155.0,29250.0,29340.0,4926,1455.7,2304,3014.0,61.19
08-05-2026 00:00,30650.0,30885.0,30110.0,30170.0,2514,763.17,1382,1339.0,53.26
07-05-2026 00:00,30310.0,30970.0,30255.0,30605.0,12743,3898.95,5349,7829.0,61.44
06-05-2026 00:00,31210.0,31210.0,30000.0,30180.0,6660,2017.18,1997,4285.0,64.34
05-05-2026 00:00,31495.0,31495.0,30560.0,30685.0,2469,762.22,1407,1049.0,42.49
04-05-2026 00:00,31400.0,31400.0,30945.0,31190.0,2058,642.3,1175,901.0,43.78
30-04-2026 00:00,31550.0,31550.0,30855.0,31030.0,2138,664.65,1010,991.0,46.35
29-04-2026 00:00,31415.0,31695.0,31075.0,31575.0,2497,785.94,1313,1266.0,50.7
28-04-2026 00:00,31900.0,32005.0,31150.0,31255.0,1921,606.48,1057,957.0,49.82
27-04-2026 00:00,31365.0,31895.0,31295.0,31850.0,2578,816.46,1633,1194.0,46.31
24-04-2026 00:00,32805.0,32880.0,31215.0,31365.0,5020,1599.66,2759,2377.0,47.35
23-04-2026 00:00,32700.0,32850.0,32400.0,32650.0,3571,1166.49,2035,1611.0,45.11
22-04-2026 00:00,32500.0,32795.0,32205.0,32705.0,3502,1138.39,2060,1478.0,42.2
21-04-2026 00:00,32395.0,32695.0,32235.0,32620.0,3850,1252.18,2379,1767.0,45.9
20-04-2026 00:00,33085.0,33100.0,32225.0,32555.0,5496,1796.61,2804,2283.0,41.54
17-04-2026 00:00,31895.0,32900.0,31800.0,32785.0,11733,3819.5,5168,4759.0,40.56
16-04-2026 00:00,30655.0,31955.0,30655.0,31840.0,13916,4368.41,6689,5807.0,41.73
15-04-2026 00:00,29325.0,30565.0,29325.0,30500.0,13368,3987.68,6011,7621.0,57.01
13-04-2026 00:00,28105.0,29450.0,27780.0,29300.0,10714,3096.21,4500,4230.0,39.48
10-04-2026 00:00,27760.0,28670.0,27760.0,28585.0,9288,2624.45,3764,4855.0,52.27
09-04-2026 00:00,27550.0,28250.0,27300.0,27760.0,10484,2927.96,5117,4865.0,46.4
08-04-2026 00:00,28000.0,28395.0,27000.0,27150.0,24216,6659.92,12043,14610.0,60.33
07-04-2026 00:00,27650.0,27650.0,27000.0,27215.0,6000,1633.93,3579,3101.0,51.68
06-04-2026 00:00,27250.0,27555.0,26575.0,27485.0,4654,1260.89,2363,1677.0,36.03
02-04-2026 00:00,27000.0,27350.0,26545.0,26885.0,8397,2247.15,4047,4977.0,59.27
01-04-2026 00:00,27245.0,27695.0,26615.0,27290.0,3613,989.62,2347,1368.0,37.86
30-03-2026 00:00,26990.0,27030.0,26220.0,26325.0,6607,1752.59,3522,3470.0,52.52
27-03-2026 00:00,28185.0,28185.0,26970.0,27030.0,5996,1646.42,3407,3755.0,62.63
25-03-2026 00:00,27700.0,28450.0,27700.0,28205.0,4305,1213.27,2114,2271.0,52.75
24-03-2026 00:00,27600.0,27985.0,26955.0,27640.0,4668,1283.08,2846,2058.0,44.09
23-03-2026 00:00,28150.0,28190.0,27105.0,27215.0,4974,1359.89,2897,2420.0,48.65
20-03-2026 00:00,28595.0,29075.0,28200.0,28330.0,5327,1523.81,2888,3092.0,58.04
19-03-2026 00:00,29025.0,29105.0,28355.0,28455.0,3409,979.11,2072,1898.0,55.68
18-03-2026 00:00,29275.0,29780.0,29100.0,29245.0,7854,2310.87,2150,5699.0,72.56
17-03-2026 00:00,29305.0,29760.0,29130.0,29245.0,2973,874.67,1729,1232.0,41.44
16-03-2026 00:00,30100.0,30250.0,29085.0,29305.0,3339,984.16,2200,1718.0,51.45
13-03-2026 00:00,30580.0,30700.0,29960.0,30050.0,2102,634.81,1310,1296.0,61.66
12-03-2026 00:00,30500.0,30845.0,30135.0,30580.0,3454,1054.85,2311,1779.0,51.51
11-03-2026 00:00,30765.0,31060.0,30545.0,30650.0,2329,717.93,1320,1107.0,47.53
10-03-2026 00:00,29965.0,30890.0,29965.0,30765.0,4897,1494.86,3049,2520.0,51.46
09-03-2026 00:00,29750.0,30075.0,29385.0,29700.0,14390,4256.09,3498,11133.0,77.37
06-03-2026 00:00,29995.0,30105.0,29870.0,29965.0,28930,8669.33,1396,27861.0,96.3
05-03-2026 00:00,30065.0,30590.0,29855.0,29945.0,3232,971.93,1969,1377.0,42.61
04-03-2026 00:00,30220.0,30390.0,29845.0,30125.0,3791,1138.97,2005,2006.0,52.91
02-03-2026 00:00,30600.0,30970.0,30250.0,30320.0,3596,1095.68,2057,1856.0,51.61
27-02-2026 00:00,31205.0,31295.0,30890.0,30975.0,3515,1089.39,1554,2297.0,65.35
26-02-2026 00:00,31440.0,31605.0,31200.0,31265.0,2525,789.81,1922,1642.0,65.03
25-02-2026 00:00,31700.0,32125.0,31200.0,31440.0,2499,786.83,1742,1058.0,42.34
24-02-2026 00:00,31500.0,31935.0,31320.0,31610.0,5824,1841.82,2707,3023.0,51.91
23-02-2026 00:00,31000.0,31700.0,30920.0,31570.0,3484,1092.85,2236,1764.0,50.63
20-02-2026 00:00,31100.0,31170.0,30805.0,30895.0,4481,1386.09,1643,3118.0,69.58
19-02-2026 00:00,31450.0,31490.0,31010.0,31100.0,1685,525.92,1184,910.0,54.01
18-02-2026 00:00,31435.0,31595.0,31265.0,31375.0,1922,603.22,1080,1175.0,61.13
17-02-2026 00:00,31300.0,31720.0,31090.0,31375.0,5056,1587.95,1202,3532.0,69.86
16-02-2026 00:00,31500.0,31595.0,30990.0,31195.0,2817,880.33,1655,1321.0,46.89
13-02-2026 00:00,31750.0,31905.0,31230.0,31375.0,3289,1032.09,1740,1596.0,48.53
12-02-2026 00:00,32220.0,32225.0,31780.0,31865.0,2217,707.98,1342,992.0,44.75
11-02-2026 00:00,32285.0,32465.0,32060.0,32220.0,1978,637.91,1392,836.0,42.26
10-02-2026 00:00,32490.0,32775.0,32095.0,32185.0,3524,1136.82,1653,2085.0,59.17
09-02-2026 00:00,32250.0,32715.0,32055.0,32490.0,3710,1204.7,1819,1788.0,48.19
06-02-2026 00:00,32670.0,32975.0,31800.0,31955.0,4281,1382.23,3097,1801.0,42.07
05-02-2026 00:00,33200.0,33205.0,32400.0,32500.0,2877,939.99,2250,1515.0,52.66
04-02-2026 00:00,33535.0,33600.0,32910.0,33020.0,2573,854.19,1468,1146.0,44.54
03-02-2026 00:00,33630.0,34645.0,33230.0,33835.0,6621,2244.07,3958,1858.0,28.06
02-02-2026 00:00,32950.0,33920.0,32340.0,33610.0,3290,1090.06,2463,1050.0,31.91
01-02-2026 00:00,33700.0,33745.0,32800.0,32940.0,1228,407.61,875,419.0,34.12
30-01-2026 00:00,32390.0,34280.0,32170.0,33375.0,8293,2772.29,4635,3105.0,37.44
29-01-2026 00:00,31710.0,32755.0,31390.0,32295.0,8187,2633.5,5261,4126.0,50.4
28-01-2026 00:00,30590.0,31690.0,30590.0,31580.0,5352,1680.79,3624,2416.0,45.14
27-01-2026 00:00,31405.0,31605.0,30645.0,30790.0,8270,2560.47,4524,5606.0,67.79
23-01-2026 00:00,32645.0,32655.0,31185.0,31375.0,6196,1956.93,3293,3459.0,55.83
22-01-2026 00:00,33600.0,33865.0,32305.0,32390.0,5063,1655.03,2450,3026.0,59.77
21-01-2026 00:00,33480.0,34140.0,33280.0,33495.0,6434,2164.17,3052,3571.0,55.5
20-01-2026 00:00,33625.0,34300.0,33300.0,33405.0,12587,4215.6,2026,10721.0,85.18
19-01-2026 00:00,33965.0,34120.0,33565.0,33720.0,1629,550.2,1077,699.0,42.91
16-01-2026 00:00,33665.0,34300.0,33320.0,33965.0,2828,953.54,1747,1418.0,50.14
