datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,209.2,214.6,207.18,208.27,2588017,5443.04,27114,842318.0,32.55
24-06-2026 00:00,208.0,209.19,205.5,207.98,1174411,2433.7,15773,469766.0,40.0
23-06-2026 00:00,212.5,213.39,208.2,208.81,1513378,3180.03,26288,762721.0,50.4
22-06-2026 00:00,210.06,215.15,210.06,211.4,3151248,6715.69,34858,1258783.0,39.95
19-06-2026 00:00,211.5,212.61,207.01,208.65,2550460,5346.63,25363,1487315.0,58.32
18-06-2026 00:00,216.5,218.0,210.81,211.55,3833874,8213.3,34325,1470612.0,38.36
17-06-2026 00:00,214.0,216.88,213.0,213.65,2812799,6035.23,26753,1302294.0,46.3
16-06-2026 00:00,210.38,216.18,209.24,212.83,3722427,7950.02,34690,1558913.0,41.88
15-06-2026 00:00,208.4,212.7,208.0,209.54,3252979,6859.3,34234,1464533.0,45.02
12-06-2026 00:00,206.0,208.04,202.36,205.68,3768859,7716.37,30135,1392577.0,36.95
11-06-2026 00:00,202.5,206.33,199.02,203.33,1879558,3795.88,23934,649872.0,34.58
10-06-2026 00:00,208.88,208.88,202.82,205.56,1591409,3274.59,20567,810391.0,50.92
09-06-2026 00:00,205.1,209.8,204.11,208.98,2250936,4671.73,23461,1051745.0,46.72
08-06-2026 00:00,204.0,206.1,201.08,204.12,1662466,3388.14,20656,643731.0,38.72
05-06-2026 00:00,206.4,207.48,203.52,205.93,1295995,2662.51,25091,477447.0,36.84
04-06-2026 00:00,202.5,207.0,201.85,204.67,2000702,4111.04,29418,1005858.0,50.28
03-06-2026 00:00,203.0,204.1,199.73,202.63,1796078,3616.71,19821,723540.0,40.28
02-06-2026 00:00,200.76,204.01,199.0,202.76,1749395,3529.81,20322,656387.0,37.52
01-06-2026 00:00,204.0,205.14,201.0,202.76,1386017,2808.74,17586,465322.0,33.57
29-05-2026 00:00,206.24,207.47,200.6,203.51,1720084,3510.65,17278,648311.0,37.69
27-05-2026 00:00,206.64,208.7,204.1,206.24,1313515,2719.68,14279,526357.0,40.07
26-05-2026 00:00,207.25,208.79,206.0,206.64,1205683,2498.61,14003,506602.0,42.02
25-05-2026 00:00,207.0,210.0,206.4,207.53,1824309,3801.24,18319,646925.0,35.46
22-05-2026 00:00,206.5,207.0,203.34,205.36,1518491,3120.55,16295,544870.0,35.88
21-05-2026 00:00,206.8,208.5,204.5,206.1,2334800,4828.69,18092,658557.0,28.21
20-05-2026 00:00,199.6,210.7,198.02,205.93,3242204,6579.37,23596,1354855.0,41.79
19-05-2026 00:00,202.3,204.13,200.1,202.11,2281328,4614.85,21896,663327.0,29.08
18-05-2026 00:00,205.0,205.0,197.11,201.16,3998133,7975.92,41158,1130678.0,28.28
15-05-2026 00:00,225.0,226.99,205.0,206.53,14546781,30495.45,110518,4569293.0,31.41
14-05-2026 00:00,221.0,226.8,214.11,223.35,8888115,19666.85,49219,3436636.0,38.67
