datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,122.0,122.0,118.81,118.94,297433,355.96,3984,147215.0,49.5
24-06-2026 00:00,121.05,121.05,119.93,120.12,117609,141.43,2278,61608.0,52.38
23-06-2026 00:00,120.0,121.48,119.94,120.22,410704,495.02,2847,318083.0,77.45
22-06-2026 00:00,121.6,121.6,120.02,121.24,262684,318.46,4714,167349.0,63.71
19-06-2026 00:00,121.11,121.23,119.66,121.1,224444,271.08,2748,144729.0,64.48
18-06-2026 00:00,120.93,121.24,120.01,121.11,403803,488.02,2951,271467.0,67.23
17-06-2026 00:00,117.12,120.5,117.12,120.43,163074,195.83,2641,105865.0,64.92
16-06-2026 00:00,120.9,120.9,119.17,120.13,677640,811.93,3044,410952.0,60.64
15-06-2026 00:00,118.1,120.89,118.1,119.68,678700,814.15,4764,360565.0,53.13
12-06-2026 00:00,117.49,118.85,116.94,118.46,296336,348.42,2926,122576.0,41.36
11-06-2026 00:00,117.16,117.31,116.41,116.52,500872,584.11,3200,409664.0,81.79
10-06-2026 00:00,118.73,118.73,117.17,117.36,324348,382.94,3434,200670.0,61.87
09-06-2026 00:00,116.5,119.85,116.5,117.79,714780,840.11,3022,458845.0,64.19
08-06-2026 00:00,118.13,118.33,116.14,117.5,855090,1005.09,5568,547203.0,63.99
05-06-2026 00:00,121.07,121.07,117.59,118.23,432408,510.26,4019,291490.0,67.41
04-06-2026 00:00,118.27,118.85,117.75,118.7,234595,277.93,3143,95456.0,40.69
03-06-2026 00:00,117.0,118.75,117.0,118.37,1110858,1313.07,4707,832207.0,74.92
02-06-2026 00:00,118.98,119.1,117.32,118.57,1526178,1806.53,5187,932082.0,61.07
01-06-2026 00:00,120.24,121.99,119.0,119.23,391314,468.9,5988,265936.0,67.96
29-05-2026 00:00,124.46,124.46,120.12,120.48,462341,561.32,4801,300361.0,64.97
27-05-2026 00:00,118.9,122.18,118.9,122.02,214849,261.82,2529,140434.0,65.36
26-05-2026 00:00,122.0,122.14,120.75,121.57,389086,473.44,2935,247554.0,63.62
25-05-2026 00:00,120.51,121.9,120.51,121.73,213114,258.99,4229,123646.0,58.02
22-05-2026 00:00,122.0,122.0,120.31,120.4,555848,670.6,2946,408430.0,73.48
