datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,87.7,88.66,85.92,86.4,15735525,13721.49,45061,3126884.0,19.87
24-06-2026 00:00,85.96,89.3,84.83,86.92,31354782,27381.69,83588,3045935.0,9.71
23-06-2026 00:00,88.0,88.14,85.3,85.96,17541586,15180.74,45054,3742578.0,21.34
22-06-2026 00:00,83.36,89.4,83.05,87.65,83820771,73151.9,176274,11439645.0,13.65
19-06-2026 00:00,84.65,85.2,82.57,82.98,22635586,18948.11,71363,6087481.0,26.89
18-06-2026 00:00,89.8,89.9,84.26,84.62,61131579,52725.79,154902,15523932.0,25.39
17-06-2026 00:00,77.39,92.25,77.32,90.36,233255213,205074.94,462501,35875996.0,15.38
16-06-2026 00:00,77.6,78.7,76.36,77.15,8656134,6695.52,34917,2631681.0,30.4
15-06-2026 00:00,76.5,79.77,76.28,76.88,20361699,15785.47,44819,6985457.0,34.31
12-06-2026 00:00,73.4,75.62,73.36,75.39,8499345,6332.92,30203,4100719.0,48.25
11-06-2026 00:00,74.25,74.5,72.15,72.31,6801209,4961.83,32731,3622862.0,53.27
10-06-2026 00:00,76.9,77.42,74.45,74.93,15871263,12052.19,56710,4358107.0,27.46
09-06-2026 00:00,72.5,75.89,72.25,75.37,15955375,11882.67,49023,7509136.0,47.06
08-06-2026 00:00,72.4,74.19,71.7,71.85,4980088,3628.95,23360,1719056.0,34.52
05-06-2026 00:00,73.4,75.24,72.6,73.08,8253817,6096.17,32490,2116189.0,25.64
04-06-2026 00:00,73.39,73.89,72.8,72.94,3611157,2643.89,15397,1509979.0,41.81
03-06-2026 00:00,73.4,73.8,71.7,73.41,4852952,3531.87,20816,1670851.0,34.43
02-06-2026 00:00,72.1,73.31,71.48,73.19,3593761,2614.45,21023,1324480.0,36.85
01-06-2026 00:00,74.0,74.33,71.82,72.07,4474223,3267.46,21954,2117339.0,47.32
29-05-2026 00:00,74.1,76.19,73.4,73.83,13441911,10077.73,41139,5383727.0,40.05
27-05-2026 00:00,72.94,74.46,72.55,73.49,5960584,4388.14,19771,2594923.0,43.53
26-05-2026 00:00,72.7,73.98,72.59,72.94,3563991,2611.81,14238,1419559.0,39.83
25-05-2026 00:00,72.95,73.57,72.85,73.04,4134677,3022.04,15426,1893380.0,45.79
22-05-2026 00:00,72.94,73.25,72.36,72.65,3526842,2567.04,13967,1521209.0,43.13
21-05-2026 00:00,73.74,74.4,72.6,72.9,8032650,5886.45,32406,2218007.0,27.61
20-05-2026 00:00,72.9,75.1,71.46,73.3,10161048,7446.28,36656,3187701.0,31.37
19-05-2026 00:00,69.9,74.8,69.84,73.56,17526384,12820.99,65549,4760542.0,27.16
18-05-2026 00:00,70.25,70.25,68.2,69.5,7487661,5171.43,29424,2051072.0,27.39
15-05-2026 00:00,71.9,71.94,70.2,70.38,3684286,2616.02,17707,1629264.0,44.22
14-05-2026 00:00,71.59,72.19,70.46,71.4,4917993,3512.05,16417,1668353.0,33.92
