datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,79.26,80.29,79.12,79.22,13831461,11004.87,43546,6168070.0,44.59
24-06-2026 00:00,78.42,79.6,78.33,79.2,14232020,11252.53,41969,6256859.0,43.96
23-06-2026 00:00,80.49,80.65,78.16,78.75,36248907,28641.71,75958,19810004.0,54.65
22-06-2026 00:00,78.68,81.46,78.43,80.69,44256995,35499.83,107476,22487049.0,50.81
19-06-2026 00:00,77.93,78.93,77.54,78.68,17050266,13366.66,54525,8005820.0,46.95
18-06-2026 00:00,77.38,78.4,76.89,78.09,29775446,23125.45,50357,14700373.0,49.37
17-06-2026 00:00,77.5,78.37,77.16,77.38,20456804,15854.93,49014,11314441.0,55.31
16-06-2026 00:00,78.59,78.75,77.35,77.5,27114472,21056.15,51897,16100947.0,59.38
15-06-2026 00:00,78.0,79.09,77.23,78.33,28524089,22316.15,69726,10884379.0,38.16
12-06-2026 00:00,73.4,77.39,73.35,76.5,47039199,35593.95,86811,29348401.0,62.39
11-06-2026 00:00,72.51,73.55,72.22,72.95,22321129,16265.97,49384,10427791.0,46.72
10-06-2026 00:00,73.9,74.17,72.74,72.99,20284845,14854.28,50645,11451460.0,56.45
09-06-2026 00:00,72.33,74.5,72.05,73.69,42291787,31196.4,105583,13109603.0,31.0
08-06-2026 00:00,72.0,72.71,71.1,71.43,33430683,24093.23,71221,15730129.0,47.05
05-06-2026 00:00,72.16,72.9,71.82,72.35,28670926,20739.08,56902,13455566.0,46.93
04-06-2026 00:00,71.21,72.77,71.0,72.16,19743553,14251.4,56622,9781884.0,49.54
03-06-2026 00:00,71.35,72.07,69.76,71.78,23974665,17071.19,49745,12199342.0,50.88
02-06-2026 00:00,70.7,71.73,69.53,71.59,37493683,26561.27,69866,20213350.0,53.91
01-06-2026 00:00,71.3,71.81,70.51,71.25,14291113,10169.85,60363,5798792.0,40.58
29-05-2026 00:00,71.81,73.08,70.51,71.32,116119106,83034.6,146983,79066957.0,68.09
27-05-2026 00:00,70.22,72.35,70.1,71.48,16565002,11746.77,52196,7472878.0,45.11
26-05-2026 00:00,69.25,70.33,69.24,70.22,19387715,13561.18,75411,9262156.0,47.77
25-05-2026 00:00,69.6,69.95,69.04,69.46,26724761,18565.14,64572,15714255.0,58.8
22-05-2026 00:00,68.39,69.1,68.1,68.88,12717449,8725.15,47073,5682373.0,44.68
21-05-2026 00:00,68.76,68.98,67.72,68.3,12011357,8207.45,49305,5327217.0,44.35
20-05-2026 00:00,67.14,68.4,66.72,68.21,16727023,11308.18,63122,8092163.0,48.38
19-05-2026 00:00,67.88,68.59,67.65,67.81,12861176,8751.7,63202,5510903.0,42.85
18-05-2026 00:00,67.3,67.84,66.16,67.59,20705466,13855.44,81006,9402082.0,45.41
15-05-2026 00:00,68.25,68.54,66.61,67.65,30331682,20504.15,99569,11348743.0,37.42
14-05-2026 00:00,68.52,68.95,67.25,68.54,34531922,23607.08,84710,18575792.0,53.79
13-05-2026 00:00,67.5,69.49,67.5,68.3,16610311,11424.33,90487,7128123.0,42.91
12-05-2026 00:00,69.01,69.27,67.53,67.68,16597687,11314.85,80204,7181314.0,43.27
11-05-2026 00:00,70.65,70.78,69.1,69.22,17821878,12410.56,82471,8214086.0,46.09
