datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1391.0,1391.3,1320.1,1327.0,126328,1699.3,10407,70761.0,56.01
24-06-2026 00:00,1379.0,1394.7,1362.6,1383.1,68601,945.3,6314,35250.0,51.38
23-06-2026 00:00,1430.0,1434.5,1370.0,1380.5,136140,1897.63,11000,66869.0,49.12
22-06-2026 00:00,1440.0,1449.8,1426.3,1429.9,60064,860.85,5526,27166.0,45.23
19-06-2026 00:00,1438.0,1454.4,1425.0,1429.1,57425,825.05,4927,28451.0,49.54
18-06-2026 00:00,1448.4,1492.5,1434.6,1441.8,112623,1648.87,8962,43053.0,38.23
17-06-2026 00:00,1440.0,1453.2,1422.0,1441.2,82308,1185.79,6939,31387.0,38.13
16-06-2026 00:00,1442.9,1455.0,1420.2,1435.7,136966,1973.7,12908,49048.0,35.81
15-06-2026 00:00,1418.5,1483.3,1409.7,1442.8,183773,2656.41,21577,77708.0,42.28
12-06-2026 00:00,1387.0,1410.6,1371.2,1398.9,103758,1446.64,11131,40663.0,39.19
11-06-2026 00:00,1357.0,1394.4,1333.8,1378.2,101003,1386.85,9800,37891.0,37.51
10-06-2026 00:00,1423.0,1430.7,1343.4,1351.1,190109,2630.83,13498,98299.0,51.71
09-06-2026 00:00,1444.0,1459.8,1415.2,1419.6,104891,1501.02,9007,56023.0,53.41
08-06-2026 00:00,1484.0,1500.9,1431.6,1449.1,104061,1525.58,9917,48773.0,46.87
05-06-2026 00:00,1540.0,1549.0,1492.0,1499.0,127581,1930.63,9861,55311.0,43.35
04-06-2026 00:00,1495.0,1552.5,1472.0,1536.3,260476,3931.52,16300,119280.0,45.79
03-06-2026 00:00,1465.0,1520.0,1440.2,1501.9,243058,3621.72,18142,105930.0,43.58
02-06-2026 00:00,1405.3,1489.9,1396.8,1461.5,225038,3282.56,19675,80727.0,35.87
01-06-2026 00:00,1442.7,1486.1,1403.1,1411.8,230921,3338.22,20629,96141.0,41.63
29-05-2026 00:00,1485.0,1491.9,1388.1,1446.2,532050,7650.83,37507,159136.0,29.91
27-05-2026 00:00,1479.0,1530.0,1418.9,1472.4,855611,12677.69,63834,158590.0,18.54
26-05-2026 00:00,1509.9,1536.0,1455.0,1475.5,207712,3102.51,14696,84901.0,40.87
25-05-2026 00:00,1449.0,1537.0,1436.8,1496.1,273285,4092.89,21452,106315.0,38.9
22-05-2026 00:00,1428.3,1457.2,1418.3,1433.2,85296,1229.4,8553,33352.0,39.1
21-05-2026 00:00,1447.7,1459.9,1401.0,1412.8,133213,1892.06,10142,68971.0,51.77
20-05-2026 00:00,1411.0,1452.9,1410.0,1440.2,74288,1067.01,8193,26702.0,35.94
19-05-2026 00:00,1455.3,1460.0,1412.1,1423.8,125457,1794.45,13771,54956.0,43.8
18-05-2026 00:00,1460.0,1461.8,1413.1,1450.6,107693,1547.31,12913,46179.0,42.88
15-05-2026 00:00,1502.2,1529.6,1469.0,1476.5,122835,1833.06,10356,44840.0,36.5
14-05-2026 00:00,1483.0,1530.0,1477.2,1500.0,210466,3169.58,18738,68293.0,32.45
13-05-2026 00:00,1450.2,1537.0,1450.2,1470.3,318646,4789.21,23363,98034.0,30.77
12-05-2026 00:00,1489.0,1520.3,1443.4,1450.2,142957,2122.63,12761,65602.0,45.89
11-05-2026 00:00,1532.8,1548.1,1489.1,1494.9,100292,1514.89,9804,46720.0,46.58
08-05-2026 00:00,1468.9,1579.5,1458.2,1548.1,473123,7267.53,37754,157730.0,33.34
07-05-2026 00:00,1453.9,1509.0,1443.6,1467.5,188668,2790.41,16502,70262.0,37.24
06-05-2026 00:00,1448.5,1459.7,1406.1,1447.9,210000,3016.97,16483,87951.0,41.88
05-05-2026 00:00,1429.9,1464.9,1405.0,1421.9,150792,2149.07,14511,56977.0,37.79
04-05-2026 00:00,1509.8,1520.1,1381.5,1429.9,627488,8939.17,48693,221542.0,35.31
30-04-2026 00:00,1645.0,1658.8,1491.0,1502.6,496050,7715.99,37311,232940.0,46.96
29-04-2026 00:00,1644.0,1679.9,1600.0,1653.9,322175,5300.55,27142,123475.0,38.33
28-04-2026 00:00,1534.2,1653.9,1521.0,1631.9,859986,13870.78,54693,274190.0,31.88
27-04-2026 00:00,1524.0,1559.0,1501.7,1521.9,238153,3655.06,19785,116908.0,49.09
24-04-2026 00:00,1570.0,1587.0,1484.0,1504.6,292680,4470.33,25213,108711.0,37.14
23-04-2026 00:00,1525.0,1564.0,1505.4,1551.6,217068,3347.43,15269,87208.0,40.18
22-04-2026 00:00,1511.0,1544.8,1500.0,1519.9,121041,1849.05,10162,44253.0,36.56
21-04-2026 00:00,1534.0,1554.0,1478.0,1499.2,220173,3307.08,18526,86553.0,39.31
20-04-2026 00:00,1555.0,1565.4,1509.5,1532.0,177949,2747.25,13367,88045.0,49.48
17-04-2026 00:00,1564.9,1582.7,1552.7,1565.4,297646,4661.21,16287,123701.0,41.56
16-04-2026 00:00,1425.0,1574.0,1419.9,1551.8,1311667,20114.12,89308,335809.0,25.6
15-04-2026 00:00,1413.9,1432.0,1386.0,1417.0,119213,1681.4,10569,51279.0,43.01
13-04-2026 00:00,1358.3,1417.6,1358.3,1389.8,118489,1655.15,10691,52153.0,44.02
10-04-2026 00:00,1377.0,1410.0,1377.0,1399.6,146291,2045.16,11412,65169.0,44.55
09-04-2026 00:00,1352.8,1391.8,1336.2,1367.1,117231,1609.78,10579,43391.0,37.01
08-04-2026 00:00,1350.0,1369.0,1321.3,1344.4,146382,1968.28,11970,58824.0,40.19
07-04-2026 00:00,1295.0,1328.9,1278.2,1314.8,135952,1788.07,11097,43153.0,31.74
06-04-2026 00:00,1264.0,1317.0,1239.8,1289.9,140426,1805.74,17145,38690.0,27.55
02-04-2026 00:00,1225.6,1264.0,1190.3,1257.5,109203,1341.99,11751,25485.0,23.34
01-04-2026 00:00,1225.0,1286.9,1220.5,1231.8,153960,1925.75,18848,63953.0,41.54
30-03-2026 00:00,1205.3,1239.0,1184.0,1202.5,101484,1225.51,12804,35900.0,35.38
27-03-2026 00:00,1244.0,1282.5,1222.0,1231.6,125023,1562.85,14584,56161.0,44.92
25-03-2026 00:00,1204.0,1296.0,1204.0,1244.6,137103,1728.59,16637,47734.0,34.82
24-03-2026 00:00,1191.4,1212.5,1147.1,1199.0,143215,1694.56,13398,72924.0,50.92
23-03-2026 00:00,1224.1,1224.1,1173.0,1179.7,94109,1122.61,11340,55124.0,58.57
20-03-2026 00:00,1227.0,1273.1,1227.0,1235.3,50877,637.52,7286,20500.0,40.29
19-03-2026 00:00,1236.9,1255.1,1216.8,1220.6,53399,656.87,7206,25188.0,47.17
18-03-2026 00:00,1255.9,1285.0,1246.8,1258.5,73217,921.97,8597,30831.0,42.11
17-03-2026 00:00,1199.4,1267.8,1193.4,1255.7,127093,1569.82,15226,55859.0,43.95
16-03-2026 00:00,1177.6,1203.7,1166.1,1190.2,77356,917.78,9446,34157.0,44.16
13-03-2026 00:00,1251.2,1258.0,1172.0,1177.6,125886,1503.57,11598,64864.0,51.53
