datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,849.9,851.0,831.0,832.6,2035820,17033.51,33126,1379574.0,67.77
24-06-2026 00:00,852.0,855.95,842.0,843.65,1582412,13420.29,33459,869155.0,54.93
23-06-2026 00:00,866.95,867.15,845.0,846.4,1789120,15222.78,37161,1069291.0,59.77
22-06-2026 00:00,873.0,875.0,858.0,861.1,1196004,10317.74,31799,636855.0,53.25
19-06-2026 00:00,875.05,878.8,867.3,870.1,1460346,12734.84,30653,904089.0,61.91
18-06-2026 00:00,880.7,884.95,873.1,875.7,1025452,9017.58,25616,382616.0,37.31
17-06-2026 00:00,858.0,878.25,853.45,876.35,2138011,18598.14,48007,970860.0,45.41
16-06-2026 00:00,855.0,856.9,848.7,853.3,545601,4655.29,16011,231924.0,42.51
15-06-2026 00:00,858.2,867.65,846.3,849.6,1284322,10979.96,27057,580537.0,45.2
12-06-2026 00:00,838.5,850.95,824.85,845.5,3089091,25892.79,39076,1551986.0,50.24
11-06-2026 00:00,824.95,833.4,817.45,825.65,2585374,21357.5,47568,1226337.0,47.43
10-06-2026 00:00,856.75,862.9,830.5,833.45,3806779,32130.54,72245,1678672.0,44.1
09-06-2026 00:00,849.95,878.0,847.25,874.95,3638354,31522.26,55679,1444075.0,39.69
08-06-2026 00:00,837.0,855.35,832.25,843.0,2040599,17269.18,43725,770504.0,37.76
05-06-2026 00:00,839.0,860.95,835.8,842.05,3472043,29409.8,66203,1209244.0,34.83
04-06-2026 00:00,847.9,849.9,832.7,837.25,1830531,15381.85,52875,865603.0,47.29
03-06-2026 00:00,829.5,851.0,815.6,847.9,2814036,23581.96,57426,1079913.0,38.38
02-06-2026 00:00,811.85,828.0,805.85,825.55,2748849,22550.91,42435,1653273.0,60.14
01-06-2026 00:00,840.25,842.4,808.0,809.75,3257722,26761.84,114893,1589066.0,48.78
29-05-2026 00:00,837.0,853.95,817.15,833.0,34509165,287343.65,139111,24723007.0,71.64
27-05-2026 00:00,833.55,837.85,827.1,833.35,1027273,8567.49,24381,431054.0,41.96
26-05-2026 00:00,844.0,847.3,830.1,833.55,2469501,20661.74,43744,1255106.0,50.82
25-05-2026 00:00,839.4,849.9,835.0,840.15,2632041,22144.47,44310,1257680.0,47.78
22-05-2026 00:00,822.9,832.0,818.1,825.95,2275195,18756.04,53844,1086396.0,47.75
21-05-2026 00:00,820.85,829.85,814.5,818.95,1742234,14294.1,38279,702214.0,40.31
20-05-2026 00:00,810.15,818.4,803.55,810.2,1800373,14600.09,60169,921653.0,51.19
19-05-2026 00:00,811.95,819.9,807.0,817.1,2021095,16469.59,40289,1083698.0,53.62
18-05-2026 00:00,811.0,819.45,803.7,810.0,2006573,16247.06,57969,1116452.0,55.64
15-05-2026 00:00,834.95,842.3,818.0,820.6,2277029,18889.97,63338,1104322.0,48.5
14-05-2026 00:00,817.95,839.5,813.05,831.75,2226331,18417.65,61057,986582.0,44.31
13-05-2026 00:00,827.0,832.0,801.35,813.95,2345389,19104.68,56418,905045.0,38.59
12-05-2026 00:00,831.5,846.7,816.3,821.4,1682087,13943.67,48864,796049.0,47.33
11-05-2026 00:00,859.0,859.0,837.4,839.65,2001812,16911.41,55463,969405.0,48.43
08-05-2026 00:00,857.05,867.9,848.0,865.55,3357826,28818.69,91562,1764267.0,52.54
07-05-2026 00:00,875.0,875.0,856.0,860.75,1581343,13666.26,49894,601481.0,38.04
06-05-2026 00:00,865.0,871.9,846.55,866.85,2659317,22938.38,63403,1087817.0,40.91
05-05-2026 00:00,825.15,853.25,818.35,848.75,3440456,28779.42,78946,1543450.0,44.86
04-05-2026 00:00,857.95,861.65,827.15,830.35,3272979,27393.3,86617,1657417.0,50.64
30-04-2026 00:00,863.0,863.0,812.7,851.85,9226296,77482.87,226845,3329456.0,36.09
29-04-2026 00:00,903.35,925.65,862.2,875.55,5461272,49093.5,100058,1215399.0,22.25
28-04-2026 00:00,902.0,909.7,894.4,896.1,1854563,16706.61,57841,987721.0,53.26
27-04-2026 00:00,918.8,929.85,909.0,912.65,1723294,15787.37,34454,747758.0,43.39
24-04-2026 00:00,914.95,923.5,901.4,909.9,2514713,22868.71,49752,1490970.0,59.29
23-04-2026 00:00,925.35,927.6,895.35,914.95,2204928,20196.63,53498,969934.0,43.99
22-04-2026 00:00,921.05,933.85,921.05,925.35,1910446,17722.74,66699,1002280.0,52.46
21-04-2026 00:00,934.0,942.45,918.5,921.05,3097270,28685.93,74573,1705705.0,55.07
20-04-2026 00:00,944.0,955.8,925.45,928.3,2522718,23718.95,56377,996231.0,39.49
17-04-2026 00:00,940.05,945.0,930.05,939.45,2109087,19765.77,49342,927280.0,43.97
16-04-2026 00:00,950.05,955.0,930.05,940.05,2516529,23675.67,62854,1024396.0,40.71
15-04-2026 00:00,978.0,1000.9,941.4,946.0,3464905,33309.88,85989,1378191.0,39.78
13-04-2026 00:00,945.0,970.9,930.2,966.5,1531586,14639.26,42066,456205.0,29.79
10-04-2026 00:00,950.0,972.0,947.0,967.75,2024925,19426.01,67474,913516.0,45.11
09-04-2026 00:00,957.0,972.7,939.25,941.85,1912175,18228.81,47668,606216.0,31.7
08-04-2026 00:00,930.0,959.3,930.0,956.5,2494224,23710.77,74752,1097722.0,44.01
07-04-2026 00:00,899.8,906.3,879.1,905.25,1423269,12739.79,45924,434998.0,30.56
06-04-2026 00:00,876.85,904.65,864.25,899.85,2261012,20151.4,55102,613933.0,27.15
02-04-2026 00:00,870.95,874.1,844.0,869.4,1607041,13776.54,46978,543883.0,33.84
01-04-2026 00:00,879.35,890.65,861.4,888.0,1896842,16691.29,59011,829986.0,43.76
30-03-2026 00:00,855.0,865.75,835.0,845.7,2488566,21194.52,66102,1351417.0,54.31
27-03-2026 00:00,902.0,904.55,867.0,871.75,1988298,17436.45,100749,941878.0,47.37
25-03-2026 00:00,885.0,919.6,882.1,909.05,2602754,23612.96,67675,937259.0,36.01
24-03-2026 00:00,850.0,876.85,850.0,871.45,1433333,12428.67,42413,396259.0,27.65
23-03-2026 00:00,861.0,869.9,833.0,838.2,1677108,14141.03,83159,646639.0,38.56
20-03-2026 00:00,871.9,896.9,864.2,878.65,3265910,28870.63,95746,1585218.0,48.54
19-03-2026 00:00,870.1,873.85,853.0,859.15,1414056,12204.56,43571,731106.0,51.7
18-03-2026 00:00,875.0,895.65,874.65,888.9,1592607,14141.83,43625,722966.0,45.4
17-03-2026 00:00,885.0,885.0,860.0,873.95,1399473,12178.33,56143,481459.0,34.4
16-03-2026 00:00,865.0,884.6,848.65,877.45,2341800,20285.78,74522,885486.0,37.81
13-03-2026 00:00,909.6,909.6,867.55,870.3,2204866,19350.84,70310,974707.0,44.21
12-03-2026 00:00,910.0,922.3,890.0,909.6,1025100,9307.27,38341,376387.0,36.72
11-03-2026 00:00,929.85,935.0,910.0,917.8,1145458,10595.46,34623,487513.0,42.56
10-03-2026 00:00,912.0,937.0,905.55,929.75,1627044,15023.2,52469,770493.0,47.36
09-03-2026 00:00,928.0,928.0,878.7,898.9,2044078,18270.53,56509,786682.0,38.49
06-03-2026 00:00,948.05,954.55,936.65,939.4,1071588,10135.7,42259,500386.0,46.7
05-03-2026 00:00,951.95,957.3,930.0,951.75,2154862,20425.25,58480,1041800.0,48.35
04-03-2026 00:00,955.0,961.35,915.7,939.0,2957995,27633.1,81769,1342569.0,45.39
02-03-2026 00:00,960.0,985.0,960.0,976.65,1434807,13993.92,34540,599296.0,41.77
27-02-2026 00:00,988.1,1000.0,980.0,990.5,2343944,23256.05,51363,1400298.0,59.74
26-02-2026 00:00,987.0,997.95,973.35,991.55,1532659,15122.48,48476,614196.0,40.07
25-02-2026 00:00,989.95,990.4,971.3,983.6,1095273,10739.57,31863,449159.0,41.01
24-02-2026 00:00,981.0,989.9,975.35,985.85,2141014,21046.69,41313,768172.0,35.88
23-02-2026 00:00,953.0,986.0,952.05,982.75,4004600,39145.35,79860,1321046.0,32.99
20-02-2026 00:00,927.35,950.0,924.0,946.7,1821350,17181.91,41973,718616.0,39.46
19-02-2026 00:00,942.15,952.5,921.1,927.35,1724103,16199.03,39016,806463.0,46.78
18-02-2026 00:00,925.0,942.5,920.45,938.15,2221965,20734.6,59538,780016.0,35.1
17-02-2026 00:00,888.0,921.9,881.0,920.1,1893818,17231.88,67344,751760.0,39.7
