datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1030.35,1066.0,1000.05,1006.25,140605,1451.58,11702,47231.0,33.59
24-06-2026 00:00,1000.05,1033.95,1000.05,1027.8,35985,365.76,4702,16968.0,47.15
23-06-2026 00:00,1012.0,1024.3,1005.2,1010.05,23922,242.44,3100,11465.0,47.93
22-06-2026 00:00,1018.5,1041.75,1009.95,1017.95,66384,682.29,7767,35030.0,52.77
19-06-2026 00:00,1020.6,1033.2,1013.4,1025.15,43617,446.82,4473,18336.0,42.04
18-06-2026 00:00,1024.0,1034.7,1015.0,1027.3,38318,393.4,5556,17411.0,45.44
17-06-2026 00:00,1035.0,1040.0,1013.0,1021.45,41710,427.71,4551,14358.0,34.42
16-06-2026 00:00,1005.3,1035.0,1003.35,1028.8,68816,704.0,6542,33528.0,48.72
15-06-2026 00:00,1027.95,1038.0,997.9,1005.3,75895,774.7,6775,31091.0,40.97
12-06-2026 00:00,960.25,1007.0,960.25,995.2,119093,1167.71,13191,65471.0,54.97
11-06-2026 00:00,970.0,972.25,942.0,952.55,61707,591.63,9461,31770.0,51.49
10-06-2026 00:00,974.2,996.6,964.6,976.55,62545,615.12,7493,28453.0,45.49
09-06-2026 00:00,940.65,977.1,934.0,974.2,70717,681.27,7373,35183.0,49.75
08-06-2026 00:00,939.4,953.35,922.0,930.65,87696,824.77,9151,47245.0,53.87
05-06-2026 00:00,953.1,965.55,941.05,954.2,82265,783.35,8082,43464.0,52.83
04-06-2026 00:00,954.2,974.9,946.0,955.8,64864,621.03,6603,29993.0,46.24
03-06-2026 00:00,977.0,982.1,945.4,964.7,76623,737.05,7194,32348.0,42.22
02-06-2026 00:00,992.0,994.8,961.0,977.0,112729,1097.7,10201,54384.0,48.24
01-06-2026 00:00,990.9,1037.55,972.1,997.85,193918,1969.35,14104,70038.0,36.12
29-05-2026 00:00,999.25,1012.65,972.25,990.9,653666,6485.1,29674,399489.0,61.12
27-05-2026 00:00,993.2,1004.0,978.3,999.25,181264,1803.6,21753,103011.0,56.83
