datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,21.34,21.45,21.09,21.19,7989758,1701.09,13868,3340275.0,41.81
24-06-2026 00:00,21.39,21.44,21.18,21.32,7903817,1684.31,16344,2912340.0,36.85
23-06-2026 00:00,21.8,21.99,21.28,21.43,12083127,2607.77,20499,4768842.0,39.47
22-06-2026 00:00,21.44,21.92,21.44,21.7,14016234,3045.3,24867,6010456.0,42.88
19-06-2026 00:00,21.43,21.7,21.24,21.44,11326942,2432.81,19798,4479323.0,39.55
18-06-2026 00:00,21.4,21.67,21.29,21.42,13774799,2961.19,20033,4810647.0,34.92
17-06-2026 00:00,21.39,21.55,21.15,21.34,10277274,2193.94,18069,3824184.0,37.21
16-06-2026 00:00,21.3,21.4,21.09,21.3,8649451,1840.85,18017,4720046.0,54.57
15-06-2026 00:00,21.2,21.48,21.05,21.12,12943368,2751.43,21428,6149604.0,47.51
12-06-2026 00:00,20.33,20.87,20.33,20.81,10817459,2232.65,17834,5169970.0,47.79
11-06-2026 00:00,20.35,20.46,20.12,20.21,7980938,1617.83,19323,3227684.0,40.44
10-06-2026 00:00,20.65,20.73,20.41,20.52,10245684,2107.96,22134,3785584.0,36.95
09-06-2026 00:00,21.15,21.52,20.38,20.51,34325323,7155.09,54641,11847939.0,34.52
08-06-2026 00:00,21.0,21.05,20.46,20.65,9589680,1993.69,26921,4555667.0,47.51
05-06-2026 00:00,21.32,21.45,21.11,21.17,7584529,1613.14,17203,2960019.0,39.03
04-06-2026 00:00,21.24,21.49,21.07,21.3,9170085,1957.58,17035,3326185.0,36.27
03-06-2026 00:00,21.5,21.56,21.12,21.28,9669422,2057.73,17983,3182783.0,32.92
02-06-2026 00:00,21.83,21.83,21.35,21.56,12576653,2709.08,25870,3779025.0,30.05
01-06-2026 00:00,21.27,22.09,20.84,21.93,34429074,7422.1,83358,17988488.0,52.25
29-05-2026 00:00,21.85,21.86,21.06,21.16,17478108,3732.52,29314,9415179.0,53.87
27-05-2026 00:00,21.7,21.91,21.64,21.69,10176721,2209.86,18871,4321372.0,42.46
26-05-2026 00:00,21.57,22.27,21.43,21.66,28395725,6204.16,39932,8145268.0,28.68
25-05-2026 00:00,22.43,22.43,21.52,21.62,24613158,5376.44,35291,9149131.0,37.17
22-05-2026 00:00,22.79,22.93,21.91,22.03,43987278,9876.18,58302,11107379.0,25.25
21-05-2026 00:00,21.15,23.95,21.13,22.84,428946595,98870.53,316396,51436587.0,11.99
20-05-2026 00:00,20.0,21.59,19.95,21.13,56644534,11925.77,70296,7599321.0,13.42
19-05-2026 00:00,20.26,20.37,20.01,20.21,6496853,1313.18,16968,2584969.0,39.79
18-05-2026 00:00,20.29,20.3,19.72,20.22,9713387,1943.64,22261,3376244.0,34.76
15-05-2026 00:00,20.38,20.52,20.2,20.3,8494905,1729.72,19270,2337850.0,27.52
14-05-2026 00:00,20.55,20.65,20.07,20.39,9809333,1997.17,23528,2971519.0,30.29
13-05-2026 00:00,20.7,20.8,20.37,20.44,11286696,2317.7,33437,4454000.0,39.46
12-05-2026 00:00,21.3,21.37,20.65,20.82,11223303,2353.32,33174,5475363.0,48.79
11-05-2026 00:00,21.48,21.68,21.19,21.31,11959056,2563.17,26612,4820037.0,40.3
08-05-2026 00:00,21.67,21.77,21.34,21.42,9711888,2085.44,20658,4774969.0,49.17
07-05-2026 00:00,21.9,21.96,21.58,21.67,12602772,2741.85,22972,6061696.0,48.1
06-05-2026 00:00,21.8,21.89,21.5,21.83,9928580,2154.12,21183,4158652.0,41.89
05-05-2026 00:00,21.8,21.9,21.51,21.58,9432767,2044.28,21794,2729537.0,28.94
04-05-2026 00:00,21.7,21.92,21.51,21.7,10463936,2273.31,23546,3976577.0,38.0
30-04-2026 00:00,21.74,21.83,21.32,21.54,11094710,2387.6,22086,3601277.0,32.46
29-04-2026 00:00,22.0,22.07,21.68,21.73,9269902,2023.24,20186,3758067.0,40.54
28-04-2026 00:00,21.87,22.04,21.71,21.86,10937734,2387.14,16414,5099357.0,46.62
27-04-2026 00:00,21.92,22.15,21.61,21.86,9356135,2051.35,21154,3692555.0,39.47
24-04-2026 00:00,22.19,22.27,21.55,21.63,9090593,1983.77,21740,4205957.0,46.27
23-04-2026 00:00,22.15,22.25,21.83,22.15,13229650,2919.33,20570,6380275.0,48.23
22-04-2026 00:00,21.8,22.22,21.72,22.15,10818442,2379.84,22247,4360146.0,40.3
21-04-2026 00:00,22.0,22.12,21.75,21.82,9553687,2097.22,19100,4922776.0,51.53
20-04-2026 00:00,22.25,22.25,21.68,22.0,15171680,3328.39,30432,6904082.0,45.51
17-04-2026 00:00,22.14,22.53,22.1,22.26,13486192,3011.2,24928,6364879.0,47.2
16-04-2026 00:00,22.03,22.4,21.7,22.1,19322122,4282.48,30429,8551553.0,44.26
15-04-2026 00:00,21.8,22.07,21.57,21.77,16485399,3596.81,30313,7613990.0,46.19
