datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,136.7,136.89,133.3,134.16,1611854,2179.43,16639,561415.0,34.83
24-06-2026 00:00,136.52,136.95,134.02,135.66,1520085,2060.48,19272,456808.0,30.05
23-06-2026 00:00,139.7,139.79,135.25,136.45,2729050,3737.83,30966,869434.0,31.86
22-06-2026 00:00,138.49,140.49,138.41,139.13,1941742,2708.11,22762,673978.0,34.71
19-06-2026 00:00,138.0,139.17,136.8,137.19,1904430,2621.68,21790,765420.0,40.19
18-06-2026 00:00,141.7,142.9,138.55,139.18,2241983,3137.41,24913,774315.0,34.54
17-06-2026 00:00,139.6,142.25,138.9,140.72,3270101,4597.52,29250,928928.0,28.41
16-06-2026 00:00,138.06,140.45,137.45,138.92,1720548,2391.79,21340,467810.0,27.19
15-06-2026 00:00,139.5,140.45,136.99,137.74,2433894,3388.91,28282,832425.0,34.2
12-06-2026 00:00,132.09,136.0,131.75,135.35,1681761,2248.97,19128,618181.0,36.76
11-06-2026 00:00,131.7,131.7,130.0,130.26,1181132,1544.48,17810,368589.0,31.21
10-06-2026 00:00,135.8,137.88,132.36,133.01,1262926,1698.55,16957,427202.0,33.83
09-06-2026 00:00,134.18,137.0,134.18,136.29,1525617,2069.25,19230,425022.0,27.86
08-06-2026 00:00,133.9,135.6,133.0,133.55,1338760,1796.72,16680,427837.0,31.96
05-06-2026 00:00,136.49,139.1,135.61,136.56,1683743,2312.97,17398,401334.0,23.84
04-06-2026 00:00,133.82,139.15,133.82,135.89,2571730,3523.91,20351,567441.0,22.06
03-06-2026 00:00,135.0,135.9,132.66,135.32,1565553,2102.77,17886,426228.0,27.23
02-06-2026 00:00,133.0,136.5,131.5,135.97,1776382,2381.16,17408,445692.0,25.09
01-06-2026 00:00,136.98,137.74,133.54,134.31,1849525,2513.27,20732,621078.0,33.58
29-05-2026 00:00,140.0,140.56,135.7,136.9,2689199,3719.74,26683,1085681.0,40.37
27-05-2026 00:00,139.75,140.95,138.61,139.66,2261256,3162.43,18894,649253.0,28.71
26-05-2026 00:00,142.0,142.85,139.5,140.23,2386677,3362.31,25559,770307.0,32.28
25-05-2026 00:00,141.99,143.6,141.57,142.58,2226524,3178.36,22127,710462.0,31.91
22-05-2026 00:00,141.61,142.75,140.46,140.9,2121587,3001.42,19838,668171.0,31.49
21-05-2026 00:00,144.0,144.57,141.69,142.15,1945575,2781.8,21809,544710.0,28.0
20-05-2026 00:00,140.0,141.35,137.8,141.08,1432896,2003.25,16724,404081.0,28.2
19-05-2026 00:00,141.0,142.78,140.1,140.9,1597022,2258.03,20520,511637.0,32.04
18-05-2026 00:00,140.1,141.14,136.42,140.63,2161082,2997.31,24605,688343.0,31.85
15-05-2026 00:00,145.64,146.61,142.2,142.64,1658820,2386.61,19068,540951.0,32.61
14-05-2026 00:00,146.21,149.9,143.01,145.64,2807021,4099.46,27488,582211.0,20.74
13-05-2026 00:00,144.0,148.93,143.02,145.65,2807630,4116.71,30737,717705.0,25.56
12-05-2026 00:00,151.25,151.8,143.0,143.96,3329344,4894.9,35449,1268848.0,38.11
11-05-2026 00:00,156.25,156.3,151.7,152.31,2812619,4304.78,28763,1060113.0,37.69
08-05-2026 00:00,161.0,161.85,157.52,158.34,3276408,5213.65,26824,1136813.0,34.7
07-05-2026 00:00,159.96,164.4,158.0,161.35,6915719,11171.02,45793,1942030.0,28.08
06-05-2026 00:00,160.7,161.48,157.49,159.17,4173116,6638.68,25175,1214989.0,29.11
05-05-2026 00:00,154.0,162.1,153.13,158.86,15187658,24145.97,106001,3547739.0,23.36
04-05-2026 00:00,154.2,155.21,151.77,153.92,2360177,3631.57,20184,700788.0,29.69
30-04-2026 00:00,152.99,154.65,150.06,152.2,2432106,3696.74,23668,565995.0,23.27
29-04-2026 00:00,154.5,156.66,152.8,153.32,2489593,3846.6,20381,805150.0,32.34
28-04-2026 00:00,153.98,155.4,152.71,153.93,2011636,3097.15,18295,539042.0,26.8
27-04-2026 00:00,151.19,155.1,151.0,153.99,2926483,4499.14,28292,887277.0,30.32
24-04-2026 00:00,153.3,154.55,148.53,150.22,3090523,4656.9,28992,889929.0,28.8
23-04-2026 00:00,154.3,159.45,152.1,153.8,6583832,10305.79,46743,1632666.0,24.8
22-04-2026 00:00,152.01,156.82,152.01,155.6,4658003,7203.89,34334,1173636.0,25.2
21-04-2026 00:00,151.49,154.54,150.41,153.13,3034498,4645.98,27525,913209.0,30.09
20-04-2026 00:00,155.0,155.01,150.5,151.49,5224478,7949.46,34327,1565081.0,29.96
17-04-2026 00:00,143.16,159.68,143.16,154.69,41393812,63948.54,235449,4500384.0,10.87
16-04-2026 00:00,143.0,144.48,140.35,142.37,5544074,7896.29,38401,1405207.0,25.35
15-04-2026 00:00,139.0,142.39,138.62,141.37,6632163,9337.61,47262,1738887.0,26.22
13-04-2026 00:00,131.41,136.11,130.29,135.17,3752525,5012.07,32129,1029185.0,27.43
10-04-2026 00:00,134.6,139.4,134.11,136.51,4462418,6124.67,34143,1282144.0,28.73
09-04-2026 00:00,134.3,137.42,132.25,133.43,3875557,5212.51,35141,954602.0,24.63
08-04-2026 00:00,133.0,134.7,130.0,134.3,5921721,7870.36,40034,1984993.0,33.52
07-04-2026 00:00,124.5,128.7,123.85,125.73,4432309,5613.42,37131,779587.0,17.59
06-04-2026 00:00,124.96,126.79,121.05,125.94,3981805,4940.17,36323,766884.0,19.26
02-04-2026 00:00,121.0,125.68,118.79,124.96,3682708,4495.87,30401,760274.0,20.64
01-04-2026 00:00,119.8,126.26,119.0,125.4,5882746,7305.53,45257,1282549.0,21.8
30-03-2026 00:00,119.4,121.65,114.7,115.33,5425226,6387.78,48727,2321405.0,42.79
27-03-2026 00:00,123.4,125.24,120.01,121.24,5654238,6882.96,49836,2277697.0,40.28
25-03-2026 00:00,120.0,127.35,120.0,123.82,9955711,12391.32,66266,1900070.0,19.09
24-03-2026 00:00,118.84,119.99,115.7,118.62,4898445,5785.45,53123,1761789.0,35.97
23-03-2026 00:00,122.0,122.0,114.5,115.24,4720612,5527.6,61297,1773657.0,37.57
20-03-2026 00:00,125.01,127.47,123.19,123.68,2683581,3357.75,31216,1059487.0,39.48
19-03-2026 00:00,125.65,127.06,124.0,124.18,2636010,3307.13,32150,1109316.0,42.08
18-03-2026 00:00,127.78,131.18,126.61,129.75,4377048,5665.36,40986,1036400.0,23.68
17-03-2026 00:00,127.0,127.5,124.27,126.52,3015815,3790.42,32078,749309.0,24.85
16-03-2026 00:00,130.22,130.5,123.71,125.83,4930944,6212.38,66357,1545471.0,31.34
13-03-2026 00:00,134.56,136.29,129.81,130.22,3252843,4303.22,41587,1431697.0,44.01
12-03-2026 00:00,136.83,138.25,133.0,136.55,3202461,4357.7,35394,664216.0,20.74
11-03-2026 00:00,141.05,142.95,136.06,137.16,2838072,3955.2,29323,997614.0,35.15
10-03-2026 00:00,142.0,142.0,136.9,140.17,4031141,5598.57,34571,837458.0,20.77
09-03-2026 00:00,143.44,143.49,136.8,138.89,6735365,9347.11,60014,1077290.0,15.99
06-03-2026 00:00,133.0,150.3,132.13,146.95,67115792,98626.11,332698,3113344.0,4.64
05-03-2026 00:00,132.0,134.45,130.62,133.66,2404260,3181.53,30205,785144.0,32.66
04-03-2026 00:00,135.46,135.46,130.0,130.6,2948402,3876.94,46149,1269373.0,43.05
02-03-2026 00:00,136.0,140.6,134.52,136.21,3862229,5302.89,57820,1554573.0,40.25
27-02-2026 00:00,144.1,144.87,142.71,143.61,1554338,2233.2,22958,581928.0,37.44
26-02-2026 00:00,147.0,148.6,144.76,145.12,1391811,2034.4,18543,567336.0,40.76
25-02-2026 00:00,148.41,149.4,146.3,146.77,1065971,1572.79,17446,480862.0,45.11
24-02-2026 00:00,149.5,149.5,147.15,148.03,993091,1469.69,14608,414283.0,41.72
23-02-2026 00:00,151.01,151.69,149.06,149.59,1520161,2281.61,19839,451571.0,29.71
20-02-2026 00:00,149.99,151.09,147.71,149.84,1450655,2173.51,19344,441591.0,30.44
19-02-2026 00:00,152.3,153.38,148.5,149.38,1442457,2177.74,18827,633567.0,43.92
18-02-2026 00:00,152.5,153.9,151.62,151.95,1308355,1993.1,14999,489755.0,37.43
17-02-2026 00:00,152.15,153.9,151.6,152.15,1356365,2071.5,17049,439793.0,32.42
16-02-2026 00:00,152.89,153.9,151.05,153.1,1472870,2249.84,19232,477444.0,32.42
13-02-2026 00:00,153.97,154.1,151.27,152.89,1429611,2180.05,19131,432321.0,30.24
12-02-2026 00:00,156.99,157.77,153.74,154.47,2580076,3993.2,29599,776780.0,30.11
11-02-2026 00:00,161.6,161.6,155.63,156.43,2388907,3761.64,24264,1030281.0,43.13
10-02-2026 00:00,157.8,164.3,157.31,159.67,5624504,9069.99,53761,1344677.0,23.91
09-02-2026 00:00,154.2,157.34,153.75,156.47,2071686,3224.55,27464,790245.0,38.15
06-02-2026 00:00,153.85,153.85,151.01,153.18,1643837,2505.49,19020,598729.0,36.42
05-02-2026 00:00,157.4,157.89,153.54,154.21,1254127,1946.76,16256,525266.0,41.88
04-02-2026 00:00,154.72,158.69,153.36,157.42,2747586,4296.61,30852,800965.0,29.15
03-02-2026 00:00,158.6,162.1,154.15,154.7,2860732,4486.39,31571,970148.0,33.91
02-02-2026 00:00,155.0,156.3,148.34,154.69,4326765,6577.31,48660,999272.0,23.1
01-02-2026 00:00,165.72,168.6,152.1,153.74,8688645,14095.53,95645,1952921.0,22.48
30-01-2026 00:00,160.4,165.73,158.3,164.0,4458462,7274.2,42244,1146951.0,25.73
29-01-2026 00:00,165.0,167.1,160.21,162.01,3492098,5682.37,34900,1188472.0,34.03
28-01-2026 00:00,156.84,164.9,156.4,163.74,5234701,8428.14,45158,1419182.0,27.11
27-01-2026 00:00,152.2,156.99,150.1,154.91,3164711,4854.87,36373,705948.0,22.31
23-01-2026 00:00,158.77,159.4,151.35,152.88,2801912,4369.93,30219,856061.0,30.55
22-01-2026 00:00,155.4,159.0,154.25,157.84,2759508,4323.33,27839,838036.0,30.37
21-01-2026 00:00,155.1,156.19,151.6,152.82,4014642,6169.93,48484,955444.0,23.8
20-01-2026 00:00,160.77,161.2,154.61,155.47,3495544,5504.21,42119,997879.0,28.55
19-01-2026 00:00,161.94,163.7,160.38,160.77,2524391,4084.79,26494,724282.0,28.69
16-01-2026 00:00,165.73,166.27,162.0,162.49,2569432,4219.26,24778,791577.0,30.81
14-01-2026 00:00,161.14,167.72,161.14,164.97,6156105,10183.7,42589,1104738.0,17.95
13-01-2026 00:00,165.35,166.48,160.39,162.25,2820224,4597.65,27917,788514.0,27.96
12-01-2026 00:00,163.66,164.94,159.1,163.77,4064090,6594.96,41345,934097.0,22.98
09-01-2026 00:00,168.66,170.0,162.35,163.75,5348161,8857.68,51390,1504158.0,28.12
08-01-2026 00:00,177.8,178.6,168.45,169.78,4029278,6968.72,40573,1402842.0,34.82
07-01-2026 00:00,177.26,179.45,175.86,177.42,2786316,4951.5,25681,631462.0,22.66
