datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,516.7,518.0,513.1,514.1,622652,3203.63,23772,336622.0,54.06
24-06-2026 00:00,518.6,519.15,512.8,515.25,574636,2961.69,25470,282489.0,49.16
23-06-2026 00:00,523.0,524.0,511.1,518.55,985511,5094.45,31916,320276.0,32.5
22-06-2026 00:00,519.7,526.75,519.7,521.75,861709,4504.22,30162,440638.0,51.14
19-06-2026 00:00,523.9,523.9,518.55,519.6,756287,3934.66,26368,400969.0,53.02
18-06-2026 00:00,521.0,525.0,518.5,524.0,1060338,5537.56,33441,537393.0,50.68
17-06-2026 00:00,525.0,525.0,519.1,519.95,915022,4760.15,26370,531006.0,58.03
16-06-2026 00:00,520.0,524.4,518.6,522.9,680392,3548.28,30019,396444.0,58.27
15-06-2026 00:00,529.5,529.85,517.0,517.95,1350345,7046.19,56468,808693.0,59.89
12-06-2026 00:00,524.3,525.65,520.05,521.35,591021,3084.08,25101,289877.0,49.05
11-06-2026 00:00,510.0,531.7,507.4,521.05,1845215,9619.94,77602,599656.0,32.5
10-06-2026 00:00,518.5,519.3,511.0,512.35,448764,2309.28,18639,226733.0,50.52
09-06-2026 00:00,517.0,520.0,515.5,517.85,323769,1675.05,15101,164138.0,50.7
08-06-2026 00:00,521.95,522.7,515.0,516.1,485087,2513.68,25293,242142.0,49.92
05-06-2026 00:00,530.5,535.0,525.0,528.6,712866,3769.94,29810,353191.0,49.55
04-06-2026 00:00,508.5,531.0,508.2,527.5,1948929,10247.48,47747,857621.0,44.0
03-06-2026 00:00,516.0,519.55,510.0,510.8,802284,4111.77,31217,442169.0,55.11
02-06-2026 00:00,510.75,518.9,508.5,516.9,687193,3546.23,24846,340800.0,49.59
01-06-2026 00:00,512.1,518.95,509.6,512.6,894925,4596.27,30984,325134.0,36.33
29-05-2026 00:00,525.45,527.05,503.0,509.85,1654816,8545.17,54331,940554.0,56.84
27-05-2026 00:00,532.4,532.4,521.6,523.2,1866537,9794.97,47025,951577.0,50.98
26-05-2026 00:00,544.9,547.65,536.3,537.2,1238113,6690.2,31830,556817.0,44.97
25-05-2026 00:00,535.0,540.2,533.55,537.85,814819,4375.81,24570,381953.0,46.88
22-05-2026 00:00,528.8,541.4,527.15,530.25,1106967,5902.6,27141,329253.0,29.74
21-05-2026 00:00,530.0,534.2,526.0,527.15,695613,3680.65,26759,343890.0,49.44
20-05-2026 00:00,526.05,530.7,525.2,527.85,487397,2571.89,22214,236027.0,48.43
19-05-2026 00:00,532.25,537.6,524.7,529.8,1146967,6094.27,27423,657266.0,57.3
18-05-2026 00:00,535.0,535.05,523.0,531.85,753397,3983.56,28531,292634.0,38.84
15-05-2026 00:00,540.0,542.85,534.0,535.95,531456,2863.1,21602,252477.0,47.51
14-05-2026 00:00,537.75,544.6,528.75,538.85,895611,4810.81,34248,312561.0,34.9
13-05-2026 00:00,530.5,542.45,530.5,536.1,959485,5155.54,34061,323118.0,33.68
12-05-2026 00:00,555.0,557.85,531.0,534.0,1169426,6340.94,37849,589125.0,50.38
11-05-2026 00:00,562.55,562.55,552.1,556.8,882533,4916.53,25657,388414.0,44.01
08-05-2026 00:00,566.05,570.85,564.0,564.9,675440,3825.17,22201,319763.0,47.34
07-05-2026 00:00,575.0,578.05,567.0,568.5,1391332,7940.3,34153,625938.0,44.99
06-05-2026 00:00,574.5,576.7,566.05,572.75,1180667,6734.35,33344,534201.0,45.25
05-05-2026 00:00,555.0,581.3,550.65,569.1,4973913,28366.27,92712,1395253.0,28.05
04-05-2026 00:00,544.5,556.55,542.05,555.25,1779862,9811.87,41787,858900.0,48.26
30-04-2026 00:00,548.0,550.0,536.15,539.55,1074426,5807.14,35776,517312.0,48.15
29-04-2026 00:00,544.5,552.35,543.7,550.1,1348964,7397.27,37059,678207.0,50.28
28-04-2026 00:00,545.1,554.0,541.8,543.85,1573071,8622.62,41423,673931.0,42.84
27-04-2026 00:00,543.2,546.85,541.0,545.1,1281855,6972.47,38483,685786.0,53.5
24-04-2026 00:00,552.0,556.0,539.2,541.2,944945,5132.28,38664,423493.0,44.82
23-04-2026 00:00,557.0,558.1,550.2,551.35,822626,4551.57,34558,453964.0,55.18
22-04-2026 00:00,559.0,561.75,555.3,558.55,892060,4978.99,33786,466863.0,52.34
21-04-2026 00:00,565.6,569.95,560.5,561.2,1221915,6896.6,41253,644680.0,52.76
20-04-2026 00:00,565.4,567.0,553.5,565.2,1805082,10123.02,36793,878054.0,48.64
17-04-2026 00:00,553.8,570.05,552.5,564.9,1873250,10559.85,46800,880219.0,46.99
16-04-2026 00:00,557.05,561.3,550.0,553.8,1415200,7843.01,37854,582960.0,41.19
15-04-2026 00:00,545.8,557.35,545.15,553.55,1978086,10931.66,42698,761726.0,38.51
13-04-2026 00:00,532.35,540.25,525.7,537.9,1066402,5705.62,34344,423669.0,39.73
10-04-2026 00:00,533.9,545.75,533.25,542.3,1242295,6734.39,38719,578789.0,46.59
09-04-2026 00:00,536.5,543.35,529.0,531.55,1219166,6516.02,37264,610642.0,50.09
08-04-2026 00:00,533.0,537.8,528.7,536.5,1709944,9133.13,44138,852365.0,49.85
07-04-2026 00:00,514.0,517.5,508.0,516.2,881493,4528.41,31795,325957.0,36.98
06-04-2026 00:00,513.0,516.1,502.75,514.7,1154102,5889.27,40307,452976.0,39.25
02-04-2026 00:00,502.0,513.9,497.0,511.8,1050731,5298.18,34757,438497.0,41.73
01-04-2026 00:00,510.0,522.4,507.9,511.2,1664955,8571.13,46057,716523.0,43.04
30-03-2026 00:00,508.0,513.3,492.65,494.5,2653568,13251.33,81163,1341080.0,50.54
27-03-2026 00:00,521.75,521.75,509.0,510.6,1982969,10149.86,62736,1113869.0,56.17
25-03-2026 00:00,518.0,530.4,516.05,523.75,1506234,7927.56,41495,783452.0,52.01
24-03-2026 00:00,520.05,521.95,504.85,515.15,1739708,8920.46,53330,782872.0,45.0
23-03-2026 00:00,520.0,522.8,506.6,510.3,2589941,13253.95,71323,1536844.0,59.34
20-03-2026 00:00,529.9,532.0,521.1,522.85,1740070,9136.37,44039,742782.0,42.69
19-03-2026 00:00,535.0,535.0,524.2,525.85,978842,5186.1,35402,566957.0,57.92
18-03-2026 00:00,530.0,543.9,523.5,540.25,2207154,11808.05,49119,979607.0,44.38
17-03-2026 00:00,529.85,529.85,522.0,526.95,1317273,6920.1,34621,580158.0,44.04
16-03-2026 00:00,527.7,529.0,518.25,526.45,1857687,9739.78,50473,744372.0,40.07
13-03-2026 00:00,535.0,536.5,525.0,527.6,2008646,10619.1,55907,1073669.0,53.45
12-03-2026 00:00,531.0,541.1,520.05,536.7,3154397,16835.97,62815,1560469.0,49.47
11-03-2026 00:00,548.0,552.75,532.4,534.15,1506767,8144.75,45484,695867.0,46.18
10-03-2026 00:00,550.0,550.0,540.5,547.95,1633157,8909.73,31941,869877.0,53.26
09-03-2026 00:00,542.0,546.0,535.2,539.8,2055546,11073.4,53261,1015369.0,49.4
06-03-2026 00:00,561.0,569.45,551.0,552.8,1843513,10310.9,50000,915879.0,49.68
05-03-2026 00:00,556.95,564.45,550.25,561.95,2346458,13061.09,52989,1127627.0,48.06
04-03-2026 00:00,553.95,561.05,547.45,553.45,2974290,16469.32,73030,1483964.0,49.89
02-03-2026 00:00,552.9,578.0,552.0,568.95,2790621,15878.55,61717,1183145.0,42.4
27-02-2026 00:00,594.1,594.4,558.1,569.55,32213440,184156.44,239892,22525097.0,69.92
26-02-2026 00:00,605.9,609.45,594.0,594.95,3156132,18937.59,76292,1781565.0,56.45
25-02-2026 00:00,615.05,622.8,605.0,605.9,2460682,15044.7,43958,1297585.0,52.73
24-02-2026 00:00,636.9,636.9,611.15,614.45,4217676,26254.97,61663,2545177.0,60.35
23-02-2026 00:00,650.7,650.8,632.15,639.45,2983677,19147.79,56141,1541569.0,51.67
20-02-2026 00:00,626.6,651.25,624.65,645.3,5078998,32687.36,64818,2016431.0,39.7
19-02-2026 00:00,622.0,635.95,619.3,629.1,2866005,18095.69,39937,1465422.0,51.13
18-02-2026 00:00,617.55,626.4,616.0,623.45,1430103,8899.89,25245,695454.0,48.63
17-02-2026 00:00,613.1,629.5,611.0,617.55,2129421,13228.5,42114,1198243.0,56.27
16-02-2026 00:00,617.35,617.35,606.15,613.5,2330789,14242.81,60184,1395457.0,59.87
13-02-2026 00:00,625.0,632.75,612.0,617.5,3930956,24544.15,71335,1546703.0,39.35
12-02-2026 00:00,629.9,629.9,620.2,622.05,1631276,10183.7,31651,816204.0,50.03
11-02-2026 00:00,635.0,636.05,624.65,628.35,914394,5747.25,22872,377995.0,41.34
10-02-2026 00:00,624.75,638.95,624.0,636.2,1938170,12307.92,39455,721464.0,37.22
09-02-2026 00:00,623.0,627.25,621.4,624.75,714720,4463.32,22176,351843.0,49.23
06-02-2026 00:00,620.95,621.0,612.0,620.0,731675,4509.7,18477,207690.0,28.39
05-02-2026 00:00,624.0,633.6,615.6,621.75,576830,3576.84,18039,222041.0,38.49
04-02-2026 00:00,616.0,624.8,610.25,622.35,896728,5556.75,20036,370895.0,41.36
03-02-2026 00:00,621.8,628.95,612.05,614.1,1356592,8361.37,40241,645079.0,47.55
02-02-2026 00:00,607.0,612.9,596.0,610.3,1313814,7932.65,37896,431747.0,32.86
01-02-2026 00:00,628.8,635.9,600.0,606.35,2837167,17580.09,61637,848685.0,29.91
30-01-2026 00:00,614.0,624.4,608.8,623.05,1818270,11252.46,38151,865480.0,47.6
29-01-2026 00:00,624.9,626.0,612.8,615.35,1354675,8353.05,30119,581833.0,42.95
28-01-2026 00:00,612.95,628.8,610.45,625.1,1674580,10346.23,29342,724310.0,43.25
27-01-2026 00:00,620.0,622.35,601.3,607.5,2338114,14215.18,50087,1106223.0,47.31
23-01-2026 00:00,631.0,638.85,615.8,617.8,1647574,10363.07,38187,520787.0,31.61
22-01-2026 00:00,616.7,630.0,615.1,628.85,1326768,8283.57,28503,543770.0,40.98
21-01-2026 00:00,614.0,618.25,601.35,613.7,1670035,10197.78,46013,588869.0,35.26
20-01-2026 00:00,632.0,632.0,611.2,613.15,1509221,9367.66,43073,561376.0,37.2
