datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,128.3,129.28,126.66,127.47,5419903,6963.0,24551,1689007.0,31.16
24-06-2026 00:00,126.95,128.35,126.0,127.52,6968284,8859.42,32596,1380193.0,19.81
23-06-2026 00:00,131.0,131.24,127.0,127.31,5336066,6869.57,27840,1885562.0,35.34
22-06-2026 00:00,128.0,133.19,127.9,130.85,12728720,16685.4,58127,3463986.0,27.21
19-06-2026 00:00,127.5,128.19,126.33,127.15,3976588,5053.7,24998,1472125.0,37.02
18-06-2026 00:00,127.01,128.5,126.13,127.96,6369158,8113.7,29285,2175741.0,34.16
17-06-2026 00:00,126.26,127.0,124.72,126.46,5746064,7241.31,25660,1746482.0,30.39
16-06-2026 00:00,125.43,126.78,124.55,126.15,4569823,5757.75,22712,1444426.0,31.61
15-06-2026 00:00,125.0,126.26,124.41,124.82,6283172,7879.56,33702,2429370.0,38.66
12-06-2026 00:00,120.06,122.75,119.56,122.13,4408471,5336.01,23483,1235581.0,28.03
11-06-2026 00:00,119.4,119.4,117.75,118.3,4294296,5091.02,32712,1315486.0,30.63
10-06-2026 00:00,123.24,123.5,120.25,120.58,4124541,5011.15,23850,1269481.0,30.78
09-06-2026 00:00,120.01,123.17,120.0,122.47,6352175,7751.94,36292,1553129.0,24.45
08-06-2026 00:00,122.25,122.25,119.7,120.16,5900450,7145.35,37634,2322811.0,39.37
05-06-2026 00:00,123.48,125.67,122.75,123.43,5141536,6373.39,27026,1353327.0,26.32
04-06-2026 00:00,122.0,124.1,122.0,123.24,4344949,5362.47,23016,1224173.0,28.17
03-06-2026 00:00,124.88,124.9,121.55,122.83,8224643,10094.83,48246,2364313.0,28.75
02-06-2026 00:00,124.78,125.3,122.8,124.93,9621872,11923.77,52198,2300976.0,23.91
01-06-2026 00:00,132.58,132.59,125.52,126.27,22746116,29111.0,102209,6375489.0,28.03
29-05-2026 00:00,131.0,135.5,129.57,133.25,31424380,41692.28,88111,18857128.0,60.01
27-05-2026 00:00,129.54,131.19,128.99,130.2,5122289,6662.45,32219,1586320.0,30.97
26-05-2026 00:00,129.95,130.89,128.55,129.54,5282274,6852.66,35479,1658905.0,31.41
25-05-2026 00:00,130.0,132.39,129.25,129.77,7175829,9383.57,40320,2260008.0,31.49
22-05-2026 00:00,129.0,129.66,127.36,129.01,4518710,5819.51,27427,1333618.0,29.51
21-05-2026 00:00,128.0,129.55,127.21,127.87,5175967,6636.54,28288,1370912.0,26.49
20-05-2026 00:00,126.81,127.45,125.72,126.77,5406038,6838.54,29070,1265498.0,23.41
19-05-2026 00:00,127.75,129.4,127.02,127.77,4343861,5572.58,28952,1340980.0,30.87
18-05-2026 00:00,125.64,127.45,122.5,126.92,7686807,9612.17,43981,2137577.0,27.81
15-05-2026 00:00,129.34,129.83,126.6,127.1,6413585,8205.54,35456,1227931.0,19.15
14-05-2026 00:00,129.45,132.56,126.16,128.62,8759307,11286.51,47314,1719359.0,19.63
13-05-2026 00:00,125.05,129.35,124.69,128.25,8922630,11353.28,48805,2143630.0,24.02
12-05-2026 00:00,130.0,130.87,124.2,124.69,8466638,10749.58,53962,3001770.0,35.45
11-05-2026 00:00,133.85,133.99,130.21,130.68,6439252,8453.98,45761,2231049.0,34.65
08-05-2026 00:00,135.0,135.99,133.7,134.6,6088689,8193.21,34630,1805563.0,29.65
07-05-2026 00:00,136.37,137.45,135.3,135.56,6033015,8216.69,30363,2054495.0,34.05
06-05-2026 00:00,136.65,137.33,134.36,136.41,5746997,7810.95,32310,1603662.0,27.9
05-05-2026 00:00,135.36,136.59,134.18,135.27,5329391,7220.99,30444,1394056.0,26.16
04-05-2026 00:00,136.0,137.25,134.06,135.36,6076507,8252.4,35737,1901153.0,31.29
30-04-2026 00:00,136.82,136.82,133.4,135.1,5951746,8028.73,38714,1772302.0,29.78
29-04-2026 00:00,138.77,139.59,136.8,137.21,6222771,8586.43,30587,2239726.0,35.99
28-04-2026 00:00,138.6,140.08,136.79,138.05,9258413,12819.7,40241,2892842.0,31.25
27-04-2026 00:00,136.22,139.73,136.22,138.0,10860811,15011.14,50608,2830834.0,26.06
24-04-2026 00:00,137.5,138.64,134.16,135.89,11029706,15009.01,57732,2967669.0,26.91
23-04-2026 00:00,140.4,141.94,137.0,137.52,21390031,29722.47,84925,5733990.0,26.81
22-04-2026 00:00,128.86,142.85,128.68,140.45,73264311,101722.95,222236,12485219.0,17.04
21-04-2026 00:00,130.01,131.39,128.55,128.86,7392872,9605.08,41290,2960433.0,40.04
20-04-2026 00:00,133.49,133.49,129.5,130.14,9723971,12747.75,50370,3842894.0,39.52
17-04-2026 00:00,129.95,134.2,129.2,133.01,17129042,22723.95,68760,5105572.0,29.81
16-04-2026 00:00,128.5,130.69,127.1,129.43,17603153,22724.45,71214,3920666.0,22.27
15-04-2026 00:00,125.65,127.19,125.0,126.45,9861633,12466.95,42460,3993186.0,40.49
13-04-2026 00:00,120.05,124.1,118.38,123.35,9088719,11087.9,39572,2180082.0,23.99
10-04-2026 00:00,124.0,126.65,123.12,123.72,9496589,11825.64,43767,2667646.0,28.09
09-04-2026 00:00,122.0,123.75,120.31,123.13,10836914,13281.55,44743,2539813.0,23.44
08-04-2026 00:00,119.0,123.0,119.0,122.46,11246542,13643.52,47685,4238118.0,37.68
07-04-2026 00:00,114.6,116.0,113.55,115.68,6272921,7213.99,29216,1346959.0,21.47
06-04-2026 00:00,114.94,115.89,111.54,115.58,8849494,10095.56,41644,2087400.0,23.59
02-04-2026 00:00,111.98,115.3,109.85,114.94,8822348,9910.81,42794,2079661.0,23.57
01-04-2026 00:00,113.97,115.0,111.33,113.76,9564890,10898.25,43375,2153007.0,22.51
30-03-2026 00:00,113.06,114.18,108.65,108.98,15254568,17009.03,77886,5411911.0,35.48
27-03-2026 00:00,119.0,119.0,114.01,114.31,13334864,15470.77,64303,4991093.0,37.43
25-03-2026 00:00,115.46,120.18,115.46,119.2,12930750,15401.79,47501,4925604.0,38.09
24-03-2026 00:00,113.9,115.2,111.63,114.37,9452505,10766.34,45848,2894013.0,30.62
23-03-2026 00:00,115.0,115.05,110.0,110.51,10405779,11617.27,65092,3732603.0,35.87
20-03-2026 00:00,118.0,120.5,115.51,116.37,12638739,14909.33,58753,3946162.0,31.22
19-03-2026 00:00,116.0,117.77,114.72,116.58,7033332,8189.75,33796,1887356.0,26.83
18-03-2026 00:00,117.0,119.49,116.4,117.97,7510333,8847.47,34040,2348739.0,31.27
17-03-2026 00:00,115.95,116.7,114.0,116.2,6073558,7010.88,32276,1972506.0,32.48
16-03-2026 00:00,114.85,116.17,112.07,115.19,7970878,9097.59,41018,2186172.0,27.43
13-03-2026 00:00,117.0,118.94,114.21,114.85,11395700,13264.6,49288,3160079.0,27.73
12-03-2026 00:00,114.0,118.95,112.59,117.03,9357674,10885.18,48122,2072847.0,22.15
11-03-2026 00:00,117.31,119.17,114.0,114.8,6491893,7567.01,33332,1932132.0,29.76
10-03-2026 00:00,116.55,117.5,114.41,116.97,6188063,7177.28,30661,1975949.0,31.93
09-03-2026 00:00,113.22,115.23,112.07,114.35,7968912,9046.44,48522,2659811.0,33.38
06-03-2026 00:00,116.5,120.35,115.08,117.28,12595130,14904.26,51072,3941160.0,31.29
05-03-2026 00:00,113.56,116.19,112.8,115.65,8974731,10247.37,45012,2736966.0,30.5
04-03-2026 00:00,113.65,114.64,112.21,113.52,10489846,11890.43,64073,3815156.0,36.37
02-03-2026 00:00,115.91,119.4,114.75,115.93,12595759,14708.87,84699,4742355.0,37.65
27-02-2026 00:00,124.0,124.5,122.0,122.25,6156137,7561.44,46734,2312397.0,37.56
26-02-2026 00:00,125.49,126.82,123.72,124.75,5057763,6329.14,35330,1544570.0,30.54
25-02-2026 00:00,127.34,127.34,124.2,125.49,5795505,7257.49,32498,1810624.0,31.24
24-02-2026 00:00,126.28,127.6,124.65,126.01,6387831,8047.51,36820,1536383.0,24.05
23-02-2026 00:00,126.84,127.5,125.07,127.23,6011063,7604.44,31450,2088427.0,34.74
20-02-2026 00:00,125.0,127.74,124.5,126.65,5752620,7285.2,27857,2089748.0,36.33
19-02-2026 00:00,127.87,128.79,125.0,125.72,4783277,6062.55,29660,1634599.0,34.17
18-02-2026 00:00,127.13,128.55,126.13,127.87,4939699,6293.41,26764,1719336.0,34.81
17-02-2026 00:00,127.07,127.59,126.25,127.03,5252696,6666.98,23288,1613704.0,30.72
16-02-2026 00:00,123.4,127.75,122.26,127.07,12339521,15586.64,51576,3684642.0,29.86
13-02-2026 00:00,124.55,124.58,121.65,123.56,10190497,12517.89,56178,2781173.0,27.29
12-02-2026 00:00,126.3,126.4,124.1,125.22,10994504,13722.29,64724,3646195.0,33.16
11-02-2026 00:00,129.28,129.5,125.4,126.67,12883457,16303.28,63239,4928488.0,38.25
10-02-2026 00:00,129.1,130.41,128.6,129.28,4986434,6452.1,34393,1706650.0,34.23
09-02-2026 00:00,129.5,130.45,128.56,128.81,5427943,7016.15,31061,2181242.0,40.19
06-02-2026 00:00,129.14,129.56,125.85,128.29,10282823,13090.62,54828,2921786.0,28.41
05-02-2026 00:00,131.76,132.16,129.11,129.93,5242856,6822.47,31400,1479878.0,28.23
04-02-2026 00:00,129.54,132.5,128.4,131.76,7136455,9321.83,39175,2176873.0,30.5
03-02-2026 00:00,133.55,134.67,129.29,129.54,8032191,10517.46,44131,2907006.0,36.19
02-02-2026 00:00,128.21,128.6,124.25,127.44,9565522,12063.08,60052,2761437.0,28.87
01-02-2026 00:00,132.88,136.14,124.11,128.24,14269538,18798.43,80351,3244625.0,22.74
30-01-2026 00:00,132.03,132.95,130.5,132.08,6513022,8586.28,41434,2191796.0,33.65
29-01-2026 00:00,134.5,134.61,131.65,133.26,6860132,9124.91,38560,2751079.0,40.1
28-01-2026 00:00,129.99,134.35,129.01,133.87,10440084,13703.35,65842,3388622.0,32.46
27-01-2026 00:00,127.8,130.0,126.15,128.88,10136248,12986.56,45543,3463174.0,34.17
23-01-2026 00:00,130.51,130.99,127.0,127.4,8841839,11417.16,48594,2960650.0,33.48
22-01-2026 00:00,129.53,131.55,128.6,129.93,8580673,11156.37,41950,3280267.0,38.23
21-01-2026 00:00,129.94,131.1,126.27,127.38,13750584,17660.47,80857,3585471.0,26.08
20-01-2026 00:00,134.41,134.81,129.45,129.94,11729376,15422.04,77063,3726755.0,31.77
19-01-2026 00:00,136.29,136.44,133.78,134.59,10537465,14216.5,47578,3472662.0,32.96
16-01-2026 00:00,138.77,139.48,135.56,136.29,8246756,11336.75,44969,2499914.0,30.31
14-01-2026 00:00,139.0,141.75,137.7,138.1,8600026,11981.42,47156,2361501.0,27.46
13-01-2026 00:00,141.4,143.0,138.25,139.99,15616131,21846.76,60791,2923811.0,18.72
12-01-2026 00:00,139.99,142.48,137.46,141.5,50046560,70222.96,175406,5515595.0,11.02
09-01-2026 00:00,141.0,141.64,135.6,136.61,15649670,21648.7,73051,4216568.0,26.94
08-01-2026 00:00,146.3,146.9,140.5,141.18,10554455,15091.9,53727,3518806.0,33.34
07-01-2026 00:00,143.7,146.3,142.85,146.03,9089693,13182.12,46735,2839711.0,31.24
06-01-2026 00:00,144.59,146.02,142.33,143.55,8695194,12522.68,39641,2158363.0,24.82
05-01-2026 00:00,147.5,149.48,143.64,144.57,12236304,17861.81,57955,4672264.0,38.18
02-01-2026 00:00,140.05,147.6,140.05,146.64,28577864,41420.89,113244,8402257.0,29.4
01-01-2026 00:00,141.0,142.3,138.74,139.36,8273710,11597.66,37100,2334562.0,28.22
31-12-2025 00:00,136.86,141.25,136.85,139.9,7422921,10398.74,35656,1906793.0,25.69
30-12-2025 00:00,138.69,138.69,135.62,136.86,6007412,8221.93,35249,2665847.0,44.38
29-12-2025 00:00,141.99,142.75,138.1,138.71,7619648,10685.99,42216,2435581.0,31.96
26-12-2025 00:00,137.76,143.3,137.21,140.99,22038445,31236.7,78553,7205701.0,32.7
24-12-2025 00:00,139.0,139.95,137.55,138.1,5479430,7603.78,33973,2079362.0,37.95
23-12-2025 00:00,136.2,141.1,135.38,138.73,13763143,19110.77,62122,3813505.0,27.71
22-12-2025 00:00,134.0,136.41,133.77,135.67,5217248,7075.87,32306,1658953.0,31.8
19-12-2025 00:00,132.0,133.42,131.05,133.19,4037139,5338.58,30951,1599427.0,39.62
18-12-2025 00:00,131.3,132.6,129.58,131.42,4469203,5864.78,27213,1336455.0,29.9
17-12-2025 00:00,133.5,134.21,131.0,131.43,4043309,5347.62,31476,1569811.0,38.82
16-12-2025 00:00,135.46,135.5,133.25,133.87,2540425,3409.04,24049,995517.0,39.19
15-12-2025 00:00,136.16,136.16,134.5,135.46,2980237,4033.58,21254,1257765.0,42.2
12-12-2025 00:00,135.0,136.64,134.5,136.18,3598713,4871.64,25148,1413916.0,39.29
11-12-2025 00:00,133.02,134.91,132.25,134.48,4341676,5815.71,30387,1332501.0,30.69
10-12-2025 00:00,135.0,136.33,132.0,133.02,5960605,8006.79,36984,2222047.0,37.28
09-12-2025 00:00,131.0,134.98,129.11,134.46,10090650,13344.07,56407,3394740.0,33.64
08-12-2025 00:00,133.69,134.75,129.78,131.21,9036262,11914.27,59369,4054372.0,44.87
05-12-2025 00:00,136.75,137.29,132.0,133.4,11660475,15566.33,75815,3753483.0,32.19
04-12-2025 00:00,137.0,138.8,136.3,136.75,4460457,6122.38,31782,1512093.0,33.9
03-12-2025 00:00,140.24,140.95,136.2,136.84,6328520,8734.83,51133,2739700.0,43.29
02-12-2025 00:00,142.01,142.39,139.61,140.18,5527876,7774.96,44203,2548695.0,46.11
01-12-2025 00:00,142.9,144.3,142.0,142.48,3070252,4387.19,25525,1069389.0,34.83
28-11-2025 00:00,143.92,144.2,142.42,142.9,2469997,3528.12,23093,1001105.0,40.53
27-11-2025 00:00,144.44,145.48,143.1,143.76,2478216,3571.62,21969,886029.0,35.75
26-11-2025 00:00,142.11,144.79,142.1,144.35,3691030,5314.35,22901,1402604.0,38.0
25-11-2025 00:00,142.49,143.28,140.53,141.36,4975277,7055.08,36900,2226400.0,44.75
24-11-2025 00:00,144.41,145.16,142.2,142.49,3755997,5395.73,33804,1503942.0,40.04
21-11-2025 00:00,146.5,146.77,144.0,144.41,4102741,5955.73,32142,1620155.0,39.49
20-11-2025 00:00,147.29,148.16,146.45,146.64,3146750,4631.63,24209,1151503.0,36.59
19-11-2025 00:00,148.0,148.37,146.5,147.1,3350146,4927.53,25441,1225031.0,36.57
18-11-2025 00:00,151.0,151.0,148.0,148.08,5482207,8152.53,36656,2397819.0,43.74
17-11-2025 00:00,149.61,152.38,149.51,150.71,5346259,8069.53,28973,2362373.0,44.19
14-11-2025 00:00,149.51,150.95,148.31,149.61,5447973,8147.14,27254,858347.0,15.76
13-11-2025 00:00,150.96,152.13,149.05,149.29,4602992,6926.85,29104,1587998.0,34.5
12-11-2025 00:00,149.76,153.48,149.55,150.93,6667190,10117.25,33754,2120053.0,31.8
11-11-2025 00:00,148.9,149.39,146.58,149.04,4634146,6864.37,31238,1411878.0,30.47
10-11-2025 00:00,149.95,150.25,148.42,148.71,3224588,4811.5,26679,1243247.0,38.56
07-11-2025 00:00,148.0,150.39,146.25,149.37,5338117,7912.73,32053,1816292.0,34.02
06-11-2025 00:00,151.2,151.5,148.2,148.56,5841929,8724.06,40464,2737072.0,46.85
04-11-2025 00:00,153.44,153.44,150.45,151.01,5500388,8342.09,34835,1905208.0,34.64
03-11-2025 00:00,152.15,153.74,151.56,153.3,3593706,5497.45,23945,1396430.0,38.86
31-10-2025 00:00,153.74,154.75,151.42,151.93,4278444,6545.08,27424,1948908.0,45.55
30-10-2025 00:00,155.96,156.66,153.11,153.74,5699289,8794.4,32125,2010952.0,35.28
29-10-2025 00:00,151.74,156.75,151.15,155.57,9965445,15373.17,42296,4818369.0,48.35
28-10-2025 00:00,153.9,153.99,150.9,151.47,8270601,12582.06,41245,2854150.0,34.51
27-10-2025 00:00,153.58,155.75,153.13,153.37,7162776,11066.29,37399,2684519.0,37.48
24-10-2025 00:00,153.54,155.19,152.75,153.4,6503396,10012.44,32629,1410229.0,21.68
23-10-2025 00:00,153.65,155.39,153.03,153.54,6341599,9787.34,32229,2684604.0,42.33
21-10-2025 00:00,153.0,154.02,152.66,153.14,1964004,3011.17,21918,1059833.0,53.97
20-10-2025 00:00,151.54,154.98,151.54,153.25,6935396,10621.81,34932,1916497.0,27.63
17-10-2025 00:00,153.0,153.38,149.63,151.05,7076999,10725.74,43014,2273037.0,32.12
16-10-2025 00:00,155.9,156.0,152.86,153.13,8073946,12443.65,42089,2823029.0,34.96
15-10-2025 00:00,156.39,158.7,153.29,154.89,28256777,44140.54,114268,5258383.0,18.61
14-10-2025 00:00,151.0,155.86,148.31,154.52,44012398,67671.28,171620,5996635.0,13.62
13-10-2025 00:00,149.9,150.8,148.57,150.07,4860814,7267.09,31086,1787717.0,36.78
10-10-2025 00:00,149.3,152.25,149.0,150.96,4967262,7501.43,27515,1782706.0,35.89
09-10-2025 00:00,148.64,150.0,147.01,148.85,7966035,11826.85,58754,3293627.0,41.35
08-10-2025 00:00,152.45,152.99,148.4,148.64,6214215,9317.04,47910,2489967.0,40.07
07-10-2025 00:00,151.16,153.42,150.5,152.44,5953210,9051.15,34273,1745303.0,29.32
06-10-2025 00:00,154.09,154.75,150.51,151.16,6858953,10402.87,41838,2288416.0,33.36
03-10-2025 00:00,152.65,156.4,151.8,154.09,10126517,15561.73,53801,2658508.0,26.25
01-10-2025 00:00,151.68,155.37,149.77,152.68,21170795,32321.86,83889,2591151.0,12.24
30-09-2025 00:00,149.59,150.75,147.26,148.7,5826154,8674.19,36004,1993522.0,34.22
29-09-2025 00:00,146.9,150.62,146.63,148.78,6447550,9628.59,43382,2003174.0,31.07
26-09-2025 00:00,149.99,150.26,146.0,146.28,5121293,7563.38,47639,1973195.0,38.53
25-09-2025 00:00,152.5,155.4,149.81,150.27,5060148,7709.23,35248,1625349.0,32.12
24-09-2025 00:00,155.5,156.3,152.2,152.68,5142721,7940.56,37841,1689880.0,32.86
23-09-2025 00:00,159.3,159.81,155.0,155.64,8095947,12663.93,48767,3396749.0,41.96
22-09-2025 00:00,160.85,163.35,158.3,159.06,14677794,23636.02,78706,4618759.0,31.47
19-09-2025 00:00,155.51,161.2,154.11,160.87,26176765,41847.84,106497,9980644.0,38.13
18-09-2025 00:00,154.8,159.29,154.2,155.53,17949103,28171.53,86380,4277102.0,23.83
17-09-2025 00:00,153.69,154.69,153.0,153.97,5633032,8658.66,37231,2191887.0,38.91
16-09-2025 00:00,152.85,153.42,150.56,152.94,5429477,8268.23,36574,1725243.0,31.78
15-09-2025 00:00,147.9,154.44,147.89,152.37,17984216,27436.06,97381,4100801.0,22.8
12-09-2025 00:00,147.4,148.46,146.73,147.35,4417254,6513.94,31706,1360785.0,30.81
11-09-2025 00:00,147.57,148.46,146.5,146.63,3591765,5294.27,27159,1303806.0,36.3
10-09-2025 00:00,145.44,149.1,145.44,147.57,6625296,9788.0,36711,2382129.0,35.96
09-09-2025 00:00,145.69,146.19,144.36,145.09,2521588,3663.03,29973,972563.0,38.57
08-09-2025 00:00,146.01,147.3,145.28,145.55,2882119,4217.06,27004,1151686.0,39.96
05-09-2025 00:00,144.8,146.21,143.2,145.51,3657064,5298.48,25946,1055092.0,28.85
04-09-2025 00:00,147.69,147.8,143.77,144.01,4245679,6186.56,31880,1598249.0,37.64
03-09-2025 00:00,144.8,146.0,144.5,145.7,3407827,4952.11,27720,1263782.0,37.08
02-09-2025 00:00,143.25,146.75,142.45,144.14,6130396,8869.06,39201,1612218.0,26.3
01-09-2025 00:00,141.15,142.74,140.76,142.51,4554608,6467.33,36645,1877675.0,41.23
29-08-2025 00:00,141.49,142.5,140.01,140.5,5708698,8045.63,39869,2033992.0,35.63
28-08-2025 00:00,144.0,144.65,140.63,141.03,7014954,9998.25,58947,2427977.0,34.61
26-08-2025 00:00,147.95,148.67,143.8,144.17,5093969,7403.56,43519,1789123.0,35.12
25-08-2025 00:00,147.98,149.48,146.73,147.7,5109249,7572.69,37733,1933352.0,37.84
22-08-2025 00:00,147.1,149.2,146.6,147.48,3658082,5415.79,27302,1120260.0,30.62
21-08-2025 00:00,148.9,151.99,146.61,147.28,8194223,12261.46,46865,2682152.0,32.73
20-08-2025 00:00,148.91,149.5,147.79,148.78,3377666,5024.41,32576,1307750.0,38.72
19-08-2025 00:00,147.9,149.1,146.57,148.91,3724924,5514.06,28735,1235610.0,33.17
18-08-2025 00:00,145.54,148.4,144.9,147.39,6107771,8968.44,40226,1970812.0,32.27
14-08-2025 00:00,144.24,145.0,143.0,143.86,2888240,4153.58,27511,990774.0,34.3
13-08-2025 00:00,144.25,145.0,143.25,144.24,3146940,4535.94,27930,1206809.0,38.35
12-08-2025 00:00,144.9,145.94,143.3,143.57,2899573,4194.59,27221,1086416.0,37.47
11-08-2025 00:00,142.6,145.09,141.55,144.86,4381853,6300.73,40163,1464316.0,33.42
08-08-2025 00:00,145.01,145.55,142.0,142.32,4286844,6164.37,45596,1659068.0,38.7
07-08-2025 00:00,143.8,145.45,140.26,144.57,6734089,9612.58,54321,1858920.0,27.6
06-08-2025 00:00,146.77,147.32,143.62,144.36,4802241,6973.27,39869,1493197.0,31.09
05-08-2025 00:00,148.03,149.0,146.0,146.63,3921938,5775.41,38354,1525753.0,38.9
04-08-2025 00:00,146.5,148.49,145.86,148.03,5468185,8062.91,35617,2318852.0,42.41
01-08-2025 00:00,147.45,148.65,145.2,145.69,5314027,7821.89,45777,1915384.0,36.04
31-07-2025 00:00,149.0,150.16,145.0,147.38,7208345,10711.01,55787,2008244.0,27.86
30-07-2025 00:00,150.92,151.77,150.0,150.22,5136389,7744.49,32561,1524412.0,29.68
29-07-2025 00:00,150.49,150.97,147.11,150.49,7688547,11472.72,60741,2190032.0,28.48
28-07-2025 00:00,153.25,155.79,149.9,150.49,6316214,9646.26,63522,2229996.0,35.31
25-07-2025 00:00,156.2,156.35,153.0,153.25,5486698,8467.04,48435,2078592.0,37.88
24-07-2025 00:00,156.98,158.07,156.0,156.21,4352512,6828.07,35694,1623501.0,37.3
23-07-2025 00:00,156.5,157.5,155.25,156.91,4995506,7805.92,41273,1887970.0,37.79
22-07-2025 00:00,157.48,158.49,156.0,156.22,4399404,6910.25,42912,1717456.0,39.04
21-07-2025 00:00,157.39,158.29,155.61,157.3,5457193,8583.21,38272,2066849.0,37.87
18-07-2025 00:00,159.59,159.7,157.1,157.39,4930315,7793.5,48706,2288731.0,46.42
17-07-2025 00:00,160.5,160.75,159.01,159.24,4479996,7151.32,36724,1889927.0,42.19
16-07-2025 00:00,160.0,160.8,159.5,160.03,5109899,8182.25,34843,2107968.0,41.25
15-07-2025 00:00,160.0,160.75,158.91,159.64,7758098,12407.09,44641,2349779.0,30.29
14-07-2025 00:00,160.0,160.0,156.5,159.0,11904949,18869.19,70733,3080307.0,25.87
11-07-2025 00:00,161.0,163.55,159.75,160.0,40559918,65401.02,218997,13931743.0,34.35
10-07-2025 00:00,167.0,170.16,167.0,169.64,20692786,34963.35,89736,6857575.0,33.14
