datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,91.01,92.25,91.01,91.77,50633854,46509.54,106886,20863507.0,41.2
24-06-2026 00:00,94.0,94.75,91.91,92.5,80616106,75313.76,220301,30236097.0,37.51
23-06-2026 00:00,100.9,101.0,98.2,98.67,9887408,9809.31,54342,3790263.0,38.33
22-06-2026 00:00,99.85,101.2,99.85,100.9,10258970,10331.32,53104,3991532.0,38.91
19-06-2026 00:00,99.01,100.8,98.84,99.51,13152144,13113.72,55162,6327643.0,48.11
18-06-2026 00:00,100.52,100.8,99.41,100.13,10858323,10856.59,49680,3604351.0,33.19
17-06-2026 00:00,97.89,100.97,97.51,100.44,19849822,19781.01,71821,5713088.0,28.78
16-06-2026 00:00,97.75,98.25,97.05,97.63,6900639,6744.49,36549,2381238.0,34.51
15-06-2026 00:00,97.42,98.8,96.85,97.08,10848353,10622.98,49499,4457066.0,41.09
12-06-2026 00:00,94.43,96.1,93.91,95.89,9874699,9371.8,43039,3370587.0,34.13
11-06-2026 00:00,94.29,94.3,92.67,93.33,9304606,8695.3,49481,3021496.0,32.47
10-06-2026 00:00,97.0,98.0,94.5,94.8,14178158,13641.65,56819,4252511.0,29.99
09-06-2026 00:00,95.21,96.2,95.0,96.01,6794999,6500.68,35620,2231859.0,32.85
08-06-2026 00:00,95.87,95.87,94.34,94.7,6307285,5997.34,47425,2522690.0,40.0
05-06-2026 00:00,96.5,97.68,95.8,96.47,8112711,7834.14,41921,1734023.0,21.37
04-06-2026 00:00,95.24,96.65,95.2,96.06,6298168,6052.41,35407,1747625.0,27.75
03-06-2026 00:00,96.67,96.72,94.64,95.75,9801364,9354.58,49146,2931848.0,29.91
02-06-2026 00:00,95.7,97.0,94.55,96.67,7592689,7273.16,45825,2448678.0,32.25
01-06-2026 00:00,98.2,98.4,96.1,96.27,7942957,7699.6,48836,3037401.0,38.24
29-05-2026 00:00,99.24,100.14,97.02,97.51,9652408,9515.52,55129,3773811.0,39.1
27-05-2026 00:00,99.2,99.94,98.83,99.19,6755352,6711.58,35837,2349233.0,34.78
26-05-2026 00:00,100.5,100.83,99.0,99.28,8488045,8467.43,43605,3003844.0,35.39
25-05-2026 00:00,99.0,101.08,98.99,100.45,13515986,13556.67,55094,3153413.0,23.33
22-05-2026 00:00,98.17,98.41,97.4,98.19,6016639,5899.47,33861,1923210.0,31.96
21-05-2026 00:00,98.0,98.53,97.56,98.17,8098653,7941.79,33429,2212234.0,27.32
20-05-2026 00:00,96.2,97.3,95.65,97.13,6536277,6305.67,37152,1934105.0,29.59
19-05-2026 00:00,98.0,98.48,96.9,97.22,8673912,8481.69,45297,2929075.0,33.77
18-05-2026 00:00,98.0,98.02,95.17,97.66,13047543,12587.07,69244,3992125.0,30.6
15-05-2026 00:00,100.58,100.93,98.5,98.86,13415868,13323.57,61928,4044254.0,30.15
14-05-2026 00:00,102.29,103.63,99.58,100.19,18308366,18550.19,66543,4130505.0,22.56
13-05-2026 00:00,99.5,101.97,99.5,101.48,11227661,11351.59,52015,2634441.0,23.46
12-05-2026 00:00,102.46,103.05,99.17,99.36,10677665,10766.58,62924,3837662.0,35.94
11-05-2026 00:00,105.15,105.15,102.8,103.08,8606056,8918.63,49426,3240811.0,37.66
08-05-2026 00:00,106.67,106.9,105.65,106.03,6764649,7180.65,36391,2159449.0,31.92
07-05-2026 00:00,107.27,107.66,106.31,106.77,11251343,12036.43,45269,3999162.0,35.54
06-05-2026 00:00,106.46,106.95,105.0,106.74,12144328,12904.5,48994,4122005.0,33.94
05-05-2026 00:00,104.41,106.64,104.0,105.82,20280569,21416.5,69342,4570076.0,22.53
