datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,290.35,292.25,289.2,290.0,11230239,32642.29,288842,5154205.0,45.9
24-06-2026 00:00,290.0,291.4,289.45,290.35,6218635,18062.06,227851,3268865.0,52.57
23-06-2026 00:00,291.25,293.15,289.65,290.0,9410364,27373.68,227663,4947375.0,52.57
22-06-2026 00:00,292.8,293.95,290.05,291.25,9947873,28988.15,265137,5311542.0,53.39
19-06-2026 00:00,289.8,294.55,288.4,292.5,13874008,40366.48,254060,8472260.0,61.07
18-06-2026 00:00,291.05,291.9,288.0,291.15,10409670,30213.36,236338,6012882.0,57.76
17-06-2026 00:00,291.95,292.35,290.0,290.75,8626353,25091.58,242846,5334242.0,61.84
16-06-2026 00:00,288.15,292.15,287.5,291.65,14467499,42059.46,342311,9766910.0,67.51
15-06-2026 00:00,287.0,288.85,286.7,287.9,11194950,32220.3,300143,6770618.0,60.48
12-06-2026 00:00,283.55,285.85,283.0,285.1,12893433,36658.11,371547,8841446.0,68.57
11-06-2026 00:00,283.0,283.25,281.2,282.4,12603100,35578.22,268703,7556367.0,59.96
10-06-2026 00:00,280.0,285.85,278.65,283.65,19823743,56238.9,296092,11335170.0,57.18
09-06-2026 00:00,281.7,281.7,277.15,280.0,12302522,34379.66,253064,6283872.0,51.08
08-06-2026 00:00,279.0,283.45,276.95,279.45,15779677,44297.83,236195,8496355.0,53.84
05-06-2026 00:00,280.0,281.4,277.85,280.7,16065822,44976.27,234148,9862118.0,61.39
04-06-2026 00:00,277.0,280.65,275.05,280.3,22017634,61480.79,320720,13603009.0,61.78
03-06-2026 00:00,282.35,282.35,275.2,277.0,28001438,77576.12,428631,15108700.0,53.96
02-06-2026 00:00,279.5,283.6,277.1,283.25,20206131,56705.68,351434,11164643.0,55.25
01-06-2026 00:00,287.8,288.55,278.3,279.65,23477875,66389.24,438086,14331804.0,61.04
29-05-2026 00:00,292.0,292.4,285.9,286.9,31930439,92076.35,430026,22037989.0,69.02
