datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,132.63,134.0,130.21,130.79,1364017,1795.2,14851,648995.0,47.58
24-06-2026 00:00,131.57,133.5,130.4,132.43,1164479,1540.85,16436,544808.0,46.79
23-06-2026 00:00,134.6,135.5,130.65,131.8,1725538,2295.52,16478,743062.0,43.06
22-06-2026 00:00,133.09,135.99,133.09,133.89,2741678,3697.39,22764,1123436.0,40.98
19-06-2026 00:00,131.99,134.09,130.29,132.37,2079930,2760.72,18523,845835.0,40.67
18-06-2026 00:00,130.22,133.99,129.85,132.11,4152112,5486.79,34546,1615118.0,38.9
17-06-2026 00:00,128.9,131.67,128.1,130.22,3104891,4039.9,25670,1171962.0,37.75
16-06-2026 00:00,125.0,129.3,125.0,128.5,3788686,4865.03,23397,1309083.0,34.55
15-06-2026 00:00,124.97,127.3,123.81,124.96,2666042,3349.3,18438,1152707.0,43.24
12-06-2026 00:00,117.34,123.0,116.58,121.8,2466803,2966.05,16438,855536.0,34.68
11-06-2026 00:00,117.65,118.6,113.94,114.64,1357866,1579.7,11860,615503.0,45.33
10-06-2026 00:00,119.3,122.2,118.58,119.25,1174672,1415.48,9821,445889.0,37.96
09-06-2026 00:00,118.0,119.9,117.51,119.41,1089086,1290.68,9340,513058.0,47.11
08-06-2026 00:00,119.0,120.79,117.0,117.38,1106148,1313.99,11804,550437.0,49.76
05-06-2026 00:00,123.3,126.2,121.0,121.65,1942961,2393.04,13397,768570.0,39.56
04-06-2026 00:00,121.0,124.89,120.01,122.92,2011018,2476.0,14371,792424.0,39.4
03-06-2026 00:00,121.02,122.75,118.48,121.66,1571478,1890.02,11301,631859.0,40.21
02-06-2026 00:00,125.0,125.19,116.64,120.67,5986291,7143.96,47253,2199471.0,36.74
01-06-2026 00:00,128.9,131.31,124.02,125.98,3778189,4787.62,34228,1635801.0,43.3
29-05-2026 00:00,124.55,134.0,123.5,127.67,14745250,19142.35,104708,3381269.0,22.93
27-05-2026 00:00,124.3,125.5,122.43,123.92,1528132,1895.08,12004,580908.0,38.01
26-05-2026 00:00,117.6,125.0,117.3,123.62,4979335,6147.62,31666,1870204.0,37.56
25-05-2026 00:00,116.9,118.75,115.85,117.64,1166221,1369.89,10451,515923.0,44.24
22-05-2026 00:00,114.94,115.75,111.8,114.82,1354248,1547.2,11731,491223.0,36.27
21-05-2026 00:00,113.5,115.45,112.69,114.08,1204186,1369.3,9781,557625.0,46.31
20-05-2026 00:00,110.99,111.89,109.6,111.6,945588,1047.28,8503,335619.0,35.49
19-05-2026 00:00,111.0,113.5,111.0,112.8,1206541,1357.2,9699,483798.0,40.1
18-05-2026 00:00,114.69,114.69,109.22,110.42,2111284,2343.06,18463,1014831.0,48.07
15-05-2026 00:00,117.99,119.5,115.71,116.19,1453163,1708.06,12439,608222.0,41.86
14-05-2026 00:00,120.84,121.59,115.77,117.81,1683091,1981.7,12797,626570.0,37.23
13-05-2026 00:00,120.0,122.15,119.4,119.89,1357945,1638.18,9192,558656.0,41.14
12-05-2026 00:00,125.0,125.9,119.4,120.0,1657750,2028.52,17396,805159.0,48.57
11-05-2026 00:00,130.5,130.5,124.6,125.23,2293579,2888.58,21074,1025679.0,44.72
08-05-2026 00:00,133.53,134.45,130.5,131.65,3598542,4754.56,29986,1373337.0,38.16
07-05-2026 00:00,125.19,132.49,125.19,131.11,5626023,7318.91,34883,2353129.0,41.83
06-05-2026 00:00,124.9,126.15,122.5,124.84,1333181,1655.12,8730,509762.0,38.24
05-05-2026 00:00,124.1,126.38,122.3,123.41,1498186,1847.13,16212,626139.0,41.79
04-05-2026 00:00,122.53,126.15,121.2,125.21,2598297,3230.72,17348,1110046.0,42.72
30-04-2026 00:00,123.42,123.83,119.8,121.56,1404511,1702.45,11021,609901.0,43.42
29-04-2026 00:00,123.5,127.5,123.26,123.88,1764694,2213.66,12743,722567.0,40.95
28-04-2026 00:00,124.5,125.45,122.8,123.22,804279,995.0,10155,430098.0,53.48
27-04-2026 00:00,122.99,126.68,122.75,124.51,1061176,1324.91,8070,428908.0,40.42
24-04-2026 00:00,126.88,126.88,122.71,122.99,1120764,1392.99,13118,508598.0,45.38
23-04-2026 00:00,126.52,127.23,122.67,126.25,1767822,2215.54,20114,772768.0,43.71
22-04-2026 00:00,124.33,127.48,124.33,126.29,1421839,1792.46,9271,614736.0,43.24
21-04-2026 00:00,127.3,128.16,124.0,124.33,1792758,2257.3,15501,852923.0,47.58
20-04-2026 00:00,129.0,129.48,124.98,126.11,1505111,1908.17,16631,666563.0,44.29
17-04-2026 00:00,128.75,130.7,126.73,128.56,2428035,3121.52,23426,1145569.0,47.18
16-04-2026 00:00,124.69,129.87,124.5,128.08,5234703,6655.91,42223,2392595.0,45.71
15-04-2026 00:00,125.0,129.0,123.36,123.81,2989284,3747.3,18533,1426175.0,47.71
13-04-2026 00:00,121.0,125.04,119.0,122.92,2381679,2934.28,20736,1034995.0,43.46
10-04-2026 00:00,123.0,126.6,122.56,124.8,2854450,3552.5,20077,1213964.0,42.53
09-04-2026 00:00,121.07,123.95,119.13,121.95,2387271,2911.97,18380,934277.0,39.14
08-04-2026 00:00,121.8,122.68,118.0,121.07,3226649,3871.61,22987,1571827.0,48.71
07-04-2026 00:00,116.87,116.89,113.56,114.82,1171628,1350.8,9420,452348.0,38.61
06-04-2026 00:00,116.88,117.99,113.98,116.46,1768385,2048.91,16874,537893.0,30.42
02-04-2026 00:00,116.4,117.3,112.15,116.04,1853925,2133.86,14185,618203.0,33.35
01-04-2026 00:00,117.55,120.6,114.32,119.95,2369047,2809.12,16844,1164321.0,49.15
30-03-2026 00:00,114.0,117.28,111.22,111.92,1761647,2012.81,14780,722037.0,40.99
27-03-2026 00:00,120.0,120.72,115.95,116.62,2263896,2655.54,16210,1101167.0,48.64
25-03-2026 00:00,120.85,124.48,119.21,121.47,3314502,4036.83,24659,1238258.0,37.36
24-03-2026 00:00,116.73,119.25,114.41,117.8,2136247,2505.97,16872,639206.0,29.92
23-03-2026 00:00,117.88,117.88,111.26,112.44,2106541,2391.22,19082,808309.0,38.37
20-03-2026 00:00,118.7,123.1,118.3,119.68,2626190,3179.59,17037,1226391.0,46.7
19-03-2026 00:00,119.57,121.52,116.5,117.03,1504717,1785.22,13815,626911.0,41.66
18-03-2026 00:00,120.0,126.27,119.61,123.55,3224134,4016.46,23312,1467741.0,45.52
17-03-2026 00:00,118.9,120.35,115.81,119.71,2596718,3080.75,17254,1279789.0,49.28
16-03-2026 00:00,117.0,120.8,116.07,118.89,2148927,2540.97,18471,664315.0,30.91
13-03-2026 00:00,121.4,121.99,116.6,117.56,2559421,3023.83,20461,1111688.0,43.44
12-03-2026 00:00,122.0,124.16,120.42,122.42,1317192,1611.04,13417,473498.0,35.95
11-03-2026 00:00,126.5,129.16,123.5,123.89,2157871,2723.36,22582,932884.0,43.23
10-03-2026 00:00,126.0,128.0,124.01,126.36,2930582,3678.7,15126,1102397.0,37.62
09-03-2026 00:00,124.0,124.41,120.17,122.28,4873031,5963.48,40386,1868803.0,38.35
06-03-2026 00:00,138.49,138.63,132.05,132.57,1845479,2489.98,16819,782237.0,42.39
05-03-2026 00:00,137.29,140.3,135.66,138.03,2051762,2833.84,22087,647495.0,31.56
04-03-2026 00:00,140.43,141.87,136.22,137.2,5092275,7069.91,35919,2595941.0,50.98
02-03-2026 00:00,136.91,146.6,136.85,143.42,3387083,4859.82,29715,1441189.0,42.55
27-02-2026 00:00,149.0,150.5,146.6,147.43,5330018,7916.5,51624,2201930.0,41.31
26-02-2026 00:00,144.56,149.55,144.47,148.25,5649105,8351.69,50760,2302042.0,40.75
25-02-2026 00:00,143.31,146.5,142.67,143.89,4243362,6123.85,52650,1617315.0,38.11
24-02-2026 00:00,138.5,144.45,137.24,142.9,6548755,9203.59,57748,2833227.0,43.26
23-02-2026 00:00,143.5,146.0,136.95,138.41,4527776,6362.2,38426,1784045.0,39.4
20-02-2026 00:00,142.0,144.58,141.16,143.93,3396520,4883.59,24280,1621030.0,47.73
19-02-2026 00:00,145.0,149.8,142.0,142.82,6230123,9039.59,46079,2099500.0,33.7
18-02-2026 00:00,147.2,148.66,143.6,144.48,6879862,9977.17,50077,3094038.0,44.97
17-02-2026 00:00,146.49,151.0,144.1,147.79,9527283,14104.32,63983,1847660.0,19.39
16-02-2026 00:00,137.54,152.6,137.54,145.18,37509107,55317.98,205086,7123783.0,18.99
13-02-2026 00:00,134.95,147.9,129.52,135.38,27116562,37879.83,171174,4262132.0,15.72
12-02-2026 00:00,136.19,139.5,132.83,136.98,5238912,7116.83,51766,2106017.0,40.2
11-02-2026 00:00,135.0,137.8,132.3,136.26,4472470,6020.57,47796,1919286.0,42.91
10-02-2026 00:00,135.5,135.86,132.55,134.61,2192451,2943.8,25834,982863.0,44.83
09-02-2026 00:00,128.5,136.0,128.5,135.14,4168600,5576.63,35741,1806241.0,43.33
06-02-2026 00:00,129.3,129.75,126.05,127.1,1329141,1694.59,15518,485511.0,36.53
05-02-2026 00:00,131.0,133.43,128.44,130.42,1531309,2005.22,18789,643615.0,42.03
04-02-2026 00:00,125.85,132.5,123.97,130.23,3184305,4146.84,30304,1120066.0,35.17
03-02-2026 00:00,128.2,130.0,123.12,126.46,1965627,2467.09,15150,853918.0,43.44
02-02-2026 00:00,126.7,126.7,119.26,122.0,1364897,1658.53,19721,459951.0,33.7
01-02-2026 00:00,124.47,128.99,123.4,125.96,1618485,2046.89,14450,546037.0,33.74
30-01-2026 00:00,116.6,126.55,116.6,124.36,5358658,6632.25,35741,1350331.0,25.2
29-01-2026 00:00,120.73,121.0,116.5,117.31,849331,1000.36,7219,406561.0,47.87
28-01-2026 00:00,115.9,121.2,115.79,120.73,970570,1151.14,9630,402224.0,41.44
27-01-2026 00:00,116.0,117.55,113.72,115.88,1480772,1712.22,20353,684800.0,46.25
23-01-2026 00:00,120.85,121.4,116.03,116.43,1253554,1485.34,11092,526105.0,41.97
22-01-2026 00:00,118.0,121.87,118.0,119.36,1353639,1629.22,17092,567131.0,41.9
21-01-2026 00:00,117.0,118.9,114.65,116.28,2404171,2799.59,27020,913846.0,38.01
20-01-2026 00:00,124.0,124.0,116.2,116.99,1991549,2398.56,14703,677290.0,34.01
19-01-2026 00:00,126.61,126.61,121.78,122.26,1946036,2410.9,18281,908836.0,46.7
16-01-2026 00:00,127.31,132.55,126.6,127.89,2858892,3706.95,29175,1022663.0,35.77
14-01-2026 00:00,133.0,133.01,126.01,126.68,2540190,3258.59,27647,984899.0,38.77
13-01-2026 00:00,127.25,134.8,126.5,133.52,4777943,6270.91,41089,1753709.0,36.7
12-01-2026 00:00,128.46,128.46,122.6,126.01,2287419,2867.39,25724,816101.0,35.68
09-01-2026 00:00,127.8,132.48,125.17,128.49,3194216,4145.47,44708,1270457.0,39.77
08-01-2026 00:00,131.21,133.2,127.51,128.31,2189938,2851.05,26163,877346.0,40.06
07-01-2026 00:00,135.46,138.5,131.64,132.13,2797913,3768.48,28225,1106077.0,39.53
06-01-2026 00:00,133.42,136.74,132.2,135.63,2981856,4033.76,27723,1352774.0,45.37
05-01-2026 00:00,133.39,135.4,130.26,133.79,4286863,5730.65,40183,1820548.0,42.47
02-01-2026 00:00,127.14,133.4,126.88,132.57,10008842,13188.57,68951,3308960.0,33.06
01-01-2026 00:00,127.0,128.81,126.11,126.52,1657033,2112.37,16392,667400.0,40.28
31-12-2025 00:00,124.84,129.94,124.6,126.58,1540838,1950.26,11379,695763.0,45.15
30-12-2025 00:00,123.81,125.5,123.81,124.47,1078575,1343.8,9300,487711.0,45.22
29-12-2025 00:00,126.0,127.0,123.91,124.72,1441125,1803.9,15874,560982.0,38.93
26-12-2025 00:00,126.06,128.76,125.36,125.87,1980678,2513.56,18546,522318.0,26.37
24-12-2025 00:00,128.94,128.94,125.68,126.06,1547490,1962.45,15878,506801.0,32.75
23-12-2025 00:00,127.98,129.55,127.0,128.86,2199246,2831.96,21693,1048696.0,47.68
22-12-2025 00:00,126.1,127.4,124.67,127.21,2134480,2694.49,25350,1032557.0,48.38
19-12-2025 00:00,126.0,127.81,124.74,125.9,2290201,2890.34,16154,651721.0,28.46
18-12-2025 00:00,127.52,127.74,123.14,125.6,3261865,4081.29,32928,1142756.0,35.03
17-12-2025 00:00,126.98,129.85,126.02,128.23,3186455,4097.06,35488,1656394.0,51.98
16-12-2025 00:00,127.0,129.99,126.01,127.6,5070131,6502.73,57766,2033278.0,40.1
15-12-2025 00:00,124.79,127.34,124.1,126.38,2335109,2951.77,16658,1148587.0,49.19
12-12-2025 00:00,125.7,127.7,123.57,124.79,5115520,6443.59,39032,1881198.0,36.77
11-12-2025 00:00,122.62,126.95,120.48,125.53,5113007,6350.85,35806,1999767.0,39.11
10-12-2025 00:00,123.0,123.99,120.89,122.62,2667991,3271.53,20703,996870.0,37.36
09-12-2025 00:00,117.05,124.35,115.71,122.47,10908787,13339.75,68353,3592083.0,32.93
08-12-2025 00:00,121.5,122.95,116.35,116.84,2347430,2780.04,20519,1308958.0,55.76
05-12-2025 00:00,121.71,122.99,121.08,122.1,1930138,2354.91,15574,750707.0,38.89
04-12-2025 00:00,121.5,124.5,120.17,122.78,4013905,4943.43,26454,1319261.0,32.87
03-12-2025 00:00,123.0,125.3,118.74,121.69,5021073,6115.39,29240,1489126.0,29.66
02-12-2025 00:00,117.0,124.0,115.8,122.38,12439223,15129.1,80093,3539580.0,28.45
01-12-2025 00:00,117.0,117.0,113.51,116.74,2764826,3198.06,22292,1091065.0,39.46
28-11-2025 00:00,115.0,117.99,113.43,114.57,5189076,6014.37,37462,1420526.0,27.38
27-11-2025 00:00,109.0,115.6,108.11,114.25,8841419,10066.66,50853,3378564.0,38.21
26-11-2025 00:00,104.0,110.0,103.88,109.57,2553515,2778.0,19487,1217325.0,47.67
25-11-2025 00:00,103.16,104.3,103.05,104.0,537269,557.61,8086,265239.0,49.37
24-11-2025 00:00,105.04,105.97,103.42,104.17,721308,751.99,7917,403913.0,56.0
21-11-2025 00:00,109.37,109.37,104.71,105.57,1065232,1139.42,8317,454630.0,42.68
20-11-2025 00:00,108.15,110.95,107.5,109.94,1409382,1540.76,11290,722127.0,51.24
19-11-2025 00:00,108.0,111.5,107.61,110.03,1584797,1744.92,11618,792614.0,50.01
18-11-2025 00:00,110.34,110.9,107.81,109.54,1892334,2071.21,9791,1158249.0,61.21
17-11-2025 00:00,109.18,111.68,108.21,110.34,2814858,3109.72,18875,1470997.0,52.26
14-11-2025 00:00,105.43,109.38,104.62,109.1,3997719,4336.02,22796,1959020.0,49.0
13-11-2025 00:00,103.0,107.7,100.6,105.19,3978493,4177.65,22244,1592276.0,40.02
12-11-2025 00:00,98.25,103.1,97.79,102.83,4123420,4180.51,18660,1718205.0,41.67
11-11-2025 00:00,96.5,98.4,95.05,98.05,1142400,1107.99,7937,569410.0,49.84
10-11-2025 00:00,93.4,95.98,93.01,95.66,746852,705.71,6891,340561.0,45.6
07-11-2025 00:00,91.0,95.59,89.74,93.4,1628158,1521.37,13069,425123.0,26.11
06-11-2025 00:00,93.0,93.24,90.91,91.21,622137,569.43,5957,382088.0,61.42
04-11-2025 00:00,94.1,94.43,93.15,93.26,464019,434.25,4747,279387.0,60.21
03-11-2025 00:00,94.6,94.62,93.9,94.01,332495,312.97,3538,200151.0,60.2
31-10-2025 00:00,94.75,95.25,94.45,94.56,321734,304.93,2969,208576.0,64.83
30-10-2025 00:00,96.2,96.85,94.92,95.13,458023,438.04,3336,279585.0,61.04
29-10-2025 00:00,95.05,96.4,94.4,96.18,446491,426.87,4270,237603.0,53.22
28-10-2025 00:00,94.74,95.49,94.32,95.05,475330,451.53,6850,224411.0,47.21
27-10-2025 00:00,94.13,95.67,94.05,94.74,535585,507.64,8697,292640.0,54.64
24-10-2025 00:00,95.0,95.44,94.02,94.44,338141,319.82,6106,169799.0,50.22
23-10-2025 00:00,97.0,97.08,95.0,95.16,425661,407.67,7029,221692.0,52.08
21-10-2025 00:00,95.9,96.49,95.48,96.12,204497,196.31,3431,134101.0,65.58
20-10-2025 00:00,94.0,95.44,92.83,94.96,792362,745.24,9506,294841.0,37.21
17-10-2025 00:00,95.25,95.25,93.2,93.51,595474,559.47,8532,301536.0,50.64
16-10-2025 00:00,95.63,96.21,94.61,95.19,547109,521.53,6597,276721.0,50.58
15-10-2025 00:00,94.0,95.5,93.47,95.14,608103,573.88,8311,293146.0,48.21
14-10-2025 00:00,97.0,97.2,93.6,94.0,859644,815.89,9941,397864.0,46.28
13-10-2025 00:00,97.0,97.89,96.01,96.71,623004,602.72,9284,236957.0,38.03
10-10-2025 00:00,96.4,97.85,96.4,97.23,549927,534.47,6841,235583.0,42.84
09-10-2025 00:00,96.94,97.7,96.05,96.74,880199,852.91,10913,249601.0,28.36
08-10-2025 00:00,98.14,99.09,96.1,96.95,878298,858.28,12919,295893.0,33.69
07-10-2025 00:00,99.29,99.5,97.51,98.08,807200,795.64,8917,290146.0,35.94
06-10-2025 00:00,101.64,101.9,98.91,99.29,971588,972.44,9891,469202.0,48.29
03-10-2025 00:00,100.92,101.9,100.61,101.48,823025,834.0,8882,244950.0,29.76
01-10-2025 00:00,99.9,101.6,99.8,100.92,783793,788.88,8453,242238.0,30.91
30-09-2025 00:00,101.9,102.39,99.37,100.63,1134161,1143.42,12522,444376.0,39.18
29-09-2025 00:00,103.0,103.0,101.0,101.88,784744,799.15,9980,216420.0,27.58
26-09-2025 00:00,101.74,104.15,100.11,103.19,2168018,2211.76,19908,686756.0,31.68
25-09-2025 00:00,105.0,105.13,101.55,102.57,1234577,1277.48,11094,468656.0,37.96
24-09-2025 00:00,107.0,107.13,104.81,105.22,1267560,1336.56,11434,458937.0,36.21
23-09-2025 00:00,105.0,109.69,104.45,107.31,4025369,4337.54,29458,994468.0,24.71
22-09-2025 00:00,107.5,107.96,104.3,104.73,1347216,1427.62,13713,620765.0,46.08
19-09-2025 00:00,107.7,108.9,107.0,107.86,1155968,1245.05,9430,462453.0,40.01
18-09-2025 00:00,108.88,108.88,106.76,107.7,1203487,1293.88,11677,466105.0,38.73
17-09-2025 00:00,108.19,112.48,108.11,108.88,3246819,3572.2,22033,1207137.0,37.18
16-09-2025 00:00,108.9,109.54,107.85,108.12,1073508,1164.81,8394,445518.0,41.5
15-09-2025 00:00,107.89,110.0,107.42,108.66,1608814,1746.66,14894,595674.0,37.03
12-09-2025 00:00,107.48,109.69,106.66,108.04,1864131,2015.08,14278,645236.0,34.61
11-09-2025 00:00,108.29,109.25,106.48,107.48,1515992,1633.88,12936,646012.0,42.61
10-09-2025 00:00,110.48,110.48,107.55,108.19,2348539,2548.1,17144,900172.0,38.33
