datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,3248.0,3262.3,3182.6,3199.1,31670,1013.4,5293,22244.0,70.24
24-06-2026 00:00,3205.8,3238.8,3184.0,3228.3,26996,865.56,3179,19980.0,74.01
23-06-2026 00:00,3291.0,3307.4,3195.0,3205.8,11593,373.53,3184,5722.0,49.36
22-06-2026 00:00,3329.9,3329.9,3250.0,3271.0,10633,348.85,3655,4545.0,42.74
19-06-2026 00:00,3203.0,3329.0,3195.0,3291.8,31857,1042.73,5687,20749.0,65.13
18-06-2026 00:00,3231.6,3255.9,3190.2,3230.9,20960,676.38,4142,14277.0,68.12
17-06-2026 00:00,3215.6,3310.7,3210.0,3231.6,27130,880.8,6737,12967.0,47.8
16-06-2026 00:00,3242.6,3298.7,3190.1,3201.7,11565,373.83,3619,6199.0,53.6
15-06-2026 00:00,3202.1,3275.0,3202.1,3242.6,18835,611.79,4782,8842.0,46.94
12-06-2026 00:00,3197.8,3270.0,3150.1,3168.4,46312,1486.69,6536,35317.0,76.26
11-06-2026 00:00,3165.0,3287.0,3150.0,3187.8,35237,1130.37,8224,14411.0,40.9
10-06-2026 00:00,3103.0,3209.0,3103.0,3175.6,15804,502.41,4741,7800.0,49.35
09-06-2026 00:00,3181.0,3200.0,3080.7,3116.8,12195,381.03,4086,5400.0,44.28
08-06-2026 00:00,3095.3,3175.0,3066.1,3168.1,26394,830.47,6240,15449.0,58.53
05-06-2026 00:00,3098.1,3142.0,3082.0,3110.9,10499,327.14,3539,4441.0,42.3
04-06-2026 00:00,3119.5,3219.5,3056.3,3078.1,43726,1366.18,10537,19211.0,43.93
03-06-2026 00:00,3126.2,3249.8,3093.7,3119.6,57011,1814.87,17544,25968.0,45.55
02-06-2026 00:00,3125.0,3158.7,3100.0,3126.2,8517,266.0,3126,3664.0,43.02
01-06-2026 00:00,3170.0,3233.2,3125.0,3158.7,35052,1115.53,10049,12150.0,34.66
29-05-2026 00:00,2905.0,3170.6,2905.0,3151.8,377196,11791.78,42192,224353.0,59.48
27-05-2026 00:00,2909.8,2915.6,2884.0,2905.6,20769,603.27,9422,13448.0,64.75
26-05-2026 00:00,2937.6,2951.2,2901.0,2909.7,71671,2089.27,2722,65717.0,91.69
25-05-2026 00:00,2910.0,2980.0,2900.0,2937.6,15598,460.04,3608,10434.0,66.89
22-05-2026 00:00,2910.0,2919.9,2880.0,2897.0,4467,129.62,1295,2231.0,49.94
21-05-2026 00:00,2941.9,2954.7,2876.0,2902.3,67219,1949.65,9532,56776.0,84.46
20-05-2026 00:00,2902.0,2940.0,2900.0,2928.2,3737,109.21,1381,1850.0,49.5
19-05-2026 00:00,2921.2,2943.6,2882.6,2929.1,7223,210.84,2042,4066.0,56.29
18-05-2026 00:00,2936.8,2936.8,2857.0,2928.7,11509,333.58,5283,5481.0,47.62
15-05-2026 00:00,2934.0,2947.9,2890.0,2936.8,29625,866.39,6880,19375.0,65.4
14-05-2026 00:00,2990.0,3032.1,2901.0,2923.8,17156,503.0,5613,8348.0,48.66
13-05-2026 00:00,2949.0,3034.0,2909.0,2983.0,27934,832.71,6947,11013.0,39.43
12-05-2026 00:00,3045.2,3070.0,2901.0,2922.8,16321,480.95,6218,6667.0,40.85
11-05-2026 00:00,2960.0,3050.0,2875.0,3045.2,48880,1468.98,10302,29396.0,60.14
