datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,338.2,339.8,326.55,329.9,8082174,26834.75,80321,4519795.0,55.92
24-06-2026 00:00,317.5,343.45,316.5,338.4,35635252,119066.66,294024,13876584.0,38.94
23-06-2026 00:00,309.0,318.4,309.0,314.95,14532169,45767.62,159309,6964847.0,47.93
22-06-2026 00:00,310.0,310.9,300.0,307.05,5467771,16698.77,50433,2780140.0,50.85
19-06-2026 00:00,307.95,312.85,306.15,308.15,4072021,12579.38,49123,2109567.0,51.81
18-06-2026 00:00,299.3,309.9,297.2,307.95,7197025,21995.54,87547,3302832.0,45.89
17-06-2026 00:00,293.9,301.3,291.25,299.3,3599798,10733.79,39976,1872874.0,52.03
16-06-2026 00:00,296.0,296.65,292.15,293.8,1810593,5331.7,23851,993477.0,54.87
15-06-2026 00:00,298.7,300.3,290.6,294.45,4516301,13318.85,44518,2253231.0,49.89
12-06-2026 00:00,278.8,294.6,278.8,291.0,4700920,13568.07,51095,2173519.0,46.24
11-06-2026 00:00,277.0,278.8,272.2,275.45,3747226,10309.22,32533,2076698.0,55.42
10-06-2026 00:00,282.8,288.4,277.25,278.6,4467812,12636.26,65258,1995956.0,44.67
09-06-2026 00:00,271.0,285.55,270.35,282.8,3072705,8583.2,39589,1599471.0,52.05
08-06-2026 00:00,272.6,274.75,267.05,268.45,3785961,10239.44,33279,2130001.0,56.26
05-06-2026 00:00,274.0,281.85,272.9,278.1,1926891,5350.03,33153,992457.0,51.51
04-06-2026 00:00,270.0,275.0,266.55,272.8,800317,2174.43,14129,395604.0,49.43
03-06-2026 00:00,275.0,276.0,268.05,270.3,1177489,3199.17,25116,642695.0,54.58
02-06-2026 00:00,270.3,276.65,268.55,275.7,950946,2601.37,19425,501945.0,52.78
01-06-2026 00:00,275.9,276.95,270.9,273.9,1088906,2980.0,23251,712315.0,65.42
29-05-2026 00:00,280.0,284.0,272.1,275.3,2487702,6919.33,28638,1594599.0,64.1
27-05-2026 00:00,278.95,284.75,278.4,279.55,1587232,4472.74,22843,898875.0,56.63
26-05-2026 00:00,276.05,281.65,276.05,278.95,1183358,3308.59,23429,694090.0,58.65
25-05-2026 00:00,279.45,281.75,276.55,277.65,1574575,4390.04,35379,851641.0,54.09
