datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,783.5,783.52,779.0,779.65,537720,4201.05,8675,341715.0,63.55
24-06-2026 00:00,774.25,780.5,774.0,778.4,302995,2358.42,6647,186371.0,61.51
23-06-2026 00:00,774.0,789.97,774.0,778.2,472118,3689.5,9461,312334.0,66.16
22-06-2026 00:00,787.99,788.0,780.14,786.83,451146,3537.63,12263,268108.0,59.43
19-06-2026 00:00,787.31,787.31,777.5,781.04,352600,2753.18,9103,211619.0,60.02
18-06-2026 00:00,778.08,785.0,775.32,783.47,372772,2913.51,7829,175414.0,47.06
17-06-2026 00:00,777.5,780.7,772.45,779.84,457488,3555.9,8184,319224.0,69.78
16-06-2026 00:00,779.3,779.3,770.19,774.78,312842,2418.38,8374,181722.0,58.09
15-06-2026 00:00,773.3,776.55,762.0,773.42,739827,5707.83,16247,432031.0,58.4
12-06-2026 00:00,749.9,757.0,743.5,755.73,440665,3306.1,8109,264069.0,59.93
11-06-2026 00:00,757.63,757.63,737.56,738.48,291787,2161.97,9843,195152.0,66.88
10-06-2026 00:00,752.64,757.63,743.0,746.62,261961,1968.23,11383,133064.0,50.8
09-06-2026 00:00,752.0,756.0,744.73,755.35,226454,1704.4,8098,116053.0,51.25
08-06-2026 00:00,757.76,768.0,741.6,744.88,593024,4445.48,17989,467378.0,78.81
05-06-2026 00:00,762.0,762.3,753.8,757.76,363807,2758.17,10838,249613.0,68.61
04-06-2026 00:00,768.86,768.86,747.46,756.08,226193,1713.79,7725,139635.0,61.73
03-06-2026 00:00,761.3,761.3,746.53,753.78,538082,4041.98,12366,334456.0,62.16
02-06-2026 00:00,753.0,757.89,747.0,757.31,541297,4073.09,14641,403419.0,74.53
01-06-2026 00:00,772.29,772.3,754.1,755.2,818907,6231.49,21690,682535.0,83.35
29-05-2026 00:00,759.61,780.89,759.61,767.86,718861,5568.7,14560,462053.0,64.28
27-05-2026 00:00,758.17,776.94,758.17,775.11,485830,3747.87,9295,268907.0,55.35
26-05-2026 00:00,766.8,768.8,762.51,765.68,378122,2891.76,9589,191650.0,50.68
25-05-2026 00:00,755.3,767.0,755.3,764.8,517432,3946.09,12737,319310.0,61.71
22-05-2026 00:00,748.03,768.32,748.03,753.36,271801,2045.96,6827,162765.0,59.88
21-05-2026 00:00,756.3,756.3,748.15,749.58,259355,1949.88,6668,119455.0,46.06
20-05-2026 00:00,744.06,748.5,735.53,747.49,225433,1674.25,9175,92905.0,41.21
19-05-2026 00:00,738.12,748.25,738.11,744.8,284574,2120.76,7526,160982.0,56.57
18-05-2026 00:00,746.74,746.74,728.65,740.6,542569,3989.99,16160,289598.0,53.38
15-05-2026 00:00,755.9,755.9,746.51,747.86,318629,2390.07,10914,186694.0,58.59
14-05-2026 00:00,750.3,754.9,742.0,753.2,389199,2919.64,10001,186749.0,47.98
13-05-2026 00:00,741.99,750.5,732.5,745.86,510378,3804.66,12270,214309.0,41.99
12-05-2026 00:00,752.3,759.95,738.15,740.49,686292,5125.67,19192,435925.0,63.52
11-05-2026 00:00,770.72,770.73,756.26,758.9,629827,4793.41,20307,416698.0,66.16
08-05-2026 00:00,760.02,777.22,760.02,771.73,313544,2422.83,9820,176050.0,56.15
07-05-2026 00:00,749.88,777.3,749.88,774.97,395842,3064.88,9488,215075.0,54.33
06-05-2026 00:00,775.06,775.06,763.34,773.07,365966,2812.04,9465,241069.0,65.87
05-05-2026 00:00,762.8,763.5,750.55,762.48,240316,1825.56,12186,122990.0,51.18
04-05-2026 00:00,775.38,775.38,752.89,759.22,373904,2841.18,19576,227876.0,60.95
30-04-2026 00:00,757.7,759.19,745.1,752.8,434879,3266.09,12643,238971.0,54.95
29-04-2026 00:00,764.56,766.27,758.75,759.76,362237,2761.77,7877,202581.0,55.92
28-04-2026 00:00,766.04,766.04,760.1,761.62,285565,2177.58,7901,165990.0,58.13
27-04-2026 00:00,761.43,764.3,755.8,763.38,364426,2776.19,12070,208320.0,57.16
24-04-2026 00:00,765.0,765.0,747.0,754.26,457599,3440.64,13612,260704.0,56.97
23-04-2026 00:00,767.0,767.0,758.0,759.65,464203,3539.67,11656,239483.0,51.59
22-04-2026 00:00,761.88,769.8,759.0,768.27,498602,3823.16,9059,266317.0,53.41
21-04-2026 00:00,756.55,764.9,756.55,762.61,440267,3359.71,10017,283252.0,64.34
20-04-2026 00:00,756.95,762.37,750.0,756.55,822748,6232.98,14590,457528.0,55.61
17-04-2026 00:00,749.8,758.94,743.49,757.6,692841,5218.35,12969,366587.0,52.91
16-04-2026 00:00,745.3,747.17,739.3,746.16,604233,4498.97,10351,344855.0,57.07
15-04-2026 00:00,745.31,745.31,730.3,738.62,585196,4318.0,12786,337409.0,57.66
13-04-2026 00:00,723.11,725.49,707.58,723.6,714013,5137.75,18229,290257.0,40.65
10-04-2026 00:00,720.29,730.89,714.78,729.46,923386,6690.88,17262,533973.0,57.83
09-04-2026 00:00,723.0,723.0,707.01,713.92,655578,4680.24,12889,275600.0,42.04
08-04-2026 00:00,692.0,714.95,692.0,713.54,872931,6192.62,15770,487579.0,55.86
07-04-2026 00:00,689.22,689.22,669.0,680.86,614444,4158.46,14443,342260.0,55.7
06-04-2026 00:00,668.44,677.67,663.42,676.83,1307896,8766.39,51232,847052.0,64.76
02-04-2026 00:00,680.0,680.0,647.5,668.77,1040679,6834.7,22807,666709.0,64.06
01-04-2026 00:00,640.02,675.9,632.34,669.66,541499,3635.07,17346,328471.0,60.66
30-03-2026 00:00,668.31,668.31,650.1,651.9,1603413,10527.88,31627,905959.0,56.5
27-03-2026 00:00,694.49,694.49,670.0,671.06,862625,5823.35,22722,508552.0,58.95
25-03-2026 00:00,681.0,689.9,673.5,686.24,569676,3912.49,15266,319384.0,56.06
24-03-2026 00:00,668.02,679.0,661.7,672.29,1004778,6743.61,16358,516679.0,51.42
23-03-2026 00:00,688.65,688.65,660.84,662.17,1596516,10628.84,37346,1217458.0,76.26
20-03-2026 00:00,692.0,699.5,685.0,688.51,547732,3798.18,11438,397212.0,72.52
19-03-2026 00:00,706.55,706.55,683.61,688.14,1277879,8840.04,27555,1047954.0,82.01
18-03-2026 00:00,706.78,709.45,697.43,706.48,838725,5924.34,10157,527019.0,62.84
17-03-2026 00:00,701.65,702.0,691.23,700.61,593145,4136.72,10113,395820.0,66.73
16-03-2026 00:00,692.0,705.94,684.41,693.67,940865,6509.52,25466,487659.0,51.83
13-03-2026 00:00,717.8,717.8,696.6,699.71,1226236,8612.84,29234,938559.0,76.54
12-03-2026 00:00,718.98,719.89,703.51,715.84,724196,5149.57,14687,438737.0,60.58
11-03-2026 00:00,728.5,729.0,715.2,716.62,551783,3982.35,12197,300015.0,54.37
10-03-2026 00:00,720.0,725.8,712.5,724.26,486275,3506.61,11205,266982.0,54.9
09-03-2026 00:00,724.36,724.36,700.55,711.54,1262872,8916.68,34260,872658.0,69.1
06-03-2026 00:00,731.21,732.66,707.43,727.2,338737,2470.43,10400,189546.0,55.96
05-03-2026 00:00,726.75,730.79,698.31,729.31,629291,4558.56,13488,352622.0,56.03
04-03-2026 00:00,762.15,762.15,716.26,719.91,1063556,7669.05,33515,784698.0,73.78
02-03-2026 00:00,733.07,753.98,727.0,739.95,1145821,8459.82,32766,892598.0,77.9
27-02-2026 00:00,758.67,758.67,748.0,750.48,408773,3076.92,21370,272506.0,66.66
26-02-2026 00:00,763.0,763.0,753.54,758.67,323640,2450.48,7320,156454.0,48.34
25-02-2026 00:00,749.73,757.2,749.73,756.01,567721,4287.29,9415,391829.0,69.02
24-02-2026 00:00,756.0,756.0,743.0,750.28,289249,2161.96,8593,144574.0,49.98
