datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,1218.4,1232.9,1189.9,1196.6,496628,6033.56,27733,266739.0,53.71
24-06-2026 00:00,1195.0,1214.0,1180.1,1207.7,602392,7224.57,27102,386858.0,64.22
23-06-2026 00:00,1171.2,1201.0,1155.3,1193.1,471361,5585.37,29587,287708.0,61.04
22-06-2026 00:00,1170.4,1174.0,1153.0,1165.8,127742,1485.33,19210,62731.0,49.11
19-06-2026 00:00,1164.0,1174.8,1147.2,1170.4,186254,2165.25,24051,101828.0,54.67
18-06-2026 00:00,1160.0,1166.0,1150.4,1164.1,173706,2016.56,16094,103108.0,59.36
17-06-2026 00:00,1152.0,1161.0,1136.4,1155.9,518921,5981.95,22448,352535.0,67.94
16-06-2026 00:00,1113.1,1142.8,1106.1,1139.1,337437,3818.71,19840,144533.0,42.83
15-06-2026 00:00,1098.0,1113.4,1094.1,1106.2,113822,1258.8,13621,64870.0,56.99
12-06-2026 00:00,1089.2,1089.7,1071.6,1082.3,77056,832.09,7583,42672.0,55.38
11-06-2026 00:00,1065.0,1100.0,1060.1,1077.0,170290,1848.11,13126,75538.0,44.36
10-06-2026 00:00,1075.2,1093.4,1065.0,1067.4,116498,1253.83,7638,61288.0,52.61
09-06-2026 00:00,1070.5,1086.6,1070.5,1080.4,65359,704.25,5164,35027.0,53.59
08-06-2026 00:00,1078.1,1084.4,1065.6,1074.8,108683,1168.17,9001,59916.0,55.13
05-06-2026 00:00,1098.0,1104.1,1079.7,1083.8,78960,860.63,7517,38610.0,48.9
04-06-2026 00:00,1100.0,1114.7,1085.6,1095.2,227291,2499.19,10591,138238.0,60.82
03-06-2026 00:00,1125.0,1125.0,1094.2,1110.2,253504,2814.12,12264,177748.0,70.12
02-06-2026 00:00,1101.0,1120.9,1092.8,1116.4,175052,1945.71,12985,89163.0,50.94
01-06-2026 00:00,1075.8,1109.7,1067.1,1101.7,239394,2612.0,14086,140114.0,58.53
29-05-2026 00:00,1086.7,1099.0,1060.5,1072.6,375752,4043.91,16727,269553.0,71.74
27-05-2026 00:00,1074.0,1088.9,1063.7,1081.4,354246,3823.13,11261,279855.0,79.0
26-05-2026 00:00,1071.0,1085.1,1061.4,1065.9,233368,2505.55,17101,141913.0,60.81
25-05-2026 00:00,1069.9,1075.8,1066.1,1070.0,439337,4702.1,12804,383273.0,87.24
22-05-2026 00:00,1068.0,1075.9,1055.5,1059.2,150617,1605.52,12559,85998.0,57.1
21-05-2026 00:00,1062.9,1073.3,1053.0,1061.3,147924,1572.93,17190,86167.0,58.25
