datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,216.6,218.82,210.3,212.41,342033,734.37,7442,113944.0,33.31
24-06-2026 00:00,215.58,215.79,213.0,214.37,102103,218.57,4171,43052.0,42.17
23-06-2026 00:00,215.35,217.03,213.68,215.58,300283,648.13,12779,164714.0,54.85
22-06-2026 00:00,212.0,216.95,212.0,215.35,290067,622.39,8204,163885.0,56.5
19-06-2026 00:00,210.0,214.43,208.47,211.13,613630,1298.63,15755,312935.0,51.0
18-06-2026 00:00,212.5,212.5,208.39,209.46,404413,847.34,12869,255133.0,63.09
17-06-2026 00:00,217.39,219.24,209.16,211.11,502155,1075.89,11462,302105.0,60.16
16-06-2026 00:00,217.7,219.9,215.3,215.68,364025,790.43,14536,223775.0,61.47
15-06-2026 00:00,220.0,221.45,214.56,216.45,1130540,2454.91,24953,696248.0,61.59
12-06-2026 00:00,220.5,220.5,213.6,216.5,246624,531.87,7769,100109.0,40.59
11-06-2026 00:00,214.3,216.9,211.12,216.04,261708,561.7,8397,156981.0,59.98
10-06-2026 00:00,209.73,217.5,209.73,214.4,1088173,2343.54,18162,769216.0,70.69
09-06-2026 00:00,211.0,211.99,207.46,209.73,209543,438.84,8329,133471.0,63.7
08-06-2026 00:00,206.85,212.45,206.85,210.67,187899,396.31,7037,105891.0,56.36
05-06-2026 00:00,214.48,216.5,209.66,210.89,149179,315.55,6537,70703.0,47.39
04-06-2026 00:00,214.86,216.86,212.55,213.65,105992,227.13,5843,55813.0,52.66
03-06-2026 00:00,215.01,217.0,213.15,214.86,136858,293.54,4671,73098.0,53.41
02-06-2026 00:00,212.01,216.32,212.01,215.01,138550,297.28,6945,67340.0,48.6
01-06-2026 00:00,220.3,220.3,213.55,215.11,170846,371.53,12701,78879.0,46.17
29-05-2026 00:00,220.4,222.5,217.0,218.06,486286,1064.02,16326,291227.0,59.89
27-05-2026 00:00,218.06,220.0,215.94,218.34,305005,664.87,10404,179892.0,58.98
26-05-2026 00:00,218.49,220.39,217.3,217.76,117138,256.08,6165,60839.0,51.94
25-05-2026 00:00,219.3,225.4,217.15,218.36,647270,1436.83,14565,284450.0,43.95
22-05-2026 00:00,219.97,223.49,217.51,217.94,620164,1363.77,16739,423577.0,68.3
21-05-2026 00:00,216.0,220.95,215.42,217.97,350375,764.31,11146,211580.0,60.39
20-05-2026 00:00,213.0,215.65,212.62,214.61,142955,306.56,6110,70739.0,49.48
19-05-2026 00:00,217.72,219.6,213.56,215.51,561995,1214.02,13060,350850.0,62.43
18-05-2026 00:00,222.0,222.07,212.02,217.72,533495,1155.7,20873,258289.0,48.41
15-05-2026 00:00,221.97,223.45,217.1,222.07,1470264,3223.73,26787,1083910.0,73.72
14-05-2026 00:00,220.0,224.45,218.16,221.97,836408,1856.75,33354,465541.0,55.66
13-05-2026 00:00,214.9,221.49,214.7,218.75,855316,1871.54,24844,418550.0,48.94
12-05-2026 00:00,215.34,218.34,212.33,213.83,879080,1892.96,24259,579377.0,65.91
11-05-2026 00:00,219.0,219.1,214.06,217.34,664189,1439.98,17605,292483.0,44.04
08-05-2026 00:00,213.0,223.0,211.1,220.35,1553578,3380.96,25952,809727.0,52.12
07-05-2026 00:00,215.0,223.49,208.26,211.55,8712846,18716.86,86018,1196173.0,13.73
06-05-2026 00:00,195.05,203.2,193.41,201.43,863978,1704.14,15429,292645.0,33.87
05-05-2026 00:00,197.0,197.42,192.91,194.13,229040,444.88,7634,136942.0,59.79
04-05-2026 00:00,198.0,203.88,195.0,196.69,248801,495.17,5610,129486.0,52.04
30-04-2026 00:00,197.66,199.9,192.84,197.19,191125,375.78,6469,72284.0,37.82
29-04-2026 00:00,199.42,200.75,197.5,197.72,164053,326.65,5046,90262.0,55.02
28-04-2026 00:00,201.29,201.74,197.2,199.43,135154,269.54,5399,64827.0,47.97
27-04-2026 00:00,197.15,202.3,197.15,201.29,141193,282.2,6037,67720.0,47.96
24-04-2026 00:00,201.0,201.18,195.46,197.15,266618,528.55,8411,117468.0,44.06
23-04-2026 00:00,202.66,204.39,199.75,200.73,190774,384.18,6554,80943.0,42.43
22-04-2026 00:00,204.95,208.59,203.1,204.04,451812,932.26,11392,289441.0,64.06
21-04-2026 00:00,203.6,208.0,202.08,206.24,346355,712.66,10683,212601.0,61.38
20-04-2026 00:00,205.01,206.99,198.19,204.07,491067,997.34,9795,200517.0,40.83
17-04-2026 00:00,200.0,204.66,199.7,203.09,269218,545.35,6737,154842.0,57.52
16-04-2026 00:00,197.0,202.04,195.39,200.16,442172,882.51,7133,265779.0,60.11
15-04-2026 00:00,191.99,197.0,190.53,196.3,847216,1648.72,21813,543568.0,64.16
13-04-2026 00:00,188.25,193.18,185.25,188.65,397058,755.2,11456,207578.0,52.28
10-04-2026 00:00,187.9,193.63,185.88,191.52,799945,1522.67,10891,591859.0,73.99
09-04-2026 00:00,188.5,188.76,184.5,185.3,153356,285.2,7859,73907.0,48.19
08-04-2026 00:00,188.0,190.16,185.53,188.16,499154,937.7,8570,239065.0,47.89
07-04-2026 00:00,180.0,183.2,177.96,178.36,173102,311.56,6369,86733.0,50.11
06-04-2026 00:00,178.61,182.0,174.65,180.16,262956,468.7,12329,121248.0,46.11
02-04-2026 00:00,173.49,180.0,170.89,178.6,232236,408.37,8762,92058.0,39.64
01-04-2026 00:00,170.01,176.69,170.01,175.56,274067,479.26,15209,124685.0,45.49
30-03-2026 00:00,169.51,173.59,166.0,167.22,607718,1028.5,29745,274988.0,45.25
27-03-2026 00:00,171.91,178.18,169.38,170.5,960867,1671.36,32185,412288.0,42.91
25-03-2026 00:00,161.77,175.32,161.77,173.61,1117577,1908.14,21904,487001.0,43.58
24-03-2026 00:00,161.04,165.0,159.21,161.29,602940,974.31,15511,298995.0,49.59
23-03-2026 00:00,166.0,166.0,157.91,159.07,414532,664.1,15554,206069.0,49.71
20-03-2026 00:00,170.5,170.82,166.0,166.77,556926,935.59,12459,311327.0,55.9
19-03-2026 00:00,173.4,173.92,168.0,168.5,390106,665.73,12298,215415.0,55.22
18-03-2026 00:00,175.0,178.9,173.0,175.01,467581,823.25,11328,272185.0,58.21
17-03-2026 00:00,178.0,178.53,173.5,173.72,369377,646.3,11077,185708.0,50.28
16-03-2026 00:00,182.0,184.0,176.02,177.43,553643,989.34,15113,307650.0,55.57
13-03-2026 00:00,187.01,191.06,181.4,182.14,1660054,3129.67,21596,1384047.0,83.37
12-03-2026 00:00,186.35,189.8,185.65,188.06,404542,760.23,12624,200181.0,49.48
11-03-2026 00:00,186.55,191.5,185.02,187.02,3030534,5676.01,22829,2482772.0,81.93
10-03-2026 00:00,187.54,188.99,184.73,185.6,323207,600.18,16739,177891.0,55.04
09-03-2026 00:00,187.85,188.0,180.25,185.33,689019,1265.87,32237,413474.0,60.01
06-03-2026 00:00,193.4,194.12,188.1,189.19,662170,1269.89,25747,357198.0,53.94
05-03-2026 00:00,193.0,198.11,190.1,193.38,261042,505.89,10864,125508.0,48.08
04-03-2026 00:00,195.0,197.97,191.91,194.93,385352,752.3,20429,139625.0,36.23
02-03-2026 00:00,194.68,199.05,193.23,196.31,375246,736.67,10446,155711.0,41.5
27-02-2026 00:00,197.0,204.85,195.55,203.51,308431,621.74,9171,119659.0,38.8
26-02-2026 00:00,200.85,202.6,200.0,200.41,136661,275.06,4421,58029.0,42.46
25-02-2026 00:00,198.0,204.8,197.13,200.64,1893550,3765.67,22357,1480751.0,78.2
