datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,409.5,413.8,407.2,409.0,16587414,68032.65,147722,9697703.0,58.46
24-06-2026 00:00,401.65,407.95,400.2,405.95,11768059,47763.09,118690,7174258.0,60.96
23-06-2026 00:00,398.0,405.0,398.0,401.65,10077909,40511.85,93188,6690702.0,66.39
22-06-2026 00:00,399.25,403.1,398.75,402.15,7158956,28712.28,135332,5084799.0,71.03
19-06-2026 00:00,402.5,403.55,398.0,399.25,17504009,69968.11,144218,12469314.0,71.24
18-06-2026 00:00,403.95,404.25,399.65,402.95,9342524,37615.99,118667,6049460.0,64.75
17-06-2026 00:00,407.85,408.75,402.55,404.5,11654415,47132.5,84598,8833636.0,75.8
16-06-2026 00:00,405.75,408.55,404.5,407.85,9079548,36979.41,131020,6342143.0,69.85
15-06-2026 00:00,408.0,411.0,402.45,405.75,14269679,57884.65,126203,9100772.0,63.78
12-06-2026 00:00,397.75,404.5,394.95,403.3,17227481,68937.57,152404,11265510.0,65.39
11-06-2026 00:00,386.0,399.9,384.55,393.35,16135289,63672.63,167780,9935308.0,61.58
10-06-2026 00:00,380.5,391.2,380.5,388.1,21427363,83231.46,198706,13103701.0,61.15
09-06-2026 00:00,379.7,382.45,377.3,381.7,13987913,53207.37,93474,8552151.0,61.14
08-06-2026 00:00,373.0,378.9,372.7,377.1,14460894,54449.97,151628,9991042.0,69.09
05-06-2026 00:00,381.5,383.7,374.65,377.45,10129597,38378.76,89111,5254520.0,51.87
04-06-2026 00:00,378.5,384.0,377.9,381.5,13889236,52964.81,148135,8768942.0,63.13
03-06-2026 00:00,377.6,383.45,375.1,381.0,14844206,56315.36,107837,9509100.0,64.06
02-06-2026 00:00,373.0,381.55,372.2,379.05,14834956,56148.08,143047,8962812.0,60.42
01-06-2026 00:00,384.15,387.0,375.65,377.4,12335552,46832.04,131176,7520709.0,60.97
29-05-2026 00:00,388.85,392.55,381.25,384.2,40109830,154554.76,222633,28222853.0,70.36
27-05-2026 00:00,388.55,390.5,386.7,388.7,9326451,36264.8,131286,5516546.0,59.15
26-05-2026 00:00,392.85,394.95,387.0,388.65,15059212,58593.0,173971,8544440.0,56.74
25-05-2026 00:00,388.3,395.15,387.25,392.85,15571552,61027.41,180840,10632412.0,68.28
22-05-2026 00:00,381.0,386.3,381.0,384.15,10348359,39793.7,135345,6447555.0,62.31
21-05-2026 00:00,384.7,386.45,377.9,380.85,10133840,38670.93,131415,5761299.0,56.85
20-05-2026 00:00,376.3,384.05,376.3,383.2,12342444,47079.05,213408,7738739.0,62.7
19-05-2026 00:00,388.5,391.8,380.25,381.95,22567886,86796.17,178863,14062766.0,62.31
18-05-2026 00:00,382.0,393.0,380.3,391.8,14575831,56582.06,168887,9354110.0,64.18
15-05-2026 00:00,383.2,393.3,380.5,387.05,19461437,75693.81,205717,11920722.0,61.25
14-05-2026 00:00,378.0,385.0,375.6,383.2,10652514,40701.94,102994,6482178.0,60.85
13-05-2026 00:00,377.9,384.0,376.85,377.65,16267456,61928.69,165040,11167113.0,68.65
12-05-2026 00:00,380.2,381.05,374.55,376.0,13065308,49351.78,167954,8509426.0,65.13
11-05-2026 00:00,376.1,386.0,374.4,381.05,21347878,81459.97,244055,16171833.0,75.75
08-05-2026 00:00,379.0,381.5,374.0,380.8,16183126,61239.16,133788,11333684.0,70.03
07-05-2026 00:00,376.1,382.45,374.3,379.4,27286751,103331.01,147908,15556493.0,57.01
06-05-2026 00:00,374.0,380.0,365.65,376.6,36195481,134836.13,331672,24090158.0,66.56
05-05-2026 00:00,371.0,375.5,368.75,371.35,19084772,71128.28,202863,11922634.0,62.47
04-05-2026 00:00,378.9,382.05,363.0,371.65,74467483,277638.37,733002,51534409.0,69.2
30-04-2026 00:00,376.6,386.85,375.3,383.3,24812228,94682.92,177003,16104109.0,64.9
29-04-2026 00:00,378.0,386.05,377.55,382.0,7913344,30314.79,141526,4286505.0,54.17
28-04-2026 00:00,372.0,383.25,372.0,377.95,12852733,48729.04,159001,6948020.0,54.06
27-04-2026 00:00,375.0,380.45,373.25,376.8,11559552,43610.39,133226,6767293.0,58.54
24-04-2026 00:00,370.6,372.8,367.65,370.85,19678907,72876.77,140324,14599678.0,74.19
23-04-2026 00:00,370.05,375.95,367.65,370.4,27628052,102471.79,289738,18935886.0,68.54
22-04-2026 00:00,378.1,382.8,376.25,376.85,14471487,54762.71,154952,10398838.0,71.86
21-04-2026 00:00,381.45,383.15,378.35,382.15,12323488,47015.22,152249,8708305.0,70.66
20-04-2026 00:00,384.1,386.0,378.0,379.2,11146713,42418.86,161795,6787723.0,60.89
17-04-2026 00:00,379.3,385.2,376.65,383.6,11626179,44562.46,108315,7938207.0,68.28
16-04-2026 00:00,383.15,386.45,378.25,379.15,12060624,45983.73,148269,6796665.0,56.35
15-04-2026 00:00,375.5,383.0,375.5,382.4,19100372,72616.17,139952,12708757.0,66.54
13-04-2026 00:00,367.95,373.0,365.6,371.9,30027087,110789.47,161872,19248450.0,64.1
10-04-2026 00:00,373.5,379.15,372.35,374.55,23751660,89297.55,186514,15780734.0,66.44
09-04-2026 00:00,377.0,378.7,369.45,371.9,12422256,46398.15,116017,7298176.0,58.75
08-04-2026 00:00,377.0,381.15,369.45,380.15,30162218,113604.3,236895,20215003.0,67.02
07-04-2026 00:00,357.0,364.0,357.0,362.95,23655155,85371.92,215482,15571921.0,65.83
