datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,423.0,429.85,420.4,423.35,6397374,27159.48,72090,3214525.0,50.25
24-06-2026 00:00,440.1,442.55,433.45,436.6,6122691,26724.96,52188,3329344.0,54.38
23-06-2026 00:00,442.8,448.8,437.2,440.15,6442829,28475.1,55290,2987515.0,46.37
22-06-2026 00:00,446.1,446.1,438.5,442.4,4709990,20784.97,42989,1962521.0,41.67
19-06-2026 00:00,430.8,450.2,430.05,440.15,12106383,53440.55,103308,4070618.0,33.62
18-06-2026 00:00,419.7,437.9,418.7,430.0,10970744,47268.21,110701,3404345.0,31.03
17-06-2026 00:00,410.5,419.15,408.6,418.15,4156009,17261.14,41980,1830977.0,44.06
16-06-2026 00:00,408.4,413.2,406.7,411.0,3630392,14889.18,34168,1500385.0,41.33
15-06-2026 00:00,403.0,409.9,403.0,405.7,2896817,11798.92,29303,1095790.0,37.83
12-06-2026 00:00,396.1,399.8,393.15,399.35,2044734,8110.64,26590,790663.0,38.67
11-06-2026 00:00,393.2,396.1,391.55,393.2,2234212,8792.02,39293,1115071.0,49.91
10-06-2026 00:00,404.1,406.2,395.0,395.95,2722258,10882.45,36158,1213648.0,44.58
09-06-2026 00:00,396.65,404.75,396.15,403.9,3137828,12593.56,33594,1639297.0,52.24
08-06-2026 00:00,395.0,399.95,392.2,395.5,3226124,12781.64,43934,1489492.0,46.17
05-06-2026 00:00,395.9,403.0,395.1,399.9,3180615,12706.56,45034,1137604.0,35.77
04-06-2026 00:00,400.5,401.5,396.6,398.65,3174167,12669.66,41583,1447407.0,45.6
03-06-2026 00:00,400.7,404.8,397.5,402.9,4244501,16998.02,49938,2165283.0,51.01
02-06-2026 00:00,401.0,403.25,397.1,400.7,3873835,15509.53,51735,1808291.0,46.68
01-06-2026 00:00,413.4,414.35,403.6,404.85,4106271,16681.56,49485,1718572.0,41.85
29-05-2026 00:00,417.6,421.45,410.0,411.35,5247712,21734.22,76909,2328515.0,44.37
27-05-2026 00:00,855.0,855.0,818.85,830.0,5643800,47054.86,98508,2654354.0,47.03
26-05-2026 00:00,841.7,857.1,834.25,854.9,4073338,34570.66,73321,1894147.0,46.5
25-05-2026 00:00,827.85,846.5,821.45,837.35,4946135,41361.44,79245,2140151.0,43.27
22-05-2026 00:00,835.0,839.0,809.65,812.95,18803486,154044.73,192468,9387860.0,49.93
21-05-2026 00:00,808.0,812.0,798.9,800.2,4073575,32748.3,50839,2442317.0,59.96
20-05-2026 00:00,802.8,807.6,796.3,800.55,1569395,12577.96,44402,877368.0,55.9
19-05-2026 00:00,793.0,809.0,793.0,803.5,673990,5407.27,20029,224657.0,33.33
18-05-2026 00:00,795.85,795.85,777.7,791.4,943313,7402.0,26794,270156.0,28.64
15-05-2026 00:00,810.0,815.7,796.7,799.15,1398395,11293.71,32077,568777.0,40.67
14-05-2026 00:00,788.15,808.85,788.15,805.0,1435750,11535.45,33443,482354.0,33.6
13-05-2026 00:00,781.25,793.0,776.05,787.05,882880,6927.23,21812,304760.0,34.52
12-05-2026 00:00,798.5,799.85,779.45,780.75,1434407,11283.12,38241,707831.0,49.35
11-05-2026 00:00,800.0,806.8,795.0,798.35,1736046,13878.84,33790,774433.0,44.61
08-05-2026 00:00,810.0,810.0,800.65,802.15,963403,7742.6,27220,466315.0,48.4
07-05-2026 00:00,810.0,815.75,803.25,811.15,1303835,10556.8,40311,582539.0,44.68
06-05-2026 00:00,804.0,808.9,798.4,807.25,1433995,11535.39,31169,701562.0,48.92
05-05-2026 00:00,800.0,801.7,797.0,799.25,603497,4822.6,20633,229548.0,38.04
04-05-2026 00:00,805.5,807.5,796.2,802.0,976427,7830.31,31888,393982.0,40.35
30-04-2026 00:00,810.95,812.05,796.15,797.9,1229720,9846.74,37524,568380.0,46.22
29-04-2026 00:00,826.6,826.6,811.0,812.45,1093177,8935.96,33554,482815.0,44.17
28-04-2026 00:00,817.95,822.9,815.0,817.7,1629817,13343.55,33929,809788.0,49.69
27-04-2026 00:00,814.0,821.0,812.4,819.5,1084031,8879.68,26067,461980.0,42.62
24-04-2026 00:00,812.0,817.4,804.05,811.05,868267,7027.76,26142,331587.0,38.19
23-04-2026 00:00,817.95,820.6,810.6,811.65,870187,7095.76,29587,433968.0,49.87
22-04-2026 00:00,824.1,826.7,819.3,820.5,1127858,9270.83,45638,568229.0,50.38
21-04-2026 00:00,827.05,832.5,823.1,824.1,1278765,10586.84,35604,570862.0,44.64
