datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,299.25,307.8,297.75,299.0,8421891,25493.02,60537,2972155.0,35.29
24-06-2026 00:00,286.5,297.9,286.4,296.55,5804976,17109.6,40623,1815136.0,31.27
23-06-2026 00:00,288.35,292.3,285.7,286.35,1925870,5554.64,26062,637300.0,33.09
22-06-2026 00:00,288.3,289.85,286.3,288.7,1775541,5114.09,28157,680278.0,38.31
19-06-2026 00:00,282.4,289.8,282.4,286.5,4742265,13601.4,36807,2434300.0,51.33
18-06-2026 00:00,295.0,295.9,284.6,286.9,3512827,10124.13,32570,1381301.0,39.32
17-06-2026 00:00,294.25,295.8,292.0,294.15,2767001,8136.68,27435,1367564.0,49.42
16-06-2026 00:00,294.9,296.65,292.8,294.25,3771951,11101.79,28048,1420536.0,37.66
15-06-2026 00:00,282.9,297.3,282.35,293.25,13734537,40313.94,104663,4185438.0,30.47
12-06-2026 00:00,263.0,277.0,262.95,275.95,7369154,19923.71,64836,2510725.0,34.07
11-06-2026 00:00,260.0,260.75,256.1,256.9,2283784,5894.82,24690,887794.0,38.87
10-06-2026 00:00,266.0,268.0,259.2,260.35,2859603,7533.78,24471,1067325.0,37.32
09-06-2026 00:00,262.95,266.6,261.95,265.55,3578915,9449.42,32367,1465283.0,40.94
08-06-2026 00:00,264.1,265.45,259.8,261.7,6718480,17604.83,61999,3788928.0,56.4
05-06-2026 00:00,268.0,277.25,266.45,268.6,7790312,21127.77,84535,2379757.0,30.55
04-06-2026 00:00,266.9,268.6,265.0,266.7,4176044,11136.87,33001,1743729.0,41.76
03-06-2026 00:00,270.8,270.8,263.6,267.85,4135606,11015.53,43746,1460538.0,35.32
02-06-2026 00:00,267.0,272.9,264.3,270.7,4331834,11675.96,44877,1806981.0,41.71
01-06-2026 00:00,282.0,285.45,270.0,271.25,6477563,17814.45,55704,2059184.0,31.79
29-05-2026 00:00,285.0,289.4,281.1,286.6,10147089,29039.7,60544,5446292.0,53.67
27-05-2026 00:00,280.9,284.6,280.5,281.7,1908996,5391.61,21700,640648.0,33.56
26-05-2026 00:00,280.1,284.65,278.65,282.7,4067157,11477.65,35718,1956887.0,48.11
25-05-2026 00:00,272.5,280.8,272.5,279.35,4498651,12522.65,37794,1682007.0,37.39
22-05-2026 00:00,269.05,271.55,262.75,270.15,6958075,18666.82,78947,2972496.0,42.72
21-05-2026 00:00,279.05,281.2,268.1,269.85,6141512,16679.38,47325,2625076.0,42.74
20-05-2026 00:00,275.05,276.6,271.85,275.65,4150742,11381.13,48431,1646682.0,39.67
19-05-2026 00:00,279.0,281.05,274.7,277.95,3945508,10964.23,35341,2031513.0,51.49
18-05-2026 00:00,277.2,280.0,272.3,278.75,3171834,8735.46,41531,1050191.0,33.11
15-05-2026 00:00,281.1,283.75,276.1,280.75,2918519,8189.63,30840,860034.0,29.47
14-05-2026 00:00,284.0,285.8,275.75,281.3,8516619,23979.48,56628,3803161.0,44.66
13-05-2026 00:00,281.0,290.25,278.8,281.9,6270211,17665.17,56616,3811331.0,60.78
12-05-2026 00:00,292.0,295.1,279.25,280.65,6656358,18864.56,55934,3292532.0,49.46
11-05-2026 00:00,303.0,305.0,294.15,295.0,3447625,10270.75,48326,1453563.0,42.16
08-05-2026 00:00,303.0,305.2,300.7,303.4,2525155,7650.82,29295,1049103.0,41.55
07-05-2026 00:00,301.8,305.2,297.85,303.65,3760248,11397.0,39503,1408644.0,37.46
06-05-2026 00:00,295.0,303.0,294.45,300.3,8849214,26488.59,72337,2792727.0,31.56
05-05-2026 00:00,286.6,291.4,283.1,290.45,4655749,13397.08,40296,1847909.0,39.69
04-05-2026 00:00,280.0,287.8,280.0,285.65,4980539,14212.47,57179,2188799.0,43.95
30-04-2026 00:00,284.42,284.42,277.38,279.73,3778162,10593.22,48789,1704639.0,45.12
29-04-2026 00:00,286.0,290.45,284.38,285.42,3376266,9697.15,42854,1271976.0,37.67
28-04-2026 00:00,288.0,292.58,284.71,285.78,5658687,16257.19,57130,1892633.0,33.45
27-04-2026 00:00,291.7,300.83,286.81,287.79,15681505,45909.43,120074,3822233.0,24.37
24-04-2026 00:00,293.9,295.01,287.22,290.05,3567361,10381.35,41996,1077610.0,30.21
23-04-2026 00:00,291.99,295.19,287.14,292.12,3503151,10211.49,38254,1247934.0,35.62
22-04-2026 00:00,293.0,295.29,291.3,294.04,3357979,9861.27,31155,1691674.0,50.38
21-04-2026 00:00,292.64,294.14,287.66,291.9,5395677,15707.08,50457,2461892.0,45.63
20-04-2026 00:00,287.14,293.97,283.71,290.15,4638480,13481.39,47199,1570779.0,33.86
17-04-2026 00:00,280.4,287.9,277.73,287.14,3415046,9728.89,44605,1247364.0,36.53
16-04-2026 00:00,285.0,286.99,277.47,280.41,5424731,15288.22,49423,2247230.0,41.43
15-04-2026 00:00,278.3,283.99,278.3,281.01,5323702,15006.76,60133,2580988.0,48.48
13-04-2026 00:00,272.94,276.55,266.21,274.04,4802310,13141.99,67708,1962503.0,40.87
10-04-2026 00:00,274.9,279.8,273.8,278.43,5871745,16244.29,55584,2629026.0,44.77
09-04-2026 00:00,275.95,277.67,271.0,272.18,4688665,12841.39,51697,1582821.0,33.76
08-04-2026 00:00,268.0,278.89,268.0,275.46,8622875,23714.1,75284,2595488.0,30.1
07-04-2026 00:00,252.5,257.31,250.7,254.56,5784978,14727.03,65875,2247691.0,38.85
06-04-2026 00:00,243.9,257.48,242.1,255.45,11678955,29337.81,95546,2956337.0,25.31
02-04-2026 00:00,240.1,242.64,234.9,240.35,5044052,12033.42,58448,2073467.0,41.11
01-04-2026 00:00,248.86,250.78,242.89,244.64,5176161,12743.53,103269,2229504.0,43.07
30-03-2026 00:00,247.0,247.5,238.95,240.2,9535511,23034.59,89399,4668279.0,48.96
27-03-2026 00:00,260.5,260.5,249.6,251.65,7078996,17852.59,121155,3440695.0,48.6
25-03-2026 00:00,257.6,266.5,257.35,261.3,5174550,13612.5,55962,2079534.0,40.19
24-03-2026 00:00,254.0,255.75,248.9,254.8,6736385,17041.85,47230,2828499.0,41.99
23-03-2026 00:00,260.2,260.25,245.6,247.65,8126742,20213.36,71842,3758284.0,46.25
20-03-2026 00:00,260.1,264.55,258.5,261.2,6384030,16697.62,60300,2183606.0,34.2
19-03-2026 00:00,265.0,266.9,255.15,256.65,5586363,14511.13,63375,2439961.0,43.68
18-03-2026 00:00,265.0,272.7,264.1,268.8,6289105,16966.24,52099,2542356.0,40.42
17-03-2026 00:00,262.85,263.7,256.4,263.15,5303707,13833.42,44469,2432275.0,45.86
16-03-2026 00:00,257.0,262.5,255.15,260.65,3213126,8322.62,39729,909813.0,28.32
13-03-2026 00:00,264.0,264.55,256.3,258.0,3511148,9086.76,43670,1328601.0,37.84
12-03-2026 00:00,265.15,269.35,260.75,265.5,3821356,10141.12,51531,1428410.0,37.38
11-03-2026 00:00,273.0,275.85,265.6,266.65,2386052,6444.97,38223,1106554.0,46.38
10-03-2026 00:00,270.0,275.95,269.1,274.05,3026037,8244.6,33861,1087410.0,35.94
09-03-2026 00:00,265.6,266.9,259.8,266.2,4006690,10575.14,41803,1464718.0,36.56
06-03-2026 00:00,274.9,276.95,271.25,271.9,2656845,7291.34,38026,1179994.0,44.41
05-03-2026 00:00,272.0,276.9,270.0,275.5,3609412,9865.7,37288,1394670.0,38.64
04-03-2026 00:00,270.6,273.7,265.55,271.05,8234278,22261.84,58509,4434371.0,53.85
02-03-2026 00:00,273.65,282.0,272.1,275.8,8061770,22389.55,84005,3645011.0,45.21
27-02-2026 00:00,297.5,297.5,278.0,283.95,99977962,284799.85,209301,54682214.0,54.69
26-02-2026 00:00,304.65,304.65,296.4,299.9,3806988,11446.82,55115,1483412.0,38.97
25-02-2026 00:00,301.0,310.5,298.9,303.35,9098084,27805.12,70939,3252517.0,35.75
24-02-2026 00:00,299.65,299.65,295.05,297.45,3623378,10773.9,39572,1593246.0,43.97
23-02-2026 00:00,299.0,303.0,298.0,299.65,3420472,10257.58,41488,1551112.0,45.35
20-02-2026 00:00,294.5,299.0,292.8,297.75,3472541,10309.8,33173,1593521.0,45.89
19-02-2026 00:00,300.3,301.6,293.25,294.9,3811926,11358.47,32435,1914095.0,50.21
18-02-2026 00:00,297.65,303.05,296.8,300.25,4525435,13602.2,45175,1872480.0,41.38
17-02-2026 00:00,295.35,299.4,290.85,297.65,5138868,15232.67,66179,2216328.0,43.13
16-02-2026 00:00,284.0,295.45,281.2,294.0,6790971,19818.89,72375,3453644.0,50.86
13-02-2026 00:00,291.0,291.2,283.7,285.1,4322331,12352.55,55167,1907657.0,44.13
12-02-2026 00:00,288.2,292.5,285.15,292.05,3739412,10844.77,47612,1311971.0,35.08
11-02-2026 00:00,297.0,299.9,286.4,288.3,6843457,19776.44,87901,2737653.0,40.0
10-02-2026 00:00,297.55,298.5,291.25,294.0,3691851,10881.62,54970,1859485.0,50.37
09-02-2026 00:00,289.4,297.3,287.5,296.85,4735377,13943.01,79521,1895124.0,40.02
06-02-2026 00:00,282.0,286.1,275.55,285.3,3821007,10713.83,68495,1092314.0,28.59
05-02-2026 00:00,286.0,286.8,278.5,283.4,3934618,11113.65,60192,1640168.0,41.69
04-02-2026 00:00,285.45,290.65,282.1,287.1,3593559,10311.42,49933,1609906.0,44.8
03-02-2026 00:00,290.6,298.75,283.3,284.7,5355155,15330.2,56734,2440349.0,45.57
02-02-2026 00:00,279.0,279.15,269.0,277.55,9193919,25138.93,85010,4364510.0,47.47
01-02-2026 00:00,286.45,288.0,274.1,279.1,2602438,7368.95,32273,651381.0,25.03
