datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,3090.0,3208.5,3086.0,3182.2,5346892,169711.73,227707,2868251.0,53.64
24-06-2026 00:00,3044.0,3097.9,3025.0,3064.5,2179193,66779.44,89777,1353245.0,62.1
23-06-2026 00:00,3063.4,3092.2,3031.8,3037.3,2828392,86431.13,107706,1812075.0,64.07
22-06-2026 00:00,3085.0,3102.0,3053.8,3063.4,2186778,67310.58,105173,1450567.0,66.33
19-06-2026 00:00,3110.0,3130.0,3059.0,3074.8,3408840,105092.69,115716,2389165.0,70.09
18-06-2026 00:00,3137.0,3151.0,3115.0,3136.5,2432013,76284.05,86382,1604007.0,65.95
17-06-2026 00:00,3145.0,3165.0,3090.0,3132.9,3186836,99802.02,140046,2069153.0,64.93
16-06-2026 00:00,3163.0,3163.0,3108.0,3137.9,3551761,111361.55,154518,2490281.0,70.11
15-06-2026 00:00,3090.0,3167.0,3078.0,3134.3,5286854,165670.02,181069,3163384.0,59.83
12-06-2026 00:00,3025.1,3050.0,2982.6,3042.9,3557496,107379.22,145313,2232053.0,62.74
11-06-2026 00:00,2930.0,3012.2,2900.4,3000.9,3177902,94476.27,148654,1651137.0,51.96
10-06-2026 00:00,2980.0,3000.0,2943.2,2952.5,2281551,67901.86,108603,1310474.0,57.44
09-06-2026 00:00,2995.9,3015.9,2974.0,2990.1,2527267,75739.52,120075,1561077.0,61.77
08-06-2026 00:00,2985.0,3006.0,2948.0,2966.0,2415904,71870.91,130360,1240797.0,51.36
05-06-2026 00:00,3039.9,3059.0,3012.7,3040.5,1685633,51227.99,86232,826681.0,49.04
04-06-2026 00:00,2985.0,3067.1,2974.2,3016.1,2788572,84440.25,136573,1391308.0,49.89
03-06-2026 00:00,2996.0,3029.5,2965.0,3011.1,3110137,93515.63,151483,1684444.0,54.16
02-06-2026 00:00,2913.1,3008.7,2913.1,2998.3,4045354,120768.25,206485,2412998.0,59.65
01-06-2026 00:00,3050.0,3068.9,2961.0,2970.2,5763247,172564.19,249581,3262140.0,56.6
29-05-2026 00:00,3119.6,3150.8,3005.1,3045.6,11402867,349163.2,247939,8312886.0,72.9
27-05-2026 00:00,3110.9,3141.3,3104.0,3121.6,1408612,44018.98,103497,600552.0,42.63
26-05-2026 00:00,3122.0,3159.2,3103.0,3107.3,1791919,56048.73,113859,954654.0,53.28
25-05-2026 00:00,3134.7,3173.7,3111.4,3139.0,2423710,76215.71,126514,1211132.0,49.97
22-05-2026 00:00,3095.0,3131.7,3072.6,3081.3,2407171,74602.07,107816,1278679.0,53.12
21-05-2026 00:00,3147.0,3157.7,3079.8,3099.0,1877207,58310.61,97804,622188.0,33.14
20-05-2026 00:00,3078.0,3142.8,3033.0,3122.2,2330606,72288.42,128922,1171161.0,50.25
19-05-2026 00:00,3099.1,3158.8,3075.0,3092.3,3151874,97864.97,178075,1443206.0,45.79
