datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,186.57,186.57,186.57,186.57,86274,160.96,442,86274.0,100.0
24-06-2026 00:00,190.9,190.9,190.9,190.9,94889,181.14,421,94889.0,100.0
23-06-2026 00:00,195.58,195.58,195.58,195.58,634731,1241.41,6272,627476.0,98.86
22-06-2026 00:00,195.58,195.58,195.58,195.58,92788,181.47,1425,84424.0,90.99
19-06-2026 00:00,190.1,190.1,190.1,190.1,56849,108.07,325,56849.0,100.0
18-06-2026 00:00,192.82,192.82,192.82,192.82,89028,171.66,742,85815.0,96.39
17-06-2026 00:00,196.83,196.84,194.75,196.84,444420,874.7,7881,422667.0,95.11
16-06-2026 00:00,189.76,189.76,189.76,189.76,240831,457.0,375,240831.0,100.0
15-06-2026 00:00,192.04,192.04,192.04,192.04,208441,400.29,1506,200913.0,96.39
12-06-2026 00:00,185.96,185.96,185.96,185.96,129669,241.13,607,129669.0,100.0
11-06-2026 00:00,191.72,191.72,191.72,191.72,214769,411.76,6891,211431.0,98.45
10-06-2026 00:00,194.26,194.26,194.0,194.26,422253,820.27,8298,411335.0,97.41
09-06-2026 00:00,190.84,190.84,190.84,190.84,228922,436.87,838,228922.0,100.0
08-06-2026 00:00,202.26,202.26,198.01,202.2,1077812,2175.28,22047,920792.0,85.43
05-06-2026 00:00,206.92,206.92,206.92,206.92,97578,201.91,1236,96578.0,98.98
04-06-2026 00:00,208.2,208.2,208.2,208.2,187418,390.2,725,187317.0,99.95
03-06-2026 00:00,208.38,208.38,208.38,208.38,655073,1365.04,6622,614231.0,93.77
02-06-2026 00:00,206.62,206.62,206.62,206.62,69720,144.06,695,69720.0,100.0
01-06-2026 00:00,201.4,201.4,201.4,201.4,158692,319.61,600,158617.0,99.95
29-05-2026 00:00,199.09,199.09,199.09,199.09,134283,267.34,665,134283.0,100.0
27-05-2026 00:00,194.66,194.66,194.66,194.66,102322,199.18,399,102322.0,100.0
26-05-2026 00:00,194.66,194.66,194.66,194.66,68684,133.7,450,68684.0,100.0
25-05-2026 00:00,196.48,196.48,195.56,196.48,215132,422.68,3163,214860.0,99.87
22-05-2026 00:00,196.38,196.38,196.38,196.38,212962,418.21,942,197957.0,92.95
21-05-2026 00:00,192.61,192.61,192.61,192.61,91855,176.92,573,91855.0,100.0
20-05-2026 00:00,193.95,193.95,193.95,193.95,139542,270.64,1755,137991.0,98.89
19-05-2026 00:00,191.95,194.8,191.95,194.8,151695,295.5,2893,149243.0,98.38
18-05-2026 00:00,197.89,197.89,196.0,197.89,551025,1090.18,8884,529577.0,96.11
15-05-2026 00:00,196.4,196.4,196.4,196.4,164687,323.45,675,164687.0,100.0
14-05-2026 00:00,193.53,193.53,193.53,193.53,144611,279.87,586,144611.0,100.0
13-05-2026 00:00,194.18,194.18,193.0,194.18,554072,1075.79,6132,519888.0,93.83
12-05-2026 00:00,192.4,192.4,192.4,192.4,231823,446.03,974,227875.0,98.3
11-05-2026 00:00,188.14,188.14,188.14,188.14,168737,317.46,881,168737.0,100.0
08-05-2026 00:00,182.37,189.54,182.37,189.54,626727,1187.9,9107,620737.0,99.04
07-05-2026 00:00,187.05,187.05,187.05,187.05,52372,97.96,555,52372.0,100.0
06-05-2026 00:00,184.59,184.59,184.59,184.59,84280,155.57,610,84280.0,100.0
05-05-2026 00:00,181.89,181.89,181.89,181.89,79713,144.99,519,79713.0,100.0
04-05-2026 00:00,181.09,181.09,181.09,181.09,114926,208.12,649,114926.0,100.0
30-04-2026 00:00,180.54,180.54,180.54,180.54,156503,282.55,540,156503.0,100.0
29-04-2026 00:00,181.93,181.93,181.71,181.93,848042,1542.84,6463,839068.0,98.94
28-04-2026 00:00,180.8,180.8,180.8,180.8,233534,422.23,960,227614.0,97.47
27-04-2026 00:00,177.24,177.24,177.24,177.24,526408,933.01,614,526408.0,100.0
24-04-2026 00:00,176.33,179.76,176.33,179.7,764358,1373.32,10320,621614.0,81.32
23-04-2026 00:00,173.83,173.83,173.83,173.83,98062,170.46,440,98062.0,100.0
22-04-2026 00:00,173.94,173.94,173.94,173.94,190353,331.1,1878,173330.0,91.06
21-04-2026 00:00,175.18,175.18,174.52,175.18,208073,364.5,4510,202008.0,97.09
20-04-2026 00:00,175.9,175.9,171.11,175.9,448772,789.28,7436,402207.0,89.62
17-04-2026 00:00,173.5,175.5,173.5,175.5,582535,1022.3,8048,556939.0,95.61
16-04-2026 00:00,166.88,166.88,166.88,166.88,127122,212.14,483,127122.0,100.0
15-04-2026 00:00,163.53,163.53,163.53,163.53,58776,96.12,462,58776.0,100.0
13-04-2026 00:00,162.27,162.27,162.27,162.27,131068,212.68,576,131068.0,100.0
10-04-2026 00:00,160.27,160.27,160.27,160.27,43368,69.51,345,43368.0,100.0
09-04-2026 00:00,157.05,157.05,157.05,157.05,53242,83.62,306,53242.0,100.0
08-04-2026 00:00,155.94,155.94,155.94,155.94,70766,110.35,329,70766.0,100.0
07-04-2026 00:00,155.22,155.22,155.22,155.22,34673,53.82,294,34673.0,100.0
06-04-2026 00:00,156.79,156.81,150.66,156.81,328435,515.01,514,325168.0,99.01
02-04-2026 00:00,154.53,154.53,153.0,154.53,396893,613.27,1991,392050.0,98.78
01-04-2026 00:00,149.74,149.74,149.74,149.74,257356,385.36,495,257356.0,100.0
30-03-2026 00:00,152.51,157.1,151.25,157.09,400147,628.38,8336,374207.0,93.52
27-03-2026 00:00,156.43,156.43,156.43,156.43,141024,220.6,5392,137164.0,97.26
25-03-2026 00:00,159.61,159.61,158.49,159.61,343421,548.11,6177,321725.0,93.68
