datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,89.4,89.4,88.0,88.71,11685001,10371.04,50335,5193518.0,44.45
24-06-2026 00:00,87.8,89.31,87.59,88.53,8328152,7372.37,39771,4049654.0,48.63
23-06-2026 00:00,89.47,89.85,87.22,87.89,8839236,7797.77,39471,4311562.0,48.78
22-06-2026 00:00,90.64,90.69,88.92,89.47,9397466,8419.06,41916,3974625.0,42.29
19-06-2026 00:00,89.4,90.5,88.9,90.19,14248205,12795.46,48773,6817089.0,47.85
18-06-2026 00:00,90.8,91.2,88.81,89.5,12053692,10846.08,43346,4126777.0,34.24
17-06-2026 00:00,88.25,91.0,87.13,90.14,26656586,23823.32,83990,9258322.0,34.73
16-06-2026 00:00,89.9,90.0,87.1,88.19,13331204,11755.03,64410,6520590.0,48.91
15-06-2026 00:00,88.61,91.1,88.23,89.12,33101447,29576.29,117908,16969288.0,51.26
12-06-2026 00:00,84.4,87.62,83.67,87.3,36284743,31208.96,102027,13436825.0,37.03
11-06-2026 00:00,83.9,84.4,82.83,83.08,13551944,11326.25,51710,6740148.0,49.74
10-06-2026 00:00,84.25,85.08,83.41,84.18,19378667,16349.22,60735,8107240.0,41.84
09-06-2026 00:00,80.01,84.25,79.6,83.97,37941831,31446.18,105089,16899773.0,44.54
08-06-2026 00:00,78.5,81.5,77.8,79.61,15828378,12677.59,57482,6282888.0,39.69
05-06-2026 00:00,79.19,80.77,79.0,79.19,12711478,10126.84,55358,4825622.0,37.96
04-06-2026 00:00,79.5,80.58,78.84,79.9,8749850,6961.63,43646,3570119.0,40.8
03-06-2026 00:00,79.0,79.99,78.04,79.7,11016774,8718.55,40715,4913021.0,44.6
02-06-2026 00:00,77.41,79.43,77.07,78.91,9355862,7355.46,45927,4242511.0,45.35
01-06-2026 00:00,79.2,79.33,76.9,77.64,14202373,11079.84,56492,7005000.0,49.32
29-05-2026 00:00,80.1,80.7,78.4,79.27,11912803,9509.6,54232,6122815.0,51.4
27-05-2026 00:00,80.18,80.25,79.6,80.08,7325388,5858.57,28358,3974336.0,54.25
26-05-2026 00:00,81.36,81.75,79.81,80.18,13667175,11001.29,40129,7178970.0,52.53
25-05-2026 00:00,81.0,82.2,80.71,81.17,11362497,9219.32,40883,5981880.0,52.65
22-05-2026 00:00,79.5,80.45,79.01,80.04,13186459,10515.25,41019,6348248.0,48.14
21-05-2026 00:00,79.9,80.34,79.35,79.76,11883310,9478.79,40034,5178975.0,43.58
20-05-2026 00:00,78.0,78.99,77.09,78.75,7838024,6120.16,33948,2534409.0,32.33
19-05-2026 00:00,77.8,78.6,77.42,78.34,7491904,5854.58,38179,2770234.0,36.98
