datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,21.42,21.42,21.42,21.42,431803,92.49,418,431803.0,100.0
24-06-2026 00:00,22.12,22.12,22.12,22.12,466919,103.28,3484,465860.0,99.77
23-06-2026 00:00,22.32,22.32,22.32,22.32,496646,110.85,3736,483392.0,97.33
22-06-2026 00:00,22.32,22.32,22.32,22.32,398793,89.01,3292,397249.0,99.61
19-06-2026 00:00,22.68,22.68,22.64,22.68,407826,92.49,4021,406508.0,99.68
18-06-2026 00:00,22.64,22.64,22.64,22.64,472096,106.88,3080,470743.0,99.71
17-06-2026 00:00,23.19,23.19,23.0,23.19,687260,159.21,3944,649619.0,94.52
16-06-2026 00:00,22.99,22.99,22.26,22.94,2536149,579.17,7725,1758117.0,69.32
15-06-2026 00:00,22.9,22.9,22.9,22.9,615587,140.97,399,615587.0,100.0
12-06-2026 00:00,23.11,23.11,23.11,23.11,112577,26.02,262,112577.0,100.0
11-06-2026 00:00,23.34,23.34,23.01,23.34,193685,45.17,2215,185640.0,95.85
10-06-2026 00:00,23.36,23.36,23.36,23.36,269995,63.07,2219,269960.0,99.99
09-06-2026 00:00,23.82,23.82,23.82,23.82,212422,50.6,752,211549.0,99.59
08-06-2026 00:00,24.45,24.45,24.1,24.45,686738,167.74,6501,627701.0,91.4
05-06-2026 00:00,24.82,24.82,24.82,24.82,296846,73.68,3188,295941.0,99.7
04-06-2026 00:00,24.79,25.29,24.79,25.01,2305276,579.39,9824,1622120.0,70.37
03-06-2026 00:00,24.19,24.19,24.19,24.19,373035,90.24,343,373035.0,100.0
02-06-2026 00:00,23.8,23.8,23.8,23.8,229095,54.52,323,229095.0,100.0
01-06-2026 00:00,24.09,24.09,24.09,24.09,324151,78.09,2933,323375.0,99.76
29-05-2026 00:00,24.27,24.27,24.02,24.27,1079549,261.98,5188,774824.0,71.77
27-05-2026 00:00,23.91,23.91,23.91,23.91,156762,37.48,316,156762.0,100.0
26-05-2026 00:00,23.91,23.91,23.91,23.91,160720,38.43,301,160720.0,100.0
25-05-2026 00:00,23.54,23.54,23.54,23.54,426002,100.28,382,378490.0,88.85
22-05-2026 00:00,23.7,24.21,23.7,24.21,571538,138.36,3948,550377.0,96.3
21-05-2026 00:00,24.07,24.07,24.07,24.07,145125,34.93,260,145125.0,100.0
20-05-2026 00:00,23.97,23.97,23.97,23.97,203826,48.86,329,203826.0,100.0
19-05-2026 00:00,24.34,24.34,24.34,24.34,296757,72.23,2212,295702.0,99.64
18-05-2026 00:00,24.93,24.93,24.2,24.92,1040395,257.73,6681,780477.0,75.02
15-05-2026 00:00,24.25,25.02,24.25,24.79,1877701,468.85,6505,1474895.0,78.55
14-05-2026 00:00,24.88,24.88,24.88,24.88,240627,59.87,422,240627.0,100.0
13-05-2026 00:00,24.97,24.97,24.13,24.95,1964647,490.44,6337,1691350.0,86.09
12-05-2026 00:00,24.75,24.75,24.75,24.75,399982,99.0,675,392818.0,98.21
11-05-2026 00:00,24.13,24.75,24.13,24.75,690177,170.82,2124,686854.0,99.52
08-05-2026 00:00,24.12,24.12,24.12,24.12,108528,26.18,280,108528.0,100.0
07-05-2026 00:00,24.09,24.09,24.09,24.09,150319,36.21,305,150319.0,100.0
06-05-2026 00:00,24.27,24.27,23.3,24.26,1102883,267.66,4513,1046416.0,94.88
05-05-2026 00:00,23.72,23.72,23.72,23.72,249870,59.27,298,249870.0,100.0
04-05-2026 00:00,23.88,23.88,23.88,23.88,251338,60.02,448,251338.0,100.0
30-04-2026 00:00,23.4,23.4,23.4,23.4,144430,33.8,259,144430.0,100.0
