datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,76.51,76.51,76.51,76.51,61741,47.24,235,61741.0,100.0
24-06-2026 00:00,77.8,77.8,77.8,77.8,58603,45.59,1346,58590.0,99.98
23-06-2026 00:00,77.11,78.27,77.11,78.27,211029,165.17,3200,204782.0,97.04
22-06-2026 00:00,78.27,78.27,78.27,78.27,51714,40.48,670,48397.0,93.59
19-06-2026 00:00,77.61,77.61,77.61,77.61,50082,38.87,156,50082.0,100.0
18-06-2026 00:00,79.11,79.11,79.0,79.11,65983,52.2,433,64385.0,97.58
17-06-2026 00:00,79.44,79.45,79.06,79.45,365218,290.12,3129,355272.0,97.28
16-06-2026 00:00,78.63,78.63,78.63,78.63,423558,333.04,2819,420894.0,99.37
15-06-2026 00:00,78.84,78.84,78.84,78.84,94543,74.54,234,94543.0,100.0
12-06-2026 00:00,77.61,77.61,77.61,77.61,44406,34.46,242,44406.0,100.0
11-06-2026 00:00,79.36,79.36,78.11,79.21,329465,261.22,4575,285908.0,86.78
10-06-2026 00:00,79.99,79.99,79.55,79.99,288243,230.56,3641,285912.0,99.19
09-06-2026 00:00,79.75,79.75,79.75,79.75,120754,96.3,251,120754.0,100.0
08-06-2026 00:00,82.25,82.27,79.85,82.27,431949,353.07,4420,349746.0,80.97
05-06-2026 00:00,81.91,81.91,81.91,81.91,40118,32.86,166,40118.0,100.0
04-06-2026 00:00,82.38,82.38,82.38,82.38,57802,47.62,432,57802.0,100.0
03-06-2026 00:00,82.39,82.39,82.39,82.39,46236,38.09,294,45560.0,98.54
02-06-2026 00:00,82.53,82.53,82.45,82.53,183373,151.34,1296,183029.0,99.81
01-06-2026 00:00,82.04,82.04,82.04,82.04,56539,46.38,197,56539.0,100.0
29-05-2026 00:00,81.61,81.61,81.61,81.61,64919,52.98,270,64919.0,100.0
27-05-2026 00:00,82.0,82.0,82.0,82.0,138163,113.29,681,138021.0,99.9
26-05-2026 00:00,82.0,82.0,82.0,82.0,55237,45.29,173,55237.0,100.0
25-05-2026 00:00,82.23,82.23,82.23,82.23,89482,73.58,445,48008.0,53.65
22-05-2026 00:00,82.78,82.78,82.78,82.78,177867,147.24,818,163260.0,91.79
21-05-2026 00:00,81.63,81.63,81.63,81.63,125346,102.32,223,125346.0,100.0
20-05-2026 00:00,82.24,82.24,82.23,82.24,186080,153.03,1235,176458.0,94.83
19-05-2026 00:00,81.97,81.97,81.97,81.97,77025,63.14,286,77025.0,100.0
18-05-2026 00:00,82.65,82.69,82.05,82.69,867523,717.22,6327,851443.0,98.15
15-05-2026 00:00,81.67,81.67,81.67,81.67,86410,70.57,249,86410.0,100.0
14-05-2026 00:00,80.76,80.76,80.76,80.76,214201,172.99,253,214201.0,100.0
13-05-2026 00:00,80.46,80.46,80.46,80.46,108016,86.91,273,108016.0,100.0
12-05-2026 00:00,79.89,79.89,79.89,79.89,64789,51.76,373,64789.0,100.0
11-05-2026 00:00,79.58,79.58,79.58,79.58,101489,80.76,271,101489.0,100.0
08-05-2026 00:00,79.86,79.86,78.7,79.86,543799,434.27,3791,539492.0,99.21
07-05-2026 00:00,78.7,78.7,78.7,78.7,108748,85.58,213,108748.0,100.0
06-05-2026 00:00,77.97,77.97,77.97,77.97,143104,111.58,199,143104.0,100.0
05-05-2026 00:00,78.02,78.02,77.45,78.02,396481,309.32,3182,382516.0,96.48
04-05-2026 00:00,77.19,77.19,77.19,77.19,102906,79.43,253,102906.0,100.0
30-04-2026 00:00,77.08,77.08,77.08,77.08,87133,67.16,234,87133.0,100.0
29-04-2026 00:00,74.97,77.04,74.97,77.04,46566,35.87,267,46566.0,100.0
28-04-2026 00:00,73.96,76.9,73.96,76.9,116701,89.74,540,116700.0,100.0
27-04-2026 00:00,75.86,75.86,75.86,75.86,95564,72.49,247,95564.0,100.0
24-04-2026 00:00,76.26,76.26,75.9,76.26,250119,190.72,2523,242315.0,96.88
23-04-2026 00:00,74.77,74.77,74.77,74.77,59545,44.52,233,59545.0,100.0
22-04-2026 00:00,74.94,74.94,73.0,74.94,316354,236.81,2953,282997.0,89.46
21-04-2026 00:00,74.99,75.0,72.73,75.0,136462,102.34,1735,135494.0,99.29
20-04-2026 00:00,74.6,74.6,72.6,74.6,231808,172.92,2248,221710.0,95.64
17-04-2026 00:00,74.44,74.44,72.55,74.44,365676,271.84,3022,336247.0,91.95
16-04-2026 00:00,72.21,72.21,72.21,72.21,111342,80.4,317,111342.0,100.0
15-04-2026 00:00,71.02,71.02,71.02,71.02,93014,66.06,272,93014.0,100.0
13-04-2026 00:00,70.9,70.9,70.45,70.9,332084,235.38,4365,316809.0,95.4
10-04-2026 00:00,70.26,70.26,70.26,70.26,44942,31.58,204,44942.0,100.0
09-04-2026 00:00,69.08,69.08,69.08,69.08,57030,39.4,172,57030.0,100.0
