datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,2819.9,2882.0,2808.0,2831.7,3043053,86712.62,170642,1395969.0,45.87
24-06-2026 00:00,2820.0,2870.0,2802.1,2840.6,1700264,48422.16,134331,765002.0,44.99
23-06-2026 00:00,2859.9,2875.8,2808.9,2831.0,2083582,58997.25,137271,1051479.0,50.46
22-06-2026 00:00,2822.0,2882.7,2822.0,2870.4,1811097,51763.69,88593,773129.0,42.69
19-06-2026 00:00,2804.0,2814.4,2761.8,2803.8,2642248,73685.1,157394,1238457.0,46.87
18-06-2026 00:00,2857.3,2870.1,2800.0,2817.2,2627105,74321.66,159111,994871.0,37.87
17-06-2026 00:00,2885.0,2909.9,2810.0,2857.3,3414894,97176.67,181186,1533330.0,44.9
16-06-2026 00:00,2900.9,2903.9,2833.0,2885.4,2264594,64856.67,114086,889618.0,39.28
15-06-2026 00:00,2909.0,2909.0,2810.2,2895.6,3912641,112258.89,149756,1775375.0,45.38
12-06-2026 00:00,2822.0,2858.0,2781.2,2853.0,1876623,52968.27,81850,774556.0,41.27
11-06-2026 00:00,2715.0,2795.0,2709.9,2778.8,1827023,50685.25,98215,818974.0,44.83
10-06-2026 00:00,2830.0,2830.0,2732.4,2743.8,2377745,65989.04,116007,983632.0,41.37
09-06-2026 00:00,2852.0,2915.0,2795.3,2824.8,3778873,107764.15,194040,1498985.0,39.67
08-06-2026 00:00,2721.0,2850.0,2707.0,2823.8,3497131,98406.95,191363,1264955.0,36.17
05-06-2026 00:00,2910.0,2931.9,2751.0,2795.0,4709089,133314.63,184553,1815890.0,38.56
04-06-2026 00:00,2837.0,2913.0,2810.1,2893.5,3710305,106788.33,158819,1953903.0,52.66
03-06-2026 00:00,2886.0,2904.2,2797.5,2833.6,3605952,102190.8,152988,1441606.0,39.98
02-06-2026 00:00,2890.0,2905.7,2823.8,2878.7,4613055,132168.69,181137,2225355.0,48.24
01-06-2026 00:00,2967.0,2987.5,2875.7,2890.5,3492170,101676.86,159180,1501027.0,42.98
29-05-2026 00:00,3169.8,3177.0,2906.2,2954.5,17655814,526283.43,464218,10026277.0,56.79
27-05-2026 00:00,3312.0,3322.7,3150.8,3158.5,2992806,96461.03,163889,1386030.0,46.31
26-05-2026 00:00,3329.0,3347.0,3290.0,3307.3,1955204,64742.16,106352,912376.0,46.66
25-05-2026 00:00,3300.0,3345.0,3240.0,3313.9,2400665,79307.14,121468,990537.0,41.26
22-05-2026 00:00,3333.3,3357.3,3257.3,3269.9,2710869,89085.57,146888,1011469.0,37.31
21-05-2026 00:00,3470.0,3480.0,3308.0,3322.8,3460281,116702.56,156906,1549946.0,44.79
20-05-2026 00:00,3398.6,3451.9,3369.2,3441.7,2257155,77311.37,108204,1063888.0,47.13
19-05-2026 00:00,3363.9,3447.4,3331.5,3414.7,2730028,93005.43,115645,932997.0,34.18
18-05-2026 00:00,3348.2,3369.0,3306.2,3348.4,2862332,95541.3,128123,1195090.0,41.75
15-05-2026 00:00,3366.5,3423.0,3350.0,3391.0,3403551,115420.83,145086,1331352.0,39.12
14-05-2026 00:00,3219.3,3364.0,3210.0,3339.1,3838705,126683.67,159910,1312134.0,34.18
13-05-2026 00:00,3249.0,3265.0,3131.0,3204.2,4279384,137361.75,179066,1869435.0,43.68
12-05-2026 00:00,3200.0,3256.0,3146.3,3156.9,4305796,137733.29,157806,1822284.0,42.32
11-05-2026 00:00,3120.0,3219.6,3042.5,3187.9,6246307,197314.13,260646,1643127.0,26.31
08-05-2026 00:00,3069.0,3136.0,3022.4,3097.8,3775007,116934.51,158485,1552674.0,41.13
07-05-2026 00:00,2989.4,3058.0,2962.5,3042.6,2366069,71309.34,87844,1130571.0,47.78
06-05-2026 00:00,2939.8,2989.4,2911.0,2973.2,1999829,59240.87,75656,856914.0,42.85
05-05-2026 00:00,2920.0,2926.0,2867.0,2902.5,1752968,50788.61,82857,629677.0,35.92
04-05-2026 00:00,3000.0,3041.0,2870.4,2912.9,2390500,70622.57,99469,815850.0,34.13
30-04-2026 00:00,2975.0,2985.1,2925.7,2971.5,2414520,71503.9,99689,1084455.0,44.91
29-04-2026 00:00,2911.9,2980.9,2862.0,2968.3,2698924,79362.98,97749,1025154.0,37.98
28-04-2026 00:00,2835.0,2915.0,2833.1,2898.0,1771034,51008.38,90495,679425.0,38.36
27-04-2026 00:00,2786.5,2834.5,2773.8,2830.0,1697920,47676.08,113011,837073.0,49.3
24-04-2026 00:00,2791.6,2813.3,2756.0,2760.9,2338789,65043.12,123007,1068817.0,45.7
23-04-2026 00:00,2771.0,2852.0,2765.5,2791.4,1914246,53921.98,114411,653131.0,34.12
22-04-2026 00:00,2830.0,2834.8,2768.5,2783.2,2904468,81159.15,132677,1372035.0,47.24
21-04-2026 00:00,2857.0,2865.7,2815.2,2825.6,2126934,60276.82,140175,977749.0,45.97
20-04-2026 00:00,2862.0,2895.0,2845.7,2859.1,2053838,58981.19,98499,835880.0,40.7
17-04-2026 00:00,2884.0,2884.0,2780.0,2856.1,3924484,111416.45,155347,1574204.0,40.11
16-04-2026 00:00,2881.0,2903.0,2840.0,2862.2,3431999,98365.83,144531,1659919.0,48.37
15-04-2026 00:00,2844.9,2889.0,2812.2,2851.1,4612212,131485.78,255201,1946463.0,42.2
13-04-2026 00:00,2650.0,2776.4,2629.0,2765.6,4807666,131081.97,173787,1796563.0,37.37
10-04-2026 00:00,2680.0,2708.8,2622.9,2669.4,3165287,84138.45,176379,1175707.0,37.14
09-04-2026 00:00,2600.0,2681.8,2576.5,2657.5,3860778,102275.68,134786,1467028.0,38.0
